訓練日期,20141008 - 20150109
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11158400.500000000000000
真實報酬,1158400.500000000000000

夏普值報酬,0.107140050000000
夏普值風險,0.041744051166725
夏普值,2.566594448921206

預期報酬,21022.464634068226587
風險,188291.121962536883075
趨勢值,0.111648729982346
找到最佳解世代,34
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](17),GS[8](18),HD[9](7),INTC[11](16),JPM[13](21),PFE[20](9),PG[21](5),UNH[23](3),V[25](6),WBA[27](1),XOM[29](25),
Stock#,BA[2](17),GS[8](18),HD[9](7),INTC[11](16),JPM[13](21),PFE[20](9),PG[21](5),UNH[23](3),V[25](6),WBA[27](1),XOM[29](25),
張數,7371,4946,9831,27161,15338,31576,10931,10798,17479,15192,9736,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,98.280000000027940,15.199999999953434,17.430000000051223,11.330000000074506,6.739999999990687,16.960000000079162,68.040000000037253,6.380000000004657,7.210000000079162,0.719999999972060,39.679999999934807,
20141008,921325.860000000102445,923136.639999999897555,925016.220000000088476,930818.800000000162981,926421.939999999944121,927719.840000000083819,920239.620000000111759,935329.140000000013970,927967.320000000181608,933701.040000000037253,921162.639999999897555,10192849.060000002384186
20141009,904962.240000000107102,896576.619999999995343,914988.599999999976717,913164.150000000023283,906175.779999999911524,915405.200000000069849,914555.500000000000000,917188.500000000000000,907691.680000000051223,935068.319999999948777,893999.199999999837019,10019785.789999999105930
20141010,895674.780000000027940,892174.679999999934807,909876.479999999981374,866718.840000000083819,897586.500000000000000,919825.840000000083819,925814.430000000051223,922047.599999999976717,895805.960000000079162,956944.800000000046566,891857.279999999911524,9974337.189999999478459
20141013,887935.230000000097789,884211.619999999995343,890706.030000000027940,854768.000000000000000,892064.819999999948777,898985.680000000051223,911385.510000000125729,906498.479999999981374,892659.740000000107102,922003.199999999953434,884457.919999999925494,9825686.229999998584390
20141014,901497.870000000111759,883865.399999999906868,885790.530000000027940,872965.870000000111759,889457.359999999986030,898669.920000000158325,913353.089999999967404,894296.739999999874271,885842.930000000051223,922003.199999999953434,881634.479999999864958,9829387.390000000596046
20141015,886018.770000000018626,876644.239999999990687,863670.780000000027940,849607.410000000149012,851725.880000000004657,890144.400000000139698,906794.490000000107102,887170.059999999939464,875005.950000000069849,925953.119999999995343,878421.599999999976717,9691166.699999999254942
20141016,886755.870000000111759,853595.880000000004657,873796.709999999962747,837928.180000000167638,844823.779999999911524,874672.160000000032596,899033.479999999981374,922047.599999999976717,887066.460000000079162,917445.599999999976717,882121.279999999911524,9679297.000000000000000
20141017,908500.319999999948777,875012.059999999939464,887166.869999999995343,852323.510000000009313,862002.340000000083819,878777.040000000037253,910292.410000000032596,952174.020000000135042,900175.710000000079162,915622.560000000055879,888060.239999999874271,9830117.080000000074506
