訓練日期,20190215 - 20190520
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10771630.250000000000000
真實報酬,771630.250000000000000

夏普值報酬,0.068463025000000
夏普值風險,0.024165415032456
夏普值,2.833099489830812

預期報酬,13931.451142796135173
風險,85078.311864675080869
趨勢值,0.163748561031105
找到最佳解世代,88
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](7),AXP[1](6),CVX[5](19),DIS[6](11),GS[8](15),IBM[10](20),JNJ[12](13),KO[14](10),MCD[15](1),PG[21](5),TRV[22](3),UNH[23](29),V[25](4),
Stock#,AAPL[0](7),AXP[1](6),CVX[5](19),DIS[6](11),GS[8](15),IBM[10](20),JNJ[12](13),KO[14](10),MCD[15](1),PG[21](5),TRV[22](3),UNH[23](29),V[25](4),
張數,4503,7214,6510,6951,3995,5636,5727,16872,4373,7812,6060,2899,5373,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,117.599999999976717,73.319999999948777,8.400000000023283,32.339999999967404,72.650000000023283,28.720000000088476,36.630000000004657,35.519999999902211,150.489999999990687,60.480000000097789,34.199999999953434,38.330000000074506,31.320000000065193,
20190215,767518.859999999869615,774712.639999999897555,776976.900000000023283,782645.429999999934807,793080.150000000023283,777965.800000000046566,781084.890000000013970,763324.799999999930151,787159.299999999930151,769386.240000000107102,780198.599999999976717,786044.200000000069849,778632.750000000000000,10118740.559999998658895
20190219,769815.390000000013970,768364.319999999948777,776716.500000000000000,789040.349999999976717,793759.299999999930151,781741.920000000041910,777133.260000000009313,756407.279999999911524,784010.739999999990687,781182.360000000102445,782380.199999999953434,783956.920000000158325,776107.440000000060536,10120625.980000000447035
20190220,774768.689999999944121,770384.239999999990687,783031.200000000069849,790222.020000000018626,793479.650000000023283,777796.720000000088476,780913.079999999958090,760962.719999999972060,789433.260000000009313,775635.840000000083819,786258.599999999976717,781347.820000000065193,777665.609999999986030,10141909.449999999254942
20190221,770400.780000000027940,769157.859999999986030,775609.800000000046566,794462.130000000004657,784530.850000000093132,776894.960000000079162,775586.969999999972060,773785.439999999944121,799578.619999999995343,779541.840000000083819,786743.399999999906868,772331.930000000051223,773743.320000000065193,10132377.900000000372529
20190222,779001.510000000009313,775145.479999999981374,777237.300000000046566,801135.089999999967404,783092.650000000023283,784841.720000000088476,782344.829999999958090,763999.679999999934807,801152.899999999906868,783213.480000000097789,794015.400000000023283,774390.220000000088476,783790.830000000074506,10183371.090000001713634
20190225,784675.289999999920838,771466.339999999967404,778734.600000000093132,789596.429999999934807,793679.400000000023283,786025.280000000144355,780054.029999999911524,758263.199999999837019,798704.020000000018626,777901.320000000065193,802923.599999999976717,767113.730000000097789,784811.700000000069849,10173958.939999999478459
20190226,785125.590000000083819,771538.479999999981374,780817.800000000046566,788970.839999999967404,794678.150000000023283,787490.640000000130385,779538.600000000093132,754045.199999999837019,801327.820000000065193,779932.440000000060536,807650.400000000023283,762417.350000000093132,790077.239999999990687,10183620.550000000745058
20190227,787557.209999999962747,775001.199999999953434,781729.200000000069849,783966.119999999995343,791482.150000000023283,784390.839999999967404,778164.119999999995343,758263.199999999837019,801983.770000000018626,772745.400000000023283,803711.400000000023283,725020.250000000116415,791044.380000000004657,10135069.240000002086163
20190228,779812.050000000046566,777309.679999999934807,778474.200000000069849,784383.179999999934807,785889.150000000023283,778529.400000000023283,782573.909999999916181,765012.000000000000000,804082.810000000055879,769933.080000000074506,805468.799999999930151,702234.110000000102445,795880.080000000074506,10109592.450000001117587
20190301,788007.510000000009313,785677.920000000041910,794423.700000000069849,792515.849999999976717,791881.650000000023283,784559.920000000041910,792367.079999999958090,765686.879999999888241,809374.140000000013970,769073.760000000125729,806196.000000000000000,713627.180000000051223,803133.630000000004657,10196535.220000000670552
20190304,791970.149999999906868,786399.319999999948777,795009.600000000093132,794740.169999999925494,783012.750000000000000,780220.200000000069849,793111.589999999967404,770242.319999999832362,789870.560000000055879,772432.920000000158325,800863.199999999953434,684260.310000000055879,795020.400000000139698,10137163.490000000223517
20190305,790529.189999999944121,785317.219999999855645,802626.300000000046566,792446.339999999967404,783092.650000000023283,777120.400000000023283,794772.420000000041910,769398.719999999972060,793194.039999999920838,774151.560000000172295,804135.599999999976717,699943.900000000139698,794966.670000000041910,10161705.009999999776483
20190306,785981.160000000032596,786255.039999999920838,804188.700000000069849,798354.689999999944121,778058.950000000069849,772048.000000000000000,796605.060000000055879,766867.919999999925494,796167.680000000051223,772901.640000000130385,798742.200000000069849,693102.260000000009313,794214.450000000069849,10143497.749999998137355
20190307,776885.099999999976717,778175.359999999986030,793837.800000000046566,792515.849999999976717,770188.800000000046566,762917.680000000167638,791737.110000000102445,763999.679999999934807,789564.450000000069849,769933.080000000074506,796863.599999999976717,686231.630000000004657,788948.910000000149012,10061809.050000000745058
20190308,778731.329999999958090,779041.039999999920838,791754.600000000093132,791125.650000000023283,780056.450000000069849,761395.960000000079162,790706.250000000000000,756576.000000000000000,785103.989999999990687,768839.400000000023283,794015.400000000023283,687942.040000000037253,791742.869999999995343,10057040.979999998584390
