訓練日期,20100607 - 20100907
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11029327.540000000968575
真實報酬,1029327.540000000968575

夏普值報酬,0.094232754000000
夏普值風險,0.032166671851219
夏普值,2.929515196221005

預期報酬,16599.072872577806265
風險,267213.826762529148255
趨勢值,0.062119064247859
找到最佳解世代,32
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](13),CAT[3](4),KO[14](3),MCD[15](2),MMM[16](5),NKE[19](17),PFE[20](6),UNH[23](12),V[25](22),VZ[26](1),
Stock#,BA[2](13),CAT[3](4),KO[14](3),MCD[15](2),MMM[16](5),NKE[19](17),PFE[20](6),UNH[23](12),V[25](22),VZ[26](1),
張數,16353,17313,39001,14992,13140,56529,67750,32959,55463,39308,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,14.050000000046566,1.119999999995343,14.359999999986030,33.599999999976717,46.000000000116415,1.989999999874271,10.000000000000000,23.940000000060536,2.109999999986030,4.479999999981374,
20100607,982992.880000000004657,966585.909999999916181,990639.759999999892898,1000749.599999999976717,982129.600000000093132,983606.589999999850988,983740.000000000000000,1003955.080000000074506,996672.219999999972060,995283.040000000037253,9886354.679999999701977
20100608,997874.110000000102445,980090.049999999930151,1005460.140000000013970,1025186.559999999939464,984494.800000000162981,993216.519999999902211,985772.500000000000000,1018127.450000000069849,1017193.530000000027940,1017295.519999999902211,10024711.179999999701977
20100609,1009157.680000000051223,983552.650000000023283,1001560.039999999920838,1023387.520000000018626,982786.600000000209548,989259.489999999874271,983740.000000000000000,1006262.210000000079162,1023294.459999999962747,1020833.239999999990687,10023833.890000000596046
20100610,1044807.220000000088476,1037915.470000000088476,1023010.589999999967404,1040028.640000000013970,1017476.200000000186265,1014132.250000000000000,1010162.500000000000000,1011865.239999999990687,1073765.790000000037253,1041666.479999999981374,10314830.380000002682209
20100611,1069173.189999999944121,1042763.109999999986030,1007410.189999999944121,1042577.280000000027940,1028908.000000000116415,1022046.309999999823049,1047425.000000000000000,1010876.470000000088476,1054908.370000000111759,1049528.079999999841675,10375615.999999998137355
20100614,1060015.510000000009313,1056094.120000000111759,1004680.119999999995343,1038979.199999999953434,1026805.600000000093132,1020915.729999999748543,1038617.500000000000000,1008239.750000000000000,1023294.459999999962747,1052279.639999999897555,10329921.630000000819564
20100615,1103514.490000000223517,1098684.100000000093132,1017550.449999999953434,1055470.399999999906868,1048223.800000000046566,1045788.489999999874271,1051490.000000000000000,1028015.150000000139698,1066555.600000000093132,1069968.239999999990687,10585260.719999998807907
20100616,1096155.640000000130385,1114785.189999999944121,1021840.559999999939464,1053821.280000000260770,1062809.200000000186265,1043527.329999999958090,1048780.000000000000000,1034606.950000000069849,1069883.379999999888241,1072326.719999999972060,10618536.250000001862645
20100617,1099916.830000000074506,1124480.470000000204891,1021060.539999999920838,1050223.199999999720603,1064780.200000000186265,1053702.549999999813735,1048102.500000000000000,1038232.440000000060536,1084858.390000000130385,1069182.079999999841675,10654539.200000001117587
20100618,1111363.929999999934807,1140062.169999999925494,1020280.520000000018626,1047674.559999999939464,1066751.200000000186265,1059355.449999999720603,1030487.500000000000000,1032629.410000000032596,1068219.490000000223517,1070361.320000000065193,10647185.550000000745058
20100621,1111527.459999999962747,1143871.029999999795109,1023400.599999999976717,1048274.239999999990687,1070561.800000000279397,1050876.100000000093132,1023035.000000000000000,1026696.790000000037253,1122018.600000000093132,1068002.840000000083819,10688264.459999999031425
20100622,1083890.890000000130385,1109937.549999999813735,1023010.589999999967404,1029084.479999999981374,1051640.200000000186265,1023742.179999999818392,1014227.500000000000000,1009887.700000000069849,1092068.580000000074506,1068002.840000000083819,10505492.509999999776483
20100623,1103023.900000000139698,1113746.410000000149012,1018720.479999999981374,1028934.559999999939464,1052822.800000000279397,1024872.759999999776483,1008130.000000000000000,995715.330000000074506,1078202.830000000074506,1077829.840000000083819,10501998.910000000149012
20100624,1102696.840000000083819,1097125.930000000167638,1010140.259999999892898,1015441.760000000009313,1027331.200000000186265,984171.879999999888241,979675.000000000000000,980883.780000000144355,1060454.669999999925494,1064465.119999999878928,10322386.439999999478459
20100625,1124609.859999999869615,1120325.350000000093132,980109.489999999990687,1010794.239999999990687,1036792.000000000232831,990955.359999999986030,991870.000000000000000,984838.859999999986030,1063227.820000000298023,1049135.000000000000000,10352657.980000000447035
20100628,1100570.949999999953434,1114958.320000000298023,996099.899999999906868,1009444.959999999962747,1037843.200000000186265,996608.259999999776483,985095.000000000000000,962097.150000000139698,1043261.139999999897555,1055031.199999999953434,10301010.080000000074506
20100629,1030907.170000000041910,1053497.169999999925494,981669.530000000027940,996401.919999999925494,1031404.600000000093132,963256.149999999790452,967480.000000000000000,943640.109999999986030,990571.289999999920838,1051886.560000000055879,10010714.500000000000000
20100630,1026164.800000000046566,1039993.030000000027940,977379.419999999925494,987556.640000000013970,1037974.600000000093132,954776.799999999930151,966125.000000000000000,936059.540000000037253,981142.580000000074506,1029874.079999999958090,9937046.490000000223517
20100701,1018151.829999999958090,1038261.729999999981374,975819.380000000004657,1000149.919999999925494,1032193.000000000116415,962125.569999999832362,964092.500000000000000,917932.090000000083819,1010537.969999999972060,1033804.880000000004657,9953068.870000001043081
20100702,1012918.869999999995343,1024584.459999999962747,976209.390000000013970,991604.479999999981374,1020629.800000000162981,959299.119999999762513,957995.000000000000000,932763.640000000130385,1014975.010000000009313,1053851.959999999962747,9944831.730000000447035
20100706,1003434.130000000004657,1035491.650000000023283,983619.579999999958090,991154.719999999972060,1026805.600000000093132,949689.189999999944121,968157.500000000000000,952209.450000000069849,1002218.520000000018626,1045990.359999999986030,9958770.699999999254942
20100707,1035158.949999999953434,1076523.459999999962747,1003900.099999999976717,1009145.119999999995343,1058078.800000000279397,968909.049999999930151,990515.000000000000000,962426.739999999990687,1037160.209999999962747,1042452.640000000013970,10184270.070000000298023
20100708,1058543.740000000223517,1093663.330000000074506,1022230.570000000065193,1034781.439999999944121,1067276.800000000279397,993216.519999999902211,1004065.000000000000000,978247.060000000055879,1041042.619999999995343,1052672.719999999972060,10345739.800000000745058
20100709,1057399.030000000027940,1120498.479999999981374,1021840.559999999939464,1037779.839999999967404,1079628.399999999906868,991520.649999999790452,1000677.500000000000000,987805.170000000041910,1073211.160000000149012,1047562.679999999934807,10417923.469999998807907
20100712,1052166.070000000065193,1112880.760000000242144,1023010.589999999967404,1048574.079999999958090,1080942.400000000372529,986433.039999999804422,1011517.500000000000000,990112.300000000046566,1061009.299999999813735,1041273.399999999906868,10407919.439999999478459
20100713,1053637.840000000083819,1156336.390000000130385,1028080.719999999972060,1062066.879999999888241,1097893.000000000000000,996042.969999999972060,1002032.500000000000000,993408.200000000069849,1062118.560000000055879,1056996.600000000093132,10508613.660000000149012
20100714,1058870.800000000046566,1154778.220000000204891,1030030.770000000018626,1062966.399999999906868,1091323.000000000000000,997173.549999999930151,1005420.000000000000000,999340.820000000065193,1057681.520000000018626,1055031.199999999953434,10512616.279999999329448
20100715,1052656.660000000149012,1151488.750000000000000,1030810.789999999920838,1069412.959999999962747,1091454.400000000372529,998304.129999999888241,1007452.500000000000000,1017797.859999999986030,1043815.770000000018626,1053458.880000000121072,10516652.700000001117587
20100716,1012264.750000000000000,1106994.339999999850988,1021450.550000000046566,1048574.079999999958090,1063729.000000000000000,974561.949999999837019,986450.000000000000000,1000000.000000000000000,990571.289999999920838,1049135.000000000000000,10253730.959999999031425
20100719,1033196.590000000083819,1121883.520000000018626,1019500.500000000000000,1048124.319999999948777,1067276.800000000279397,969474.339999999850988,997967.500000000000000,1015820.320000000065193,987798.139999999897555,1050314.239999999990687,10311356.270000001415610
20100720,1044643.690000000060536,1150103.709999999962747,1038220.979999999981374,1062516.640000000130385,1080022.600000000093132,986998.329999999958090,985772.500000000000000,1016149.910000000032596,1020521.309999999939464,1048348.840000000083819,10433298.509999999776483
20100721,1033196.590000000083819,1157721.430000000167638,1054601.399999999906868,1051122.719999999739230,1081468.000000000000000,984171.879999999888241,982385.000000000000000,1011865.239999999990687,1003327.780000000027940,1042452.640000000013970,10402312.680000001564622
20100722,1089123.849999999860302,1177285.120000000111759,1058111.489999999757856,1070462.399999999906868,1113661.000000000000000,1011305.799999999930151,1003387.500000000000000,1021752.940000000060536,1032168.539999999920838,1061320.479999999981374,10638579.119999999180436
20100723,1110873.340000000083819,1199965.149999999906868,1067861.739999999757856,1047974.400000000023283,1132319.800000000279397,1027699.209999999846332,987805.000000000000000,1019116.220000000088476,1048252.809999999939464,1101414.639999999897555,10743282.310000000521541
20100726,1125918.099999999860302,1211737.989999999757856,1071371.830000000074506,1062516.640000000130385,1147430.799999999813735,1035047.979999999748543,1017615.000000000000000,1037243.670000000041910,1054908.370000000111759,1111634.719999999972060,10875425.099999999627471
