訓練日期,20171116 - 20180221
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11145379.719999996945262
真實報酬,1145379.719999996945262

夏普值報酬,0.105837972000000
夏普值風險,0.040098679804002
夏普值,2.639437819831572

預期報酬,25008.697659424549784
風險,270536.665399436722510
趨勢值,0.092441065696216
找到最佳解世代,13
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](1),CSCO[4](3),DD[7](15),GS[8](6),JPM[13](2),MMM[16](16),MSFT[18](5),NKE[19](4),TRV[22](20),UTX[24](8),WBA[27](21),WMT[28](11),
Stock#,BA[2](1),CSCO[4](3),DD[7](15),GS[8](6),JPM[13](2),MMM[16](16),MSFT[18](5),NKE[19](4),TRV[22](20),UTX[24](8),WBA[27](21),WMT[28](11),
張數,3170,24430,8484,3507,8486,3664,10042,14715,6232,7087,11870,9276,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,66.799999999930151,25.700000000069849,34.520000000018626,34.729999999981374,92.660000000032596,139.400000000023283,47.839999999967404,22.549999999930151,52.279999999911524,114.410000000032596,59.000000000000000,69.920000000041910,
20171116,835995.799999999930151,876574.100000000093132,853949.120000000111759,839505.319999999948777,835709.080000000074506,840734.280000000027940,835542.239999999990687,842161.999999999883585,815260.199999999953434,835600.840000000083819,846390.000000000000000,924145.040000000037253,10181572.019999999552965
20171117,831430.999999999883585,877062.700000000069849,854712.679999999934807,834770.869999999995343,832908.700000000069849,840514.440000000060536,827508.640000000013970,871003.399999999906868,809713.719999999855645,825962.520000000018626,845796.500000000000000,904201.640000000013970,10155590.810000000521541
20171120,838943.899999999906868,891720.700000000069849,856070.120000000111759,835156.640000000013970,840291.520000000018626,848318.760000000009313,828814.099999999976717,871886.299999999930151,808778.919999999925494,824899.469999999972060,840217.599999999976717,904294.400000000023283,10189396.429999999701977
20171121,846425.099999999976717,895385.200000000069849,860990.840000000083819,834770.869999999995343,839612.640000000130385,857845.160000000032596,840764.079999999958090,873946.399999999906868,814138.439999999827705,829576.890000000130385,844728.199999999953434,895389.440000000060536,10233577.259999999776483
20171122,840592.299999999813735,890499.200000000186265,853015.880000000121072,829194.739999999990687,837151.700000000069849,848648.520000000018626,834638.459999999962747,869237.599999999976717,810274.599999999860302,827379.920000000041910,846746.099999999976717,894369.079999999958090,10181752.099999999627471
20171124,842906.399999999906868,891476.400000000139698,859803.080000000074506,827511.379999999888241,834436.179999999934807,847915.719999999972060,836144.760000000009313,872916.349999999976717,809152.839999999967404,828655.579999999958090,834282.599999999976717,896317.040000000037253,10181522.329999998211861
