訓練日期,20181004 - 20190108
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9956423.109999999403954
真實報酬,-43576.890000000596046

夏普值報酬,-0.013057689000000
夏普值風險,0.028763909322283
夏普值,-0.453960859551327

預期報酬,1232.403710137194821
風險,293156.978357342421077
趨勢值,0.004203903714122
找到最佳解世代,78
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CSCO[4](19),JPM[13](17),KO[14](4),MCD[15](2),PFE[20](8),PG[21](1),UNH[23](13),VZ[26](5),WMT[28](7),
Stock#,CSCO[4](19),JPM[13](17),KO[14](4),MCD[15](2),PFE[20](8),PG[21](1),UNH[23](13),VZ[26](5),WMT[28](7),
張數,22611,9658,24223,6747,24796,13382,4101,20466,11811,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,6.459999999962747,54.679999999934807,1.989999999990687,149.979999999981374,2.239999999990687,3.540000000037253,150.100000000093132,11.860000000102445,50.229999999981374,
20181004,1093926.640000000130385,1113332.339999999850988,1110626.540000000037253,1118802.580000000074506,1108383.440000000176951,1096256.979999999981374,1100530.420000000158325,1126051.180000000167638,1112764.539999999804422,9980675.659999998286366
20181005,1088273.890000000130385,1107054.639999999897555,1111353.229999999981374,1123997.770000000018626,1113590.599999999860302,1099334.840000000083819,1104139.300000000046566,1124413.900000000139698,1102134.639999999897555,9974293.810000000521541
20181008,1074481.179999999934807,1113815.239999999757856,1125887.030000000027940,1132094.170000000158325,1122765.120000000111759,1102680.340000000083819,1103360.110000000102445,1126051.180000000167638,1118433.820000000065193,10019569.190000001341105
20181009,1073802.850000000093132,1106088.839999999850988,1123706.959999999962747,1145992.989999999990687,1127476.359999999869615,1100003.940000000176951,1107871.210000000195578,1125437.200000000186265,1146662.109999999869615,10057043.460000000894070
20181010,1031746.390000000013970,1076631.939999999944121,1106508.629999999888241,1136142.370000000111759,1103672.199999999953434,1089833.620000000111759,1079041.179999999934807,1111929.640000000130385,1131071.590000000083819,9866578.560000000521541
20181011,997603.779999999911524,1044374.219999999855645,1081316.709999999962747,1099708.570000000065193,1061519.000000000000000,1055441.880000000121072,1054599.220000000204891,1091463.640000000130385,1109339.350000000093132,9595367.370000001043081
20181012,1033555.270000000018626,1032977.779999999911524,1082285.629999999888241,1105443.520000000018626,1085571.120000000111759,1057984.459999999962747,1064810.710000000195578,1099650.040000000037253,1119851.139999999897555,9682130.669999999925494
20181015,1010039.829999999958090,1027086.400000000023283,1087856.919999999925494,1104431.469999999972060,1069205.760000000009313,1072303.199999999953434,1067435.350000000093132,1096989.460000000195578,1108158.250000000000000,9643507.640000000596046
20181016,1036042.479999999981374,1049106.639999999897555,1101906.260000000009313,1107130.270000000018626,1089290.520000000018626,1084079.360000000102445,1117959.670000000158325,1099036.060000000055879,1131662.139999999897555,9816214.400000000372529
20181017,1038755.799999999930151,1060792.819999999832362,1110868.770000000018626,1125347.170000000158325,1105159.959999999962747,1095454.060000000055879,1096347.400000000139698,1104357.220000000204891,1140520.389999999897555,9877604.590000001713634
20181018,1027902.520000000018626,1043987.900000000023283,1104813.020000000018626,1125617.050000000046566,1091026.239999999990687,1073775.219999999972060,1094337.910000000149012,1118478.760000000009313,1135914.100000000093132,9815853.720000000670552
20181019,1025189.200000000069849,1042249.459999999846332,1122253.579999999841675,1130205.010000000009313,1103424.239999999990687,1168252.139999999897555,1088145.400000000139698,1123595.260000000009313,1147488.880000000121072,9950804.170000001788139
20181022,1034685.819999999948777,1027279.559999999939464,1113533.300000000046566,1124402.589999999850988,1100200.760000000009313,1158884.739999999990687,1075391.290000000037253,1125232.540000000037253,1147370.770000000018626,9906982.369999999180436
20181023,1026998.079999999958090,1016559.179999999934807,1122980.270000000018626,1195381.030000000027940,1093505.840000000083819,1166378.659999999916181,1086340.960000000195578,1170871.720000000204891,1155166.030000000027940,10034182.769999999552965
20181024,996473.229999999981374,997629.500000000000000,1131942.780000000027940,1196730.429999999934807,1053336.319999999832362,1197157.260000000009313,1051318.420000000158325,1175169.580000000074506,1152331.389999999897555,9952089.910000000149012
20181025,1028128.629999999888241,1012792.559999999939464,1126613.719999999972060,1182966.550000000046566,1076396.599999999860302,1191001.540000000037253,1083798.340000000083819,1154908.239999999990687,1171465.209999999962747,10028072.390000000596046
20181026,1000543.209999999962747,998885.039999999920838,1112322.150000000139698,1169674.959999999962747,1056311.840000000083819,1175746.060000000055879,1058946.280000000027940,1136079.520000000018626,1168630.570000000065193,9877140.630000000819564
20181029,991272.700000000069849,1012695.979999999864958,1125402.570000000065193,1168932.789999999804422,1071933.319999999832362,1180831.219999999972060,1052138.620000000111759,1155931.540000000037253,1178788.030000000027940,9937927.769999997690320
20181030,1008004.839999999967404,1030563.279999999911524,1153743.479999999981374,1204422.010000000009313,1063502.679999999934807,1193544.120000000111759,1059356.379999999888241,1190723.739999999990687,1209732.850000000093132,10113594.379999998956919
20181031,1034459.709999999962747,1052969.839999999850988,1159799.229999999981374,1193694.280000000027940,1067718.000000000000000,1186719.300000000046566,1071946.450000000186265,1168415.800000000279397,1184457.310000000055879,10120180.919999999925494
20181101,1032198.609999999986030,1052583.520000000018626,1156408.010000000009313,1180065.339999999850988,1082843.560000000055879,1198896.920000000158325,1070224.030000000027940,1147131.160000000149012,1188000.609999999869615,10108352.759999997913837
20181102,1028354.739999999874271,1046788.719999999855645,1162705.989999999990687,1192682.229999999981374,1064494.520000000018626,1201840.959999999962747,1070552.110000000102445,1159001.440000000176951,1196976.969999999972060,10123398.679999999701977
20181105,1043278.000000000000000,1053645.899999999906868,1179419.859999999869615,1217241.309999999823049,1079124.160000000149012,1220441.940000000176951,1070552.110000000102445,1170871.720000000204891,1215520.239999999990687,10250096.240000000223517
20181106,1051417.959999999962747,1058571.479999999981374,1189593.520000000018626,1232894.350000000093132,1066478.199999999953434,1224590.360000000102445,1080927.640000000130385,1170871.720000000204891,1220480.859999999869615,10295827.090000001713634
20181107,1083073.359999999869615,1076728.520000000018626,1195891.500000000000000,1243284.729999999981374,1100944.639999999897555,1221646.320000000065193,1126407.729999999981374,1179876.760000000009313,1232173.750000000000000,10460028.309999998658895
20181108,1095283.299999999813735,1085420.719999999972060,1194922.579999999841675,1251583.539999999804422,1087306.840000000083819,1222583.060000000055879,1134691.750000000000000,1192565.680000000167638,1238787.909999999916181,10503146.379999998956919
20181109,1065210.669999999925494,1074893.500000000000000,1203400.629999999888241,1254687.159999999916181,1097969.120000000111759,1236634.159999999916181,1134281.650000000139698,1196454.220000000204891,1246819.389999999897555,10510351.500000001862645
20181112,1031520.279999999911524,1052293.780000000027940,1208003.000000000000000,1244094.370000000111759,1093753.800000000046566,1240514.940000000176951,1117180.479999999981374,1201775.380000000121072,1226858.800000000046566,10415995.830000001937151
20181113,1020214.779999999911524,1058474.899999999906868,1207760.770000000018626,1241665.449999999953434,1079124.160000000149012,1250819.080000000074506,1104221.320000000298023,1200547.419999999925494,1215874.570000000065193,10378703.449999999254942
20181114,1002352.089999999967404,1036647.819999999948777,1205338.469999999972060,1240585.929999999934807,1063998.599999999860302,1251086.719999999972060,1086751.060000000055879,1206277.900000000139698,1199221.060000000055879,10292260.650000000372529
20181115,1057522.929999999934807,1063110.739999999757856,1204854.010000000009313,1238629.300000000046566,1071437.399999999906868,1255636.600000000093132,1086669.040000000037253,1209143.140000000130385,1175717.170000000158325,10362721.329999998211861
20181116,1048026.309999999939464,1062338.099999999860302,1215269.900000000139698,1265819.709999999962747,1078876.199999999953434,1255502.780000000027940,1111972.210000000195578,1232269.720000000204891,1153866.820000000065193,10423942.750000000000000
20181119,1034459.709999999962747,1070450.819999999832362,1223505.719999999972060,1259949.820000000065193,1095489.520000000018626,1248410.320000000065193,1091221.150000000139698,1240660.780000000027940,1143118.810000000055879,10407267.650000000372529
20181120,1005969.849999999976717,1047464.779999999911524,1196133.729999999981374,1239641.350000000093132,1079372.120000000111759,1232485.739999999990687,1072561.600000000093132,1216920.220000000204891,1112173.989999999990687,10202724.380000000819564
20181121,1015014.250000000000000,1039641.799999999930151,1180388.780000000027940,1232961.820000000065193,1068709.840000000083819,1223252.159999999916181,1068665.650000000139698,1210780.419999999925494,1112292.100000000093132,10151707.820000000298023
20181123,1007100.399999999906868,1030080.380000000004657,1187413.449999999953434,1227631.689999999944121,1069701.679999999934807,1224991.820000000065193,1073053.720000000204891,1200138.100000000093132,1123276.329999999841675,10143388.570000000298023
20181126,1030389.729999999981374,1055287.760000000009313,1183780.000000000000000,1240855.809999999823049,1074660.880000000121072,1230344.620000000111759,1091672.260000000242144,1210985.080000000074506,1123866.880000000121072,10241844.020000001415610
20181127,1042825.779999999911524,1059730.439999999944121,1195891.500000000000000,1245848.589999999850988,1092761.959999999962747,1240782.580000000074506,1112136.250000000000000,1241274.760000000009313,1122567.670000000158325,10353820.529999999329448
20181128,1069280.649999999906868,1071513.199999999953434,1204127.320000000065193,1267573.929999999934807,1113342.639999999897555,1244663.360000000102445,1152326.050000000046566,1229199.820000000065193,1151150.289999999804422,10503178.259999997913837
20181129,1070411.199999999953434,1063014.159999999916181,1186444.530000000027940,1277087.199999999953434,1128468.199999999953434,1242120.780000000027940,1158887.650000000139698,1216715.560000000055879,1149142.420000000158325,10492292.700000001117587
20181130,1082395.029999999795109,1073927.699999999953434,1220841.189999999944121,1272026.949999999953434,1146321.319999999832362,1264736.360000000102445,1154007.460000000195578,1234111.660000000149012,1153394.380000000121072,10601763.050000000745058
20181203,1102066.600000000093132,1084068.599999999860302,1203642.859999999869615,1250841.370000000111759,1140370.280000000027940,1248811.780000000027940,1174389.429999999934807,1190314.419999999925494,1166386.479999999981374,10560892.820000000298023
20181204,1070637.310000000055879,1035682.020000000018626,1200978.329999999841675,1248614.859999999869615,1119293.679999999934807,1248677.959999999962747,1142483.650000000139698,1188881.800000000279397,1131662.139999999897555,10386912.750000000000000
20181206,1094152.750000000000000,1015979.699999999953434,1196133.729999999981374,1251381.129999999888241,1115326.319999999832362,1251889.639999999897555,1135511.950000000186265,1188677.140000000130385,1119378.699999999953434,10368432.060000000521541
20181207,1050061.299999999813735,997629.500000000000000,1189109.060000000055879,1234581.100000000093132,1089042.560000000055879,1237169.440000000176951,1104057.280000000027940,1180490.739999999990687,1100717.320000000065193,10182859.300000000745058
20181210,1059557.919999999925494,978989.559999999939464,1192742.510000000009313,1245983.530000000027940,1100944.639999999897555,1244931.000000000000000,1093189.629999999888241,1192565.680000000167638,1109575.570000000065193,10218481.040000000968575
20181211,1064758.449999999953434,969428.140000000013970,1200009.409999999916181,1238831.709999999962747,1091274.199999999953434,1256707.159999999916181,1096019.320000000298023,1204435.960000000195578,1108512.579999999841675,10229977.930000001564622
20181212,1072220.080000000074506,975705.839999999850988,1192258.050000000046566,1238089.539999999804422,1094993.599999999860302,1258313.000000000000000,1110044.739999999990687,1171690.360000000102445,1099772.439999999944121,10213088.649999998509884
20181213,1073350.629999999888241,976671.640000000013970,1198313.800000000046566,1257993.189999999944121,1105159.959999999962747,1291232.719999999972060,1116237.250000000000000,1168415.800000000279397,1098000.789999999804422,10285376.779999999329448
20181214,1036042.479999999981374,968655.500000000000000,1195164.810000000055879,1236807.609999999869615,1086067.039999999804422,1293240.020000000018626,1086997.120000000111759,1168211.140000000130385,1084890.579999999841675,10156077.300000000745058
20181217,999412.660000000032596,956293.260000000009313,1170699.579999999841675,1219940.109999999869615,1068957.800000000046566,1241451.679999999934807,1058495.170000000158325,1145084.560000000055879,1072134.699999999953434,9932470.519999997690320
20181218,996247.119999999995343,951754.000000000000000,1170457.350000000093132,1212653.350000000093132,1051352.639999999897555,1237704.719999999972060,1037580.070000000065193,1138944.760000000009313,1075796.109999999869615,9872491.119999999180436
20181219,975445.000000000000000,939681.500000000000000,1160283.689999999944121,1208942.500000000000000,1040690.359999999986030,1227935.860000000102445,1026671.410000000149012,1143242.620000000111759,1069536.280000000027940,9792430.220000000670552
20181220,960747.849999999976717,931568.779999999911524,1151563.409999999916181,1171968.939999999944121,1040194.440000000060536,1217497.900000000139698,994396.540000000037253,1127074.480000000214204,1030914.309999999939464,9625927.650000002235174
20181221,946276.809999999939464,909548.539999999920838,1152290.100000000093132,1175140.030000000027940,1039698.520000000018626,1217364.080000000074506,977582.440000000060536,1124004.580000000074506,1029142.659999999916181,9571048.760000001639128
20181224,910777.540000000037253,889942.799999999930151,1113291.070000000065193,1149029.139999999897555,1005480.039999999920838,1169055.060000000055879,955437.040000000037253,1085733.160000000149012,1013670.249999999883585,9292417.099999999627471
20181226,960295.629999999888241,926836.359999999869615,1137029.609999999869615,1174330.389999999897555,1046145.479999999981374,1205587.920000000158325,998128.450000000069849,1114180.900000000139698,1067882.739999999990687,9630418.479999998584390
20181227,970244.469999999855645,937267.000000000000000,1151321.179999999934807,1185665.350000000093132,1062510.840000000083819,1231415.179999999934807,1008873.070000000065193,1128711.760000000009313,1081819.719999999972060,9757829.570000000298023
20181228,967078.930000000051223,935238.819999999948777,1143327.590000000083819,1184653.300000000046566,1065238.399999999906868,1220174.300000000046566,1009980.340000000083819,1131167.680000000167638,1088197.659999999916181,9745058.019999999552965
20181231,979741.089999999967404,942868.640000000013970,1146961.040000000037253,1198214.770000000018626,1082347.639999999897555,1230076.979999999981374,1021791.220000000088476,1150610.380000000121072,1100244.880000000121072,9852857.640000000596046
20190102,971148.910000000032596,959190.659999999916181,1136787.379999999888241,1188026.800000000046566,1072429.239999999990687,1221512.500000000000000,998702.590000000083819,1146517.180000000167638,1102488.969999999972060,9796805.230000000447035
20190103,928640.229999999981374,937943.059999999939464,1129762.709999999962747,1180200.280000000027940,1042426.079999999958090,1212948.020000000018626,971471.950000000069849,1150610.380000000121072,1096819.689999999944121,9650823.400000000372529
20190104,970470.579999999958090,972518.699999999953434,1152290.100000000093132,1203005.139999999897555,1066230.239999999990687,1237704.719999999972060,982831.720000000088476,1153475.620000000111759,1103670.070000000065193,9842197.890000000596046
20190107,977027.770000000018626,973194.760000000009313,1137271.840000000083819,1216094.320000000065193,1071933.319999999832362,1232753.380000000121072,984718.180000000167638,1160843.380000000121072,1116662.170000000158325,9870500.120000001043081
20190108,984941.619999999995343,971359.739999999874271,1150110.030000000027940,1218658.179999999934807,1076892.520000000018626,1237303.260000000009313,997882.390000000013970,1194816.940000000176951,1124457.429999999934807,9956423.109999999403954
