訓練日期,20120210 - 20120514
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10466528.359999999403954
真實報酬,466528.359999999403954

夏普值報酬,0.037952836000000
夏普值風險,0.021197855096397
夏普值,1.790409257323898

預期報酬,11599.679148881663423
風險,121981.886898832570296
趨勢值,0.095093455625113
找到最佳解世代,19
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](6),AXP[1](3),BA[2](24),DIS[6](11),HD[9](2),INTC[11](10),JNJ[12](20),KO[14](1),MMM[16](19),MRK[17](16),PFE[20](4),V[25](5),VZ[26](13),XOM[29](18),
Stock#,AAPL[0](6),AXP[1](3),BA[2](24),DIS[6](11),HD[9](2),INTC[11](10),JNJ[12](20),KO[14](1),MMM[16](19),MRK[17](16),PFE[20](4),V[25](5),VZ[26](13),XOM[29](18),
張數,10138,13654,9410,17199,15778,26592,11007,21014,8115,18723,33788,25410,18836,8415,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,62.900000000023283,44.260000000009313,66.000000000000000,10.530000000027940,14.939999999944121,23.880000000004657,40.770000000018626,19.140000000013970,2.700000000069849,2.550000000046566,6.679999999934807,9.900000000023283,23.880000000004657,19.800000000046566,
20120210,714690.520000000018626,707458.000000000000000,705345.500000000000000,712909.080000000074506,715231.679999999934807,710030.280000000027940,711092.969999999972060,713864.719999999972060,707143.800000000046566,709791.479999999981374,711244.079999999958090,723686.700000000069849,709952.719999999972060,705196.800000000046566,9957648.330000000074506
20120213,727971.300000000046566,711008.040000000037253,704404.500000000000000,718756.739999999990687,724698.479999999981374,710030.280000000027940,711973.530000000144355,719118.219999999972060,714366.150000000023283,713536.080000000074506,719691.079999999958090,716063.700000000069849,718240.560000000055879,710414.100000000093132,10020282.759999999776483
20120214,737906.540000000037253,709506.099999999976717,711085.599999999976717,715488.930000000051223,726749.619999999995343,712157.640000000013970,711203.040000000037253,723951.440000000060536,714041.550000000046566,715408.380000000004657,720704.719999999855645,732072.000000000000000,716545.319999999948777,712517.850000000093132,10059348.730000000447035
20120215,720874.699999999953434,703498.340000000083819,707792.099999999976717,709469.280000000027940,721227.319999999948777,706839.239999999990687,711643.320000000065193,718697.940000000060536,706088.850000000093132,711851.010000000125729,713271.359999999869615,731309.700000000069849,712589.760000000009313,707889.600000000093132,9983052.519999997690320
20120216,727363.020000000018626,721931.239999999990687,708356.699999999953434,714456.989999999990687,724698.479999999981374,713487.239999999990687,714615.210000000079162,723531.160000000032596,711282.450000000069849,714097.770000000018626,720704.719999999855645,722924.400000000023283,716733.679999999934807,718744.950000000069849,10052938.009999997913837
20120217,727261.640000000013970,721794.699999999953434,709109.500000000000000,718068.780000000027940,737005.319999999948777,727846.920000000041910,715385.699999999953434,725632.560000000055879,710552.100000000093132,721961.430000000051223,715974.400000000023283,730547.400000000023283,724456.440000000060536,720512.100000000093132,10106118.990000000223517
20120221,745712.800000000046566,721658.160000000032596,712591.199999999953434,714972.960000000079162,740318.699999999953434,722262.599999999976717,715936.050000000046566,723110.879999999888241,710876.700000000069849,713910.540000000037253,716988.039999999920838,725465.400000000023283,725021.520000000018626,728506.349999999976717,10117341.899999998509884
20120222,743076.920000000041910,720838.920000000041910,715790.599999999976717,709813.260000000125729,734796.399999999906868,710828.040000000037253,715495.770000000018626,727733.960000000079162,712175.100000000093132,715595.609999999986030,721718.359999999869615,739186.800000000046566,719747.440000000060536,731451.600000000093132,10118258.780000001192093
20120223,747943.160000000032596,719200.440000000060536,713814.500000000000000,713425.049999999930151,740792.040000000037253,708966.599999999976717,716596.469999999972060,726893.400000000139698,713311.200000000069849,721025.280000000027940,710568.319999999948777,739949.100000000093132,718240.560000000055879,732293.099999999976717,10123029.220000000670552
20120224,756661.839999999967404,728212.079999999958090,715790.599999999976717,710501.220000000088476,741265.379999999888241,710030.280000000027940,709551.989999999990687,725002.140000000013970,715745.700000000069849,715221.150000000139698,715636.519999999902211,746809.800000000046566,718428.920000000041910,734985.900000000023283,10143853.520000001415610
20120227,761528.080000000074506,739817.979999999981374,707792.099999999976717,716176.890000000013970,740476.479999999981374,715082.760000000009313,709441.920000000041910,723321.020000000018626,714690.750000000000000,714285.000000000000000,718339.559999999939464,742490.099999999976717,718240.560000000055879,734060.250000000116415,10155753.450000001117587
20120228,775518.520000000018626,734083.299999999930151,707321.599999999976717,721164.599999999976717,745209.879999999888241,724389.959999999962747,717477.030000000144355,723321.020000000018626,712256.250000000000000,718591.290000000037253,716988.039999999920838,755703.299999999930151,718617.280000000027940,733302.900000000023283,10203954.970000000670552
20120229,785656.520000000018626,722204.320000000065193,705345.500000000000000,722196.540000000037253,750574.399999999906868,714816.839999999967404,716376.329999999958090,734038.160000000032596,710876.700000000069849,714659.460000000079162,713947.119999999878928,739186.800000000046566,717863.839999999967404,727917.300000000046566,10175669.830000001937151
20120301,788596.540000000037253,731489.040000000037253,706568.799999999930151,729076.140000000013970,748838.819999999948777,714285.000000000000000,713624.579999999958090,731306.339999999967404,709984.050000000046566,707544.720000000088476,726110.799999999930151,744522.900000000023283,723891.359999999986030,730694.250000000000000,10206543.339999997988343
20120302,789610.339999999967404,723569.720000000088476,704875.000000000000000,728560.170000000041910,748049.919999999925494,715880.520000000018626,712964.160000000032596,726893.400000000139698,710227.500000000000000,710165.940000000060536,723407.759999999892898,737916.300000000046566,728412.000000000000000,726486.750000000000000,10187029.480000000447035
20120305,772274.359999999986030,723296.640000000013970,697629.299999999930151,734407.830000000074506,747734.359999999986030,705775.559999999939464,714505.140000000013970,727523.819999999948777,706494.600000000093132,719901.900000000139698,726448.679999999934807,738424.500000000000000,734627.880000000004657,732208.950000000069849,10181263.519999999552965
20120306,768016.400000000023283,706502.220000000088476,682855.599999999976717,722368.530000000027940,731956.359999999986030,707637.000000000000000,708341.219999999972060,722480.460000000079162,689371.950000000069849,700991.670000000041910,718677.439999999944121,729531.000000000000000,728788.719999999972060,722531.700000000069849,10040060.269999999552965
20120307,768624.680000000051223,713738.840000000083819,691889.199999999953434,718068.780000000027940,747734.359999999986030,715614.599999999976717,707790.869999999995343,722900.739999999990687,693591.750000000116415,698557.680000000051223,722056.239999999990687,734613.000000000000000,732179.199999999953434,722279.250000000000000,10089649.189999999478459
20120308,785048.240000000107102,723023.560000000055879,698005.700000000069849,722712.510000000125729,754518.899999999906868,713753.160000000032596,713844.719999999972060,727944.099999999976717,703654.349999999976717,700242.750000000000000,725097.159999999916181,749350.799999999930151,738771.799999999930151,713864.250000000000000,10169842.000000000000000
20120309,789610.339999999967404,726437.060000000055879,689724.900000000023283,726496.290000000037253,758936.739999999990687,719869.320000000065193,712633.949999999953434,730465.780000000027940,704384.700000000069849,703987.350000000093132,725772.919999999925494,744268.800000000046566,736511.479999999981374,709404.300000000046566,10178513.930000003427267
20120312,799545.580000000074506,720565.840000000083819,692642.000000000000000,728216.190000000060536,766667.959999999962747,717741.959999999962747,716596.469999999972060,737190.260000000009313,710389.800000000162981,713348.850000000093132,727800.199999999953434,740203.199999999953434,740655.400000000023283,719923.050000000046566,10231496.759999999776483
20120313,822862.979999999981374,740773.760000000009313,699323.099999999976717,756938.520000000018626,775345.859999999986030,731037.959999999962747,719128.079999999958090,738240.960000000079162,720208.950000000069849,716718.990000000107102,743680.559999999939464,745031.099999999976717,743669.159999999916181,730946.700000000069849,10383916.679999999701977
20120314,853986.640000000013970,766716.359999999986030,707980.300000000046566,747823.049999999930151,780552.599999999976717,730240.200000000069849,716376.329999999958090,737820.680000000051223,721182.750000000116415,715595.609999999986030,740977.519999999902211,741727.800000000046566,743480.799999999930151,723878.099999999976717,10428348.740000000223517
20120315,848106.600000000093132,774499.140000000013970,709862.300000000046566,747651.060000000055879,776292.540000000037253,737951.880000000004657,716266.259999999892898,739081.520000000018626,730352.700000000069849,712599.930000000051223,740301.759999999892898,743252.400000000023283,744799.319999999948777,724467.150000000023283,10445494.560000000521541
20120316,848106.600000000093132,772177.959999999962747,707698.000000000000000,742835.339999999967404,773925.839999999850988,737420.040000000037253,716816.610000000102445,737190.260000000009313,726782.100000000093132,712038.240000000107102,741315.400000000023283,741219.600000000093132,745364.400000000023283,727412.400000000023283,10430312.790000000968575
20120319,870612.960000000079162,782008.840000000083819,709580.000000000000000,747135.089999999967404,770454.679999999934807,737685.959999999962747,717807.239999999990687,739711.940000000060536,728242.800000000046566,709417.020000000018626,739288.119999999878928,754941.000000000000000,746871.280000000027940,732040.650000000023283,10485807.580000001937151
20120320,877709.559999999939464,777093.399999999906868,707133.400000000023283,743695.290000000037253,779132.579999999958090,737951.880000000004657,715055.489999999990687,741813.339999999967404,725077.950000000069849,706983.030000000027940,736585.079999999958090,740203.199999999953434,746494.560000000055879,728758.800000000046566,10463697.560000002384186
20120321,872640.559999999939464,779004.959999999962747,705910.100000000093132,744211.260000000125729,785601.559999999939464,738749.640000000013970,712854.090000000083819,747276.980000000097789,721507.350000000093132,705859.650000000139698,735571.439999999944121,741727.800000000046566,749319.960000000079162,723793.950000000069849,10464039.300000000745058
20120322,868078.460000000079162,782281.920000000041910,695653.200000000069849,744555.239999999990687,783865.979999999981374,741940.679999999934807,709551.989999999990687,750429.080000000074506,718748.250000000000000,703987.350000000093132,734219.919999999925494,745031.099999999976717,747059.639999999897555,718071.750000000000000,10443484.560000000521541
20120323,863313.600000000093132,781735.760000000009313,696123.699999999953434,750746.880000000004657,781657.059999999939464,741408.839999999967404,710542.619999999995343,751059.500000000000000,717855.599999999976717,711663.780000000027940,737260.839999999967404,754686.900000000023283,742539.000000000000000,719923.050000000046566,10460527.130000000819564
20120326,879128.880000000004657,800987.899999999906868,707509.800000000046566,763302.150000000023283,790966.079999999958090,749652.359999999986030,717366.960000000079162,755472.440000000060536,723211.500000000116415,723833.729999999981374,748748.759999999892898,762818.099999999976717,740843.760000000009313,732377.250000000000000,10596229.669999999925494
20120327,889976.540000000037253,794980.140000000013970,704028.099999999976717,759346.380000000004657,789546.059999999939464,749652.359999999986030,719898.570000000065193,755262.299999999930151,723373.800000000046566,726454.949999999953434,760236.679999999934807,761039.400000000023283,728223.639999999897555,728927.100000000093132,10590956.019999999552965
20120328,894538.640000000013970,806449.500000000000000,699511.299999999930151,748339.020000000018626,787494.919999999925494,739281.479999999981374,722320.110000000102445,763457.760000000009313,717774.450000000069849,717280.680000000051223,757195.759999999892898,758244.300000000046566,720689.239999999990687,722531.700000000069849,10555118.859999999403954
20120329,883285.460000000079162,790474.320000000065193,697158.799999999930151,739739.520000000018626,787494.919999999925494,748854.599999999976717,721439.550000000046566,775645.879999999888241,720371.250000000000000,711663.780000000027940,757533.640000000013970,755957.400000000023283,717110.400000000023283,724383.000000000000000,10531122.519999999552965
20120330,868382.600000000093132,790064.699999999953434,699887.700000000069849,752982.750000000000000,793806.119999999995343,747790.920000000041910,726062.489999999990687,777747.280000000027940,723941.849999999976717,718965.750000000000000,765304.879999999888241,749604.900000000023283,720124.159999999916181,729852.750000000116415,10564528.849999999627471
20120402,896059.339999999967404,792112.799999999930151,707415.700000000069849,754014.690000000060536,788757.160000000032596,754704.839999999967404,728814.239999999990687,779008.119999999995343,724104.150000000139698,721025.280000000027940,763277.599999999976717,755957.400000000023283,725586.600000000093132,732713.849999999976717,10623561.770000001415610
20120403,911469.100000000093132,797301.320000000065193,702522.500000000000000,744555.239999999990687,788914.939999999944121,747525.000000000000000,725181.929999999934807,775015.460000000079162,720533.550000000162981,724957.109999999986030,761588.199999999953434,764596.800000000046566,724456.440000000060536,722279.250000000000000,10610906.839999999850988
20120404,904271.119999999995343,783374.239999999990687,693300.700000000069849,738363.599999999976717,786548.239999999990687,742738.439999999944121,719788.500000000000000,771863.359999999986030,712824.300000000046566,728514.479999999981374,756520.000000000000000,755957.400000000023283,723137.920000000041910,715126.500000000116415,10532338.800000000745058
20120405,917856.040000000037253,793341.660000000032596,692547.900000000023283,740943.449999999953434,798697.299999999930151,746461.320000000065193,719238.150000000023283,772073.500000000000000,708198.750000000000000,727952.790000000037253,754830.599999999976717,768662.400000000023283,709387.639999999897555,713780.099999999976717,10563981.599999999627471
20120409,921505.719999999972060,780506.899999999906868,681632.300000000046566,724260.420000000041910,798066.179999999934807,738217.800000000046566,714615.210000000079162,765769.299999999930151,700570.650000000023283,725144.339999999967404,745032.079999999958090,759260.699999999953434,705620.440000000060536,705870.000000000000000,10466082.039999999105930
20120410,910252.540000000037253,767125.979999999981374,664412.000000000000000,704997.540000000037253,778817.019999999902211,729974.280000000027940,706690.170000000041910,756733.280000000027940,686369.400000000023283,719901.900000000139698,743004.799999999930151,741727.800000000046566,693188.679999999934807,691480.350000000093132,10294685.740000000223517
20120411,907008.380000000004657,777639.560000000055879,675421.699999999953434,711533.160000000032596,784970.439999999944121,740611.080000000074506,705919.679999999934807,757783.980000000097789,692617.950000000069849,720463.589999999967404,741653.279999999911524,745793.400000000023283,704113.560000000055879,695940.300000000046566,10361480.060000002384186
20120412,902040.760000000009313,792522.420000000041910,691701.000000000000000,724948.380000000004657,798855.079999999958090,757364.040000000037253,706139.820000000065193,758834.680000000051223,704871.600000000093132,716531.760000000125729,740639.640000000013970,768916.500000000116415,707315.679999999934807,703513.800000000046566,10474205.160000000149012
20120413,876594.380000000004657,782145.380000000004657,686243.200000000069849,719788.680000000051223,804061.819999999948777,746993.160000000032596,699425.550000000046566,755892.719999999972060,695377.050000000046566,707357.490000000107102,738274.479999999981374,782383.800000000046566,701853.239999999990687,698044.050000000046566,10394445.000000001862645
