訓練日期,20100305 - 20100607
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9710297.349999999627471
真實報酬,-289702.650000000372529

夏普值報酬,-0.037670265000000
夏普值風險,0.031681869819291
夏普值,-1.189016469509720

預期報酬,10482.443534511285179
風險,420351.820146709040273
趨勢值,0.024937309729866
找到最佳解世代,61
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),AXP[1](9),CAT[3](5),HD[9](3),IBM[10](12),INTC[11](7),JNJ[12](18),MCD[15](2),MMM[16](11),PG[21](16),UTX[24](13),WBA[27](21),WMT[28](20),
Stock#,AAPL[0](1),AXP[1](9),CAT[3](5),HD[9](3),IBM[10](12),INTC[11](7),JNJ[12](18),MCD[15](2),MMM[16](11),PG[21](16),UTX[24](13),WBA[27](21),WMT[28](20),
張數,25555,19779,13160,24466,6070,37468,12100,12127,9494,12081,10931,21978,14255,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,24.500000000000000,24.689999999944121,28.000000000000000,18.959999999962747,39.599999999976717,11.959999999962747,33.000000000000000,14.390000000013970,26.119999999995343,32.729999999981374,15.529999999911524,0.000000000000000,30.199999999953434,
20100305,799384.900000000023283,795140.489999999990687,779494.799999999930151,778037.760000000009313,772447.099999999976717,778971.679999999934807,774917.000000000116415,772140.479999999981374,782711.479999999981374,769471.619999999995343,778849.279999999911524,769010.220000000088476,771795.899999999906868,10122382.710000002756715
20100308,799896.000000000000000,785448.779999999911524,775283.599999999976717,781952.319999999948777,767348.299999999930151,778222.319999999948777,776853.000000000000000,789724.630000000121072,771983.260000000009313,763431.119999999995343,773493.089999999967404,763515.720000000088476,771938.449999999953434,10099100.589999999850988
20100309,814206.799999999930151,785250.989999999990687,778836.800000000046566,775101.839999999967404,762128.099999999976717,784591.880000000004657,777700.000000000000000,789482.089999999967404,778439.179999999934807,764760.029999999911524,784642.709999999962747,755823.420000000041910,770655.500000000000000,10121629.339999999850988
20100310,820851.099999999976717,785646.569999999948777,773572.800000000046566,775835.819999999948777,762553.000000000000000,793958.880000000004657,777942.000000000116415,787541.770000000018626,774356.760000000009313,761256.539999999920838,784752.020000000018626,753186.060000000055879,764525.849999999976717,10115989.169999999925494
20100311,823151.050000000046566,793360.379999999888241,775152.000000000000000,786111.540000000037253,774571.599999999976717,796206.959999999962747,777095.000000000000000,790816.059999999939464,771508.560000000055879,763189.500000000000000,787484.770000000018626,745933.319999999948777,769372.549999999930151,10153963.289999999105930
20100312,827239.849999999976717,806216.729999999864958,794365.599999999976717,793940.660000000032596,776635.399999999906868,796956.319999999948777,776611.000000000116415,794696.700000000069849,772647.839999999967404,765001.650000000023283,781909.959999999962747,745713.540000000037253,768374.699999999953434,10200319.949999999254942
20100315,817273.400000000023283,805029.989999999990687,782653.199999999953434,799812.499999999883585,775967.699999999953434,793209.520000000018626,781329.999999999883585,799547.500000000116415,771508.560000000055879,769592.430000000051223,785298.569999999948777,750988.260000000009313,790042.299999999930151,10222263.930000001564622
20100316,819317.800000000046566,809381.369999999995343,782390.000000000000000,796387.259999999892898,781066.499999999883585,824682.640000000013970,780846.000000000000000,801245.279999999911524,775306.159999999916181,767538.660000000032596,791419.929999999934807,758460.779999999911524,798167.650000000023283,10286220.029999999329448
