訓練日期,20110607 - 20110907
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10078815.599999999627471
真實報酬,78815.599999999627471

夏普值報酬,-0.000818440000000
夏普值風險,0.033547212706605
夏普值,-0.024396661718453

預期報酬,2925.410473495958740
風險,361678.793727149546612
趨勢值,0.008088421340243
找到最佳解世代,51
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
CSCO[4](16),DIS[6](28),GS[8](24),HD[9](15),IBM[10](7),JNJ[12](11),KO[14](3),MCD[15](1),MSFT[18](5),NKE[19](6),V[25](4),VZ[26](8),
Stock#,CSCO[4](16),DIS[6](28),GS[8](24),HD[9](15),IBM[10](7),JNJ[12](11),KO[14](3),MCD[15](1),MSFT[18](5),NKE[19](6),V[25](4),VZ[26](8),
張數,52115,21150,6223,24302,5058,12616,25476,10326,34707,41792,42625,23667,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,14.150000000023283,23.000000000000000,73.299999999930151,17.420000000041910,27.500000000000000,46.200000000069849,13.039999999920838,24.799999999930151,17.929999999934807,0.519999999902211,14.250000000000000,17.929999999934807,
20110607,808317.800000000046566,832275.500000000000000,827670.069999999948777,834305.079999999958090,827971.520000000018626,826394.200000000069849,830530.640000000013970,837876.439999999944121,835068.349999999860302,855900.679999999934807,850383.000000000000000,837356.390000000013970,10004053.669999999925494
20110608,797373.650000000023283,829737.499999999883585,818957.869999999995343,828715.620000000111759,831259.219999999972060,834468.440000000060536,833078.239999999990687,837979.699999999953434,830903.510000000009313,836676.359999999869615,817561.750000000000000,849663.229999999864958,9946379.090000001713634
20110609,797894.800000000046566,832698.500000000000000,831030.489999999990687,834305.079999999958090,833788.219999999972060,842542.680000000051223,839447.239999999990687,839115.559999999939464,831597.649999999906868,842945.159999999916181,814578.000000000000000,844219.819999999948777,9984167.199999999254942
20110610,787992.949999999953434,814298.000000000000000,845903.459999999846332,813405.359999999986030,825391.940000000060536,833837.640000000130385,833078.239999999990687,829822.159999999916181,822920.899999999906868,832497.159999999916181,795823.000000000116415,832859.659999999916181,9867834.470000000670552
20110613,784866.050000000046566,811548.500000000000000,855922.489999999990687,814377.439999999944121,825341.359999999986030,840145.640000000130385,829511.599999999976717,833642.780000000027940,834374.209999999962747,841273.479999999864958,797954.250000000000000,843273.140000000013970,9912234.940000001341105
20110614,785908.349999999976717,816201.500000000116415,853246.599999999860302,844511.920000000041910,830146.460000000079162,846579.800000000046566,835880.599999999976717,841284.019999999902211,840621.469999999855645,859244.039999999804422,809036.750000000000000,842089.789999999920838,10004755.299999997019768
20110615,773400.750000000000000,811971.500000000000000,839244.849999999860302,823369.180000000051223,821092.640000000013970,834720.760000000009313,827728.280000000027940,838909.039999999920838,823962.109999999869615,840019.719999999972060,797528.000000000000000,831202.969999999855645,9863153.799999998882413
20110616,784344.900000000023283,803934.500000000000000,846961.369999999995343,838436.420000000041910,822812.359999999986030,836739.319999999948777,834097.280000000027940,844794.859999999986030,832985.929999999934807,838765.959999999962747,797954.250000000000000,834043.010000000009313,9915874.160000000149012
20110617,780175.700000000069849,804569.000000000000000,854055.589999999850988,839165.480000000097789,831765.020000000018626,836360.840000000200234,835880.599999999976717,852126.319999999832362,842009.750000000000000,847542.279999999911524,793265.500000000000000,840433.099999999860302,9957353.179999997839332
20110620,789035.250000000000000,808587.499999999883585,841049.519999999902211,844997.960000000079162,834698.660000000032596,839136.360000000102445,838682.959999999962747,853881.739999999874271,849298.219999999855645,869692.039999999804422,789003.000000000116415,843746.479999999864958,10001813.690000001341105
20110621,808317.800000000046566,820220.000000000000000,846152.380000000004657,861037.280000000027940,840768.260000000009313,838884.040000000037253,844032.920000000041910,855017.599999999860302,859363.250000000000000,883065.479999999864958,799233.000000000000000,851793.260000000009313,10107889.269999999552965
20110622,800500.550000000046566,810279.500000000000000,837191.260000000009313,848886.280000000027940,838036.940000000060536,833585.319999999948777,845816.239999999990687,853468.699999999953434,855545.479999999864958,856318.599999999860302,795823.000000000116415,850609.909999999916181,10026065.779999999329448
20110623,806233.200000000069849,799916.000000000000000,823749.579999999958090,866383.719999999972060,840262.460000000079162,828538.920000000041910,827728.280000000027940,849751.339999999967404,854851.339999999850988,858826.119999999878928,802642.999999999883585,853213.279999999911524,10012101.239999998360872
20110624,778091.099999999976717,794840.000000000000000,814726.229999999864958,852531.579999999958090,834951.559999999939464,820843.160000000149012,827218.759999999892898,845104.640000000013970,843398.029999999911524,848378.119999999878928,781756.750000000000000,852029.929999999934807,9893873.859999999403954
20110627,784344.900000000023283,805203.500000000000000,813481.630000000004657,855447.820000000065193,847849.460000000079162,823240.200000000069849,830530.640000000013970,850061.119999999878928,874634.329999999958090,852975.239999999874271,787298.000000000000000,861496.729999999864958,9986567.570000000298023
20110628,788514.100000000093132,802031.000000000000000,804458.279999999911524,876347.540000000153668,859938.079999999958090,831566.760000000009313,841230.560000000055879,871022.899999999906868,895458.529999999911524,939484.679999999934807,802216.750000000000000,865520.119999999995343,10177793.300000000745058
20110629,799458.250000000000000,811125.500000000000000,824807.489999999990687,874403.380000000004657,862618.819999999948777,836613.160000000149012,849637.640000000013970,873294.619999999878928,889211.270000000018626,938230.919999999925494,922419.250000000000000,869070.169999999925494,10350894.469999998807907
20110630,813529.300000000046566,825719.000000000000000,828292.369999999995343,880235.859999999986030,867727.400000000023283,839262.520000000018626,857280.439999999827705,870713.119999999878928,902399.929999999934807,940320.519999999902211,898123.000000000000000,881140.339999999850988,10404747.799999998882413
20110701,826558.050000000046566,840101.000000000000000,850446.250000000000000,892629.880000000004657,882850.819999999948777,849103.000000000000000,867470.839999999850988,884446.699999999953434,903094.069999999948777,959544.839999999967404,937337.999999999883585,894630.529999999911524,10588217.980000000447035
20110705,816656.200000000069849,845388.500000000000000,837066.799999999930151,889227.600000000093132,887352.440000000060536,853140.120000000111759,870018.439999999827705,884343.439999999944121,903441.140000000013970,958709.000000000000000,941174.249999999883585,895103.869999999995343,10581625.799999998882413
20110706,810923.550000000046566,836928.500000000000000,833270.769999999902211,888741.560000000055879,898884.680000000051223,852257.000000000000000,873075.560000000055879,886615.159999999916181,913853.239999999874271,964977.799999999930151,939895.500000000000000,888477.109999999869615,10587904.429999999701977
20110707,828642.650000000023283,840524.000000000000000,840240.529999999911524,900406.520000000018626,892663.339999999967404,856924.920000000041910,875877.920000000041910,888680.359999999986030,929124.319999999948777,978769.159999999916181,960781.750000000000000,885637.069999999948777,10678276.540000000968575
20110708,820304.250000000000000,844119.499999999883585,834453.140000000013970,889956.660000000032596,892713.920000000041910,852509.319999999948777,874858.880000000004657,883930.399999999906868,934330.369999999995343,974172.039999999804422,956093.000000000000000,887057.089999999850988,10644502.570000000298023
20110711,804148.599999999976717,829526.000000000000000,821633.760000000009313,883638.140000000013970,885126.920000000041910,848724.520000000018626,867470.839999999850988,881348.899999999906868,924265.339999999850988,955365.639999999897555,936911.750000000000000,878536.969999999855645,10516701.380000002682209
20110712,813008.150000000023283,828045.500000000000000,810992.429999999934807,877562.640000000013970,880372.400000000023283,845696.680000000051223,864158.959999999962747,877631.539999999920838,921141.709999999962747,953276.039999999804422,934780.500000000000000,877826.959999999962747,10484497.509999997913837
20110713,811444.700000000069849,836717.000000000000000,808565.459999999846332,878048.680000000051223,881738.059999999939464,853266.280000000027940,866961.319999999948777,877321.759999999892898,924265.339999999850988,961634.439999999944121,945863.000000000000000,874276.909999999916181,10520106.950000001117587
20110714,804148.599999999976717,837140.000000000000000,808378.769999999902211,873917.340000000083819,881282.839999999967404,853644.760000000009313,862120.880000000004657,886098.859999999986030,918712.219999999855645,960798.599999999860302,937337.999999999883585,872856.890000000013970,10496441.759999999776483
20110715,812487.000000000000000,830583.500000000116415,810058.979999999864958,872702.239999999990687,887908.819999999948777,850995.400000000139698,860337.560000000055879,882691.280000000027940,929471.390000000013970,958291.079999999841675,945863.000000000000000,871436.869999999995343,10512831.119999999180436
20110718,804669.750000000000000,819585.500000000000000,804893.890000000013970,867355.799999999930151,886593.739999999990687,846453.640000000130385,854987.599999999976717,881865.199999999953434,922877.059999999939464,947007.239999999874271,938616.750000000000000,868833.500000000000000,10443743.669999999925494
20110719,816135.050000000046566,836294.000000000000000,799666.569999999948777,877562.640000000013970,936819.680000000051223,841785.720000000088476,883011.199999999837019,890229.259999999892898,955848.709999999962747,948261.000000000000000,950551.750000000000000,874986.919999999925494,10611156.500000000000000
20110720,824473.450000000069849,832487.000000000000000,826176.549999999930151,884853.239999999990687,928929.200000000069849,835730.040000000037253,877406.479999999864958,890848.819999999832362,939189.349999999860302,946589.319999999832362,944584.250000000000000,883507.039999999920838,10614778.739999998360872
20110721,852094.400000000139698,861674.000000000000000,843787.640000000013970,892386.859999999986030,935251.700000000069849,838631.720000000088476,883265.959999999962747,893636.839999999967404,940577.630000000004657,959544.839999999967404,938190.500000000116415,889187.119999999995343,10728233.209999999031425
