訓練日期,20120815 - 20121116
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10209411.759999997913837
真實報酬,209411.759999997913837

夏普值報酬,0.012241176000000
夏普值風險,0.022506132211178
夏普值,0.543904029583547

預期報酬,11815.724418939833413
風險,235827.021029169205576
趨勢值,0.050103352734453
找到最佳解世代,72
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](27),GS[8](4),HD[9](1),JPM[13](5),MCD[15](15),MSFT[18](28),PFE[20](8),TRV[22](3),UNH[23](6),UTX[24](16),V[25](2),
Stock#,CAT[3](27),GS[8](4),HD[9](1),JPM[13](5),MCD[15](15),MSFT[18](28),PFE[20](8),TRV[22](3),UNH[23](6),UTX[24](16),V[25](2),
張數,10345,8803,16616,24503,10316,30172,37910,14307,17492,11687,27997,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,74.849999999976717,92.219999999972060,28.640000000013970,28.699999999953434,44.079999999958090,7.640000000013970,8.199999999953434,23.219999999972060,30.760000000009313,75.140000000013970,27.410000000032596,
20120815,906400.299999999930151,907945.609999999986030,913908.640000000013970,908354.909999999916181,905892.040000000037253,911202.040000000037253,911364.599999999976717,912094.469999999972060,923958.200000000069849,911544.269999999902211,903490.600000000093132,10016165.679999999701977
20120816,916538.400000000023283,911114.689999999944121,935675.600000000093132,909090.000000000000000,902281.439999999944121,928701.800000000046566,910606.399999999906868,916100.429999999934807,933928.640000000013970,920660.130000000004657,907690.150000000023283,10092397.679999999701977
20120817,931228.300000000046566,912083.019999999902211,942654.319999999948777,906149.639999999897555,901249.839999999967404,932322.439999999944121,901887.099999999976717,931838.129999999888241,929380.720000000088476,939359.330000000074506,900690.900000000023283,10128853.739999998360872
20120820,935676.649999999906868,926872.059999999939464,939995.760000000009313,915705.809999999939464,909605.799999999930151,927494.919999999925494,906436.299999999930151,939134.699999999953434,930605.160000000032596,935970.099999999976717,897051.290000000037253,10164558.550000000745058
20120821,934124.900000000023283,927224.179999999934807,935841.760000000009313,932122.819999999948777,913216.399999999906868,929305.239999999990687,898096.099999999976717,933268.830000000074506,934453.400000000023283,926503.630000000004657,892571.770000000018626,10156739.029999999329448
20120822,917883.250000000000000,921502.229999999981374,941158.880000000004657,926977.189999999944121,913525.879999999888241,921460.520000000018626,898475.199999999953434,936416.369999999995343,944074.000000000000000,931061.559999999939464,896771.320000000065193,10149316.400000000372529
20120823,906607.199999999953434,916308.459999999962747,939663.439999999944121,912275.389999999897555,910431.079999999958090,913012.360000000102445,899991.599999999860302,927116.819999999948777,943199.400000000023283,925685.540000000037253,890052.040000000037253,10084353.329999998211861
20120824,904952.000000000000000,924055.099999999860302,946476.000000000000000,910805.209999999962747,917342.799999999930151,922063.959999999962747,910227.300000000046566,935701.020000000018626,947397.479999999981374,935970.099999999976717,886692.400000000023283,10141693.369999999180436
20120827,896262.199999999953434,925463.579999999958090,941657.359999999986030,912275.389999999897555,923738.719999999972060,925986.320000000065193,905678.099999999976717,932553.480000000097789,955268.880000000004657,941579.859999999986030,893691.650000000023283,10154165.539999999105930
20120828,889848.300000000046566,924671.309999999939464,939331.119999999995343,909825.089999999967404,919612.319999999948777,924176.000000000000000,904161.699999999953434,927689.099999999976717,950371.119999999995343,942514.820000000065193,891731.860000000102445,10123942.739999998360872
20120829,890675.900000000023283,929072.809999999939464,944482.080000000074506,913990.599999999860302,924873.479999999981374,924779.439999999944121,908331.799999999930151,927116.819999999948777,955793.640000000013970,937021.930000000051223,896211.380000000004657,10152359.879999998956919
20120830,873917.000000000000000,921942.380000000004657,940826.559999999939464,904189.399999999906868,915073.280000000027940,914822.680000000051223,903782.599999999976717,922681.649999999906868,956668.239999999990687,924049.359999999986030,886972.369999999995343,10064935.519999997690320
20120831,882813.699999999953434,930745.380000000004657,942986.640000000013970,910070.119999999995343,923222.919999999925494,929908.680000000051223,904540.799999999930151,926258.399999999906868,949846.359999999986030,933282.089999999967404,897611.230000000097789,10131296.320000000298023
20120904,855192.549999999930151,936819.449999999953434,943651.280000000027940,906884.729999999864958,918683.879999999888241,916934.720000000088476,901508.000000000000000,924827.699999999953434,954394.280000000027940,915751.589999999967404,899571.020000000135042,10074229.200000001117587
20120905,856123.599999999976717,967894.039999999920838,939497.280000000027940,909335.029999999911524,918787.040000000037253,916934.720000000088476,906815.400000000023283,923253.929999999934807,949496.520000000018626,912011.750000000000000,893131.709999999962747,10093291.019999999552965
20120906,877227.400000000023283,999584.840000000083819,957941.040000000037253,948049.769999999902211,935395.799999999930151,945899.840000000083819,922737.599999999976717,934842.599999999976717,960166.640000000013970,928022.940000000060536,906570.270000000135042,10316448.739999998360872
20120907,911469.349999999860302,1024145.209999999962747,951460.799999999930151,962996.599999999860302,939006.399999999906868,933831.040000000037253,918946.599999999860302,932982.689999999827705,959991.720000000088476,928139.809999999939464,907970.119999999995343,10370950.339999997988343
20120910,901124.349999999860302,1009620.260000000009313,952125.439999999944121,949764.979999999864958,941894.879999999888241,926891.479999999981374,913639.199999999953434,934413.390000000013970,940050.840000000083819,918790.209999999962747,900690.900000000023283,10289015.930000001564622
20120911,916641.849999999860302,1027314.289999999920838,942488.160000000032596,970347.500000000000000,940863.280000000027940,929003.520000000018626,916292.900000000023283,957876.869999999995343,923608.359999999986030,920543.260000000125729,920288.799999999930151,10365278.790000000968575
20120912,922021.250000000000000,1040958.939999999944121,947971.439999999944121,978188.459999999962747,936943.199999999837019,928701.800000000046566,912501.899999999906868,966318.000000000116415,923958.200000000069849,921361.349999999976717,934287.299999999930151,10413221.839999999850988
20120913,938159.450000000069849,1062350.229999999981374,968741.439999999944121,1014452.899999999906868,944680.199999999837019,933529.320000000065193,919325.699999999953434,979337.369999999995343,942674.640000000013970,941229.250000000000000,944646.190000000060536,10589136.689999999478459
20120914,963918.500000000000000,1068424.300000000046566,988016.000000000000000,1018618.409999999916181,946021.280000000027940,941675.760000000009313,902266.199999999953434,981197.279999999911524,948971.760000000009313,963668.290000000037253,939606.730000000097789,10662394.510000001639128
20120917,951711.399999999906868,1055571.919999999925494,978877.199999999953434,1009307.269999999902211,950560.319999999948777,941675.760000000009313,910606.399999999906868,979766.580000000074506,952994.919999999925494,960162.190000000060536,937087.000000000000000,10628330.959999999031425
20120918,962883.999999999883585,1055395.859999999869615,978046.400000000023283,1011022.479999999864958,960257.359999999986030,940770.599999999976717,910227.300000000046566,979480.439999999827705,964364.720000000088476,952331.900000000023283,935687.150000000023283,10650478.209999999031425
20120919,971884.149999999906868,1047825.279999999911524,988182.160000000032596,1012982.720000000088476,957678.359999999986030,936848.239999999990687,915913.799999999930151,976189.830000000074506,961216.160000000032596,955136.780000000027940,943526.310000000055879,10667393.789999999105930
20120920,957401.150000000023283,1035589.109999999986030,985025.119999999995343,1010777.449999999953434,960979.479999999981374,948917.040000000037253,925391.299999999930151,979337.369999999995343,961041.239999999990687,945787.180000000051223,942126.459999999962747,10652382.899999998509884
20120921,948918.250000000000000,1027578.380000000004657,987351.359999999986030,1001711.339999999967404,966756.439999999944121,941072.320000000065193,929561.399999999906868,981626.489999999990687,982731.319999999948777,943800.390000000013970,944926.160000000032596,10656043.850000001490116
20120924,940125.000000000000000,1026522.019999999902211,986852.880000000004657,1010287.389999999897555,966756.439999999944121,928701.800000000046566,938280.699999999953434,978908.160000000032596,979232.919999999925494,935385.750000000000000,936247.089999999967404,10627310.150000000372529
20120925,900193.300000000046566,999232.719999999972060,992336.160000000032596,993625.349999999860302,957987.839999999967404,916934.720000000088476,941692.599999999976717,979766.580000000074506,983081.160000000032596,920660.130000000004657,941846.489999999990687,10527367.050000000745058
20120926,899572.599999999976717,995535.459999999962747,983197.359999999986030,986029.420000000041910,961495.280000000027940,910296.880000000121072,941313.499999999883585,969751.679999999934807,975734.520000000018626,917855.250000000000000,927568.020000000135042,10468359.969999998807907
20120927,899262.250000000000000,1014461.910000000032596,994994.720000000088476,996810.739999999990687,962217.399999999906868,909995.160000000032596,946241.799999999930151,978765.089999999967404,983780.840000000083819,915751.589999999967404,937366.969999999972060,10539658.470000000670552
20120928,890158.650000000023283,1000817.260000000009313,1003136.559999999939464,991910.139999999897555,946537.079999999958090,897926.360000000102445,942071.699999999953434,976619.040000000037253,969262.479999999981374,915050.370000000111759,939886.700000000069849,10473386.339999999850988
20121001,884262.000000000000000,1028810.799999999930151,1006459.760000000009313,1003916.609999999869615,949012.919999999925494,889779.919999999925494,949274.599999999976717,988207.709999999846332,987629.080000000074506,915751.589999999967404,956964.869999999995343,10560079.859999997541308
20121002,884262.000000000000000,1032243.969999999972060,1002471.920000000041910,1002691.459999999962747,938077.960000000079162,894909.160000000032596,952307.400000000023283,982914.119999999995343,993576.359999999986030,916219.070000000065193,951925.410000000032596,10551608.830000001937151
20121003,882296.449999999953434,1038053.949999999953434,1026398.960000000079162,1001221.279999999911524,932094.679999999934807,900943.559999999939464,959889.399999999906868,987349.290000000037253,994625.880000000004657,918205.859999999986030,969563.520000000135042,10610652.829999998211861
20121004,889331.049999999930151,1055571.919999999925494,1025900.480000000097789,1024744.159999999916181,939109.559999999939464,906072.800000000046566,961026.699999999953434,991212.179999999934807,1014042.000000000000000,917855.250000000000000,977682.650000000023283,10702558.749999998137355
20121005,883848.200000000069849,1050378.149999999906868,1050159.839999999850988,1022048.829999999958090,938800.079999999958090,900641.840000000083819,967471.399999999906868,995218.140000000013970,999348.720000000088476,917621.510000000125729,981882.200000000069849,10707428.909999998286366
20121008,883951.649999999906868,1051698.599999999860302,1028226.720000000088476,1020823.679999999818392,944370.719999999972060,898529.800000000046566,962922.199999999953434,994932.000000000116415,1007569.960000000079162,915985.330000000074506,970963.369999999995343,10679984.029999999329448
20121009,876813.599999999976717,1053195.109999999869615,1012773.840000000083819,1013962.839999999967404,950250.839999999967404,883443.800000000046566,959510.299999999930151,991784.459999999846332,1005296.000000000000000,903830.849999999976717,957244.839999999967404,10608116.479999998584390
