訓練日期,20091030 - 20100203
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11095774.740000002086163
真實報酬,1095774.740000002086163

夏普值報酬,0.100877474000000
夏普值風險,0.035722409529635
夏普值,2.823926922295422

預期報酬,23185.777740244502638
風險,230590.689993605978088
趨勢值,0.100549496343011
找到最佳解世代,89
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](1),CVX[5](25),DIS[6](13),HD[9](7),INTC[11](14),MRK[17](3),PFE[20](5),PG[21](18),UNH[23](2),UTX[24](9),
Stock#,BA[2](1),CVX[5](25),DIS[6](13),HD[9](7),INTC[11](14),MRK[17](3),PFE[20](5),PG[21](18),UNH[23](2),UTX[24](9),
張數,20487,12828,35536,38595,52029,31938,56980,16795,37778,15728,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,29.529999999911524,57.399999999906868,16.959999999962747,3.550000000046566,2.620000000111759,21.220000000088476,1.000000000000000,25.700000000069849,16.340000000083819,13.760000000009313,
20091030,979308.129999999888241,981912.520000000018626,972637.280000000027940,968352.100000000093132,994276.810000000055879,987863.560000000055879,970370.400000000023283,974135.700000000069849,980355.440000000060536,966499.360000000102445,9775711.300000000745058
20091102,988937.020000000018626,983195.319999999948777,974058.719999999972060,967194.250000000000000,989073.910000000149012,998403.100000000093132,965812.000000000000000,990090.950000000069849,998111.100000000093132,985530.239999999990687,9840406.610000001266599
20091103,985454.229999999981374,983965.000000000000000,981521.280000000027940,964878.550000000046566,962539.120000000111759,979559.680000000167638,962393.200000000069849,983876.800000000046566,1016622.320000000065193,994023.360000000102445,9814833.539999999105930
20091104,984839.619999999878928,978577.239999999874271,996091.040000000037253,963334.750000000116415,967221.730000000097789,1042477.540000000153668,964672.400000000023283,991434.550000000046566,1052889.200000000186265,1000000.000000000000000,9941538.070000000298023
20091105,1019667.520000000018626,990892.119999999878928,1030560.959999999962747,989193.400000000023283,982830.430000000167638,1044713.200000000069849,969800.599999999976717,1015619.350000000093132,1065733.720000000204891,1029411.360000000102445,10138422.660000000149012
20091106,1017823.689999999944121,994612.239999999874271,1014925.119999999878928,1006561.150000000023283,984911.590000000083819,1040880.640000000246800,966381.800000000046566,1025192.500000000000000,1083111.600000000093132,1023434.719999999855645,10157835.050000000745058
20091109,1052036.979999999981374,996279.879999999888241,1030560.959999999962747,1034735.500000000000000,1012486.960000000195578,1067708.560000000055879,993162.400000000023283,1038796.450000000069849,1100489.479999999981374,1049543.200000000186265,10375800.370000001043081
20091110,1030935.369999999878928,1005002.919999999925494,1034825.280000000027940,1035121.450000000069849,1014568.120000000111759,1073457.399999999906868,1000569.799999999930151,1038964.400000000023283,1094445.000000000000000,1049543.200000000186265,10377432.940000001341105
20091111,1038310.689999999944121,1007183.679999999934807,1040866.399999999906868,1054033.000000000000000,1032257.980000000097789,1061001.580000000074506,1003988.600000000093132,1045178.550000000046566,1109556.200000000186265,1053317.919999999925494,10445694.599999999627471
20091112,1030115.889999999897555,993201.159999999916181,1032337.760000000009313,1051331.350000000093132,1023933.340000000083819,1053336.459999999962747,1003988.600000000093132,1029559.200000000069849,1086511.620000000111759,1049071.360000000102445,10353386.740000000223517
20091113,1038310.689999999944121,999871.719999999855645,1081732.800000000046566,1055190.850000000093132,1031217.400000000139698,1057169.020000000018626,1002279.199999999953434,1034765.650000000023283,1098600.580000000074506,1069360.479999999981374,10468498.390000000596046
20091116,1075187.290000000037253,1008466.479999999864958,1090972.159999999916181,1067155.300000000046566,1052549.290000000037253,1079845.000000000000000,1022222.200000000069849,1045850.350000000093132,1101245.040000000037253,1090593.280000000027940,10634086.389999998733401
20091117,1076211.640000000130385,1011032.079999999958090,1097013.280000000027940,1041682.599999999976717,1057231.900000000139698,1095175.240000000223517,1022222.200000000069849,1046522.150000000139698,1094445.000000000000000,1099872.800000000046566,10641408.890000000596046
20091118,1065763.270000000018626,1012443.159999999916181,1089906.080000000074506,1053261.100000000093132,1046826.100000000209548,1122322.540000000037253,1036467.200000000069849,1048201.650000000023283,1090667.200000000186265,1082257.439999999944121,10648115.740000000223517
20091119,1053675.939999999944121,992174.919999999925494,1073559.520000000018626,1046314.000000000000000,1004162.320000000181608,1128390.760000000242144,1031908.799999999930151,1043834.950000000069849,1081600.479999999981374,1069675.040000000037253,10525296.730000000447035
20091120,1059207.430000000167638,984862.959999999846332,1066452.320000000065193,1049015.650000000139698,1001040.580000000074506,1164480.700000000186265,1046153.799999999930151,1037956.700000000069849,1078956.020000000018626,1069045.919999999925494,10557172.080000000074506
20091123,1078260.339999999850988,1010134.119999999878928,1083154.239999999990687,1061752.000000000000000,1009365.220000000088476,1163203.180000000167638,1055840.400000000139698,1053576.049999999813735,1098600.580000000074506,1080999.200000000186265,10694885.330000001937151
20091124,1064738.919999999925494,1013854.239999999874271,1074270.239999999990687,1063681.750000000000000,1008844.930000000167638,1156815.580000000074506,1043304.799999999930151,1054751.700000000186265,1116734.020000000018626,1073764.319999999832362,10670760.500000000000000
20091125,1084406.439999999944121,1021679.319999999948777,1087773.919999999925494,1074874.300000000046566,1006243.480000000097789,1167993.879999999888241,1059259.199999999953434,1055927.350000000093132,1115978.459999999962747,1074393.439999999944121,10748529.790000000968575
20091127,1074572.680000000167638,1002822.159999999916181,1078534.560000000055879,1065611.500000000000000,994276.810000000055879,1159051.240000000223517,1039886.000000000000000,1049377.299999999813735,1112200.660000000149012,1056935.360000000102445,10633268.269999999552965
20091130,1073753.199999999720603,1001154.520000000018626,1073914.879999999888241,1055962.750000000000000,998959.420000000041910,1156496.200000000186265,1035327.600000000093132,1047193.950000000069849,1083111.600000000093132,1057564.479999999981374,10583438.599999999627471
20091201,1100591.169999999925494,1014239.079999999958090,1092038.239999999990687,1080663.550000000046566,1022892.760000000125729,1177894.660000000149012,1074074.000000000000000,1056599.149999999906868,1084244.939999999944121,1069517.760000000009313,10772755.309999998658895
20091202,1101820.390000000130385,1010005.839999999967404,1094170.399999999906868,1093399.899999999906868,1026014.500000000000000,1175339.620000000111759,1067806.199999999953434,1061301.750000000000000,1068755.959999999962747,1071876.960000000195578,10770491.519999999552965
20091203,1101615.520000000018626,1000128.279999999795109,1077823.839999999850988,1077961.900000000139698,1033818.850000000209548,1174381.479999999981374,1062108.199999999953434,1050720.899999999906868,1032489.080000000074506,1057879.040000000037253,10668927.089999999850988
