訓練日期,20110616 - 20110916
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10602410.929999999701977
真實報酬,602410.929999999701977

夏普值報酬,0.051541093000000
夏普值風險,0.033631180375812
夏普值,1.532538924416387

預期報酬,6343.725909571347984
風險,421160.802956700499635
趨勢值,0.015062479378508
找到最佳解世代,8
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,15
AAPL[0](2),CSCO[4](6),CVX[5](11),IBM[10](8),INTC[11](16),MCD[15](1),MSFT[18](5),NKE[19](7),PFE[20](20),PG[21](13),UNH[23](17),UTX[24](29),V[25](4),VZ[26](9),WMT[28](12),
Stock#,AAPL[0](2),CSCO[4](6),CVX[5](11),IBM[10](8),INTC[11](16),MCD[15](1),MSFT[18](5),NKE[19](7),PFE[20](20),PG[21](13),UNH[23](17),UTX[24](29),V[25](4),VZ[26](9),WMT[28](12),
張數,14281,44923,6774,4106,31123,8206,28081,33167,33019,10455,13508,8006,35631,18982,12742,
分配資金,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,
剩餘資金,28.920000000041910,8.680000000051223,36.660000000032596,139.019999999902211,11.339999999967404,10.560000000055879,23.060000000055879,9.299999999930151,12.390000000013970,55.200000000069849,46.199999999953434,6.380000000004657,9.989999999990687,18.160000000032596,4.559999999939464,
20110616,663381.370000000111759,676099.830000000074506,673575.480000000097789,668062.039999999804422,666666.000000000000000,671343.420000000041910,673967.060000000055879,665670.989999999990687,668316.949999999953434,671893.500000000116415,670853.479999999864958,675312.479999999981374,667022.309999999939464,668943.840000000083819,673164.419999999925494,10054283.169999999925494
20110617,653384.670000000041910,672505.990000000107102,671814.239999999990687,675329.659999999916181,659507.709999999962747,677169.680000000051223,681268.120000000111759,672636.059999999939464,668977.330000000074506,676389.150000000023283,674905.880000000004657,677073.799999999930151,663102.900000000023283,674068.979999999981374,673037.000000000000000,10071181.169999999925494
20110620,643387.969999999972060,680142.900000000023283,676827.000000000000000,677711.139999999897555,663864.929999999934807,678564.700000000069849,687165.130000000004657,690214.569999999832362,669307.520000000018626,680571.150000000139698,692601.359999999986030,684839.620000000111759,659539.800000000046566,676726.459999999962747,675840.239999999874271,10137314.490000000223517
20110621,663666.989999999990687,696764.410000000032596,688207.320000000065193,682638.339999999850988,673824.289999999920838,679467.359999999986030,695308.620000000111759,700828.009999999892898,674590.560000000055879,671475.300000000046566,705433.959999999962747,684999.739999999990687,668091.239999999990687,683180.340000000083819,679025.739999999874271,10247512.220000000670552
20110622,658240.210000000079162,690025.960000000079162,684684.839999999967404,680421.099999999976717,666043.539999999920838,678236.460000000079162,692219.709999999962747,679601.129999999888241,669637.710000000079162,669802.500000000116415,699490.439999999944121,684039.020000000018626,665240.760000000009313,682231.239999999990687,675457.979999999864958,10175382.599999999627471
20110623,675805.840000000083819,694967.490000000107102,673101.300000000046566,682227.739999999874271,675691.670000000041910,675282.300000000162981,691658.090000000083819,681591.149999999906868,681854.739999999990687,663529.500000000116415,690980.399999999906868,681477.100000000093132,670941.719999999972060,684319.260000000009313,679025.739999999874271,10202464.040000000968575
20110624,665809.140000000013970,670709.070000000065193,663211.260000000125729,677916.439999999827705,659818.939999999944121,671589.600000000093132,682391.360000000102445,673299.399999999906868,663033.909999999916181,654433.650000000139698,681659.880000000004657,675152.359999999986030,653482.530000000027940,683370.160000000032596,667812.779999999911524,10043700.480000000447035
20110627,677376.750000000000000,676099.830000000074506,669985.260000000125729,688386.739999999874271,664176.159999999916181,675528.479999999981374,707664.260000000009313,676947.769999999902211,666005.620000000111759,656838.300000000046566,689359.439999999944121,683158.359999999986030,658114.559999999939464,690962.959999999962747,666283.739999999874271,10146898.229999998584390
20110628,683946.010000000009313,679693.670000000041910,679807.559999999939464,698200.079999999841675,668844.609999999869615,692186.660000000032596,724512.860000000102445,745603.459999999962747,678552.840000000083819,655792.800000000046566,699355.359999999986030,692925.679999999934807,670585.410000000032596,694189.900000000023283,669341.819999999948777,10333548.720000000670552
20110629,681518.239999999990687,689127.500000000000000,686107.380000000004657,700376.259999999892898,665732.309999999939464,693991.979999999981374,719458.280000000027940,744608.449999999953434,682515.120000000111759,654015.450000000069849,696248.519999999902211,692285.199999999953434,771064.829999999958090,697037.199999999953434,670743.439999999944121,10444840.159999998286366
20110630,684802.870000000111759,701256.710000000079162,696674.820000000065193,704523.319999999948777,689697.020000000018626,691940.479999999981374,730129.060000000055879,746266.799999999930151,680203.790000000037253,664679.550000000046566,696788.839999999967404,708617.440000000060536,750755.160000000032596,706718.020000000018626,677114.439999999944121,10530178.319999998435378
20110701,700369.160000000032596,712487.460000000079162,705142.320000000065193,716800.259999999892898,701212.530000000027940,702854.460000000079162,730690.680000000051223,761523.619999999995343,685156.640000000013970,671998.050000000046566,717726.239999999990687,721587.159999999916181,783535.679999999934807,717537.760000000009313,681828.979999999864958,10710461.000000000000000
20110705,712936.440000000060536,703952.090000000083819,712119.540000000037253,720454.599999999976717,698411.459999999962747,702772.400000000023283,730971.490000000107102,760860.280000000027940,686147.210000000079162,671893.500000000116415,713944.000000000000000,716623.440000000060536,786742.469999999972060,717917.400000000023283,680299.939999999944121,10716056.260000001639128
20110706,717649.170000000041910,699010.560000000055879,711848.580000000074506,729816.279999999911524,708059.589999999967404,704577.720000000088476,739395.790000000037253,765835.329999999958090,686147.210000000079162,676493.700000000069849,717726.239999999990687,723908.900000000023283,785673.540000000037253,712602.440000000060536,684504.799999999930151,10763259.849999999627471
