訓練日期,20110509 - 20110809
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9558600.099999999627471
真實報酬,-441399.900000000372529

夏普值報酬,-0.052839990000000
夏普值風險,0.026784240176950
夏普值,-1.972801529963608

預期報酬,584.575774942621138
風險,266937.560690272890497
趨勢值,0.002189934505399
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](5),AXP[1](10),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](19),MSFT[18](8),UTX[24](23),V[25](3),VZ[26](14),WBA[27](17),
Stock#,AAPL[0](5),AXP[1](10),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](19),MSFT[18](8),UTX[24](23),V[25](3),VZ[26](14),WBA[27](17),
張數,18358,18109,13928,27177,11551,9509,35140,10190,45797,24385,21471,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,1.839999999967404,18.199999999953434,9.440000000060536,19.349999999976717,26.299999999930151,29.600000000093132,18.199999999953434,40.100000000093132,19.549999999930151,17.199999999953434,7.859999999869615,
20110509,911660.119999999878928,908908.909999999916181,914104.079999999958090,909905.309999999939464,916136.109999999986030,912798.510000000009313,907684.399999999906868,912248.900000000023283,914585.639999999897555,908114.599999999976717,925407.959999999846332,10041564.539999999105930
20110510,916433.199999999953434,908546.729999999981374,915914.720000000088476,915068.940000000060536,920756.509999999892898,910135.989999999990687,902062.000000000000000,915204.000000000116415,920081.279999999911524,916161.649999999906868,933996.359999999869615,10074371.379999998956919
20110511,910558.640000000013970,902389.669999999925494,927196.400000000023283,914797.169999999925494,918446.309999999939464,908329.280000000027940,891168.599999999976717,912248.900000000023283,908632.029999999911524,908602.299999999930151,946664.250000000000000,10049043.550000000745058
20110512,908906.419999999925494,897138.059999999939464,935831.760000000009313,928385.669999999925494,931729.959999999846332,919074.450000000186265,889763.000000000000000,912758.400000000023283,915043.609999999986030,912747.750000000000000,964699.889999999897555,10116088.970000002533197
20110513,892934.959999999962747,896232.609999999986030,927892.800000000162981,926483.280000000027940,932654.039999999920838,912988.690000000176951,879572.400000000023283,906746.300000000162981,915043.609999999986030,908602.299999999930151,965558.729999999864958,10064719.720000002533197
20110516,874026.219999999972060,906735.829999999958090,924410.800000000162981,921863.190000000060536,937274.439999999944121,907758.739999999990687,863408.000000000000000,905727.300000000046566,915501.579999999841675,901530.649999999906868,968779.379999999771826,10027026.129999998956919
20110517,881553.000000000000000,919231.039999999920838,924828.640000000130385,923765.580000000074506,934848.729999999981374,892544.340000000083819,861650.999999999883585,894925.900000000023283,922829.099999999860302,904944.549999999930151,951173.159999999799766,10012305.040000000968575
20110518,891282.739999999874271,924663.739999999990687,926221.440000000060536,928113.899999999906868,941432.799999999930151,893305.060000000055879,867624.800000000046566,888098.600000000093132,915959.549999999930151,904456.850000000093132,948811.349999999860302,10029980.830000000074506
20110519,893118.539999999920838,938426.579999999958090,924689.360000000102445,930288.059999999939464,953099.309999999939464,900626.989999999990687,868678.999999999883585,897779.100000000093132,911837.819999999948777,910065.399999999906868,949670.189999999827705,10078290.349999999627471
20110520,879166.459999999962747,927017.909999999916181,914939.760000000009313,928113.899999999906868,951020.129999999888241,889691.640000000130385,860596.799999999930151,891665.100000000093132,895808.869999999878928,905919.949999999953434,952676.129999999771826,9996626.650000000372529
20110523,876963.500000000000000,925750.279999999911524,913129.120000000111759,916971.330000000074506,952983.799999999930151,879517.010000000009313,849352.000000000000000,877297.200000000069849,880695.859999999986030,898604.449999999953434,955467.359999999869615,9926741.910000000149012
20110524,871272.520000000018626,915609.239999999990687,916193.280000000027940,916971.330000000074506,954600.939999999944121,874572.330000000074506,848649.199999999953434,872507.900000000139698,888481.349999999860302,899823.699999999953434,950958.449999999837019,9909650.240000000223517
20110525,883205.219999999972060,912892.889999999897555,923296.560000000172295,909361.770000000018626,955525.019999999902211,881418.810000000055879,850054.800000000046566,879029.500000000116415,901762.479999999981374,887631.199999999953434,947737.799999999930151,9931926.049999998882413
20110526,878615.719999999972060,917782.319999999948777,912432.720000000088476,906372.300000000046566,952175.229999999981374,882654.979999999981374,866922.000000000000000,880354.200000000069849,907716.089999999967404,892752.049999999930151,938290.559999999939464,9936078.170000001788139
20110527,884857.440000000060536,925931.369999999995343,929982.000000000000000,903926.369999999878928,942818.919999999925494,888835.830000000074506,870084.599999999976717,879742.800000000046566,913669.699999999953434,894215.150000000023283,938505.269999999902211,9972579.449999999254942
20110531,912210.859999999869615,934442.599999999976717,937224.560000000172295,908002.919999999925494,941894.839999999967404,897489.020000000018626,878869.599999999976717,894416.400000000023283,928324.739999999874271,900555.250000000000000,936787.589999999967404,10070228.380000000819564
20110601,906152.719999999972060,903838.389999999897555,925942.880000000121072,907187.610000000102445,935426.280000000027940,869532.560000000055879,858488.399999999906868,859057.100000000093132,906800.149999999906868,884461.150000000023283,930131.579999999841675,9887028.820000002160668
20110602,907621.359999999869615,907098.010000000009313,925942.880000000121072,897403.890000000013970,932769.549999999930151,869722.739999999990687,851108.999999999883585,858955.200000000186265,924203.009999999892898,882022.650000000023283,927984.479999999864958,9884842.770000001415610
20110603,900645.320000000065193,892429.719999999972060,920510.960000000079162,890609.640000000013970,930343.839999999967404,862495.900000000139698,840215.599999999976717,848255.700000000069849,905884.209999999962747,868854.750000000000000,926481.509999999892898,9786737.150000000372529
