訓練日期,20150608 - 20150908
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9924944.269999999552965
真實報酬,-75055.730000000447035

夏普值報酬,-0.016205573000000
夏普值風險,0.024716014067408
夏普值,-0.655670973313196

預期報酬,3195.243736614526824
風險,263137.931846741063055
趨勢值,0.012142847343178
找到最佳解世代,26
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](14),CSCO[4](20),HD[9](1),JNJ[12](11),KO[14](8),MMM[16](18),MSFT[18](16),NKE[19](2),TRV[22](5),V[25](3),WBA[27](4),
Stock#,AXP[1](14),CSCO[4](20),HD[9](1),JNJ[12](11),KO[14](8),MMM[16](18),MSFT[18](16),NKE[19](2),TRV[22](5),V[25](3),WBA[27](4),
張數,11450,31808,8236,9220,22670,5787,19702,17818,9154,13296,10836,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,74.500000000000000,17.360000000102445,82.679999999934807,90.199999999953434,23.000000000000000,68.039999999920838,39.719999999972060,15.639999999897555,6.260000000009313,42.479999999981374,57.959999999962747,
20150608,902449.000000000000000,899547.600000000093132,905466.160000000032596,903281.399999999906868,910450.199999999953434,906254.369999999995343,901012.179999999934807,903744.599999999860302,894901.300000000046566,899915.760000000125729,902263.320000000065193,9929295.890000000596046
20150609,906571.000000000000000,898275.280000000027940,902171.759999999892898,905586.399999999906868,911357.000000000116415,908511.299999999813735,899436.019999999902211,903031.879999999888241,895267.459999999962747,903505.680000000051223,912124.079999999958090,9945847.859999999403954
20150610,918250.000000000000000,911634.640000000130385,914113.959999999962747,911763.799999999930151,914304.099999999976717,920432.519999999902211,918349.939999999944121,920671.699999999953434,907899.980000000097789,925842.959999999962747,926427.599999999860302,10089701.199999999254942
20150611,919509.500000000000000,917996.240000000107102,916667.119999999995343,915082.999999999883585,909090.000000000000000,925177.859999999986030,915000.599999999976717,925482.559999999823049,916596.279999999911524,925975.920000000041910,929678.400000000023283,10116267.480000000447035
20150612,910693.000000000000000,907817.680000000051223,910984.279999999911524,906877.199999999953434,905916.200000000069849,914645.519999999902211,905740.659999999916181,924591.659999999916181,910554.640000000013970,921854.159999999916181,921768.119999999995343,10041453.119999999180436
20150615,907487.000000000000000,905909.200000000069849,906125.039999999920838,898947.999999999883585,897528.300000000046566,902087.729999999981374,896086.679999999934807,920849.879999999888241,904329.920000000041910,911749.199999999837019,914833.079999999958090,9965944.029999999329448
