訓練日期,20120824 - 20121128
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10495960.350000001490116
真實報酬,495960.350000001490116

夏普值報酬,0.040896035000000
夏普值風險,0.020172728730859
夏普值,2.027293161258829

預期報酬,11209.226280681154094
風險,269514.285088332952000
趨勢值,0.041590471826038
找到最佳解世代,24
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](10),DIS[6](15),GS[8](4),HD[9](2),JPM[13](5),MCD[15](17),MRK[17](7),MSFT[18](28),PFE[20](9),UNH[23](14),V[25](1),
Stock#,BA[2](10),DIS[6](15),GS[8](4),HD[9](2),JPM[13](5),MCD[15](17),MRK[17](7),MSFT[18](28),PFE[20](9),UNH[23](14),V[25](1),
張數,12920,18488,8734,16075,24418,10301,21240,30042,38293,16859,28596,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,38.800000000046566,35.039999999920838,55.280000000027940,48.750000000000000,7.860000000102445,26.750000000000000,18.000000000116415,19.079999999958090,14.180000000051223,52.719999999972060,23.160000000032596,
20120824,918521.600000000093132,916300.319999999948777,916775.919999999925494,915680.750000000000000,907624.920000000158325,915991.670000000041910,915886.800000000046566,918102.599999999976717,919429.110000000102445,913136.159999999916181,905658.480000000097789,10063118.330000000074506
20120827,922268.400000000023283,917594.479999999981374,918173.360000000102445,911019.000000000000000,909090.000000000000000,922378.290000000037253,914400.000000000000000,922008.059999999939464,914833.950000000069849,920722.709999999962747,912807.480000000097789,10085305.730000000447035
20120828,924077.199999999953434,917594.479999999981374,917387.300000000046566,908768.500000000000000,906648.200000000186265,918257.890000000013970,909727.200000000069849,920205.539999999920838,913302.230000000097789,916002.189999999944121,910805.760000000125729,10062786.490000000223517
20120829,923043.599999999976717,925174.559999999939464,921754.300000000046566,913751.750000000000000,910799.260000000009313,923511.400000000023283,914612.400000000139698,920806.379999999888241,917514.460000000079162,921228.479999999981374,915381.119999999995343,10107587.709999999031425
20120830,915033.199999999953434,913712.000000000000000,914679.760000000009313,910215.250000000000000,901032.060000000055879,913725.450000000069849,915886.800000000046566,910892.520000000018626,912919.300000000046566,922071.429999999934807,905944.440000000060536,10036122.209999999031425
20120831,922526.800000000162981,914636.399999999906868,923413.760000000009313,912305.000000000000000,906892.380000000121072,921863.239999999990687,914400.000000000000000,925913.520000000018626,913685.160000000032596,915496.419999999925494,916810.920000000041910,10087953.599999999627471
20120904,915679.200000000069849,918149.119999999878928,929440.219999999972060,912948.000000000000000,903718.040000000037253,917330.799999999930151,918648.000000000116415,912995.459999999962747,910621.720000000088476,919879.760000000009313,918812.640000000130385,10078232.960000000894070
20120905,929245.200000000069849,939040.559999999939464,960271.239999999990687,908929.250000000000000,906159.840000000083819,917433.810000000055879,922683.600000000093132,912995.459999999962747,915982.740000000107102,915159.239999999990687,912235.559999999939464,10140146.500000000000000
