訓練日期,20171110 - 20180214
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11156112.220000000670552
真實報酬,1156112.220000000670552

夏普值報酬,0.106911222000000
夏普值風險,0.043251070165634
夏普值,2.471874605427666

預期報酬,25091.679633694551740
風險,266461.298400674015284
趨勢值,0.094166319027556
找到最佳解世代,26
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](1),CSCO[4](3),DD[7](18),HD[9](6),MMM[16](15),MSFT[18](12),NKE[19](4),PFE[20](20),TRV[22](22),VZ[26](9),WMT[28](5),
Stock#,BA[2](1),CSCO[4](3),DD[7](18),HD[9](6),MMM[16](15),MSFT[18](12),NKE[19](4),PFE[20](20),TRV[22](22),VZ[26](9),WMT[28](5),
張數,3460,26698,9089,5568,3980,10810,16196,25826,6757,20170,10067,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,148.000000000000000,23.100000000093132,99.109999999986030,2.639999999897555,97.800000000046566,77.099999999976717,8.519999999902211,14.799999999930151,70.790000000037253,28.099999999976717,39.900000000023283,
20171110,902689.000000000116415,907488.120000000111759,905727.069999999948777,913767.119999999995343,905348.800000000046566,906711.800000000046566,908442.159999999916181,908573.479999999864958,915914.569999999948777,905257.700000000069849,915331.540000000037253,9995261.359999999403954
20171113,908121.200000000069849,906420.200000000186265,912089.369999999995343,920671.439999999827705,908413.400000000023283,907360.400000000023283,905526.879999999888241,911672.599999999860302,900914.030000000027940,902635.599999999976717,916036.229999999981374,9999871.350000001490116
20171114,905837.599999999976717,908823.020000000018626,887639.960000000079162,935760.719999999855645,912831.200000000069849,908657.599999999976717,906660.599999999860302,913738.680000000051223,904562.810000000172295,891945.500000000000000,917042.930000000051223,9993510.619999999180436
20171115,909643.600000000093132,910691.880000000121072,892820.689999999944121,921339.599999999860302,905149.800000000046566,897090.900000000023283,917188.000000000000000,913222.159999999916181,903549.260000000125729,889726.799999999930151,904358.510000000009313,9964791.199999999254942
20171116,912550.000000000000000,957947.340000000200234,914906.960000000079162,932642.639999999897555,913189.400000000023283,899469.099999999976717,926905.599999999860302,918387.359999999986030,883953.960000000079162,903039.000000000000000,1002914.440000000060536,10165915.799999998882413
20171117,907567.599999999976717,958481.300000000046566,915724.969999999972060,933978.959999999962747,912950.600000000093132,890821.100000000093132,958649.759999999892898,913480.419999999809079,877940.229999999981374,916149.500000000000000,981270.390000000013970,10167024.830000000074506
20171120,915767.799999999930151,974500.100000000093132,917179.210000000079162,949068.239999999874271,921428.000000000116415,892226.400000000023283,959621.519999999902211,912963.900000000023283,876926.680000000051223,931882.099999999976717,981371.060000000055879,10232945.009999999776483
20171121,923933.400000000023283,978504.800000000046566,922450.830000000074506,962487.119999999995343,931776.000000000116415,905090.299999999930151,961888.959999999962747,917870.839999999850988,882737.699999999953434,931478.699999999953434,971706.739999999990687,10289935.390000000596046
20171122,917566.999999999883585,973165.200000000186265,913907.170000000041910,958032.719999999855645,921786.200000000069849,898496.199999999953434,956706.239999999874271,915029.979999999864958,878548.359999999986030,950035.099999999976717,970599.369999999995343,10253883.539999999105930
20171124,920092.799999999930151,974233.120000000111759,921178.369999999995343,959536.079999999958090,920990.200000000069849,900117.700000000069849,960755.239999999874271,916579.540000000037253,877332.100000000093132,948219.799999999930151,972713.440000000060536,10271758.390000000596046
20171127,919054.799999999930151,984378.359999999986030,907817.540000000037253,969725.519999999902211,931417.800000000046566,906711.800000000046566,965776.000000000000000,916579.540000000037253,881724.150000000023283,961330.299999999930151,972713.440000000060536,10317239.250000000000000
20171128,927393.400000000023283,1007338.640000000013970,920269.469999999972060,983144.399999999906868,937905.200000000069849,917629.899999999906868,964966.199999999837019,925876.900000000023283,898819.359999999986030,984727.500000000000000,974223.489999999990687,10442304.460000000894070
20171129,931926.000000000000000,1000664.140000000013970,929176.689999999944121,986930.639999999897555,947377.599999999976717,900982.500000000000000,977599.079999999841675,935174.260000000009313,909090.000000000000000,1006511.099999999976717,982176.420000000041910,10507618.429999999701977
20171130,957876.000000000000000,995858.500000000000000,931539.830000000074506,1001240.399999999906868,967795.000000000000000,909954.800000000046566,978570.839999999967404,936465.559999999823049,916117.280000000027940,1026479.400000000023283,978854.310000000055879,10600761.919999999925494
20171201,939122.799999999930151,1003867.900000000139698,919178.790000000037253,1004581.199999999837019,959874.800000000046566,910927.700000000069849,969825.000000000000000,938789.900000000023283,920441.760000000125729,1033740.599999999976717,980062.349999999976717,10580422.800000000745058
20171204,961924.200000000069849,1007071.660000000032596,933721.189999999944121,1029525.839999999967404,952352.599999999976717,876551.899999999906868,973388.119999999878928,931300.359999999986030,921455.310000000172295,1043220.500000000000000,976639.570000000065193,10607161.250000000000000
20171205,953516.400000000023283,996125.480000000097789,926086.429999999934807,1018111.439999999827705,948372.599999999976717,882065.000000000000000,978570.839999999967404,920195.180000000051223,914428.030000000027940,1027084.500000000000000,984894.510000000009313,10549460.409999998286366
20171206,962962.199999999953434,998795.280000000027940,920087.689999999944121,1006697.039999999920838,950004.400000000023283,894928.900000000023283,967233.639999999897555,918387.359999999986030,914698.310000000172295,1022243.699999999953434,979357.660000000032596,10535406.179999999701977
20171207,975764.200000000069849,998528.300000000046566,923905.069999999948777,1013378.639999999897555,956491.800000000046566,891793.999999999883585,981486.119999999878928,916837.799999999930151,906927.760000000125729,1016999.500000000000000,974324.160000000032596,10556447.349999999627471
20171208,989361.999999999883585,1004134.880000000121072,915634.080000000074506,1021229.519999999902211,947855.200000000069849,909846.699999999953434,992823.319999999832362,923036.040000000037253,903819.540000000037253,1030513.400000000023283,972008.750000000000000,10610273.429999999701977
20171211,979881.600000000093132,1013479.180000000167638,916633.869999999995343,1014770.639999999897555,952511.800000000046566,921413.400000000023283,1002702.879999999888241,935174.260000000009313,899832.910000000032596,1045640.900000000023283,975834.210000000079162,10657885.650000000372529
20171212,1003340.400000000023283,1012144.280000000027940,916361.199999999953434,1012265.039999999920838,941686.200000000069849,925196.899999999906868,1006913.839999999967404,944729.879999999888241,907873.739999999990687,1072870.399999999906868,973518.800000000046566,10716910.679999999701977
20171213,1009914.399999999906868,1018551.800000000046566,913361.830000000074506,1019113.679999999934807,951755.600000000093132,922710.599999999860302,1041411.319999999832362,946279.439999999944121,902535.710000000079162,1066819.399999999906868,984189.820000000065193,10776653.600000001490116
20171214,1016972.799999999930151,1011877.300000000046566,910271.569999999948777,1014102.479999999864958,947656.200000000069849,915576.000000000000000,1045136.399999999906868,941630.760000000009313,895913.850000000093132,1055725.899999999906868,977847.609999999986030,10732720.869999999180436
20171215,1017180.400000000023283,1019619.720000000088476,906181.520000000018626,1016608.079999999958090,947337.800000000046566,938925.599999999860302,1049347.359999999869615,960742.000000000000000,911522.519999999902211,1062382.000000000000000,977646.270000000018626,10807503.269999999552965
20171218,1024792.399999999906868,1027362.140000000013970,924177.739999999990687,1028579.279999999795109,949009.400000000023283,933844.899999999906868,1049671.279999999795109,958934.180000000051223,913684.760000000125729,1074080.600000000093132,985599.200000000069849,10869745.879999997094274
20171219,1028633.000000000000000,1022556.500000000000000,924541.299999999930151,1035539.279999999795109,948890.000000000000000,927899.399999999906868,1040439.559999999823049,954027.239999999874271,915914.569999999948777,1065609.199999999720603,994659.500000000000000,10858719.549999998882413
20171220,1030881.999999999883585,1034303.620000000111759,922632.609999999986030,1042944.719999999855645,943039.400000000023283,924548.299999999930151,1029912.159999999916181,941630.760000000009313,914022.609999999986030,1064399.000000000000000,994156.150000000023283,10842481.330000000074506
20171221,1020951.799999999930151,1028697.040000000153668,927358.889999999897555,1047232.079999999958090,934522.200000000069849,924332.099999999976717,1049023.439999999944121,935949.040000000037253,908481.869999999995343,1069239.799999999813735,987209.920000000041910,10833008.179999997839332
20171222,1021194.000000000116415,1029231.000000000000000,933448.520000000018626,1047510.479999999864958,934323.199999999953434,924440.200000000069849,1025053.359999999869615,933366.439999999944121,908144.019999999902211,1072870.399999999906868,988719.969999999972060,10818311.589999999850988
20171226,1022093.600000000093132,1027362.140000000013970,924813.969999999972060,1059927.119999999878928,937188.800000000046566,923251.100000000093132,1030883.919999999925494,935174.260000000009313,910779.250000000000000,1073475.500000000000000,998283.619999999995343,10843243.279999999329448
20171227,1022993.200000000069849,1029497.980000000097789,924813.969999999972060,1058980.559999999823049,940173.800000000046566,926602.199999999953434,1019546.719999999972060,938273.379999999888241,910711.680000000051223,1074685.700000000186265,999290.320000000065193,10845579.510000001639128
20171228,1025519.000000000116415,1030298.920000000158325,925722.869999999995343,1056697.679999999934807,938263.400000000023283,926710.299999999930151,1019546.719999999972060,939306.419999999809079,916725.410000000032596,1077711.200000000186265,1000699.700000000069849,10857211.620000001043081
20171229,1020536.600000000093132,1022556.500000000000000,921905.489999999990687,1055305.679999999934807,936870.400000000023283,924764.500000000000000,1013068.319999999832362,935432.519999999902211,916590.269999999902211,1067626.200000000186265,994156.150000000023283,10808822.630000000819564
20180102,1027214.399999999906868,1037507.380000000121072,930721.819999999948777,1046953.679999999934807,937945.000000000000000,929196.599999999976717,1028292.559999999939464,941114.239999999874271,891859.650000000023283,1079728.200000000186265,992545.430000000051223,10843088.960000000894070
20180103,1030536.000000000000000,1045783.760000000125729,945627.780000000027940,1052410.319999999832362,937905.200000000069849,933520.599999999860302,1028130.599999999860302,948087.260000000009313,894697.590000000083819,1057541.200000000186265,1001203.050000000046566,10875453.359999999403954
20180104,1026626.200000000069849,1040978.120000000111759,963714.889999999897555,1060762.319999999832362,950163.600000000093132,941736.199999999953434,1027482.759999999892898,950153.339999999850988,894697.590000000083819,1060970.100000000093132,1002109.080000000074506,10919404.199999999254942
20180105,1068734.399999999906868,1055395.040000000037253,976348.599999999976717,1071842.639999999897555,957566.400000000023283,953411.000000000000000,1036228.599999999860302,951961.159999999916181,893075.910000000032596,1058549.699999999720603,1008048.609999999986030,11031172.059999998658895
20180108,1073267.000000000000000,1066341.219999999972060,972894.780000000027940,1069281.359999999869615,954462.000000000000000,954383.900000000023283,1045460.319999999832362,941372.500000000000000,888278.439999999944121,1056734.399999999906868,1022947.770000000018626,11045433.689999999478459
20180109,1101915.800000000046566,1059666.719999999972060,975257.920000000041910,1075183.439999999944121,960392.200000000069849,953735.299999999930151,1038010.159999999916181,940339.459999999846332,895170.580000000074506,1041001.799999999930151,1010666.030000000027940,11051349.410000000149012
20180110,1108247.599999999860302,1065540.280000000027940,960533.739999999990687,1067945.040000000037253,959835.000000000000000,949411.299999999930151,1040115.639999999897555,941889.019999999902211,892738.060000000172295,1042615.399999999906868,1003417.790000000037253,11032298.870000001043081
20180111,1135443.199999999953434,1070612.900000000139698,973712.790000000037253,1083980.879999999888241,964491.600000000093132,952221.899999999906868,1041249.359999999986030,944213.359999999986030,894292.170000000041910,1051086.799999999813735,1006941.239999999990687,11118256.200000001117587
20180112,1163434.599999999860302,1091170.360000000102445,976166.819999999948777,1093669.199999999720603,973088.400000000023283,968653.099999999860302,1047403.839999999967404,943696.839999999850988,910441.400000000023283,1046044.299999999930151,1015498.190000000060536,11229277.049999998882413
20180116,1159801.600000000093132,1082360.020000000018626,970258.969999999972060,1093056.719999999972060,974163.000000000116415,955140.599999999860302,1027158.839999999967404,945246.400000000023283,915779.430000000051223,1042010.299999999930151,1013686.130000000004657,11178672.010000001639128
20180117,1214642.599999999860302,1099980.700000000186265,980802.210000000079162,1112600.399999999906868,987575.600000000093132,974490.500000000000000,1033475.279999999911524,960225.479999999864958,924833.810000000172295,1043220.500000000000000,1033920.800000000046566,11365777.880000000819564
20180118,1177101.600000000093132,1102650.500000000000000,984165.139999999897555,1104304.080000000074506,978819.599999999976717,974058.099999999860302,1038334.079999999841675,955318.540000000037253,928077.170000000041910,1039791.599999999976717,1050028.000000000000000,11332658.410000000149012
20180119,1168693.800000000046566,1102383.520000000018626,983983.359999999986030,1121008.080000000074506,987854.200000000069849,972977.099999999976717,1088541.679999999701977,954027.239999999874271,931523.239999999990687,1047052.799999999930151,1052947.430000000167638,11411002.449999999254942
20180122,1169628.000000000000000,1112261.780000000027940,986164.719999999972060,1138435.919999999925494,984351.800000000046566,990381.199999999953434,1075260.959999999962747,953768.979999999864958,941658.739999999990687,1078316.299999999813735,1061605.050000000279397,11491843.449999999254942
20180123,1161289.399999999906868,1124008.900000000139698,985619.380000000004657,1140885.839999999850988,980411.600000000093132,993516.100000000093132,1087407.959999999962747,950928.119999999995343,988349.609999999986030,1073677.199999999720603,1066135.200000000186265,11552239.309999998658895
20180124,1158175.399999999906868,1125877.760000000242144,983983.359999999986030,1148235.599999999860302,985904.000000000000000,992651.299999999930151,1101336.520000000018626,953768.979999999864958,997539.130000000121072,1093645.500000000000000,1065027.830000000074506,11606155.380000000819564
20180125,1187308.600000000093132,1118669.300000000046566,992254.349999999976717,1143502.799999999813735,1004490.600000000093132,998164.399999999906868,1096639.679999999701977,961516.779999999795109,1003282.580000000074506,1095057.399999999906868,1073182.100000000093132,11674078.589999999850988
20180126,1187689.200000000186265,1136289.980000000214204,996980.630000000004657,1153859.279999999795109,1029445.200000000069849,1016865.699999999953434,1101984.359999999869615,1007487.059999999823049,1009701.729999999981374,1103730.500000000000000,1091202.030000000260770,11835245.670000001788139
20180129,1179385.199999999953434,1144032.400000000139698,982165.559999999939464,1140997.199999999720603,1019017.599999999976717,1015352.300000000046566,1094534.199999999720603,1007745.320000000065193,1006593.510000000125729,1091830.200000000186265,1102879.750000000000000,11784543.239999998360872
20180130,1168624.599999999860302,1128013.600000000093132,972531.219999999972060,1123680.719999999972060,1001227.000000000000000,1002596.499999999883585,1090485.199999999720603,976237.599999999860302,1004971.830000000074506,1087191.100000000093132,1084557.810000000055879,11640127.179999999701977
20180131,1226268.199999999953434,1109058.020000000018626,978348.179999999934807,1118613.839999999850988,997087.800000000046566,1027135.200000000069849,1104899.639999999664724,956609.839999999850988,1013080.229999999981374,1090620.000000000000000,1073182.100000000093132,11694913.049999998882413
20180201,1235160.399999999906868,1113329.700000000186265,951444.739999999990687,1113045.839999999850988,986899.000000000000000,1019027.700000000069849,1095667.919999999925494,951186.379999999888241,1013620.790000000037253,1095259.100000000093132,1062309.739999999757856,11636961.309999998658895
20180202,1207376.600000000093132,1092772.239999999990687,917633.660000000032596,1080027.599999999860302,975874.400000000023283,992218.900000000023283,1088703.639999999664724,945504.659999999916181,999768.939999999944121,1068634.699999999720603,1051840.060000000055879,11420365.400000000372529
20180205,1138072.800000000046566,1035371.540000000153668,878187.400000000023283,1019559.119999999995343,921229.000000000000000,951357.099999999976717,1042868.959999999962747,895402.219999999972060,956321.430000000051223,1018613.099999999976717,1007645.930000000051223,10864638.599999999627471
20180206,1179696.600000000093132,1072481.760000000242144,930630.929999999934807,1063713.359999999869615,929945.200000000069849,987354.399999999906868,1056311.639999999664724,911156.079999999958090,951794.239999999990687,1025269.199999999953434,1015800.200000000069849,11124163.609999997541308
20180207,1204643.199999999953434,1077020.420000000158325,913907.170000000041910,1065105.359999999869615,928194.000000000000000,968761.199999999953434,1062952.000000000000000,903408.279999999795109,960510.769999999902211,1028899.799999999930151,1035430.849999999976717,11148843.050000000745058
20180208,1140771.600000000093132,1035104.560000000172295,883004.569999999948777,1009035.599999999860302,887200.000000000000000,919035.200000000069849,1012096.559999999939464,868543.180000000051223,912333.359999999986030,989164.899999999906868,1006941.239999999990687,10663240.769999999552965
20180209,1151739.800000000046566,1055395.040000000037253,899455.660000000032596,1025182.799999999930151,896433.600000000093132,953302.900000000023283,1060684.559999999590218,882230.959999999846332,926320.350000000093132,1006107.700000000069849,1000397.690000000060536,10857261.059999998658895
