訓練日期,20120314 - 20120614
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10338813.900000002235174
真實報酬,338813.900000002235174

夏普值報酬,0.025181390000000
夏普值風險,0.011217838116915
夏普值,2.244763183204550

預期報酬,2736.457145892277367
風險,110870.730712883654633
趨勢值,0.024681510875749
找到最佳解世代,60
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](3),CVX[5](24),DIS[6](9),IBM[10](16),JNJ[12](13),KO[14](1),MRK[17](12),PFE[20](6),TRV[22](2),UNH[23](7),V[25](11),VZ[26](4),WMT[28](8),
20120417,824953.469999999972060,716860.739999999990687,745984.260000000125729,783080.579999999958090,756160.860000000102445,809737.599999999860302,773851.619999999878928,779714.699999999837019,790037.020000000135042,807738.540000000037253,800712.000000000000000,735327.840000000083819,780200.699999999953434,10104369.929999999701977
20120418,822968.410000000032596,715269.599999999976717,742663.440000000176951,755454.900000000023283,744857.820000000065193,812146.160000000032596,771641.279999999911524,784607.559999999823049,783189.140000000013970,796894.979999999981374,798875.550000000046566,733769.119999999995343,782596.599999999976717,10044944.559999998658895
20120419,816304.280000000027940,709181.760000000009313,735497.460000000079162,753115.020000000018626,742149.800000000046566,808204.879999999771826,770837.519999999902211,780763.169999999925494,812556.010000000125729,816218.760000000009313,794940.300000000046566,743316.280000000027940,778687.500000000000000,10061782.739999998360872
20120420,814602.800000000046566,709250.939999999944121,740216.520000000135042,753454.680000000051223,750156.120000000111759,811708.239999999874271,778272.299999999930151,788451.949999999837019,826383.460000000079162,827340.359999999986030,793628.550000000046566,754617.000000000000000,787514.500000000000000,10135607.420000001788139
20120423,812759.530000000027940,708697.500000000000000,734274.000000000000000,749756.160000000032596,746152.960000000079162,806891.119999999878928,769029.059999999939464,782161.129999999888241,828490.500000000000000,822891.719999999972060,774739.350000000093132,751499.560000000055879,750819.400000000023283,10038171.990000000223517
20120424,817155.020000000018626,712779.119999999995343,737245.260000000125729,754964.280000000027940,750862.560000000055879,811489.279999999911524,769029.059999999939464,790898.379999999888241,834548.239999999990687,816357.779999999911524,779986.350000000093132,769619.680000000051223,728499.700000000069849,10073444.709999999031425
20120425,835304.139999999897555,718451.879999999888241,746333.820000000181608,768437.459999999962747,758633.400000000139698,820466.639999999897555,772244.099999999976717,799635.629999999888241,839947.530000000144355,818443.079999999958090,798875.550000000046566,769230.000000000000000,723329.599999999976717,10169342.830000000074506
20120426,844945.860000000102445,734847.539999999920838,757869.300000000046566,776023.200000000069849,762401.080000000074506,828787.119999999878928,773047.859999999869615,805926.449999999837019,852984.840000000083819,811492.079999999958090,808057.800000000046566,782089.440000000060536,743379.500000000000000,10281862.070000000298023
20120427,853169.680000000051223,734709.179999999934807,757694.520000000135042,780665.220000000088476,763460.740000000107102,839078.239999999874271,772846.919999999925494,806625.429999999818392,842976.400000000139698,805097.159999999916181,810156.599999999976717,783843.000000000000000,744388.300000000046566,10294721.390000000596046
20120430,853736.839999999967404,737199.659999999916181,753499.800000000046566,781684.200000000069849,766521.979999999981374,835574.879999999771826,788520.239999999990687,800334.609999999869615,847058.790000000037253,780629.639999999897555,806746.050000000046566,786765.600000000093132,742875.099999999976717,10281157.389999998733401
20120501,864512.880000000004657,749029.439999999944121,765384.840000000083819,785156.280000000027940,767934.860000000102445,842362.639999999897555,791132.459999999846332,796140.729999999981374,850746.109999999986030,794253.599999999976717,807270.750000000000000,790272.720000000088476,744892.699999999953434,10349100.009999999776483
20120502,865647.199999999953434,740451.119999999995343,761015.340000000083819,785382.720000000088476,769230.000000000000000,844771.199999999837019,789524.939999999944121,791946.849999999860302,852589.770000000018626,787719.659999999916181,801499.050000000046566,791052.080000000074506,744136.099999999976717,10324976.029999999329448
20120503,862953.189999999944121,733256.399999999906868,765734.400000000139698,782288.040000000037253,769347.740000000107102,847836.639999999897555,787113.659999999916181,789849.909999999916181,852721.460000000079162,774651.779999999911524,763458.300000000046566,791831.440000000060536,743883.900000000023283,10264936.860000001266599
20120504,852177.150000000023283,717552.539999999920838,750353.760000000125729,773796.540000000037253,762283.339999999967404,843019.519999999902211,780482.640000000013970,782161.129999999888241,849429.210000000079162,760749.779999999911524,772640.550000000046566,784427.520000000018626,740227.000000000000000,10169310.679999999701977
20120507,852177.150000000023283,714716.159999999916181,765909.180000000051223,769116.780000000027940,762989.780000000027940,846084.959999999962747,774454.439999999944121,784607.559999999823049,850614.420000000158325,768117.839999999967404,777362.849999999976717,789688.200000000069849,746405.900000000023283,10202255.220000000670552
20120508,849199.560000000055879,711464.699999999953434,774298.619999999995343,760549.800000000046566,765109.100000000093132,844552.239999999874271,776262.900000000023283,783559.089999999967404,847980.620000000111759,776041.979999999981374,775001.700000000069849,790077.880000000004657,744640.500000000000000,10198748.689999999478459
20120509,843102.589999999967404,704131.619999999995343,786882.780000000144355,759606.300000000046566,756867.300000000046566,840610.959999999962747,765412.140000000013970,784607.559999999823049,841791.190000000060536,767700.779999999911524,770279.400000000023283,784232.680000000051223,744388.300000000046566,10149623.599999999627471
20120510,842535.430000000051223,715062.059999999939464,791427.060000000055879,757228.680000000051223,760281.760000000009313,847617.679999999934807,771440.339999999967404,797888.179999999818392,851272.870000000111759,768673.919999999925494,775001.700000000069849,790077.880000000004657,746405.900000000023283,10214923.460000000894070
20120511,845654.810000000055879,710427.000000000000000,796320.900000000139698,759379.859999999986030,757573.740000000107102,848274.559999999939464,764206.500000000000000,791597.359999999869615,851009.490000000107102,767422.739999999990687,773427.600000000093132,801963.119999999995343,749306.200000000069849,10216573.879999998956919
20120514,828356.430000000051223,705238.500000000000000,789504.480000000097789,752850.839999999967404,752746.400000000023283,841705.759999999892898,768024.359999999869615,789500.419999999925494,849165.830000000074506,766866.659999999916181,765557.100000000093132,796702.440000000060536,744892.699999999953434,10151121.919999998062849
20120515,821550.510000000009313,698043.780000000027940,786708.000000000000000,751341.239999999990687,748978.720000000088476,838202.399999999906868,758379.239999999990687,779365.209999999962747,844820.060000000172295,763808.219999999972060,764770.050000000046566,799819.880000000004657,748423.500000000000000,10104220.810000002384186
20120516,813752.060000000055879,692509.379999999888241,787931.460000000079162,753945.300000000046566,750156.120000000111759,835793.839999999967404,768225.299999999930151,791247.869999999878928,837708.800000000046566,763252.139999999897555,770804.099999999976717,796507.600000000093132,746405.900000000023283,10108249.869999999180436
20120517,789080.599999999976717,692786.099999999976717,774822.960000000079162,747001.140000000013970,748272.280000000027940,822437.279999999911524,764206.500000000000000,788451.949999999837019,825725.010000000125729,762974.099999999976717,754276.050000000046566,806054.760000000009313,777804.800000000046566,10053903.530000001192093
20120518,785535.849999999976717,681163.859999999869615,765734.400000000139698,739415.400000000023283,745917.480000000097789,810832.399999999906868,759986.759999999892898,788801.439999999944121,818877.130000000121072,750601.319999999948777,738797.400000000023283,809172.200000000069849,787262.300000000046566,9982107.940000001341105
20120521,798722.319999999948777,689673.000000000000000,775871.640000000130385,746510.520000000018626,747330.360000000102445,815868.479999999864958,755566.079999999958090,787752.969999999855645,825725.010000000125729,772288.439999999944121,762408.900000000023283,805470.240000000107102,794954.400000000023283,10078152.359999999403954
20120522,799005.900000000023283,687113.339999999967404,775871.640000000130385,742962.959999999962747,747919.060000000055879,812365.119999999878928,752752.919999999925494,781811.639999999897555,827305.290000000037253,774651.779999999911524,776575.800000000046566,806444.440000000060536,803655.299999999930151,10088445.189999999478459
20120523,793617.880000000004657,684899.579999999958090,775871.640000000130385,740321.160000000032596,747919.060000000055879,812365.119999999878928,752752.919999999925494,781811.639999999897555,827305.290000000037253,774651.779999999911524,776575.800000000046566,806444.440000000060536,803655.299999999930151,10078201.610000001266599
20120524,798864.110000000102445,692232.659999999916181,776745.540000000037253,740207.940000000060536,742973.980000000097789,827254.399999999906868,755566.079999999958090,773773.369999999878928,832177.820000000065193,781602.779999999911524,785495.700000000069849,806444.440000000060536,820552.699999999953434,10133901.519999999552965
20120525,791349.239999999990687,683931.059999999939464,777794.220000000088476,733452.480000000097789,736027.320000000065193,823751.039999999804422,754561.379999999888241,773423.879999999888241,824408.110000000102445,780212.579999999958090,782872.200000000069849,807613.480000000097789,823579.099999999976717,10092986.089999999850988
20120529,801983.489999999990687,693477.899999999906868,794922.660000000032596,741604.320000000065193,736969.240000000107102,826159.599999999860302,755365.140000000013970,775171.329999999841675,828095.430000000167638,780629.639999999897555,788906.250000000000000,813458.680000000051223,828244.800000000046566,10164998.480000000447035
20120530,786386.589999999967404,675421.919999999925494,790028.820000000181608,734320.500000000000000,732495.120000000111759,821780.399999999906868,751547.279999999911524,770278.469999999855645,815058.120000000111759,780907.679999999934807,770541.750000000116415,807028.960000000079162,825218.400000000023283,10061024.010000001639128
20120531,791632.819999999948777,680126.159999999916181,798942.600000000093132,728168.880000000004657,735085.400000000023283,818277.039999999804422,755164.199999999953434,764337.139999999897555,822959.520000000135042,775346.880000000004657,755587.800000000046566,811315.440000000060536,830010.199999999953434,10066964.079999998211861
20120601,757603.219999999972060,666981.959999999962747,776046.420000000041910,713752.200000000069849,727432.300000000046566,800322.319999999832362,747126.599999999976717,756298.869999999878928,797806.730000000097789,765198.419999999925494,736173.900000000023283,799430.200000000069849,826605.500000000000000,9870788.640000000596046
20120604,758737.539999999920838,668158.019999999902211,776221.200000000069849,711714.239999999990687,734025.740000000107102,806234.239999999874271,752752.919999999925494,755250.399999999906868,795172.930000000167638,763391.159999999916181,748766.700000000069849,805470.240000000107102,832153.899999999906868,9908059.230000000447035
20120605,765401.669999999925494,667535.399999999906868,783736.740000000107102,714205.079999999958090,732495.120000000111759,801855.039999999804422,753556.679999999934807,754900.909999999916181,800703.910000000032596,779100.419999999925494,746405.550000000046566,802742.480000000097789,825975.000000000000000,9928624.000000000000000
20120606,785252.270000000018626,690433.979999999981374,795796.560000000055879,732282.540000000037253,739441.780000000027940,816963.279999999911524,761594.279999999911524,765735.099999999860302,811765.870000000111759,802177.739999999990687,763195.950000000069849,813848.360000000102445,831397.300000000046566,10109895.009999999776483
20120607,783267.210000000079162,694515.599999999976717,797544.360000000102445,733980.839999999967404,739441.780000000027940,813240.959999999962747,770234.699999999953434,766783.569999999948777,815321.500000000000000,798702.239999999990687,766081.800000000046566,811315.440000000060536,830640.700000000069849,10121080.699999999254942
20120608,792058.189999999944121,697628.699999999953434,808205.940000000176951,736622.640000000013970,741561.100000000093132,823751.039999999804422,772846.919999999925494,773773.369999999878928,818350.370000000111759,806348.339999999967404,764770.050000000046566,826902.640000000013970,860274.199999999953434,10223103.500000000000000
20120611,781282.150000000023283,691194.959999999962747,800515.619999999995343,726697.020000000018626,731435.460000000079162,817401.199999999837019,773047.859999999869615,772375.409999999916181,810712.350000000093132,798841.260000000009313,763195.950000000069849,829240.720000000088476,851573.300000000046566,10147523.259999999776483
20120612,800849.169999999925494,696936.899999999906868,810652.860000000102445,734395.980000000097789,742738.500000000000000,823313.119999999878928,780683.579999999958090,775520.819999999948777,815716.570000000065193,804124.020000000018626,768442.950000000069849,836644.640000000013970,853969.199999999953434,10243998.309999998658895
20120613,781282.150000000023283,692716.919999999925494,808031.160000000032596,728923.680000000051223,758868.880000000121072,817839.119999999878928,771641.279999999911524,775520.819999999948777,811897.560000000055879,806487.359999999986030,753751.350000000093132,837618.840000000083819,845772.699999999953434,10190361.820000000298023
20120614,780573.199999999953434,705100.140000000013970,824635.260000000125729,736471.680000000051223,770642.880000000121072,829225.039999999804422,779477.939999999944121,788451.949999999837019,831255.989999999990687,823725.839999999967404,763983.000000000116415,852426.680000000051223,852834.299999999930151,10338813.900000002235174
