訓練日期,20181016 - 20190118
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10456145.459999999031425
真實報酬,456145.459999999031425

夏普值報酬,0.036914546000000
夏普值風險,0.027302570724022
夏普值,1.352053855043061

預期報酬,7517.070227085909210
風險,365848.977073015936185
趨勢值,0.020546921539118
找到最佳解世代,72
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CVX[5](20),KO[14](5),MCD[15](3),MMM[16](18),MRK[17](2),MSFT[18](19),NKE[19](12),PG[21](1),WBA[27](10),WMT[28](7),
Stock#,CVX[5](20),KO[14](5),MCD[15](3),MMM[16](18),MRK[17](2),MSFT[18](19),NKE[19](12),PG[21](1),WBA[27](10),WMT[28](7),
張數,8551,22266,6109,5026,14396,9293,13335,12479,13383,10658,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,46.060000000055879,33.940000000060536,139.970000000088476,127.560000000055879,53.840000000083819,73.200000000069849,8.350000000093132,57.730000000097789,22.239999999990687,66.440000000060536,
20181016,1004874.070000000065193,1012914.280000000144355,1002443.600000000093132,1017038.140000000130385,1025336.960000000079162,1031596.200000000069849,1033204.150000000139698,1010981.520000000135042,1020877.479999999981374,1021209.420000000041910,10180475.820000002160668
20181017,1002992.850000000093132,1021152.700000000069849,1018937.900000000139698,1020053.740000000107102,1033974.559999999939464,1028901.229999999981374,1019869.150000000139698,1021588.670000000041910,1030245.580000000074506,1029202.920000000041910,10226919.300000000745058
20181018,1004532.030000000027940,1015586.200000000069849,1019182.260000000125729,1007237.440000000060536,1039589.000000000000000,1008363.700000000069849,1008134.349999999976717,1001372.690000000060536,1024892.380000000004657,1025046.300000000046566,10153936.350000001490116
20181019,1010261.200000000069849,1031617.719999999972060,1023336.380000000121072,1004573.660000000032596,1041604.439999999944121,1009850.580000000074506,989598.699999999953434,1089474.430000000167638,1035197.289999999920838,1035491.140000000130385,10271005.540000000968575
20181022,1002308.770000000018626,1023601.960000000079162,1018082.640000000013970,1012162.920000000158325,1044771.559999999939464,1018864.790000000037253,998799.850000000209548,1080739.129999999888241,1039212.190000000060536,1035384.560000000055879,10273928.370000001043081
20181023,969729.460000000079162,1032285.700000000069849,1082349.320000000298023,967883.860000000102445,1038005.439999999944121,1004646.500000000000000,978130.599999999976717,1087727.370000000111759,1033992.820000000065193,1042418.840000000083819,10237169.910000000149012
20181024,942451.770000000018626,1040524.119999999995343,1083571.120000000111759,927625.599999999976717,1015547.680000000167638,950932.959999999962747,961728.550000000162981,1116429.069999999832362,993040.840000000083819,1039860.920000000041910,10071712.630000000819564
20181025,954166.640000000013970,1035625.599999999976717,1071108.760000000242144,929887.300000000046566,1007198.000000000000000,1006505.100000000093132,974796.849999999976717,1110688.729999999981374,1013650.659999999916181,1057126.880000000353903,10160754.520000001415610
20181026,953739.090000000083819,1022488.660000000149012,1059074.030000000260770,929686.260000000009313,1013532.240000000223517,994052.479999999981374,961061.800000000046566,1096462.669999999925494,1020208.330000000074506,1054568.959999999962747,10104874.519999999552965
20181029,931506.490000000107102,1034512.300000000046566,1058402.040000000037253,933908.099999999976717,1028648.040000000153668,965151.250000000000000,962662.000000000116415,1101204.689999999944121,1028104.299999999930151,1063734.839999999850988,10107834.050000000745058
20181030,947924.410000000032596,1060563.520000000018626,1090535.380000000353903,954112.620000000111759,1049090.360000000102445,964036.090000000083819,993599.200000000186265,1113059.740000000223517,1054602.639999999897555,1091658.800000000279397,10319182.760000001639128
20181031,954765.210000000079162,1066130.020000000018626,1080822.070000000298023,956374.320000000065193,1059743.400000000139698,992658.530000000144355,1000666.750000000232831,1106695.450000000186265,1067584.149999999906868,1068850.680000000167638,10354290.580000000074506
20181101,950660.730000000097789,1063012.780000000260770,1068481.890000000130385,966225.280000000027940,1052689.360000000102445,984387.760000000125729,1024003.000000000232831,1118051.340000000316650,1069323.940000000176951,1072048.080000000074506,10368884.160000000149012
20181102,981102.290000000037253,1068801.939999999944121,1079905.720000000204891,969190.620000000111759,1040452.760000000009313,986618.080000000074506,1021202.650000000023283,1120796.720000000204891,1061294.139999999897555,1080148.160000000149012,10409513.080000001937151
20181105,1017102.000000000000000,1084165.479999999981374,1102142.479999999981374,971402.060000000055879,1052689.360000000102445,999163.630000000121072,1033870.900000000139698,1138142.530000000260770,1070260.750000000000000,1096881.220000000204891,10565820.410000002011657
20181106,1016759.960000000079162,1093517.200000000186265,1116315.360000000335276,981705.360000000102445,1055424.600000000093132,1001115.160000000032596,1021069.300000000046566,1142011.020000000018626,1078692.039999999804422,1101357.580000000074506,10607967.580000000074506
20181107,1033605.430000000051223,1099306.359999999869615,1125723.220000000204891,1011811.099999999976717,1080905.520000000018626,1040517.479999999981374,1039738.300000000046566,1139265.640000000130385,1096223.770000000018626,1111909.000000000000000,10779005.820000000298023
20181108,1020693.420000000041910,1098415.720000000204891,1133237.290000000037253,1025783.380000000004657,1086663.920000000158325,1038565.950000000069849,1037204.650000000139698,1140139.169999999925494,1103316.760000000009313,1117877.479999999981374,10801897.740000000223517
