訓練日期,20190614 - 20190916
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10431304.869999999180436
真實報酬,431304.869999999180436

夏普值報酬,0.034430487000000
夏普值風險,0.014687634312621
夏普值,2.344181933397797

預期報酬,7074.078985320026732
風險,161842.443986536265584
趨勢值,0.043709664851011
找到最佳解世代,70
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](3),IBM[10](13),KO[14](2),MCD[15](4),MMM[16](23),MRK[17](12),MSFT[18](7),PG[21](1),TRV[22](21),UTX[24](10),V[25](6),VZ[26](19),WBA[27](18),
Stock#,AAPL[0](3),IBM[10](13),KO[14](2),MCD[15](4),MMM[16](23),MRK[17](12),MSFT[18](7),PG[21](1),TRV[22](21),UTX[24](10),V[25](6),VZ[26](19),WBA[27](18),
張數,3962,5666,15044,3761,4555,9279,5813,6935,5148,6163,4542,13350,14543,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,7.699999999953434,13.840000000083819,30.279999999911524,143.109999999986030,118.250000000000000,0.899999999906868,53.840000000083819,69.150000000023283,67.320000000065193,25.969999999972060,42.300000000046566,3.000000000000000,50.729999999981374,
20190614,763643.579999999958090,765773.740000000107102,771937.919999999925494,772238.799999999930151,759391.199999999953434,768116.519999999902211,769985.690000000060536,771241.150000000023283,772833.600000000093132,772249.869999999995343,770638.020000000018626,778041.000000000000000,764576.239999999990687,10000677.330000001937151
20190617,768199.879999999888241,764640.540000000037253,765318.559999999823049,766672.520000000018626,759801.150000000023283,772941.599999999860302,772310.890000000013970,769784.799999999930151,771855.479999999981374,765655.459999999962747,770183.820000000065193,769363.500000000000000,768066.560000000055879,9984804.759999997913837
20190618,786266.599999999860302,772742.920000000041910,761858.439999999944121,769305.219999999972060,782940.550000000046566,783983.609999999869615,785738.920000000041910,760145.150000000023283,773966.160000000149012,780385.030000000027940,768912.060000000055879,765358.500000000000000,767921.129999999888241,10059534.289999999105930
20190619,783968.640000000013970,776709.120000000111759,769079.559999999823049,769455.660000000032596,777884.500000000000000,792056.339999999850988,788819.810000000055879,765831.850000000093132,780504.119999999995343,781247.849999999976717,775316.280000000027940,769363.500000000000000,769375.429999999934807,10099622.660000000149012
20190620,790268.219999999972060,786737.940000000060536,777203.319999999832362,771599.430000000051223,792414.949999999953434,785004.299999999813735,796144.190000000060536,774986.049999999930151,783541.440000000060536,801400.859999999986030,789169.380000000121072,765492.000000000000000,769084.570000000065193,10183056.650000002235174
20190621,787574.059999999939464,788721.040000000037253,775548.479999999864958,768364.969999999972060,789727.500000000000000,784725.929999999818392,796260.450000000069849,771241.150000000023283,779886.359999999986030,793512.219999999972060,787806.780000000027940,771232.500000000000000,762831.080000000074506,10157442.519999999552965
20190624,786781.660000000032596,789570.940000000060536,781114.759999999892898,767086.229999999981374,789864.150000000023283,793448.189999999944121,800968.980000000097789,779077.699999999953434,782666.280000000144355,802325.310000000055879,789669.000000000000000,777907.500000000000000,755559.580000000074506,10196050.280000001192093
20190625,774856.039999999920838,783961.600000000209548,778707.719999999855645,773818.420000000041910,783714.900000000023283,790942.859999999869615,775682.430000000167638,774847.349999999976717,788380.560000000055879,795176.229999999981374,777996.060000000055879,774303.000000000000000,770102.580000000074506,10142499.750000000000000
20190626,791615.300000000046566,784868.160000000149012,769079.559999999823049,769455.660000000032596,783031.650000000023283,775168.559999999939464,778588.930000000167638,761046.700000000069849,765574.920000000041910,787410.849999999976717,776996.820000000065193,760819.500000000000000,761813.070000000065193,10065479.679999999701977
20190627,791377.579999999958090,784868.160000000149012,768477.799999999930151,775924.580000000074506,781300.750000000000000,777859.469999999855645,779867.790000000153668,761393.450000000069849,768148.920000000041910,794868.079999999958090,777768.959999999962747,764290.500000000000000,792935.090000000083819,10119091.129999998956919
20190628,784166.739999999874271,781355.240000000107102,766070.759999999892898,781152.369999999995343,789681.950000000069849,778045.049999999813735,778763.320000000181608,760491.900000000023283,769796.280000000144355,802448.569999999948777,788306.400000000139698,762688.500000000000000,795116.540000000037253,10138093.620000001043081
20190701,798548.800000000046566,792573.920000000041910,776300.679999999934807,776037.410000000032596,795011.299999999930151,786396.149999999906868,788761.680000000167638,766317.299999999930151,779577.479999999981374,809474.390000000013970,790077.780000000027940,756414.000000000000000,794825.679999999934807,10210326.569999998435378
20190702,803223.959999999962747,794500.360000000102445,782017.399999999906868,788373.489999999990687,792779.350000000093132,793448.189999999944121,793993.380000000121072,773182.950000000069849,786836.160000000149012,813295.450000000069849,796164.060000000055879,776038.500000000000000,799334.010000000009313,10293197.259999999776483
20190703,809880.119999999995343,801979.479999999981374,783822.679999999934807,800521.520000000018626,797152.149999999906868,806346.000000000000000,799108.820000000181608,791213.949999999953434,794403.720000000088476,819704.969999999972060,803385.840000000083819,776038.500000000000000,802678.899999999906868,10386246.650000000372529
20190705,809166.959999999962747,801072.920000000041910,783973.119999999878928,794616.750000000000000,783578.250000000000000,794283.299999999813735,796783.620000000111759,784764.400000000023283,793322.640000000130385,816869.989999999874271,802432.020000000018626,778441.500000000000000,802678.899999999906868,10341994.370000001043081
20190708,792486.939999999944121,796483.460000000079162,782318.279999999911524,798076.869999999995343,770778.699999999953434,779808.059999999939464,796202.320000000181608,791005.900000000023283,791829.720000000088476,806577.780000000027940,800297.280000000027940,772834.500000000000000,806169.219999999972060,10284879.030000001192093
20190709,797320.579999999958090,789457.620000000111759,776150.239999999990687,797813.599999999976717,754881.750000000000000,787416.839999999850988,793295.820000000181608,783100.000000000000000,790027.920000000041910,803619.539999999920838,807291.959999999962747,753076.500000000000000,807187.229999999981374,10240649.600000001490116
20190710,805204.959999999962747,795916.860000000102445,779610.359999999869615,801236.109999999986030,754881.750000000000000,787045.679999999818392,801375.890000000013970,788925.400000000023283,789410.160000000149012,803989.319999999948777,814468.320000000065193,760953.000000000000000,808205.239999999990687,10291233.050000000745058
20190711,799341.199999999953434,800279.680000000167638,782920.039999999920838,800070.199999999953434,770095.449999999953434,751599.899999999906868,804573.040000000153668,793294.449999999953434,784776.960000000079162,809474.390000000013970,820963.380000000121072,759885.000000000000000,808932.389999999897555,10286216.080000001937151
20190712,805482.300000000046566,808778.680000000167638,784123.559999999823049,801198.500000000000000,789681.950000000069849,739815.569999999948777,807479.540000000153668,797524.799999999930151,789719.040000000037253,824142.329999999958090,819101.160000000149012,763489.500000000000000,810677.550000000046566,10341224.480000000447035
20190715,813049.719999999972060,812064.960000000079162,784274.000000000000000,805786.920000000041910,787404.450000000069849,751228.739999999874271,807479.540000000153668,800922.950000000069849,797132.160000000149012,821122.459999999962747,820191.239999999990687,768696.000000000000000,812859.000000000000000,10382222.140000000596046
20190716,810236.699999999953434,813254.820000000065193,784424.439999999944121,803944.030000000027940,804030.200000000069849,757074.509999999892898,796899.880000000121072,803766.300000000046566,795896.640000000130385,820875.939999999944121,814468.320000000065193,766426.500000000000000,811695.560000000055879,10383003.839999999850988
20190717,805680.399999999906868,810648.460000000079162,785026.199999999953434,803906.420000000041910,795740.099999999976717,760136.579999999958090,792191.350000000093132,804113.050000000046566,784519.560000000055879,801832.269999999902211,813741.600000000093132,763890.000000000000000,792935.090000000083819,10314371.079999998211861
20190718,814832.619999999995343,847817.420000000041910,782769.599999999976717,812180.619999999995343,788406.550000000046566,767281.409999999916181,793063.300000000046566,800645.550000000046566,786218.400000000139698,809227.869999999995343,820009.560000000055879,763756.500000000000000,797297.989999999990687,10383517.390000000596046
20190719,802669.279999999911524,848100.720000000088476,773141.439999999944121,804508.180000000051223,786356.800000000046566,755218.709999999962747,794225.900000000139698,797663.500000000116415,773451.359999999986030,815945.539999999920838,814150.380000000121072,755479.500000000000000,791771.649999999906868,10312692.960000000894070
20190722,821013.339999999967404,848440.680000000167638,770583.959999999846332,808758.109999999986030,795603.449999999953434,753548.489999999874271,804747.430000000167638,799674.650000000023283,770774.400000000139698,819396.819999999948777,820191.239999999990687,740928.000000000000000,784500.149999999906868,10338170.720000002533197
20190723,827431.779999999911524,852066.920000000041910,817370.799999999930151,806163.020000000018626,808721.850000000093132,761157.269999999902211,809746.609999999986030,789618.900000000023283,759397.320000000065193,831661.189999999944121,821690.100000000093132,740661.000000000000000,794825.679999999934807,10420522.439999999478459
