訓練日期,20180919 - 20181220
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9647565.520000001415610
真實報酬,-352434.479999998584390

夏普值報酬,-0.043943448000000
夏普值風險,0.023450579344869
夏普值,-1.873874728370573

預期報酬,5986.476201569418663
風險,220086.056682768947212
趨勢值,0.027200615485598
找到最佳解世代,40
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,16
AXP[1](15),CSCO[4](14),CVX[5](13),DIS[6](7),INTC[11](8),JNJ[12](12),KO[14](5),MCD[15](1),MRK[17](2),PFE[20](10),PG[21](4),TRV[22](16),V[25](18),VZ[26](6),WBA[27](3),WMT[28](11),
Stock#,AXP[1](15),CSCO[4](14),CVX[5](13),DIS[6](7),INTC[11](8),JNJ[12](12),KO[14](5),MCD[15](1),MRK[17](2),PFE[20](10),PG[21](4),TRV[22](16),V[25](18),VZ[26](6),WBA[27](3),WMT[28](11),
張數,5700,13168,5290,5706,13557,4447,13607,3961,8875,14364,7440,4757,4233,11491,8817,6549,
分配資金,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,625000.000000000000000,
剩餘資金,52.000000000000000,46.719999999972060,92.300000000046566,21.819999999948777,22.299999999930151,18.619999999995343,30.489999999990687,73.029999999911524,22.500000000000000,22.359999999986030,40.000000000000000,72.910000000032596,82.209999999962747,4.510000000009313,51.040000000037253,28.929999999934807,
20180919,627622.000000000000000,622629.760000000009313,632300.200000000069849,626483.559999999939464,625677.849999999860302,624644.239999999990687,625408.209999999962747,630585.009999999892898,621095.000000000000000,621409.000000000000000,625000.000000000000000,630375.410000000032596,624111.069999999948777,614773.010000000009313,628526.800000000046566,623755.689999999944121,10004396.810000000521541
20180920,633379.000000000000000,628555.359999999986030,631824.100000000093132,636925.539999999920838,639912.699999999953434,631403.679999999934807,634660.969999999972060,636962.219999999855645,628195.000000000000000,628447.359999999986030,635118.400000000023283,638224.460000000079162,631815.130000000004657,619943.960000000079162,642722.170000000041910,627095.679999999934807,10125185.730000000447035
20180921,632182.000000000000000,639484.800000000046566,640870.000000000000000,629964.219999999972060,632591.919999999925494,635405.979999999981374,633844.549999999930151,654826.329999999958090,631035.000000000000000,632900.200000000069849,638540.799999999930151,639603.989999999990687,635243.859999999986030,625344.729999999981374,643692.040000000037253,628078.030000000027940,10173608.450000001117587
20180924,626197.000000000000000,637904.639999999897555,648752.100000000093132,643487.439999999944121,635981.169999999925494,624688.709999999962747,626904.979999999981374,646943.939999999944121,628195.000000000000000,631032.880000000004657,627008.799999999930151,631945.220000000088476,631264.839999999967404,615232.650000000023283,636638.440000000060536,621660.009999999892898,10113837.819999996572733
20180925,626311.000000000000000,638299.679999999934807,652719.600000000093132,648394.599999999976717,622424.169999999925494,616550.699999999953434,621598.250000000000000,659223.039999999920838,627041.250000000000000,629021.919999999925494,618452.800000000046566,624619.439999999944121,633254.349999999976717,609602.059999999939464,636726.609999999986030,622838.829999999841675,10087078.299999998882413
20180926,615709.000000000000000,637509.599999999976717,645207.800000000046566,657410.079999999958090,619577.199999999953434,614416.140000000013970,623911.440000000060536,656648.389999999897555,624201.250000000000000,627441.880000000004657,619494.400000000023283,616104.410000000032596,631942.119999999995343,610636.250000000000000,643339.359999999986030,619498.839999999967404,10063048.160000000149012
