訓練日期,20150921 - 20151221
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11083043.809999998658895
真實報酬,1083043.809999998658895

夏普值報酬,0.099604381000000
夏普值風險,0.039763901703791
夏普值,2.504894558435737

預期報酬,23779.772336838737829
風險,239979.989007735712221
趨勢值,0.099090646829191
找到最佳解世代,96
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AXP[1](26),BA[2](16),CVX[5](14),HD[9](2),INTC[11](7),JNJ[12](4),JPM[13](11),KO[14](9),MCD[15](1),MSFT[18](3),PG[21](5),TRV[22](10),V[25](8),VZ[26](20),
Stock#,AXP[1](26),BA[2](16),CVX[5](14),HD[9](2),INTC[11](7),JNJ[12](4),JPM[13](11),KO[14](9),MCD[15](1),MSFT[18](3),PG[21](5),TRV[22](10),V[25](8),VZ[26](20),
張數,9404,5248,9188,6204,24613,7648,11721,18324,7359,16427,10212,7167,10234,16026,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,51.199999999953434,84.679999999934807,9.880000000004657,80.520000000018626,15.739999999990687,38.280000000027940,7.260000000009313,15.480000000097789,94.050000000046566,39.040000000037253,57.719999999972060,21.780000000027940,54.139999999897555,6.180000000051223,
20150921,721714.159999999916181,713917.640000000013970,717500.800000000046566,723342.839999999967404,717730.819999999948777,712296.520000000018626,720262.710000000079162,718133.040000000037253,720540.150000000139698,724634.010000000009313,721535.520000000018626,720448.619999999995343,724416.659999999916181,717970.979999999981374,10074454.469999998807907
20150922,712028.039999999920838,703264.199999999953434,709782.880000000004657,718503.719999999972060,705670.450000000069849,713137.800000000046566,713933.369999999995343,710803.440000000060536,715388.850000000093132,721184.339999999967404,716838.000000000000000,709411.440000000060536,718992.639999999897555,712041.360000000102445,9980990.529999999329448
20150923,711275.719999999855645,691088.839999999850988,699400.440000000060536,720799.200000000069849,707393.359999999986030,711225.800000000046566,710768.700000000069849,710253.720000000088476,716713.469999999972060,720691.530000000027940,717552.839999999967404,710128.140000000013970,726156.439999999944121,704829.660000000032596,9958287.859999999403954
20150924,702435.959999999962747,681012.679999999934807,706475.199999999953434,721853.880000000004657,700993.979999999981374,707325.320000000065193,705845.880000000004657,717400.080000000074506,716051.160000000149012,721348.609999999986030,728786.039999999920838,708551.400000000023283,718890.299999999813735,706592.520000000135042,9943573.009999997913837
20150925,706291.599999999860302,687625.159999999916181,713917.479999999981374,724335.479999999981374,709116.269999999902211,696006.280000000027940,720497.130000000004657,726012.360000000102445,718258.860000000102445,721841.420000000041910,742163.760000000009313,716076.750000000000000,723495.599999999860302,708675.900000000023283,10014324.050000000745058
20150928,689740.559999999939464,672510.919999999925494,696184.640000000013970,707956.919999999925494,707885.619999999995343,698836.040000000037253,703032.839999999967404,724363.200000000069849,706263.689999999944121,711163.869999999995343,732972.959999999962747,710128.140000000013970,687778.939999999944121,700983.420000000041910,9849811.759999999776483
20150929,687483.599999999860302,675764.679999999934807,700594.880000000004657,700574.160000000032596,719699.859999999986030,711608.200000000069849,701391.900000000023283,726745.320000000065193,717449.370000000111759,713627.920000000041910,738181.079999999958090,712923.270000000018626,701390.159999999916181,697617.960000000079162,9905062.360000001266599
20150930,697169.719999999855645,687310.279999999911524,724759.319999999948777,716580.479999999981374,741851.560000000055879,713979.079999999958090,714636.630000000004657,735174.360000000102445,725176.320000000065193,727098.060000000055879,734709.000000000000000,713353.290000000037253,712954.579999999841675,697297.440000000060536,10042060.120000001043081
20151001,694912.760000000009313,685525.959999999962747,719797.800000000046566,726134.640000000013970,738405.739999999990687,712602.440000000060536,719911.080000000074506,729310.680000000051223,727016.070000000065193,732847.510000000009313,734811.119999999995343,704824.560000000055879,716331.799999999813735,688483.140000000013970,10030925.300000000745058
20151002,699802.839999999967404,695759.559999999939464,749291.280000000027940,730973.760000000009313,750958.369999999995343,718414.920000000041910,712761.270000000018626,740121.840000000083819,734448.660000000149012,748617.430000000051223,739610.760000000009313,716936.790000000037253,723290.919999999925494,686560.020000000135042,10147558.419999999925494
