訓練日期,20151012 - 20160113
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9885898.890000000596046
真實報酬,-114101.109999999403954

夏普值報酬,-0.020110111000000
夏普值風險,0.023906201496448
夏普值,-0.841208964250872

預期報酬,12018.879751561404191
風險,324124.634143194416538
趨勢值,0.037081043788395
找到最佳解世代,71
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](14),CVX[5](20),HD[9](3),JNJ[12](5),JPM[13](13),MCD[15](1),MSFT[18](2),TRV[22](6),UNH[23](24),XOM[29](21),
Stock#,BA[2](14),CVX[5](20),HD[9](3),JNJ[12](5),JPM[13](13),MCD[15](1),MSFT[18](2),TRV[22](6),UNH[23](24),XOM[29](21),
張數,7158,11164,8241,10485,16147,9731,21226,9714,8384,12616,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,27.400000000023283,40.520000000018626,119.469999999972060,45.549999999930151,16.290000000037253,42.439999999944121,43.140000000013970,40.839999999967404,40.320000000065193,55.839999999967404,
20151012,1007014.840000000083819,990733.880000000004657,1004697.369999999995343,1006500.699999999837019,996609.130000000004657,1004670.879999999888241,997665.140000000013970,1007576.919999999925494,1027164.160000000149012,1000504.639999999897555,10043137.660000000149012
20151013,1004223.219999999972060,986714.839999999967404,1002307.479999999981374,1000838.799999999930151,993864.140000000013970,1006033.219999999855645,995330.280000000027940,1003594.179999999934807,1039572.479999999981374,998738.399999999906868,10031217.039999999105930
20151014,960774.160000000032596,1002121.160000000032596,991264.539999999920838,991192.599999999976717,968674.820000000065193,1000583.859999999869615,990872.820000000065193,998348.619999999878928,1023475.199999999953434,1011354.399999999906868,9938662.180000001564622
20151015,983465.019999999902211,1012838.599999999976717,1003955.679999999934807,1018663.300000000046566,999354.119999999995343,1008757.899999999906868,997877.400000000023283,1019622.279999999911524,1007545.600000000093132,1028007.520000000018626,10080087.419999999925494
20151016,984968.199999999953434,1019202.080000000074506,1011619.809999999939464,1030091.949999999837019,1008073.500000000000000,1020045.859999999869615,1008490.400000000023283,1028753.440000000060536,1005952.640000000130385,1040623.520000000018626,10157821.399999998509884
20151019,990837.759999999892898,1005135.440000000060536,1014586.569999999948777,1026946.449999999953434,1004682.630000000004657,1016834.629999999888241,1010825.260000000009313,1032833.319999999948777,1012240.640000000130385,1021825.679999999934807,10136748.379999998956919
20151020,994130.439999999944121,1004688.880000000004657,1012526.319999999948777,1023276.699999999953434,1009526.730000000097789,1010509.479999999981374,1014009.160000000032596,1058381.140000000130385,1009641.600000000093132,1019807.119999999995343,10156497.570000000298023
20151021,1010665.420000000041910,997320.640000000013970,1016234.769999999902211,1023696.099999999860302,1002099.110000000102445,997859.180000000051223,1001910.340000000083819,1075380.640000000130385,990274.560000000055879,1011985.199999999837019,10127425.959999999031425
20151022,1047314.380000000004657,1022886.200000000069849,1024970.229999999981374,1043617.599999999976717,1020345.219999999972060,1078918.409999999916181,1019527.920000000041910,1091117.319999999832362,954223.360000000102445,1045796.079999999958090,10348716.719999998807907
20151023,1050106.000000000000000,1018643.880000000004657,1027030.479999999981374,1051795.899999999906868,1031325.180000000051223,1095655.729999999981374,1122261.759999999776483,1090728.759999999776483,971913.600000000093132,1046931.520000000018626,10506392.809999998658895
20151026,1050106.000000000000000,991068.799999999930151,1030326.880000000004657,1047916.449999999953434,1031809.589999999967404,1091666.020000000018626,1151553.640000000130385,1095488.620000000111759,977027.840000000083819,1024727.359999999986030,10491691.199999999254942
20151027,1062704.080000000074506,979123.320000000065193,1025876.739999999990687,1050537.699999999720603,1027611.369999999995343,1086411.280000000027940,1139667.080000000074506,1101705.580000000074506,1000838.400000000139698,1023087.280000000027940,10497562.830000000074506
20151028,1058552.439999999944121,1002456.080000000074506,1020520.089999999967404,1053578.350000000093132,1057644.790000000037253,1099061.579999999841675,1145822.620000000111759,1109962.479999999981374,1004275.840000000083819,1038100.319999999948777,10589974.589999999850988
20151029,1053541.839999999850988,1003572.479999999981374,1018954.299999999930151,1062910.000000000000000,1052962.159999999916181,1095947.659999999916181,1132662.500000000000000,1110253.899999999906868,1003688.959999999962747,1037469.520000000018626,10571963.320000000298023
20151030,1059912.459999999962747,1014624.839999999967404,1019036.709999999962747,1059345.100000000093132,1037461.040000000037253,1092347.189999999944121,1117379.779999999795109,1096654.299999999813735,987507.840000000083819,1043903.679999999934807,10528172.939999997615814
20151102,1062274.600000000093132,1060173.959999999962747,1025382.279999999911524,1071298.000000000000000,1058290.670000000158325,1090984.849999999860302,1130115.379999999888241,1106174.020000000018626,995137.280000000027940,1075948.319999999832362,10675779.359999999403954
20151103,1060055.620000000111759,1095675.479999999981374,1035683.529999999911524,1069096.149999999906868,1062165.949999999953434,1090692.919999999925494,1149431.040000000037253,1104425.500000000000000,986501.760000000009313,1095755.439999999944121,10749483.389999998733401
20151104,1060771.419999999925494,1080380.800000000046566,1033376.049999999930151,1068886.449999999720603,1063296.239999999990687,1093806.840000000083819,1154737.540000000037253,1108213.959999999962747,961182.080000000074506,1084779.520000000018626,10709430.899999998509884
20151105,1059196.660000000149012,1055596.719999999972060,1036177.989999999990687,1072975.600000000093132,1072822.969999999972060,1098185.789999999804422,1154313.020000000018626,1107145.419999999925494,974512.640000000130385,1070018.799999999813735,10700945.609999999403954
20151106,1058981.919999999925494,1049791.439999999944121,1038320.650000000023283,1068676.750000000000000,1105439.909999999916181,1102662.050000000046566,1165775.060000000055879,1098694.239999999757856,962607.360000000102445,1065729.359999999869615,10716678.739999998360872
