訓練日期,20151006 - 20160107
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10392609.099999999627471
真實報酬,392609.099999999627471

夏普值報酬,0.030560910000000
夏普值風險,0.028395317315033
夏普值,1.076265838516282

預期報酬,22052.190580900009081
風險,338934.584842463023961
趨勢值,0.065063264615353
找到最佳解世代,79
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
BA[2](13),CVX[5](14),DD[7](9),HD[9](2),JNJ[12](5),MCD[15](1),TRV[22](8),
Stock#,BA[2](13),CVX[5](14),DD[7](9),HD[9](2),JNJ[12](5),MCD[15](1),TRV[22](8),
張數,10659,17000,21661,11984,15075,14120,14024,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,51.819999999832362,61.000000000000000,28.050000000046566,78.199999999953434,64.000000000000000,50.599999999860302,86.360000000102445,
20151006,1435072.989999999757856,1478891.000000000000000,1452398.100000000093132,1422339.320000000065193,1408370.500000000000000,1438878.599999999860302,1417492.040000000037253,10053445.550000000745058
20151007,1460548.000000000000000,1498101.000000000000000,1464961.479999999981374,1433963.800000000046566,1431887.500000000000000,1437042.999999999767169,1432918.440000000176951,10159426.219999998807907
20151008,1482079.179999999701977,1528531.000000000000000,1474275.710000000195578,1450861.239999999990687,1433395.000000000000000,1453704.599999999860302,1445820.520000000251457,10268670.250000000000000
20151009,1489114.119999999646097,1522751.000000000000000,1452398.100000000093132,1454096.919999999925494,1437766.750000000000000,1451021.800000000046566,1443716.920000000158325,10250868.609999999403954
20151012,1499559.939999999944121,1508641.000000000000000,1437452.010000000009313,1460927.800000000046566,1447113.250000000000000,1457799.399999999674037,1454655.640000000130385,10266152.040000000968575
20151013,1495402.929999999701977,1502521.000000000000000,1434636.080000000074506,1457452.439999999944121,1438972.750000000000000,1459776.199999999720603,1448905.800000000046566,10237670.199999999254942
20151014,1430702.799999999813735,1525981.000000000000000,1453264.540000000037253,1441393.879999999888241,1425103.750000000000000,1451868.999999999767169,1441332.840000000083819,10169650.809999998658895
