訓練日期,20100226 - 20100528
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10420606.660000000149012
真實報酬,420606.660000000149012

夏普值報酬,0.033360666000000
夏普值風險,0.039325950950942
夏普值,0.848311743093419

預期報酬,20612.250172209471202
風險,471030.573456701938994
趨勢值,0.043759898685439
找到最佳解世代,77
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),BA[2](11),CAT[3](5),CVX[5](7),HD[9](2),INTC[11](10),MCD[15](3),MMM[16](9),MSFT[18](16),NKE[19](4),XOM[29](21),
Stock#,AAPL[0](1),BA[2](11),CAT[3](5),CVX[5](7),HD[9](2),INTC[11](10),MCD[15](3),MMM[16](9),MSFT[18](16),NKE[19](4),XOM[29](21),
張數,31500,14459,16007,12606,28988,44066,14120,11400,31786,54963,13955,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,0.000000000000000,52.670000000041910,52.469999999972060,71.339999999967404,26.320000000065193,8.420000000041910,44.400000000023283,54.000000000116415,10.399999999906868,1.980000000097789,61.300000000046566,
20100226,920745.000000000000000,913283.109999999986030,913251.819999999948777,911485.139999999897555,904451.920000000041910,904683.400000000139698,901606.400000000023283,913764.000000000232831,911315.020000000018626,928876.680000000051223,907136.300000000046566,10030608.790000000968575
20100301,940590.000000000000000,925428.670000000041910,926057.420000000041910,917914.199999999953434,911119.160000000032596,919665.840000000083819,903442.000000000000000,918666.000000000116415,922440.119999999878928,937670.760000000009313,912718.300000000162981,10135722.470000000670552
20100302,939960.000000000000000,931790.630000000004657,930859.519999999902211,924343.259999999892898,909090.000000000000000,912174.619999999995343,904712.799999999930151,924936.000000000116415,904639.959999999962747,934922.610000000218861,913974.250000000000000,10131413.650000000372529
20100303,941850.000000000000000,931935.220000000088476,937582.459999999962747,921948.119999999878928,912278.680000000051223,904242.739999999990687,898500.000000000116415,923454.000000000116415,904639.959999999962747,929426.310000000055879,913136.950000000186265,10119004.440000001341105
20100304,948150.000000000000000,947840.119999999995343,935661.619999999995343,921317.819999999948777,911409.040000000153668,904683.400000000139698,895676.000000000000000,923682.000000000116415,910043.579999999841675,929426.310000000055879,912718.300000000162981,10140618.190000001341105
20100305,985320.000000000000000,982252.540000000153668,948147.079999999958090,936697.139999999897555,921844.720000000088476,916140.560000000055879,899064.800000000046566,939870.000000000116415,908772.139999999897555,938770.020000000018626,927650.150000000023283,10304539.149999998509884
20100308,985950.000000000000000,972275.829999999958090,943024.839999999967404,940983.179999999934807,926482.800000000046566,915259.239999999990687,919538.800000000046566,926988.000000000116415,910043.579999999841675,945365.580000000074506,927789.700000000069849,10313711.549999998882413
20100309,1003590.000000000000000,980228.280000000144355,947346.729999999981374,936697.139999999897555,918366.160000000032596,922750.460000000079162,919256.399999999906868,934740.000000000000000,915447.199999999953434,947014.470000000088476,931976.200000000069849,10357423.039999999105930
20100310,1011779.999999999883585,1012327.260000000125729,940943.929999999934807,932411.099999999860302,919235.800000000046566,933766.960000000079162,916997.199999999953434,929838.000000000116415,920850.819999999832362,949762.620000000111759,938116.400000000023283,10406040.090000001713634
20100311,1014615.000000000000000,1013194.799999999930151,942864.769999999902211,932789.279999999911524,931410.760000000125729,936410.920000000041910,920809.599999999976717,926418.000000000232831,927525.879999999888241,958556.700000000186265,938116.400000000023283,10442722.109999997541308
20100312,1019654.999999999883585,1009724.640000000013970,966234.989999999990687,929385.659999999916181,940686.920000000158325,937292.239999999990687,925328.000000000000000,927786.000000000116415,930386.619999999878928,960755.220000000088476,932255.300000000046566,10479500.590000001713634
20100315,1007370.000000000000000,1003507.270000000135042,951988.760000000009313,927494.759999999892898,947644.040000000037253,932885.640000000130385,930976.000000000116415,926418.000000000232831,931022.339999999850988,967350.780000000144355,925277.800000000046566,10451945.390000000596046
20100316,1009890.000000000116415,993675.150000000023283,951668.619999999995343,932663.219999999972060,943585.719999999972060,969901.080000000074506,932952.799999999930151,930978.000000000116415,933565.219999999972060,967350.780000000144355,929045.649999999906868,10495286.240000000223517
20100317,1008630.000000000116415,1003218.089999999967404,963994.010000000009313,941361.359999999986030,942716.080000000190921,980036.260000000009313,937330.000000000000000,936906.000000000232831,941829.579999999841675,973946.340000000083819,940070.100000000093132,10570047.819999998435378
20100318,1010835.000000000116415,1024762.000000000116415,956790.859999999986030,942495.900000000023283,939237.520000000018626,978273.619999999995343,941566.000000000116415,953892.000000000116415,941193.859999999869615,1026161.190000000176951,940488.750000000000000,10655706.699999999254942
20100319,1000125.000000000000000,1022593.150000000023283,950388.059999999939464,945269.219999999972060,938078.000000000000000,969019.760000000009313,939448.000000000000000,934398.000000000000000,940558.139999999897555,1010221.920000000041910,935604.500000000116415,10585713.750000000000000
20100322,1011465.000000000000000,1039799.359999999986030,959672.119999999995343,938714.099999999860302,947064.280000000144355,980036.260000000009313,946225.600000000093132,933030.000000000116415,940876.000000000000000,1015168.590000000083819,934627.650000000023283,10646688.960000000894070
20100323,1027529.999999999883585,1043703.290000000153668,999049.339999999967404,942621.959999999962747,944745.240000000107102,998984.640000000130385,951026.399999999906868,938844.000000000000000,949776.079999999841675,1023413.040000000153668,934348.550000000046566,10754052.540000002831221
20100324,1032255.000000000116415,1045727.549999999930151,993446.890000000013970,932032.920000000041910,936918.480000000097789,988408.800000000046566,943260.400000000023283,930408.000000000116415,942465.299999999813735,1008573.030000000144355,928068.800000000046566,10681575.169999999925494
20100325,1019970.000000000116415,1048185.579999999958090,994727.449999999953434,930394.139999999897555,945614.880000000004657,984883.520000000135042,944672.400000000139698,922656.000000000232831,953908.260000000009313,1010771.550000000162981,925277.800000000046566,10681071.580000001937151
20100326,1039185.000000000116415,1049631.479999999981374,999529.549999999930151,938335.920000000041910,949383.320000000065193,980036.260000000009313,949755.600000000093132,923454.000000000116415,942783.159999999916181,1015168.590000000083819,928627.000000000116415,10715899.879999998956919
20100329,1045800.000000000116415,1071609.160000000149012,1016176.829999999958090,948420.719999999972060,945035.120000000111759,984002.199999999953434,947072.799999999930151,927558.000000000116415,940558.139999999897555,1016267.849999999976717,939232.800000000046566,10781743.620000001043081
20100330,1061235.000000000000000,1063222.939999999944121,1011054.589999999967404,949303.139999999897555,947644.040000000037253,984442.859999999986030,949473.199999999953434,960846.000000000116415,946279.619999999878928,1014069.330000000074506,935744.050000000046566,10823324.770000001415610
20100331,1057455.000000000000000,1049920.660000000149012,1006092.420000000041910,955984.319999999948777,937788.120000000111759,982239.560000000055879,942130.800000000046566,952752.000000000000000,931022.339999999850988,1010221.920000000041910,934767.200000000069849,10760384.339999997988343
20100401,1061865.000000000000000,1055415.080000000074506,1024340.400000000023283,966825.479999999981374,938657.760000000125729,986646.160000000032596,954274.000000000000000,955944.000000000000000,926890.159999999916181,1016817.480000000097789,943558.850000000093132,10831244.369999999180436
20100405,1073205.000000000000000,1041679.030000000144355,1040347.399999999906868,979053.299999999930151,946774.400000000023283,995459.359999999986030,960628.000000000000000,959820.000000000116415,930386.619999999878928,1018466.370000000111759,951652.750000000000000,10897482.230000000447035
20100406,1077930.000000000000000,1046305.910000000032596,1045149.500000000116415,981826.619999999878928,943585.719999999972060,987086.819999999948777,957521.600000000093132,961644.000000000000000,931975.919999999925494,1015718.220000000088476,947605.800000000162981,10896360.110000001266599
20100407,1082655.000000000000000,1042546.569999999948777,1032023.760000000009313,975397.560000000055879,945325.000000000000000,989290.119999999995343,955968.400000000023283,953778.000000000116415,932929.500000000000000,1011321.180000000051223,939791.000000000116415,10861036.089999999850988
20100408,1079820.000000000000000,1045149.190000000060536,1032183.830000000074506,979053.299999999930151,955760.680000000051223,983120.880000000004657,970935.600000000093132,945684.000000000116415,951047.520000000018626,1016817.480000000097789,947047.600000000093132,10906630.080000000074506
20100409,1088010.000000000000000,1047173.450000000069849,1044829.359999999869615,1002248.339999999967404,963877.320000000065193,993696.720000000088476,969806.000000000116415,951840.000000000000000,964397.639999999897555,1033306.380000000121072,959607.100000000093132,11018802.310000000521541
20100412,1090215.000000000000000,1039943.950000000069849,1068199.580000000074506,1013971.920000000041910,970544.559999999939464,993256.060000000055879,967688.000000000000000,949446.000000000116415,963761.919999999925494,1037703.420000000041910,958909.349999999976717,11053649.759999999776483
20100413,1090845.000000000000000,1029388.880000000004657,1059555.800000000046566,1011198.599999999860302,995474.240000000107102,1003391.239999999990687,973194.800000000046566,956970.000000000116415,967894.099999999860302,1037703.420000000041910,958211.599999999976717,11083837.679999999701977
20100414,1105650.000000000000000,1036762.970000000088476,1077003.429999999934807,1015862.819999999948777,1014026.559999999939464,1036440.739999999990687,980254.800000000046566,962100.000000000116415,979654.919999999925494,1041550.830000000074506,957513.850000000093132,11206830.919999999925494
20100415,1120140.000000000000000,1042401.980000000097789,1092050.010000000009313,1028594.880000000004657,1018664.640000000130385,1067286.939999999944121,976583.599999999976717,969054.000000000116415,981244.219999999972060,1039352.310000000055879,952629.600000000093132,11288012.179999999701977
20100416,1113210.000000000000000,1023605.280000000144355,1070600.629999999888241,1018005.839999999967404,1014896.199999999953434,1054067.140000000130385,974748.000000000000000,954918.000000000232831,974887.020000000018626,1032756.750000000000000,948024.450000000186265,11179729.309999998658895
20100419,1111950.000000000000000,1026063.309999999939464,1072361.399999999906868,1025191.259999999892898,1019534.280000000144355,1057592.419999999925494,987314.800000000046566,956514.000000000232831,986647.839999999850988,1038802.680000000051223,952210.950000000069849,11234192.939999997615814
20100420,1100610.000000000000000,1032569.859999999986030,1080524.969999999972060,1034393.639999999897555,1019824.160000000032596,1062880.340000000316650,993245.200000000069849,972132.000000000116415,996819.359999999869615,1049245.649999999906868,962537.650000000023283,11304792.830000001937151
20100421,1166445.000000000000000,1072332.109999999869615,1084526.719999999972060,1032754.859999999986030,1022433.080000000190921,1048779.220000000204891,993527.599999999976717,977034.000000000116415,995865.779999999795109,1054192.320000000298023,961839.900000000023283,11409740.589999999850988
20100422,1199205.000000000000000,1093008.479999999981374,1080685.040000000037253,1023678.540000000037253,1035477.680000000051223,1057151.759999999776483,1002988.000000000000000,981024.000000000116415,997772.939999999944121,1075078.260000000242144,956816.100000000093132,11502895.799999998882413
20100423,1218735.000000000000000,1086357.339999999850988,1101013.929999999934807,1042209.359999999986030,1054899.640000000130385,1059355.060000000055879,1004682.400000000139698,987066.000000000116415,984104.959999999962747,1070681.220000000204891,966305.500000000000000,11575420.410000002011657
20100426,1212750.000000000000000,1074934.729999999981374,1146954.020000000018626,1041200.880000000004657,1057798.440000000176951,1049660.540000000037253,1002846.799999999930151,996870.000000000116415,988872.859999999869615,1072330.110000000335276,967003.250000000116415,11611231.629999998956919
20100427,1179045.000000000000000,1048040.990000000107102,1097012.179999999934807,1011450.719999999972060,1023012.840000000083819,1028949.520000000135042,995928.000000000000000,1002912.000000000116415,980608.500000000000000,1054192.320000000298023,952769.150000000023283,11373931.220000000670552
20100428,1177155.000000000000000,1046450.500000000116415,1104055.260000000009313,1016367.060000000055879,1020114.040000000037253,1024983.580000000074506,993245.200000000069849,1005990.000000000000000,982515.659999999916181,1050344.910000000149012,965607.750000000000000,11386838.960000000894070
20100429,1208970.000000000000000,1066982.280000000260770,1132547.719999999972060,1037419.080000000074506,1030839.600000000093132,1035118.760000000009313,1009906.799999999930151,1018416.000000000116415,985376.399999999906868,1065734.550000000279397,958211.599999999976717,11549532.790000000968575
20100430,1174950.000000000000000,1047318.040000000153668,1089969.100000000093132,1026703.979999999981374,1021273.559999999939464,1006475.859999999986030,996775.200000000069849,1010892.000000000116415,970754.839999999850988,1043199.720000000088476,945791.650000000023283,11334113.950000001117587
20100503,1198575.000000000000000,1075657.680000000167638,1119582.050000000046566,1044226.319999999948777,1039825.880000000004657,1024983.580000000074506,1008494.800000000046566,1023888.000000000116415,980926.359999999869615,1068482.700000000186265,946768.500000000116415,11531420.870000001043081
20100504,1163925.000000000000000,1052523.280000000260770,1067719.370000000111759,1018131.900000000023283,1026781.280000000144355,994137.380000000004657,997481.200000000069849,999606.000000000232831,957722.579999999841675,1062986.399999999906868,927650.150000000023283,11268674.540000000968575
