訓練日期,20190524 - 20190826
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10719546.929999999701977
真實報酬,719546.929999999701977

夏普值報酬,0.063254693000000
夏普值風險,0.026966923143300
夏普值,2.345639977681941

預期報酬,15523.715031548597835
風險,204422.650323078880319
趨勢值,0.075939310086305
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](4),AXP[1](9),HD[9](6),KO[14](3),MCD[15](1),MRK[17](10),MSFT[18](7),PG[21](2),TRV[22](19),UNH[23](23),V[25](5),WMT[28](8),
Stock#,AAPL[0](4),AXP[1](9),HD[9](6),KO[14](3),MCD[15](1),MRK[17](10),MSFT[18](7),PG[21](2),TRV[22](19),UNH[23](23),V[25](5),WMT[28](8),
張數,4638,7036,4340,16716,4188,10285,6604,7805,5671,3380,5159,8181,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,69.920000000041910,59.519999999902211,53.000000000000000,40.400000000023283,46.640000000013970,42.300000000046566,40.279999999911524,71.199999999953434,36.260000000009313,163.000000000000000,102.910000000032596,16.339999999967404,
20190524,830132.780000000027940,840931.879999999888241,840233.599999999976717,829321.160000000032596,828307.400000000023283,834875.750000000116415,833729.239999999874271,832786.649999999906868,839004.000000000000000,837152.400000000023283,839162.669999999925494,839959.609999999986030,10025601.140000000596046
20190528,826700.660000000032596,831503.639999999897555,831380.000000000000000,820796.000000000000000,823700.599999999976717,825516.400000000139698,833200.919999999925494,815381.499999999883585,829590.140000000013970,818325.800000000046566,844682.800000000046566,837914.359999999986030,9938696.819999998435378
20190529,822758.359999999986030,823341.879999999888241,824609.600000000093132,812605.160000000032596,820978.400000000023283,816259.900000000023283,825144.039999999920838,813274.149999999906868,822728.229999999981374,819475.000000000000000,839626.979999999981374,835460.060000000055879,9876265.760000001639128
20190530,827025.320000000065193,821442.159999999916181,829340.200000000069849,823303.400000000023283,834463.760000000009313,819551.100000000093132,830361.199999999953434,822171.849999999976717,826471.089999999967404,823193.000000000000000,839781.750000000000000,836032.729999999981374,9933141.559999998658895
20190531,812044.579999999958090,807159.079999999841675,824002.000000000000000,821297.480000000097789,830401.400000000023283,814717.150000000023283,816823.000000000000000,803283.749999999883585,825563.729999999981374,817447.000000000000000,832404.380000000121072,829896.979999999981374,9835044.530000001192093
20190603,803835.320000000065193,806525.839999999967404,822786.799999999930151,835506.079999999958090,832537.280000000027940,825516.400000000139698,791463.639999999897555,810230.199999999953434,832482.349999999976717,799735.800000000046566,818320.310000000055879,834151.099999999860302,9813095.119999999180436
20190604,833240.239999999990687,822216.119999999878928,847438.000000000000000,835840.400000000023283,836097.079999999958090,833950.099999999976717,813388.919999999925494,817098.599999999976717,836792.310000000055879,813931.799999999930151,837563.380000000121072,839059.699999999953434,9966620.649999998509884
20190605,846690.440000000060536,831151.839999999967404,853687.599999999976717,848878.880000000004657,838191.079999999958090,840223.950000000069849,831021.599999999860302,833098.849999999976717,849835.609999999986030,820725.599999999976717,853349.919999999925494,854276.359999999986030,10101135.729999998584390
20190606,859120.280000000027940,840369.000000000000000,855770.799999999930151,859242.800000000046566,850420.040000000037253,837652.700000000069849,844163.559999999823049,838172.099999999860302,845015.260000000009313,817514.599999999976717,861243.189999999944121,859921.250000000000000,10168609.579999998211861
20190607,881985.620000000111759,852189.479999999864958,856335.000000000000000,860747.240000000107102,860596.880000000004657,848143.400000000023283,867805.880000000004657,849021.049999999930151,848020.890000000013970,834245.599999999976717,877390.860000000102445,867693.199999999953434,10304179.099999999627471
20190610,893255.960000000079162,863095.279999999911524,859590.000000000000000,858908.480000000097789,843091.040000000037253,848349.100000000093132,875730.679999999818392,848630.799999999930151,846829.979999999981374,838876.199999999953434,881363.290000000037253,879637.459999999962747,10337362.269999999552965
20190611,903598.700000000069849,867105.799999999930151,859416.399999999906868,858072.680000000051223,851299.520000000018626,853491.600000000093132,872428.679999999818392,853782.099999999860302,846092.750000000000000,831203.599999999976717,878732.200000000069849,883073.479999999981374,10358301.509999997913837
20190612,900723.140000000013970,858662.599999999860302,863452.599999999976717,863254.640000000013970,858293.480000000097789,860999.650000000023283,868400.239999999990687,856123.599999999976717,849155.089999999967404,826573.000000000000000,885335.720000000088476,890272.759999999892898,10381250.519999999552965
20190613,900537.620000000111759,857466.479999999864958,878252.000000000000000,854729.480000000097789,856450.760000000009313,852668.800000000162981,873881.559999999823049,865723.749999999883585,847340.369999999995343,828127.800000000046566,873779.560000000055879,888881.989999999990687,10377844.169999999925494
20190614,893998.040000000037253,858451.519999999902211,893094.800000000046566,857738.360000000102445,859801.160000000032596,851434.600000000093132,874740.079999999841675,867987.199999999953434,851310.070000000065193,829513.599999999976717,875378.849999999976717,892318.009999999892898,10405770.290000000968575
20190617,899331.739999999990687,854581.719999999972060,898346.199999999953434,850383.319999999948777,853602.920000000041910,856782.800000000046566,877381.679999999818392,866348.149999999906868,850232.579999999958090,831541.599999999976717,874862.950000000069849,893054.299999999930151,10406453.959999999031425
20190618,920481.020000000018626,868513.000000000000000,900516.199999999953434,846538.640000000013970,856534.520000000018626,869021.949999999953434,892636.919999999925494,855499.199999999953434,852557.690000000060536,830629.000000000000000,873418.430000000051223,897062.989999999990687,10463413.560000000521541
20190619,917790.980000000097789,877308.000000000000000,902512.599999999976717,854562.319999999948777,856702.040000000037253,877969.900000000023283,896137.039999999920838,861899.299999999930151,859759.859999999986030,845805.199999999953434,880692.619999999995343,896817.560000000055879,10527961.419999999925494
20190620,925165.400000000023283,878996.639999999897555,916878.000000000000000,863588.959999999962747,859089.200000000069849,870153.299999999930151,904458.079999999841675,872201.899999999906868,863105.750000000000000,837591.799999999930151,896427.570000000065193,902544.259999999892898,10590204.860000001266599
20190621,922011.560000000055879,877659.799999999930151,908805.599999999976717,861750.199999999953434,855487.520000000018626,869844.750000000000000,904590.159999999916181,867987.199999999953434,859079.339999999967404,852869.400000000023283,894879.869999999995343,909170.869999999878928,10584140.269999997690320
20190624,921083.960000000079162,873508.559999999939464,891923.000000000000000,867935.119999999995343,854063.599999999976717,879512.650000000139698,909939.399999999906868,876806.849999999976717,862141.680000000051223,843946.199999999953434,896995.060000000055879,910070.779999999911524,10587930.859999999403954
20190625,907123.579999999958090,866613.279999999911524,888624.600000000093132,865260.559999999939464,861560.119999999995343,876735.699999999953434,881212.000000000000000,872045.799999999930151,868436.489999999990687,837253.800000000046566,883736.430000000051223,905816.659999999916181,10514423.019999999552965
20190626,926742.320000000065193,869638.759999999892898,895915.799999999930151,854562.319999999948777,856702.040000000037253,859251.200000000069849,884514.000000000000000,856513.849999999976717,843313.959999999962747,823091.599999999976717,882601.450000000069849,901235.299999999930151,10454086.599999999627471
20190627,926464.040000000037253,872101.359999999869615,898519.800000000046566,853893.680000000051223,863905.400000000023283,862233.849999999976717,885966.880000000004657,856904.099999999976717,846149.459999999962747,832792.199999999953434,883478.479999999981374,900744.439999999944121,10483157.689999999478459
20190628,918022.880000000004657,868583.359999999869615,902642.800000000046566,851219.119999999995343,869726.719999999972060,862439.549999999930151,884712.119999999995343,855889.449999999953434,847964.180000000051223,824916.799999999930151,895447.360000000102445,903935.029999999911524,10485503.369999999180436
20190701,934858.820000000065193,878996.639999999897555,912668.199999999953434,862586.000000000000000,864031.040000000037253,871696.050000000046566,896071.000000000000000,862445.649999999906868,858739.079999999958090,820286.199999999953434,897459.369999999995343,904998.560000000055879,10564840.609999999403954
