訓練日期,20151005 - 20160106
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10649688.470000000670552
真實報酬,649688.470000000670552

夏普值報酬,0.056268847000000
夏普值風險,0.021389465735616
夏普值,2.630680340290450

預期報酬,19575.768661933489057
風險,268764.238755788188428
趨勢值,0.072836210474121
找到最佳解世代,89
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
DD[7](8),HD[9](2),IBM[10](29),KO[14](6),MCD[15](1),MMM[16](16),MSFT[18](4),UNH[23](26),V[25](12),VZ[26](10),
Stock#,DD[7](8),HD[9](2),IBM[10](29),KO[14](6),MCD[15](1),MMM[16](16),MSFT[18](4),UNH[23](26),V[25](12),VZ[26](10),
張數,15797,8488,6916,24758,10021,6983,21944,8415,14150,23342,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,49.900000000023283,28.719999999972060,84.719999999855645,24.380000000004657,4.409999999916181,34.400000000023283,11.920000000041910,45.550000000046566,19.500000000000000,28.719999999972060,
20151005,1041862.050000000046566,1011798.319999999948777,1030845.359999999753200,1015349.959999999962747,1013828.979999999981374,1021786.959999999962747,1023260.640000000130385,1006900.300000000046566,1022074.000000000000000,1027076.719999999972060,10214783.290000000968575
20151006,1059238.750000000000000,1007384.560000000055879,1029047.199999999837019,1014112.060000000055879,1021144.309999999939464,1018085.969999999972060,1025893.920000000041910,976606.300000000046566,1019951.500000000000000,1028477.239999999990687,10199941.810000000521541
20151007,1068401.009999999776483,1015617.920000000041910,1038107.159999999916181,1027976.540000000037253,1019841.579999999841675,1030306.219999999972060,1026991.119999999995343,979804.000000000116415,1036082.500000000000000,1023575.420000000041910,10266703.470000000670552
20151008,1075193.720000000204891,1027586.000000000000000,1053253.199999999720603,1039365.219999999972060,1031666.359999999986030,1043853.239999999990687,1041254.720000000088476,976858.750000000000000,1045704.500000000116415,1032445.379999999888241,10367181.089999999850988
20151009,1059238.750000000000000,1029877.760000000009313,1054013.959999999962747,1040355.540000000037253,1029762.369999999995343,1046786.100000000093132,1033793.760000000009313,1003702.599999999976717,1046836.500000000000000,1030811.439999999944121,10375178.779999999329448
20151012,1048338.820000000065193,1034715.920000000041910,1045368.959999999729916,1039860.380000000004657,1034572.449999999837019,1047903.380000000004657,1031379.920000000041910,1030967.200000000069849,1061128.000000000000000,1034079.319999999948777,10408314.350000001490116
20151013,1046285.210000000079162,1032254.400000000023283,1034856.639999999897555,1031195.079999999958090,1035975.389999999897555,1041269.530000000144355,1028966.080000000074506,1043421.400000000023283,1061269.500000000000000,1035479.839999999967404,10390973.070000000298023
20151014,1059870.629999999888241,1020880.479999999981374,1037553.879999999771826,1031937.819999999948777,1030363.629999999888241,1035752.959999999962747,1024357.840000000083819,1027264.599999999976717,1049949.500000000000000,1026843.300000000046566,10344774.640000000596046
20151015,1070454.620000000111759,1033952.000000000000000,1038107.159999999916181,1037879.739999999990687,1038781.269999999902211,1041828.170000000041910,1031599.359999999986030,1011276.100000000093132,1066080.500000000000000,1042715.859999999986030,10412674.779999999329448
20151016,1071402.439999999944121,1041845.839999999967404,1040181.959999999729916,1040355.540000000037253,1050405.629999999888241,1038406.500000000000000,1042571.359999999986030,1009677.250000000116415,1075419.500000000000000,1043416.119999999995343,10453682.139999998733401
20151019,1066189.430000000167638,1044901.519999999902211,1032090.239999999874271,1039612.800000000046566,1047098.699999999837019,1033518.400000000023283,1044985.199999999953434,1015988.500000000116415,1089428.000000000000000,1043416.119999999995343,10457228.910000000149012
20151020,1072824.169999999925494,1042779.519999999902211,972750.959999999729916,1047040.199999999953434,1040585.049999999930151,1041269.530000000144355,1048276.800000000162981,1013379.850000000093132,1079381.500000000000000,1056020.800000000046566,10414308.380000000819564
20151021,1068243.040000000037253,1046599.119999999995343,974687.439999999711290,1044564.399999999906868,1027557.750000000000000,1046227.459999999962747,1035768.720000000088476,993941.200000000069849,1067778.500000000000000,1047150.839999999967404,10352518.469999998807907
20151022,1123058.629999999888241,1055596.399999999906868,996611.159999999916181,1070560.300000000279397,1111032.679999999934807,1089382.399999999906868,1053982.240000000223517,957756.700000000069849,1081362.500000000000000,1071193.100000000093132,10610536.109999999403954
20151023,1132062.919999999925494,1057718.399999999906868,1000691.599999999860302,1059419.200000000186265,1128268.800000000046566,1087915.969999999739230,1160191.200000000186265,975512.350000000093132,1090560.000000000000000,1077495.439999999944121,10769835.879999998956919
20151026,1135064.350000000093132,1061113.600000000093132,993637.279999999795109,1054467.600000000093132,1124160.189999999944121,1093153.219999999739230,1190473.919999999925494,980645.500000000000000,1106266.500000000000000,1082163.839999999850988,10821146.000000000000000
20151027,1140435.330000000074506,1056530.080000000074506,953524.479999999981374,1054962.759999999776483,1118748.849999999860302,1094479.989999999757856,1178185.279999999795109,1004544.100000000093132,1096927.500000000000000,1077728.860000000102445,10776067.229999998584390
20151028,1155758.419999999925494,1051012.879999999888241,974065.000000000000000,1057933.719999999739230,1131776.149999999906868,1103907.040000000037253,1184549.040000000037253,1007994.250000000000000,1116030.000000000000000,1084964.879999999888241,10867991.379999998956919
20151029,1145174.430000000167638,1049400.159999999916181,972128.519999999902211,1059419.200000000186265,1128569.429999999934807,1100625.030000000260770,1170943.760000000242144,1007405.199999999953434,1110936.000000000000000,1083097.520000000018626,10827699.250000000000000
20151030,1162393.160000000149012,1049485.040000000037253,968878.000000000000000,1048525.680000000051223,1124861.659999999916181,1097831.830000000074506,1155144.080000000074506,991164.250000000000000,1097776.500000000000000,1094301.679999999934807,10790361.879999998956919
20151102,1160655.490000000223517,1056020.800000000046566,970883.639999999897555,1045802.300000000046566,1123458.719999999972060,1116755.759999999776483,1168310.479999999981374,998821.900000000023283,1064382.500000000000000,1091967.479999999981374,10797059.070000000298023
20151103,1169343.839999999850988,1066630.800000000046566,981326.799999999813735,1043821.659999999916181,1123158.089999999850988,1108585.649999999906868,1188279.520000000018626,990154.450000000069849,1102304.500000000000000,1084264.620000000111759,10857869.929999999701977
20151104,1155916.390000000130385,1064254.159999999916181,979597.799999999813735,1039117.640000000013970,1126364.810000000055879,1109702.930000000167638,1193765.520000000018626,964741.150000000023283,1108672.000000000000000,1077028.600000000093132,10819160.999999998137355
20151105,1161129.399999999906868,1067140.080000000074506,967563.959999999729916,1048030.520000000018626,1130874.259999999776483,1110261.570000000298023,1193326.640000000130385,978121.000000000116415,1121548.500000000000000,1078429.120000000111759,10856425.050000000745058
20151106,1166184.439999999944121,1069346.959999999962747,956221.719999999855645,1038870.060000000055879,1135483.919999999925494,1112146.979999999981374,1205176.399999999906868,966171.700000000069849,1114332.000000000000000,1068625.479999999981374,10832559.660000000149012
20151109,1163183.009999999776483,1056784.719999999972060,935888.679999999818392,1028471.699999999953434,1131675.939999999944121,1099647.410000000149012,1188498.959999999962747,961543.450000000069849,1104285.500000000000000,1057421.319999999832362,10727400.689999999478459
20151110,1163340.979999999981374,1063235.600000000093132,936995.239999999874271,1034166.040000000037253,1134582.029999999795109,1100485.370000000111759,1174235.359999999869615,975259.900000000023283,1124661.500000000000000,1052752.919999999925494,10759714.939999999478459
20151111,1163183.009999999776483,1058567.199999999953434,933883.039999999920838,1040850.699999999953434,1140895.259999999776483,1110680.550000000279397,1177307.520000000018626,963899.650000000139698,1120416.500000000000000,1057888.159999999916181,10767571.589999999850988
20151112,1134590.439999999944121,1050928.000000000000000,920189.359999999753200,1029462.020000000018626,1123458.719999999972060,1091477.300000000279397,1170066.000000000000000,949425.849999999976717,1108106.000000000000000,1046450.579999999958090,10624154.269999999552965
20151113,1150545.410000000149012,1018588.719999999972060,911267.719999999855645,1024510.420000000041910,1102013.779999999795109,1086938.350000000093132,1159532.879999999888241,937560.700000000069849,1105276.000000000000000,1032445.379999999888241,10528679.359999999403954
20151116,1161919.250000000000000,1025718.640000000013970,924823.079999999958090,1038870.060000000055879,1112936.669999999925494,1104814.830000000074506,1179940.800000000279397,957840.849999999976717,1116454.500000000000000,1051352.399999999906868,10674671.080000000074506
20151117,1161919.250000000000000,1071044.560000000055879,925583.839999999850988,1031690.239999999990687,1111734.149999999906868,1096574.890000000130385,1162385.600000000093132,962637.400000000023283,1115464.000000000000000,1052286.079999999841675,10691320.009999999776483
20151118,1195882.800000000279397,1074100.239999999990687,939415.839999999850988,1046792.619999999995343,1127667.540000000037253,1099088.770000000018626,1181696.320000000298023,986704.300000000046566,1138528.500000000000000,1059288.679999999934807,10849165.610000001266599
20151119,1199516.110000000335276,1076816.399999999906868,945778.559999999939464,1067341.759999999776483,1135383.709999999962747,1106001.939999999944121,1183671.279999999795109,930997.000000000000000,1134142.000000000000000,1068158.639999999897555,10847807.400000000372529
20151120,1199516.110000000335276,1105251.199999999953434,957950.719999999855645,1050506.319999999832362,1141496.519999999785796,1109982.250000000000000,1189157.279999999795109,950688.100000000093132,1134708.000000000000000,1059522.100000000093132,10898778.599999997764826
20151123,1192407.459999999962747,1124688.719999999972060,957674.079999999958090,1063628.060000000055879,1147108.279999999795109,1107887.350000000093132,1189157.279999999795109,943871.950000000069849,1133576.000000000000000,1050185.300000000046566,10910184.479999998584390
20151124,1200937.839999999850988,1134025.520000000018626,958642.319999999832362,1073531.259999999776483,1145204.290000000037253,1101602.649999999906868,1190473.919999999925494,952539.400000000023283,1129048.000000000000000,1054853.699999999953434,10940858.899999998509884
20151125,1168080.080000000074506,1142937.919999999925494,954492.719999999855645,1073531.259999999776483,1146406.810000000055879,1100764.689999999944121,1178185.279999999795109,962805.700000000069849,1125793.500000000000000,1048551.359999999986030,10901549.319999996572733
20151127,1170133.689999999944121,1143701.840000000083819,957674.079999999958090,1068332.080000000074506,1144703.239999999990687,1103278.570000000298023,1183451.839999999850988,962216.650000000023283,1129755.500000000000000,1055787.379999999888241,10919034.870000001043081
20151130,1172819.180000000167638,1136402.159999999916181,964313.439999999711290,1055210.339999999850988,1144001.769999999785796,1093432.540000000037253,1192668.320000000298023,948500.199999999953434,1118011.000000000000000,1060922.620000000111759,10886281.570000000298023
