訓練日期,20150605 - 20150904
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9438727.959999999031425
真實報酬,-561272.040000000968575

夏普值報酬,-0.064827204000000
夏普值風險,0.028831059032468
夏普值,-2.248519692842161

預期報酬,97.145003042757907
風險,297399.764054857078008
趨勢值,0.000326647882023
找到最佳解世代,90
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,15
BA[2](12),CSCO[4](19),DIS[6](13),HD[9](2),IBM[10](23),JNJ[12](11),JPM[13](8),MCD[15](7),MMM[16](17),NKE[19](1),PFE[20](9),PG[21](20),TRV[22](5),UNH[23](6),WBA[27](4),
Stock#,BA[2](12),CSCO[4](19),DIS[6](13),HD[9](2),IBM[10](23),JNJ[12](11),JPM[13](8),MCD[15](7),MMM[16](17),NKE[19](1),PFE[20](9),PG[21](20),TRV[22](5),UNH[23](6),WBA[27](4),
張數,4721,23301,6044,5981,3959,6718,10050,6922,4210,13077,19470,8530,6652,5715,7820,
分配資金,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,
剩餘資金,108.010000000009313,24.390000000013970,12.800000000046566,23.739999999990687,49.580000000074506,38.859999999986030,49.500000000000000,8.179999999934807,12.500000000000000,0.540000000037253,13.199999999953434,46.500000000000000,69.080000000074506,11.250000000000000,11.000000000000000,
20150605,664494.339999999967404,665966.969999999972060,666666.000000000000000,660146.709999999962747,662786.180000000051223,662366.479999999981374,677620.500000000000000,661336.059999999939464,661319.300000000046566,667189.080000000074506,663745.500000000000000,660524.400000000023283,660679.200000000069849,665980.199999999953434,656030.800000000046566,9956861.719999998807907
20150608,664069.449999999953434,658976.670000000041910,660561.560000000055879,657515.070000000065193,654630.640000000130385,658134.139999999897555,672294.000000000000000,659813.219999999855645,659256.400000000023283,663265.979999999981374,661603.799999999930151,662912.799999999930151,650368.600000000093132,668151.900000000023283,651104.200000000069849,9902668.429999999701977
20150609,661520.109999999986030,658044.630000000004657,655907.680000000051223,655122.670000000041910,655976.700000000069849,659813.639999999897555,675208.500000000116415,655729.239999999990687,660898.299999999930151,662742.900000000023283,662187.899999999906868,673063.500000000000000,650634.680000000051223,668609.099999999976717,658220.400000000023283,9913689.949999999254942
20150610,668696.030000000027940,667831.050000000046566,664852.800000000046566,663795.119999999995343,668803.859999999986030,664314.699999999953434,686062.500000000000000,659674.779999999911524,669570.900000000023283,675689.130000000004657,668028.900000000023283,678522.700000000069849,659814.440000000176951,677524.500000000000000,668542.799999999930151,10041734.210000000894070
20150611,675022.170000000041910,672491.250000000000000,668600.080000000074506,665649.229999999981374,668249.600000000093132,666733.179999999934807,688675.500000000000000,661682.159999999916181,673023.100000000093132,679219.920000000041910,670949.400000000023283,677413.799999999930151,666133.840000000083819,681925.049999999930151,670888.800000000046566,10086667.080000001937151
20150612,674266.810000000055879,665034.930000000051223,664550.600000000093132,661522.339999999967404,661162.990000000107102,660754.159999999916181,685962.000000000000000,658013.500000000000000,665360.900000000023283,678566.070000000065193,666081.900000000023283,672807.600000000093132,661743.520000000018626,672381.000000000000000,665180.200000000069849,10013398.519999999552965
20150615,671859.099999999976717,663636.869999999995343,665940.720000000088476,657993.550000000046566,658272.920000000041910,654976.679999999934807,683349.000000000000000,652752.779999999911524,656225.200000000069849,675819.900000000023283,662771.999999999883585,666410.100000000093132,657220.160000000149012,679981.950000000069849,660175.400000000023283,9967396.330000000074506
20150616,672095.150000000023283,668996.099999999976717,671259.440000000060536,659309.369999999995343,660569.140000000130385,660821.339999999967404,687168.000000000000000,655037.039999999920838,658835.400000000023283,683666.100000000093132,662771.999999999883585,674769.500000000000000,661876.560000000055879,694669.500000000000000,671592.599999999976717,10043447.240000000223517
20150617,677241.040000000037253,674122.320000000065193,673858.359999999986030,660744.809999999939464,661875.609999999986030,663307.000000000000000,684856.500000000000000,659121.019999999902211,660772.000000000000000,684973.800000000046566,661603.799999999930151,683128.900000000023283,663805.640000000130385,684325.349999999976717,669559.400000000023283,10063305.550000000745058
20150618,686446.989999999990687,680646.599999999976717,684314.480000000097789,668998.589999999967404,666151.330000000074506,674257.339999999967404,691288.500000000000000,665696.919999999925494,672012.700000000069849,693081.540000000037253,669197.099999999860302,689441.099999999976717,675047.520000000018626,690897.599999999976717,686607.000000000000000,10194095.309999998658895
