訓練日期,20131105 - 20140207
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10652329.170000001788139
真實報酬,652329.170000001788139

夏普值報酬,0.056532917000000
夏普值風險,0.018909052372999
夏普值,2.989727665079899

預期報酬,11206.180589654630239
風險,143645.666099581023445
趨勢值,0.078012660555217
找到最佳解世代,83
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](6),CAT[3](4),DIS[6](5),INTC[11](14),MRK[17](1),MSFT[18](15),PFE[20](23),V[25](3),WMT[28](22),
Stock#,AXP[1](6),CAT[3](4),DIS[6](5),INTC[11](14),MRK[17](1),MSFT[18](15),PFE[20](23),V[25](3),WMT[28](22),
張數,13561,13244,16147,45800,24302,30915,35544,22624,14368,
20131211,1137826.170000000158325,1129520.160000000149012,1138722.369999999878928,1118439.000000000000000,1189606.460000000195578,1162739.050000000046566,1089429.159999999916181,1163372.440000000176951,1136398.680000000167638,10266054.490000000223517
20131212,1129689.570000000065193,1133360.919999999925494,1124351.539999999804422,1120729.000000000000000,1174296.199999999953434,1150682.200000000186265,1075211.560000000055879,1150703.000000000000000,1127921.560000000055879,10186946.550000000745058
20131213,1134842.750000000000000,1139718.040000000037253,1124190.070000000065193,1112485.000000000000000,1175754.320000000065193,1134297.250000000000000,1075211.560000000055879,1172874.520000000251457,1121887.000000000000000,10191261.509999999776483
20131216,1146233.989999999990687,1157332.560000000055879,1138560.899999999906868,1119813.000000000000000,1168706.740000000223517,1140171.100000000325963,1075211.560000000055879,1175136.920000000158325,1117001.879999999888241,10238169.649999998509884
20131217,1140673.979999999981374,1151240.320000000065193,1140982.949999999953434,1129431.000000000000000,1164089.360000000102445,1129041.700000000186265,1071301.719999999972060,1206131.800000000046566,1109961.560000000055879,10242855.390000000596046
20131218,1166168.659999999916181,1167795.320000000065193,1165849.330000000074506,1151873.000000000000000,1188391.360000000102445,1130896.600000000093132,1093694.439999999944121,1218122.520000000251457,1119875.479999999981374,10402667.710000000894070
20131219,1171864.280000000027940,1159451.600000000093132,1178282.520000000018626,1151415.000000000000000,1185718.140000000130385,1120694.650000000139698,1091561.800000000046566,1222194.840000000083819,1109817.879999999888241,10391001.710000000894070
20131220,1187595.040000000037253,1177860.760000000242144,1169078.729999999981374,1147751.000000000000000,1198598.199999999953434,1137697.900000000139698,1075211.560000000055879,1221516.120000000111759,1112547.800000000046566,10427858.110000003129244
20131223,1197630.179999999934807,1191502.080000000074506,1183288.089999999850988,1159659.000000000000000,1199570.280000000027940,1132133.199999999953434,1078765.960000000195578,1233280.600000000093132,1118869.720000000204891,10494700.110000001266599
20131224,1202783.360000000102445,1204083.880000000121072,1192491.879999999888241,1164697.000000000000000,1200785.379999999888241,1146354.100000000093132,1076633.320000000065193,1237126.680000000167638,1120881.240000000223517,10545837.839999999850988
20131226,1206987.270000000018626,1207262.440000000176951,1204925.070000000065193,1177063.000000000000000,1208319.000000000000000,1157483.500000000000000,1085874.760000000009313,1245497.560000000055879,1126341.080000000074506,10619754.679999999701977
20131227,1209563.860000000102445,1203554.120000000111759,1200565.379999999888241,1172483.000000000000000,1210020.140000000130385,1152846.250000000000000,1089073.719999999972060,1242556.440000000176951,1127490.520000000018626,10608154.429999999701977
20131230,1214988.260000000009313,1203554.120000000111759,1230921.739999999990687,1183933.000000000000000,1213665.439999999944121,1152846.250000000000000,1090850.920000000158325,1249569.880000000121072,1129789.399999999906868,10670120.010000001639128
20131231,1230447.800000000046566,1202759.480000000214204,1233666.729999999981374,1188971.000000000000000,1216338.659999999916181,1156556.050000000046566,1088718.280000000027940,1259524.440000000176951,1130651.479999999981374,10707634.919999999925494
20140102,1213089.719999999972060,1190310.120000000111759,1231567.619999999878928,1181185.000000000000000,1202729.540000000037253,1148827.300000000046566,1082675.800000000046566,1250022.360000000102445,1133812.439999999944121,10634220.899999998509884
20140103,1217022.409999999916181,1189647.919999999925494,1228984.099999999860302,1180727.000000000000000,1208562.020000000018626,1141098.550000000046566,1084808.439999999944121,1250927.320000000065193,1130076.760000000242144,10631855.519999999552965
20140106,1216479.969999999972060,1174020.000000000000000,1224301.469999999739230,1166071.000000000000000,1208805.040000000037253,1116984.850000000325963,1085874.760000000009313,1243461.400000000139698,1123754.839999999850988,10559754.330000000074506
20140107,1211869.229999999981374,1177860.760000000242144,1232697.909999999916181,1172025.000000000000000,1217796.780000000027940,1125641.050000000046566,1092628.120000000111759,1252963.480000000214204,1127203.160000000149012,10610686.490000000223517
20140108,1212547.280000000027940,1180642.000000000000000,1214613.270000000018626,1164697.000000000000000,1210020.140000000130385,1105546.300000000046566,1100092.360000000102445,1257035.800000000046566,1118295.000000000000000,10563490.150000002235174
20140109,1205359.949999999953434,1188191.080000000074506,1209446.229999999981374,1159201.000000000000000,1203458.600000000093132,1098435.850000000093132,1099381.479999999981374,1255225.880000000121072,1122030.680000000167638,10540731.750000000000000
20140110,1200884.820000000065193,1198786.280000000260770,1217358.260000000009313,1169277.000000000000000,1212207.320000000065193,1114202.500000000000000,1090850.920000000158325,1250701.080000000074506,1121312.280000000260770,10575581.460000000894070
20140113,1179729.659999999916181,1190575.000000000000000,1183126.619999999878928,1167903.000000000000000,1290945.800000000046566,1081432.600000000093132,1085519.320000000065193,1238257.880000000121072,1113409.879999999888241,10530900.760000001639128
20140114,1181492.590000000083819,1199448.480000000214204,1202180.080000000074506,1214161.000000000000000,1288029.560000000055879,1106164.600000000093132,1101869.560000000055879,1259298.199999999953434,1120162.839999999850988,10672807.910000000149012
20140115,1196816.520000000018626,1223949.880000000121072,1199435.089999999850988,1221489.000000000000000,1276364.600000000093132,1136461.300000000046566,1108267.479999999981374,1265632.920000000158325,1115852.439999999944121,10744270.229999998584390
20140116,1190442.850000000093132,1218652.280000000260770,1198304.799999999813735,1215535.000000000000000,1275878.560000000055879,1140480.250000000232831,1107912.040000000037253,1254320.920000000158325,1102921.240000000223517,10704448.940000001341105
20140117,1233702.439999999944121,1211103.199999999953434,1194590.989999999990687,1183933.000000000000000,1262512.460000000195578,1124713.600000000325963,1105068.520000000018626,1313369.560000000055879,1094731.479999999981374,10723726.250000001862645
20140121,1228549.260000000009313,1199978.239999999990687,1198143.330000000074506,1172025.000000000000000,1259596.219999999972060,1118221.450000000186265,1110044.680000000167638,1311785.880000000121072,1089702.680000000167638,10688047.740000000223517
20140122,1235872.199999999953434,1187264.000000000000000,1216066.500000000000000,1159201.000000000000000,1247931.260000000009313,1110801.850000000093132,1111466.439999999944121,1317894.360000000102445,1082662.359999999869615,10669160.969999998807907
20140123,1209292.640000000130385,1171900.960000000195578,1207670.060000000055879,1150957.000000000000000,1254006.760000000009313,1114820.800000000279397,1102225.000000000000000,1290971.800000000046566,1077058.839999999850988,10578904.860000001266599
20140124,1179187.219999999972060,1141307.320000000065193,1174245.770000000018626,1136301.000000000000000,1263241.520000000018626,1138007.050000000279397,1069524.520000000018626,1251379.800000000046566,1069300.120000000111759,10422495.320000000298023
20140127,1162507.189999999944121,1209116.600000000093132,1166656.679999999934807,1132179.000000000000000,1276607.620000000111759,1113893.350000000093132,1054240.600000000093132,1223099.800000000046566,1065420.760000000242144,10403722.599999999627471
20140128,1174983.310000000055879,1224744.520000000018626,1176829.289999999804422,1140423.000000000000000,1284870.300000000046566,1121312.950000000186265,1081254.040000000037253,1249796.120000000111759,1072892.120000000111759,10527106.650000002235174
20140129,1160201.820000000065193,1200243.120000000111759,1151801.439999999944121,1130347.000000000000000,1268830.979999999981374,1133369.800000000046566,1070235.400000000139698,1228077.080000000074506,1064702.359999999869615,10407810.000000000000000
20140130,1174712.090000000083819,1234412.640000000130385,1182319.270000000018626,1133095.000000000000000,1300423.580000000074506,1139552.800000000046566,1095471.640000000130385,1249343.640000000130385,1074041.560000000055879,10583373.220000000670552
20140131,1153014.489999999990687,1243815.880000000121072,1172469.599999999860302,1123935.000000000000000,1287300.500000000000000,1169849.500000000232831,1080543.159999999916181,1218575.000000000000000,1073035.800000000046566,10522539.929999999701977
20140203,1123722.729999999981374,1224082.320000000065193,1130164.459999999962747,1096913.000000000000000,1265671.719999999972060,1127805.100000000093132,1087651.960000000195578,1207489.239999999990687,1044012.440000000060536,10307513.969999998807907
20140204,1139182.270000000018626,1225141.840000000083819,1147280.279999999795109,1090959.000000000000000,1300423.580000000074506,1123786.150000000139698,1117508.920000000158325,1213597.720000000204891,1045018.200000000069849,10402898.960000000894070
20140205,1135385.189999999944121,1217990.080000000074506,1158744.649999999906868,1077219.000000000000000,1300909.620000000111759,1107401.200000000186265,1089429.159999999916181,1219479.959999999962747,1047029.720000000088476,10353589.580000000074506
20140206,1162100.360000000102445,1242756.360000000102445,1220103.250000000000000,1098745.000000000000000,1306742.100000000093132,1118530.600000000093132,1096182.520000000018626,1238710.360000000102445,1046311.319999999948777,10530182.869999999180436
20140207,1179865.270000000018626,1256530.120000000111759,1221879.419999999925494,1108821.000000000000000,1331044.100000000093132,1130278.300000000279397,1109689.239999999990687,1254547.160000000149012,1059673.560000000055879,10652329.170000001788139
