訓練日期,20130603 - 20130903
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10338109.179999999701977
真實報酬,338109.179999999701977

夏普值報酬,0.025110918000000
夏普值風險,0.023639708262396
夏普值,1.062234682478884

預期報酬,9133.911227246044291
風險,192700.750741170108085
趨勢值,0.047399458445880
找到最佳解世代,59
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](22),BA[2](2),DD[7](10),KO[14](21),PFE[20](8),UNH[23](1),UTX[24](3),WBA[27](12),XOM[29](19),
Stock#,AXP[1](22),BA[2](2),DD[7](10),KO[14](21),PFE[20](8),UNH[23](1),UTX[24](3),WBA[27](12),XOM[29](19),
張數,14675,11221,22643,27784,40804,17740,11708,23264,12281,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,66.750000000000000,7.580000000074506,18.989999999990687,28.839999999850988,18.080000000074506,54.800000000046566,21.800000000046566,22.360000000102445,48.929999999934807,
20130603,1122264.000000000000000,1130411.120000000111759,1107261.689999999944121,1133893.879999999888241,1132329.080000000074506,1114126.800000000046566,1114974.640000000130385,1128326.360000000102445,1123269.189999999944121,10106857.759999997913837
20130604,1116247.250000000000000,1117731.390000000130385,1116318.889999999897555,1150842.119999999878928,1128656.719999999972060,1106321.199999999953434,1103852.040000000037253,1117392.280000000027940,1115040.919999999925494,10072403.810000000521541
20130605,1097169.750000000000000,1105163.870000000111759,1085297.979999999981374,1129448.439999999711290,1121312.000000000000000,1095499.800000000046566,1088982.880000000121072,1131350.680000000167638,1101040.580000000074506,9955266.980000000447035
20130606,1118888.750000000000000,1119414.540000000037253,1092770.169999999925494,1133338.199999999720603,1147018.520000000018626,1098515.600000000093132,1085938.800000000046566,1122277.720000000204891,1108163.560000000055879,10026326.859999999403954
20130607,1145303.750000000000000,1150047.870000000111759,1107714.550000000046566,1150564.279999999795109,1153139.120000000111759,1110046.600000000093132,1106427.800000000046566,1149729.240000000223517,1123146.379999999888241,10196120.589999999850988
20130610,1148825.750000000000000,1147242.620000000111759,1107035.260000000009313,1144173.959999999729916,1157627.560000000055879,1129738.000000000000000,1102212.920000000158325,1155079.959999999962747,1119093.649999999906868,10211030.680000001564622
20130611,1122997.750000000000000,1141744.330000000074506,1096393.050000000046566,1133338.199999999720603,1159667.760000000242144,1134173.000000000000000,1096827.240000000223517,1152520.920000000158325,1110988.189999999944121,10148651.439999999478459
20130612,1096582.750000000000000,1131982.060000000055879,1089600.149999999906868,1122224.599999999860302,1160075.800000000046566,1132399.000000000000000,1085119.240000000223517,1147868.120000000111759,1102145.869999999878928,10067998.589999997988343
20130613,1103773.500000000000000,1146344.939999999944121,1117224.610000000102445,1122780.279999999795109,1186598.399999999906868,1138075.800000000046566,1103969.120000000111759,1164850.840000000083819,1121672.659999999916181,10205291.150000000372529
20130614,1070901.500000000000000,1142642.010000000009313,1096619.479999999981374,1120835.399999999906868,1187006.440000000176951,1131866.800000000046566,1100807.959999999962747,1167409.880000000121072,1112461.909999999916181,10130552.380000000819564
20130617,1083668.750000000000000,1156107.210000000195578,1100921.649999999906868,1130281.959999999729916,1189862.719999999972060,1141978.600000000093132,1112047.640000000130385,1172062.680000000167638,1123883.239999999990687,10210815.449999999254942
20130618,1100398.250000000000000,1167889.260000000009313,1116318.889999999897555,1137227.959999999729916,1199655.679999999934807,1165218.000000000232831,1125980.160000000149012,1184159.959999999962747,1129041.260000000009313,10325890.419999999925494
20130619,1089392.000000000000000,1147354.830000000074506,1099563.070000000065193,1122780.279999999795109,1187414.480000000214204,1157767.200000000186265,1102681.240000000223517,1168573.080000000074506,1117619.929999999934807,10193147.109999999403954
20130620,1070167.750000000000000,1118068.020000000018626,1070353.600000000093132,1087216.760000000009313,1168644.640000000130385,1131866.800000000046566,1081255.600000000093132,1124604.120000000111759,1093671.979999999981374,9945850.269999999552965
20130621,1075891.000000000000000,1121883.160000000149012,1052239.199999999953434,1104720.679999999701977,1161299.920000000158325,1133640.800000000046566,1079265.240000000223517,1133211.800000000046566,1098952.810000000055879,9961105.610000001266599
20130624,1056813.500000000000000,1097982.429999999934807,1043182.000000000000000,1098330.359999999869615,1130696.920000000158325,1146945.800000000046566,1071186.719999999972060,1117857.560000000055879,1086671.810000000055879,9849668.099999999627471
20130625,1074717.000000000000000,1107183.650000000139698,1047937.030000000027940,1103609.319999999832362,1142122.040000000037253,1130625.000000000000000,1074582.040000000037253,1052020.440000000176951,1094408.839999999850988,9827206.359999999403954
20130626,1084549.250000000000000,1130523.330000000074506,1038426.969999999972060,1120557.559999999823049,1146610.480000000214204,1149252.000000000000000,1088631.640000000130385,1047135.000000000000000,1102882.729999999981374,9908569.960000000894070
