訓練日期,20180102 - 20180405
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10277327.680000001564622
真實報酬,277327.680000001564622

夏普值報酬,0.019032768000000
夏普值風險,0.022288953271948
夏普值,0.853910354953908

預期報酬,7421.328611647896651
風險,296879.049240473133978
趨勢值,0.024997818575054
找到最佳解世代,63
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](11),BA[2](4),GS[8](9),INTC[11](7),JPM[13](6),MSFT[18](2),NKE[19](3),PFE[20](14),UTX[24](13),V[25](5),VZ[26](23),WBA[27](26),
20180125,842590.120000000111759,969497.999999999883585,880010.169999999925494,817807.419999999925494,901590.920000000041910,899481.179999999934807,902074.519999999902211,856570.070000000065193,899828.760000000009313,915182.600000000093132,854744.839999999967404,898166.750000000000000,10637549.349999999627471
20180126,844559.720000000088476,969808.750000000000000,877098.979999999981374,904100.760000000009313,906421.959999999962747,916334.839999999967404,906470.780000000144355,897522.530000000027940,901331.119999999995343,923221.400000000023283,861514.759999999892898,908264.750000000116415,10816654.349999999627471
20180129,827079.520000000135042,963028.749999999883585,891295.120000000111759,902295.459999999962747,905486.920000000041910,914970.959999999962747,900342.660000000032596,897752.600000000093132,892774.199999999953434,912405.560000000055879,852225.800000000046566,921116.750000000000000,10780778.300000000745058
20180130,822204.760000000125729,954242.999999999883585,879715.780000000027940,880812.390000000013970,896993.640000000013970,903475.399999999906868,897012.160000000032596,869684.060000000055879,891663.760000000009313,902978.240000000107102,848604.679999999934807,873610.250000000000000,10621002.120000001043081
20180131,824469.800000000162981,1001307.499999999883585,876281.229999999981374,869077.940000000060536,901357.160000000032596,925589.739999999990687,908868.739999999990687,852198.740000000107102,901527.079999999958090,907947.680000000167638,851281.159999999916181,863627.000000000116415,10683537.770000001415610
20180201,826193.200000000069849,1008567.749999999883585,890477.370000000111759,860231.969999999972060,910707.560000000055879,918283.239999999990687,901275.200000000069849,847367.270000000018626,903552.000000000000000,918836.600000000093132,854902.279999999911524,872807.000000000000000,10713205.439999999478459
20180202,790346.480000000097789,985883.000000000000000,850603.880000000121072,833152.469999999972060,890526.280000000027940,894123.079999999958090,895546.739999999990687,842305.730000000097789,879318.280000000144355,883685.120000000111759,834120.199999999953434,844119.500000000000000,10423734.760000001639128
20180205,770601.240000000107102,929298.249999999883585,814851.850000000093132,803726.080000000074506,847826.119999999995343,857298.319999999948777,857845.479999999981374,797672.150000000139698,831177.439999999944121,849776.000000000000000,795075.079999999958090,808202.750000000116415,9963354.759999999776483
20180206,802804.200000000069849,963283.000000000000000,846220.739999999990687,810766.750000000000000,873617.640000000013970,889739.179999999934807,868902.739999999990687,811706.420000000158325,847964.680000000051223,876815.600000000093132,800270.599999999976717,823808.750000000116415,10215904.299999998882413
20180207,785619.440000000060536,983651.249999999883585,840987.140000000130385,816002.120000000111759,879539.560000000055879,872982.939999999944121,874364.760000000009313,804804.320000000065193,862073.800000000046566,874477.040000000153668,803104.519999999902211,820825.250000000000000,10218436.139999998733401
20180208,764003.080000000074506,931501.750000000000000,805823.890000000013970,771772.270000000018626,840657.479999999981374,828169.739999999990687,832533.680000000051223,773744.870000000111759,832745.119999999995343,832163.720000000088476,772088.839999999967404,782843.000000000000000,9768051.439999999478459
20180209,770207.320000000065193,940456.999999999883585,815473.340000000083819,793435.870000000111759,857488.200000000069849,859051.880000000004657,872499.679999999934807,785938.579999999958090,816741.719999999972060,850141.400000000023283,785313.800000000046566,785596.999999999883585,9932349.790000000968575
20180212,801228.520000000135042,971447.249999999883585,828099.400000000023283,809322.510000000009313,870734.599999999976717,868306.779999999911524,879027.460000000079162,797442.079999999958090,832091.919999999925494,865853.600000000093132,788934.919999999925494,785596.999999999883585,10098090.039999999105930
20180213,809254.640000000130385,969639.250000000000000,835851.670000000041910,802642.900000000023283,876111.080000000074506,875126.179999999934807,877562.040000000037253,803884.040000000037253,821575.400000000023283,864976.640000000013970,788462.599999999976717,783646.250000000116415,10108736.689999999478459
20180214,824174.360000000102445,974413.500000000000000,858912.219999999972060,819251.660000000032596,896370.280000000027940,884673.339999999967404,905405.019999999902211,809635.790000000037253,827650.160000000032596,883100.480000000097789,779488.519999999902211,785941.249999999883585,10249020.580000000074506
20180215,851847.240000000107102,1007211.749999999883585,875594.320000000065193,829000.280000000027940,900110.440000000060536,902696.039999999920838,909801.280000000144355,821599.430000000051223,849205.760000000009313,893697.080000000074506,783109.640000000013970,800744.000000000000000,10424621.260000001639128
20180216,849089.800000000162981,1003200.249999999883585,875398.060000000055879,822501.200000000069849,893643.080000000074506,896266.319999999948777,909934.500000000000000,834253.280000000027940,844372.079999999958090,890554.640000000013970,789564.679999999934807,813825.500000000000000,10422607.390000000596046
20180220,846233.880000000121072,998426.000000000000000,866468.229999999981374,836221.479999999981374,893876.839999999967404,903280.559999999939464,899143.679999999934807,828501.530000000027940,826082.479999999981374,891723.920000000158325,770199.559999999939464,813710.750000000000000,10373872.910000000149012
20180221,842393.160000000032596,995657.499999999883585,861594.439999999944121,829361.339999999967404,897617.000000000000000,891297.899999999906868,893282.000000000000000,822749.780000000027940,844372.079999999958090,880177.280000000144355,755085.319999999948777,799022.750000000000000,10312614.550000000745058
20180222,849434.480000000097789,1005686.249999999883585,855150.570000000065193,826833.919999999925494,895980.680000000051223,893635.979999999981374,894347.760000000009313,822289.640000000130385,872590.320000000065193,879811.880000000004657,753668.359999999869615,799481.750000000000000,10348915.589999999850988
20180223,864206.480000000097789,1007776.750000000000000,872617.709999999962747,861676.209999999962747,914136.040000000037253,916334.839999999967404,908069.419999999925494,834253.280000000027940,869781.560000000055879,898447.280000000144355,760280.839999999967404,807399.500000000000000,10514983.909999998286366
20180226,881292.760000000125729,1027043.249999999883585,887304.500000000000000,886589.349999999976717,925512.359999999986030,929583.959999999962747,927919.200000000069849,853349.090000000200234,884935.800000000046566,910578.560000000055879,772876.040000000037253,810153.499999999883585,10697142.370000001043081
20180227,878436.840000000083819,1030320.249999999883585,876412.070000000065193,901031.750000000000000,914525.640000000013970,917698.719999999972060,906337.560000000055879,846677.060000000055879,874745.880000000004657,901662.800000000162981,756344.839999999967404,793400.000000000000000,10597597.410000000149012
20180228,877107.360000000102445,1023455.499999999883585,860057.070000000065193,889838.890000000013970,900032.520000000018626,913509.659999999916181,893015.560000000055879,835403.630000000121072,880167.440000000060536,898520.360000000102445,751621.640000000013970,790531.250000000000000,10513264.880000000819564
20180301,861744.480000000097789,988086.499999999883585,839940.419999999925494,863662.040000000037253,883903.080000000074506,904547.019999999902211,883556.939999999944121,819758.870000000111759,851165.360000000102445,879958.040000000153668,755085.319999999948777,805563.500000000000000,10336975.570000000298023
20180302,867702.520000000135042,973904.999999999883585,844323.560000000055879,884242.459999999962747,883045.959999999962747,906495.419999999925494,877828.479999999981374,827121.110000000102445,848813.839999999967404,882662.000000000000000,759808.519999999902211,809924.000000000000000,10365876.870000001043081
20180305,870706.160000000032596,996730.999999999883585,860678.560000000055879,898143.270000000018626,896604.040000000037253,912243.199999999953434,866638.000000000000000,831032.300000000046566,860375.480000000097789,890773.880000000004657,766893.319999999948777,809579.750000000000000,10460402.960000000894070
20180306,869967.560000000055879,985911.249999999883585,873141.070000000065193,915474.150000000023283,897383.239999999990687,909125.759999999892898,869169.179999999934807,825510.620000000111759,859722.280000000144355,884781.320000000065193,769727.239999999990687,800858.750000000116415,10460776.419999999925494
20180307,861892.200000000069849,980600.249999999883585,867972.890000000130385,926486.479999999981374,894032.680000000051223,914386.439999999944121,854914.640000000013970,826660.970000000088476,855280.520000000018626,890554.640000000013970,768940.040000000037253,797531.000000000000000,10439256.750000000000000
20180308,871297.040000000037253,985374.499999999883585,871211.179999999934807,916015.740000000107102,894110.599999999976717,919939.380000000004657,867437.320000000065193,839774.960000000079162,857436.079999999958090,893258.600000000093132,771616.519999999902211,791449.250000000000000,10478925.169999999925494
20180309,886266.000000000000000,1001731.249999999883585,885701.709999999962747,942192.589999999967404,919824.200000000069849,940495.000000000000000,883290.500000000000000,845986.850000000093132,875791.000000000000000,909993.920000000158325,771616.519999999902211,810153.499999999883585,10673047.039999999105930
20180312,894833.760000000125729,972548.999999999883585,894239.020000000018626,930097.080000000074506,916863.239999999990687,942735.659999999916181,890217.939999999944121,842305.730000000097789,859003.760000000009313,908020.760000000009313,768310.279999999911524,804989.750000000116415,10624169.980000000447035
20180313,886216.760000000125729,956954.999999999883585,878374.669999999925494,934790.859999999986030,905876.520000000018626,919744.539999999920838,881558.640000000013970,845526.710000000079162,850185.560000000055879,900420.440000000060536,765948.679999999934807,801662.000000000000000,10527264.379999998956919
20180314,878683.040000000037253,933196.749999999883585,864963.570000000065193,936235.099999999976717,895746.920000000041910,914289.019999999902211,881958.300000000046566,836323.910000000149012,846462.320000000065193,895889.480000000097789,762799.880000000004657,786629.750000000000000,10433182.040000000968575
20180315,879717.080000000074506,932405.749999999883585,872094.350000000093132,918543.160000000032596,898006.599999999976717,917503.880000000004657,884489.479999999981374,841615.520000000018626,844306.760000000009313,901955.120000000111759,760280.839999999967404,773204.000000000000000,10424126.539999999105930
20180316,876614.960000000195578,933790.000000000000000,875332.640000000130385,923778.530000000027940,899565.000000000000000,921595.519999999902211,878094.919999999925494,846216.920000000158325,838297.320000000065193,910140.080000000074506,764531.719999999972060,775384.249999999883585,10443345.860000001266599
20180319,863221.680000000167638,937434.249999999883585,858748.669999999925494,917640.510000000009313,892474.280000000027940,904936.699999999953434,875430.519999999902211,835863.770000000018626,830916.160000000032596,900493.520000000018626,760595.719999999972060,764483.000000000000000,10342242.780000001192093
20180320,862926.240000000107102,954016.999999999883585,860907.530000000027940,930638.669999999925494,893331.400000000023283,907274.779999999911524,889951.500000000000000,835863.770000000018626,830654.880000000004657,912917.120000000111759,750834.439999999944121,757942.250000000000000,10387263.580000000074506
20180321,843377.960000000195578,952519.750000000000000,856524.390000000130385,930819.200000000069849,894110.599999999976717,900942.479999999981374,883956.599999999976717,834483.350000000093132,829609.760000000009313,900566.600000000093132,744379.400000000023283,760466.750000000000000,10331760.839999999850988
20180322,831461.880000000121072,903110.499999999883585,826267.640000000013970,917640.510000000009313,856786.920000000041910,874736.500000000000000,858245.140000000013970,819068.660000000149012,810471.000000000000000,876961.760000000009313,738081.800000000046566,755417.750000000000000,10068254.060000000521541
20180323,812209.040000000037253,907037.249999999883585,802258.500000000000000,891102.599999999976717,833878.440000000060536,849309.880000000004657,861042.760000000009313,793530.890000000130385,798974.680000000051223,855110.840000000083819,728792.839999999967404,750827.750000000116415,9884079.469999998807907
20180326,850763.960000000195578,929552.500000000000000,833725.520000000018626,947427.959999999962747,859592.040000000037253,913607.079999999958090,877961.700000000069849,806184.740000000107102,827258.239999999990687,881711.960000000079162,741073.159999999916181,774236.750000000000000,10243099.610000001266599
20180327,828950.640000000130385,907376.249999999883585,808800.500000000000000,924139.589999999967404,842917.160000000032596,871619.059999999939464,881558.640000000013970,805494.530000000027940,818374.719999999972060,858034.040000000153668,744851.719999999972060,756909.499999999883585,10049030.349999999627471
20180328,819792.000000000000000,904268.749999999883585,815702.310000000055879,895435.320000000065193,841592.520000000018626,870839.699999999953434,871833.579999999958090,812166.560000000055879,812953.160000000032596,855037.760000000009313,755715.079999999958090,775613.750000000000000,10030954.490000000223517
20180329,826193.200000000069849,926473.249999999883585,823847.100000000093132,940206.760000000009313,856942.760000000009313,889154.659999999916181,885155.579999999958090,816537.890000000130385,821902.000000000000000,874257.800000000162981,752881.159999999916181,751286.750000000000000,10164842.910000000149012
20180402,820776.800000000162981,911105.249999999883585,809094.890000000013970,883159.280000000027940,840423.719999999972060,862364.159999999916181,854248.540000000037253,806414.810000000055879,806617.119999999995343,865268.960000000079162,742490.119999999878928,724091.000000000000000,9926058.649999998509884
20180403,829196.840000000083819,934778.749999999883585,819660.220000000088476,898143.270000000018626,851955.880000000004657,873957.139999999897555,888619.300000000046566,820909.220000000088476,815957.880000000004657,871188.440000000060536,747843.079999999958090,724894.250000000000000,10077108.269999999552965
20180404,845052.120000000111759,925230.249999999883585,826333.060000000055879,902475.990000000107102,864890.599999999976717,899481.179999999934807,911533.140000000013970,831262.370000000111759,821575.400000000023283,875646.320000000065193,754613.000000000000000,751745.750000000116415,10209843.179999999701977
20180405,850911.680000000167638,950542.249999999767169,836767.550000000046566,909516.660000000032596,871825.479999999981374,899968.279999999911524,927119.880000000121072,822059.570000000065193,821510.080000000074506,885731.360000000102445,759493.640000000013970,741877.250000000116415,10277327.680000001564622
