訓練日期,20150604 - 20150903
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9625677.580000000074506
真實報酬,-374322.419999999925494

夏普值報酬,-0.046132242000000
夏普值風險,0.027181332599817
夏普值,-1.697203101819637

預期報酬,355.486238936638983
風險,271833.509984707925469
趨勢值,0.001307735160969
找到最佳解世代,51
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CSCO[4](21),JNJ[12](11),MCD[15](6),MRK[17](20),NKE[19](1),TRV[22](5),V[25](2),WBA[27](3),WMT[28](22),
Stock#,CSCO[4](21),JNJ[12](11),MCD[15](6),MRK[17](20),NKE[19](1),TRV[22](5),V[25](2),WBA[27](3),WMT[28](22),
張數,38195,11101,11511,18398,21675,11000,16114,12946,14836,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,18.449999999953434,11.909999999916181,69.280000000027940,55.780000000027940,50.500000000000000,1.000000000000000,50.699999999953434,85.280000000027940,42.959999999962747,
20150604,1092777.399999999906868,1101564.139999999897555,1108693.689999999944121,1094184.840000000083819,1105042.000000000000000,1102311.000000000000000,1099186.639999999897555,1103731.780000000027940,1100132.360000000102445,9907624.849999999627471
20150605,1091631.549999999813735,1094459.500000000000000,1099830.220000000204891,1085353.800000000046566,1105909.000000000000000,1092411.000000000000000,1101764.880000000121072,1086125.219999999972060,1083961.120000000111759,9841447.289999999105930
20150608,1080173.050000000046566,1087465.869999999878928,1097297.800000000046566,1083146.040000000037253,1099406.500000000000000,1075361.000000000000000,1090646.219999999972060,1077969.239999999990687,1077284.919999999925494,9768751.639999998733401
20150609,1078645.250000000000000,1090241.119999999878928,1090506.310000000055879,1082594.100000000093132,1098539.500000000000000,1075801.000000000000000,1094997.000000000000000,1089750.100000000093132,1075207.879999999888241,9776283.260000001639128
20150610,1094687.149999999906868,1097678.789999999804422,1097067.580000000074506,1096760.560000000055879,1119997.750000000000000,1090981.000000000000000,1122068.519999999785796,1106838.820000000065193,1082032.440000000176951,9908113.609999999403954
20150611,1102326.149999999906868,1101675.149999999906868,1100405.770000000018626,1083881.959999999962747,1125850.000000000000000,1101431.000000000000000,1122229.659999999916181,1110722.620000000111759,1082180.799999999813735,9930704.109999999403954
20150612,1090103.750000000000000,1091795.259999999776483,1094304.939999999944121,1064748.040000000037253,1124766.250000000000000,1094171.000000000000000,1117234.319999999832362,1101272.040000000037253,1074614.440000000176951,9853011.040000000968575
20150615,1087812.050000000046566,1082248.399999999906868,1085556.580000000074506,1050949.540000000037253,1120214.500000000000000,1086691.000000000000000,1104987.679999999934807,1092986.600000000093132,1067196.440000000176951,9778643.789999999105930
20150616,1096596.899999999906868,1091906.270000000018626,1089355.209999999962747,1061804.360000000102445,1133219.500000000000000,1094391.000000000000000,1112077.840000000083819,1111887.760000000009313,1073427.559999999823049,9864667.400000000372529
20150617,1104999.800000000046566,1096013.639999999897555,1096146.699999999953434,1065483.959999999962747,1135387.000000000000000,1097581.000000000000000,1107888.199999999953434,1108521.800000000046566,1079065.239999999990687,9891088.339999999850988
20150618,1115694.399999999906868,1114108.270000000018626,1107082.150000000139698,1077994.600000000093132,1148825.500000000000000,1116171.000000000000000,1119973.699999999953434,1136744.080000000074506,1082774.239999999990687,10019368.939999999478459
20150619,1108819.300000000046566,1108557.770000000018626,1106046.159999999916181,1067875.699999999953434,1154677.750000000000000,1093951.000000000000000,1106921.359999999869615,1146065.199999999953434,1079213.599999999860302,9972128.839999999850988
20150622,1105381.750000000000000,1111111.000000000000000,1115139.850000000093132,1082410.120000000111759,1157495.500000000000000,1100441.000000000000000,1113366.959999999962747,1136096.780000000027940,1079955.400000000139698,10001399.360000001266599
20150623,1099652.500000000000000,1107669.689999999944121,1118708.260000000009313,1086089.719999999972060,1161830.500000000000000,1100001.000000000000000,1118684.580000000074506,1127552.420000000158325,1076691.479999999748543,9996881.150000000372529
20150624,1088957.899999999906868,1102674.239999999990687,1112492.320000000065193,1071555.300000000046566,1151209.750000000000000,1086581.000000000000000,1109660.739999999990687,1115383.180000000167638,1073872.639999999897555,9912388.070000000298023
20150625,1084756.449999999953434,1100343.030000000027940,1102707.970000000204891,1065299.979999999981374,1140372.250000000000000,1075911.000000000000000,1105793.380000000121072,1118101.840000000083819,1066157.919999999925494,9859444.820000000298023
20150626,1080173.050000000046566,1106115.549999999813735,1119974.470000000204891,1076154.800000000046566,1189141.000000000000000,1077121.000000000000000,1107888.199999999953434,1123409.699999999953434,1070015.280000000027940,9949994.049999998882413
20150629,1051908.750000000000000,1084357.590000000083819,1098679.120000000111759,1054077.199999999953434,1167032.500000000000000,1057541.000000000000000,1075176.780000000027940,1091174.160000000149012,1059630.080000000074506,9739578.180000001564622
20150630,1048853.149999999906868,1081915.369999999878928,1094420.050000000046566,1047453.920000000041910,1170717.250000000000000,1063261.000000000000000,1082105.800000000046566,1093245.520000000018626,1052360.440000000176951,9734333.499999998137355
20150701,1044651.699999999953434,1093127.379999999888241,1102362.640000000130385,1059780.580000000074506,1186106.500000000000000,1092301.000000000000000,1093385.599999999860302,1110463.699999999953434,1066454.639999999897555,9848634.740000000223517
20150702,1043887.799999999930151,1092794.349999999860302,1107082.150000000139698,1061068.439999999944121,1190875.000000000000000,1091531.000000000000000,1099670.059999999823049,1110981.540000000037253,1066157.919999999925494,9864049.259999999776483
20150706,1039686.349999999860302,1090130.109999999869615,1101096.430000000167638,1058860.679999999934807,1190441.500000000000000,1088341.000000000000000,1097736.380000000121072,1105544.219999999972060,1076098.040000000037253,9847935.710000000894070
20150707,1045033.649999999906868,1098122.829999999841675,1112952.760000000009313,1066955.800000000046566,1206264.250000000000000,1100331.000000000000000,1092096.479999999981374,1129623.780000000027940,1094791.400000000139698,9946172.949999999254942
20150708,1030901.499999999883585,1085356.679999999934807,1103283.520000000018626,1055181.080000000074506,1184372.500000000000000,1086361.000000000000000,1075337.919999999925494,1112276.139999999897555,1083961.120000000111759,9817032.460000000894070
20150709,1027845.899999999906868,1092350.310000000055879,1110765.669999999925494,1055733.020000000018626,1186106.500000000000000,1100771.000000000000000,1080494.399999999906868,1159399.580000000074506,1079807.040000000037253,9893274.420000001788139
20150710,1041978.050000000046566,1104894.439999999944121,1124118.430000000167638,1066219.880000000121072,1197811.000000000000000,1111001.000000000000000,1102570.580000000074506,1205487.340000000083819,1084851.280000000027940,10038933.000000000000000
20150713,1061457.500000000000000,1113109.179999999934807,1133097.010000000009313,1064748.040000000037253,1218402.250000000000000,1125631.000000000000000,1120295.979999999981374,1223223.360000000102445,1096126.639999999897555,10156091.959999999031425
20150714,1070624.300000000046566,1107669.689999999944121,1137125.860000000102445,1070635.399999999906868,1217535.250000000000000,1126181.000000000000000,1129642.099999999860302,1221281.459999999962747,1094791.400000000139698,10175487.459999999031425
20150715,1073679.899999999906868,1114774.329999999841675,1140464.050000000046566,1071187.340000000083819,1212766.750000000000000,1126621.000000000000000,1128352.979999999981374,1216361.979999999981374,1092714.360000000102445,10176923.689999999478459
20150716,1081700.849999999860302,1122434.020000000018626,1126535.739999999990687,1082226.140000000130385,1217535.250000000000000,1136191.000000000000000,1137215.679999999934807,1244066.420000000158325,1095384.839999999850988,10243290.939999999478459
20150717,1076353.550000000046566,1110999.989999999990687,1122391.780000000027940,1082226.140000000130385,1222520.500000000000000,1132341.000000000000000,1142211.019999999785796,1239664.780000000027940,1088857.000000000000000,10217566.759999999776483
20150720,1070624.300000000046566,1114219.280000000027940,1122276.669999999925494,1085537.780000000027940,1226205.250000000000000,1128711.000000000000000,1171538.500000000000000,1238370.180000000167638,1084554.559999999823049,10242038.520000001415610
20150721,1063367.250000000000000,1113886.250000000000000,1120319.800000000046566,1079466.439999999944121,1224688.000000000000000,1149281.000000000000000,1160580.979999999981374,1238499.639999999897555,1079213.599999999860302,10229303.960000000894070
20150722,1051526.800000000046566,1112110.090000000083819,1123312.659999999916181,1069531.520000000018626,1236609.250000000000000,1158301.000000000000000,1159775.280000000027940,1251186.719999999972060,1085444.719999999972060,10247799.040000000968575
20150723,1069860.399999999906868,1112332.109999999869615,1117672.270000000018626,1068427.640000000130385,1235525.500000000000000,1158301.000000000000000,1156230.199999999953434,1236169.360000000102445,1075801.320000000065193,10230320.800000000745058
20150724,1084756.449999999953434,1100676.060000000055879,1106276.379999999888241,1056284.959999999962747,1224688.000000000000000,1157971.000000000000000,1205377.899999999906868,1231379.340000000083819,1062003.839999999850988,10229414.929999999701977
20150727,1077499.399999999906868,1091018.189999999944121,1105585.720000000204891,1048557.800000000046566,1211032.750000000000000,1161491.000000000000000,1190230.739999999990687,1221928.760000000009313,1059036.639999999897555,10166382.000000001862645
20150728,1077499.399999999906868,1099232.929999999934807,1120434.909999999916181,1058308.739999999990687,1229890.000000000000000,1165341.000000000000000,1204411.059999999823049,1245749.399999999906868,1069718.559999999823049,10270587.000000000000000
20150729,1084756.449999999953434,1107114.639999999897555,1130564.589999999850988,1077074.699999999953434,1245496.000000000000000,1170731.000000000000000,1224875.840000000083819,1250409.959999999962747,1071647.239999999990687,10362671.419999999925494
20150730,1080936.949999999953434,1108335.750000000000000,1141615.150000000139698,1076706.739999999990687,1246579.750000000000000,1171501.000000000000000,1230838.019999999785796,1249892.120000000111759,1070608.719999999972060,10377015.200000001117587
20150731,1085520.350000000093132,1112443.119999999878928,1149557.739999999990687,1084801.860000000102445,1248747.250000000000000,1167321.000000000000000,1214079.459999999962747,1251057.260000000009313,1067938.239999999990687,10381467.280000001192093
20150803,1083228.649999999906868,1110333.929999999934807,1144492.900000000139698,1086457.679999999934807,1244629.000000000000000,1176341.000000000000000,1221008.479999999981374,1241736.139999999897555,1070905.440000000176951,10379134.220000000670552
20150804,1070624.300000000046566,1107891.709999999962747,1141269.820000000065193,1080018.380000000121072,1254816.250000000000000,1172931.000000000000000,1212951.479999999981374,1238629.100000000093132,1071943.959999999962747,10351077.000000000000000
20150805,1079791.099999999860302,1115884.429999999934807,1148867.080000000074506,1087377.580000000074506,1265437.000000000000000,1166881.000000000000000,1208278.419999999925494,1251704.560000000055879,1090637.320000000065193,10414859.490000000223517
20150806,1077499.399999999906868,1099787.979999999748543,1143687.129999999888241,1075050.919999999925494,1247663.500000000000000,1160061.000000000000000,1185718.819999999832362,1213513.860000000102445,1079955.400000000139698,10282939.009999999776483
20150807,1075207.699999999953434,1097345.759999999776483,1138737.400000000139698,1066587.840000000083819,1241161.000000000000000,1160281.000000000000000,1195870.639999999897555,1207688.160000000149012,1057107.959999999962747,10239988.460000000894070
20150810,1092013.500000000000000,1107780.699999999953434,1144147.570000000065193,1074682.959999999962747,1250264.500000000000000,1164021.000000000000000,1198610.019999999785796,1216361.979999999981374,1060520.239999999990687,10308403.470000000670552
