訓練日期,20151022 - 20160126
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10215377.369999999180436
真實報酬,215377.369999999180436

夏普值報酬,0.012837737000000
夏普值風險,0.020214089910815
夏普值,0.635088547475567

預期報酬,7532.331406715418780
風險,344125.399081634008326
趨勢值,0.021888333226251
找到最佳解世代,85
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CVX[5](17),JPM[13](12),MCD[15](1),MMM[16](15),MRK[17](7),MSFT[18](4),VZ[26](6),WBA[27](24),WMT[28](3),
Stock#,CVX[5](17),JPM[13](12),MCD[15](1),MMM[16](15),MRK[17](7),MSFT[18](4),VZ[26](6),WBA[27](24),WMT[28](3),
張數,12438,17903,10835,7416,21963,23540,24768,12620,18948,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,24.459999999962747,50.820000000065193,90.099999999860302,45.880000000121072,2.829999999841675,23.000000000000000,18.520000000018626,46.199999999953434,0.280000000027940,
20151022,1139594.020000000018626,1131341.390000000130385,1201366.549999999813735,1156941.880000000121072,1142298.459999999729916,1130649.199999999953434,1136622.040000000037253,1118556.799999999813735,1116037.479999999981374,10273408.820000000298023
20151023,1134867.579999999841675,1143515.429999999934807,1220002.750000000000000,1155384.520000000018626,1161406.269999999785796,1244582.800000000046566,1143309.399999999906868,1135341.399999999906868,1104668.679999999934807,10443079.829999998211861
20151026,1104145.719999999972060,1144052.520000000018626,1215560.399999999906868,1160946.520000000018626,1162065.159999999683350,1277068.000000000000000,1148263.000000000000000,1129283.800000000046566,1099363.239999999990687,10440749.360000001266599
20151027,1090837.060000000055879,1139397.739999999990687,1209709.499999999767169,1162355.560000000055879,1174364.439999999711290,1263885.599999999860302,1143557.080000000074506,1200965.399999999906868,1089131.320000000065193,10474204.699999999254942
20151028,1116832.479999999981374,1172697.320000000065193,1223794.999999999767169,1172367.160000000149012,1210164.129999999888241,1270712.199999999953434,1151235.159999999916181,1072115.199999999953434,1092163.000000000000000,10482082.650000000372529
20151029,1118076.280000000027940,1167505.449999999953434,1220327.799999999813735,1168881.640000000130385,1205112.639999999897555,1256117.399999999906868,1149253.719999999972060,1058611.799999999813735,1098226.360000000102445,10442114.089999997988343
20151030,1130389.899999999906868,1150318.570000000065193,1216318.849999999860302,1165915.240000000223517,1200500.409999999683350,1239168.600000000093132,1161142.360000000102445,1068707.800000000046566,1084583.800000000046566,10417046.529999999329448
20151102,1181136.939999999944121,1173413.440000000176951,1214801.949999999953434,1186012.600000000093132,1210383.759999999776483,1253292.600000000093132,1158665.560000000055879,1092307.199999999953434,1091594.560000000055879,10561609.609999999403954
20151103,1220689.780000000027940,1177710.160000000149012,1214476.899999999906868,1177335.880000000121072,1210383.759999999776483,1274714.000000000000000,1150492.120000000111759,1113508.800000000046566,1101068.560000000055879,10640380.960000002756715
20151104,1203649.719999999972060,1178963.369999999878928,1217944.099999999860302,1178522.440000000176951,1219608.219999999972060,1280599.000000000000000,1142814.040000000037253,1104043.800000000046566,1105995.040000000037253,10632140.730000000447035
20151105,1176037.359999999869615,1189526.140000000130385,1222819.849999999860302,1179115.720000000204891,1209065.979999999748543,1280128.199999999953434,1144300.120000000111759,1084735.199999999953434,1110542.560000000055879,10596272.130000000819564
20151106,1169569.600000000093132,1225690.199999999953434,1227803.949999999953434,1181118.040000000037253,1199402.259999999776483,1292839.800000000046566,1133897.560000000055879,1068581.599999999860302,1113763.719999999972060,10612667.730000000447035
