訓練日期,20091123 - 20100226
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10592708.390000000596046
真實報酬,592708.390000000596046

夏普值報酬,0.050570839000000
夏普值風險,0.016828567496296
夏普值,3.005059046833947

預期報酬,9420.563457855125307
風險,173967.149643617798574
趨勢值,0.054151392818436
找到最佳解世代,95
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](1),CVX[5](23),DIS[6](9),HD[9](3),INTC[11](5),MCD[15](20),MRK[17](8),NKE[19](14),PFE[20](17),PG[21](15),UNH[23](2),
Stock#,BA[2](1),CVX[5](23),DIS[6](9),HD[9](3),INTC[11](5),MCD[15](20),MRK[17](8),NKE[19](14),PFE[20](17),PG[21](15),UNH[23](2),
張數,17583,11841,30292,33447,47250,14211,24933,56889,49514,14710,31830,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,48.899999999906868,56.430000000051223,27.079999999958090,0.540000000037253,0.000000000116415,12.329999999958090,32.819999999948777,3.780000000027940,12.960000000079162,12.000000000000000,25.200000000069849,
20091123,925442.189999999944121,932416.770000000018626,923327.239999999990687,920127.510000000125729,916650.000000000000000,909374.219999999972060,908092.679999999934807,917054.460000000079162,917507.380000000121072,922770.299999999930151,925641.599999999976717,10118414.349999999627471
20091124,913837.409999999916181,935850.660000000032596,915754.239999999990687,921799.859999999986030,916177.500000000116415,912642.750000000000000,903106.079999999958090,917623.349999999976717,906614.300000000046566,923800.000000000000000,940920.000000000000000,10108136.149999998509884
20091125,930717.089999999850988,943073.670000000041910,927265.199999999953434,931499.490000000107102,913815.000000000116415,915911.280000000027940,911832.630000000004657,934690.050000000046566,920478.220000000088476,924829.699999999953434,940283.400000000023283,10194405.730000000447035
20091127,922277.250000000000000,925667.400000000023283,919389.280000000027940,923472.209999999962747,902947.500000000116415,903831.929999999934807,904851.389999999897555,925018.920000000158325,903643.460000000079162,919092.799999999930151,937100.400000000139698,10087302.539999999105930
20091130,921573.929999999818392,924128.070000000181608,915451.319999999948777,915110.459999999962747,907200.000000000116415,898858.079999999958090,902856.750000000000000,922743.359999999986030,899682.340000000200234,917180.500000000000000,912591.300000000162981,10037386.110000001266599
20091201,944607.659999999916181,936205.890000000130385,930900.239999999990687,936516.540000000037253,928935.000000000116415,902979.269999999902211,919561.859999999986030,930138.930000000051223,933351.860000000102445,925418.099999999976717,913546.200000000069849,10202171.549999998882413
20091202,945662.639999999897555,932298.360000000102445,932717.759999999892898,947554.049999999930151,931770.000000000116415,888199.829999999958090,917567.219999999855645,929570.040000000037253,927905.319999999948777,929536.900000000023283,900495.900000000023283,10183288.019999999552965
20091203,945486.809999999939464,923180.789999999920838,918783.439999999944121,934175.250000000000000,938857.500000000116415,880668.000000000000000,916819.229999999981374,919898.910000000149012,922953.920000000158325,920269.599999999976717,869939.099999999976717,10091042.549999998882413
20091204,961487.339999999850988,924483.299999999930151,934232.359999999986030,939192.299999999930151,966735.000000000116415,875267.819999999948777,915073.920000000041910,914778.899999999906868,915526.819999999948777,920858.000000000000000,874077.000000000116415,10141722.759999999776483
20091207,981531.959999999962747,925667.400000000023283,939079.079999999958090,943874.880000000004657,962482.500000000116415,880099.559999999939464,915073.920000000041910,918192.240000000107102,894235.800000000046566,918945.699999999953434,900814.200000000069849,10180007.239999998360872
20091208,978718.679999999818392,908971.590000000083819,929385.639999999897555,925479.030000000144355,944527.500000000000000,861341.039999999920838,906347.369999999995343,903401.100000000093132,879381.600000000209548,910119.699999999953434,905907.000000000116415,10053590.250000001862645
20091209,975377.909999999916181,912523.890000000130385,929991.479999999981374,921465.390000000013970,945472.500000000232831,861198.929999999934807,926293.769999999902211,881214.390000000013970,903148.319999999948777,915562.400000000023283,907180.200000000069849,10079439.179999999701977
20091210,967289.729999999864958,916786.650000000023283,948166.679999999934807,936182.069999999948777,952087.500000000000000,867593.879999999888241,936017.639999999897555,892023.300000000046566,907109.440000000060536,915562.400000000023283,964792.500000000000000,10203621.789999999105930
20091211,977663.699999999953434,920812.590000000083819,960283.479999999981374,952905.569999999948777,940275.000000000000000,876262.589999999967404,924299.130000000004657,908521.110000000102445,906119.160000000149012,917033.400000000023283,970203.600000000093132,10254389.330000000074506
20091214,985576.049999999813735,914892.090000000083819,964221.439999999944121,965615.430000000051223,944055.000000000116415,883083.869999999995343,941752.229999999981374,912503.339999999967404,911070.560000000055879,926889.099999999976717,985163.700000000069849,10334832.810000000521541
20091215,978894.509999999892898,916194.600000000093132,974823.639999999897555,970632.479999999981374,935550.000000000116415,881094.329999999958090,947486.819999999948777,915347.790000000037253,905624.020000000018626,913797.199999999953434,996940.800000000046566,10336396.190000001341105
20091216,969399.689999999944121,922351.920000000041910,982396.639999999897555,968625.660000000032596,915705.000000000116415,887062.949999999953434,941253.569999999948777,910796.670000000158325,911565.700000000069849,914385.599999999976717,1024951.200000000186265,10348504.600000001490116
20091217,957794.909999999916181,909208.410000000032596,967250.639999999897555,963274.140000000013970,901057.500000000116415,879957.449999999953434,929535.059999999939464,899418.870000000111759,902158.040000000037253,906000.900000000023283,1012855.800000000046566,10228521.720000000670552
20091218,939684.419999999809079,910629.330000000074506,967856.479999999981374,958257.089999999967404,927517.500000000116415,883510.199999999953434,932527.019999999902211,916485.569999999948777,906119.160000000149012,905412.500000000000000,1003943.400000000023283,10251952.669999999925494
20091221,954805.799999999813735,917733.930000000051223,981487.879999999888241,968625.660000000032596,949252.500000000116415,890473.589999999967404,939757.589999999850988,922743.359999999986030,921468.500000000000000,901735.000000000000000,1023996.300000000162981,10372090.110000001266599
20091222,968872.199999999953434,917615.520000000018626,978761.599999999976717,979663.170000000041910,946890.000000000116415,894879.000000000000000,941253.569999999948777,925587.810000000055879,921468.500000000000000,901735.000000000000000,1028770.800000000046566,10405507.170000001788139
20091223,966410.579999999958090,912287.070000000181608,982396.639999999897555,969963.540000000037253,949725.000000000232831,900421.289999999920838,928787.069999999948777,930707.819999999948777,919983.079999999958090,901882.099999999976717,1006489.800000000046566,10369063.990000000223517
20091224,975553.739999999874271,916905.060000000172295,978155.759999999892898,975649.530000000144355,960592.500000000000000,901273.949999999953434,922304.489999999990687,927863.369999999995343,920973.360000000102445,901440.800000000046566,1008399.600000000093132,10389122.160000000149012
20091228,969575.519999999902211,920931.000000000000000,966644.799999999930151,975984.000000000000000,959175.000000000116415,903974.039999999920838,929784.389999999897555,931845.599999999976717,922458.780000000027940,900999.500000000000000,999168.900000000139698,10380551.529999999329448
20091229,970806.329999999958090,914300.039999999920838,980882.040000000037253,978994.229999999981374,963900.000000000000000,903689.819999999948777,925047.119999999995343,941516.730000000097789,918992.800000000046566,905853.799999999930151,981980.700000000069849,10385973.610000001266599
20091230,966410.579999999958090,919510.080000000074506,977852.839999999967404,974311.650000000023283,972877.500000000116415,893742.119999999995343,924049.800000000046566,940947.839999999967404,916021.960000000079162,902764.699999999953434,987073.500000000116415,10375572.570000000298023
20091231,951816.689999999944121,911695.020000000018626,976944.079999999958090,967622.250000000000000,963900.000000000000000,887347.169999999925494,911084.639999999897555,939810.060000000055879,900672.620000000111759,891879.300000000046566,970203.600000000093132,10272985.430000001564622
20100104,987861.839999999850988,936205.890000000130385,971491.520000000018626,958926.030000000144355,986580.000000000116415,892178.909999999916181,922803.149999999906868,929570.040000000037253,937312.980000000097789,899087.199999999953434,1003625.100000000093132,10425652.659999998286366
20100105,1020214.559999999939464,942836.850000000093132,969068.159999999916181,965949.900000000023283,986107.500000000116415,885357.629999999888241,926543.099999999860302,932983.380000000004657,923944.200000000069849,899381.400000000023283,1002033.600000000093132,10454430.279999999329448
