訓練日期,20110321 - 20110621
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10750807.280000001192093
真實報酬,750807.280000001192093

夏普值報酬,0.066380728000000
夏普值風險,0.024663281208216
夏普值,2.691479995690425

預期報酬,16493.464377622382017
風險,253699.861992215999635
趨勢值,0.065011719943815
找到最佳解世代,54
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](6),HD[9](23),IBM[10](9),JNJ[12](2),MCD[15](1),MMM[16](17),MRK[17](4),PFE[20](16),UTX[24](15),WBA[27](7),
Stock#,AXP[1](6),HD[9](23),IBM[10](9),JNJ[12](2),MCD[15](1),MMM[16](17),MRK[17](4),PFE[20](16),UTX[24](15),WBA[27](7),
張數,22639,27777,6414,17073,13700,11238,31338,49554,12475,24443,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,35.369999999995343,28.000000000000000,121.540000000037253,34.390000000013970,37.000000000116415,42.760000000009313,4.420000000041910,0.280000000027940,4.000000000000000,36.870000000111759,
20110321,1003395.849999999976717,1011944.109999999986030,1011481.060000000055879,1004438.979999999981374,1010549.000000000232831,1022138.859999999986030,1015042.240000000107102,990089.200000000069849,1016217.499999999883585,1025909.580000000074506,10111206.380000000819564
20110322,1013130.619999999995343,1008055.329999999958090,1013533.540000000037253,1003756.060000000055879,1012056.000000000232831,1019329.359999999986030,1019429.560000000055879,988107.040000000037253,1008982.000000000000000,958446.900000000139698,10044826.410000002011657
20110323,1019243.150000000023283,1017221.739999999874271,1023346.960000000079162,1002560.949999999953434,1021098.000000000116415,1035512.079999999958090,1022563.360000000102445,987115.960000000079162,1021207.500000000000000,973601.560000000055879,10123471.259999999776483
20110324,1032147.380000000121072,1037776.719999999972060,1026618.099999999976717,1007853.580000000074506,1026578.000000000232831,1040456.800000000046566,1025383.780000000027940,1005946.480000000097789,1032435.000000000116415,976534.720000000204891,10211730.560000002384186
20110325,1032147.380000000121072,1039443.340000000083819,1040344.060000000055879,1006999.929999999934807,1030962.000000000116415,1036973.020000000018626,1020683.080000000074506,1008424.180000000051223,1041916.000000000000000,968957.390000000130385,10226850.380000000819564
20110328,1035090.449999999953434,1018055.049999999930151,1035148.720000000088476,1011438.910000000032596,1027537.000000000116415,1035287.320000000065193,1016922.520000000135042,1004459.859999999986030,1041292.250000000000000,960157.910000000149012,10185389.990000002086163
