訓練日期,20131101 - 20140205
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10414589.389999998733401
真實報酬,414589.389999998733401

夏普值報酬,0.032758939000000
夏普值風險,0.025164743066562
夏普值,1.301779196129727

預期報酬,14047.254261997539288
風險,187935.055256358406041
趨勢值,0.074745258370430
找到最佳解世代,14
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](14),CAT[3](2),CSCO[4](30),DIS[6](6),DD[7](5),GS[8](11),INTC[11](17),JPM[13](7),MRK[17](1),PFE[20](19),UNH[23](9),V[25](3),XOM[29](10),
Stock#,BA[2](14),CAT[3](2),CSCO[4](30),DIS[6](6),DD[7](5),GS[8](11),INTC[11](17),JPM[13](7),MRK[17](1),PFE[20](19),UNH[23](9),V[25](3),XOM[29](10),
張數,5894,9227,34097,11214,13684,4781,31435,14924,17059,25064,11269,15644,8583,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,63.000000000000000,67.280000000027940,1.680000000051223,61.739999999990687,52.359999999986030,158.339999999967404,15.550000000046566,47.040000000037253,39.689999999944121,15.839999999967404,8.059999999939464,14.520000000018626,21.539999999920838,
20131101,784141.819999999948777,771352.210000000079162,769570.970000000088476,773939.880000000004657,759103.839999999967404,774919.390000000013970,764829.099999999976717,783706.280000000027940,771618.259999999892898,781260.719999999972060,773399.529999999911524,778929.280000000027940,770946.599999999860302,10057727.879999997094274
20131104,782727.260000000009313,774120.310000000055879,769911.939999999944121,771697.079999999958090,748430.319999999948777,780226.299999999930151,762628.650000000139698,776692.000000000000000,779977.169999999925494,783516.479999999981374,777005.609999999986030,768291.359999999986030,790515.839999999850988,10065750.319999998435378
20131105,787324.579999999958090,775596.630000000004657,786619.470000000088476,772145.639999999897555,754588.119999999995343,774441.289999999920838,755398.600000000093132,775348.840000000083819,773835.929999999934807,783015.199999999953434,774413.739999999874271,771889.480000000097789,789571.709999999846332,10074199.229999998584390
20131106,784495.459999999962747,777165.219999999972060,793779.840000000083819,773827.739999999990687,765124.799999999930151,781947.459999999962747,762314.300000000046566,777587.440000000060536,784071.329999999958090,776247.919999999925494,792106.070000000065193,778459.959999999962747,800128.799999999930151,10147266.339999999850988
20131107,775182.939999999944121,771905.830000000074506,787983.349999999976717,753081.840000000083819,753630.239999999990687,763397.179999999934807,756341.650000000023283,770871.640000000013970,781683.069999999948777,774744.079999999958090,786133.500000000000000,767039.840000000083819,789314.219999999855645,10031319.380000000819564
20131108,786853.060000000055879,777349.760000000009313,801622.150000000139698,769117.859999999986030,773061.520000000018626,780274.109999999869615,757284.700000000069849,805346.080000000074506,798400.889999999897555,785020.319999999948777,794472.559999999939464,775487.599999999976717,795923.130000000004657,10200223.740000000223517
20131111,781194.819999999948777,776519.330000000074506,799576.330000000074506,766426.500000000000000,772924.679999999934807,783477.380000000004657,759799.500000000116415,807435.440000000060536,801812.689999999944121,783015.199999999953434,794472.559999999939464,779398.599999999976717,797897.219999999855645,10203960.250000000000000
20131112,780016.020000000018626,773751.229999999981374,809123.490000000107102,760034.519999999902211,766630.040000000037253,778935.429999999934807,767972.600000000093132,805495.320000000065193,811877.500000000000000,786524.159999999916181,788274.609999999986030,775487.599999999976717,795408.149999999906868,10199540.669999999925494
20131113,784966.979999999981374,776980.680000000051223,818329.680000000051223,773491.319999999948777,771693.119999999995343,779174.479999999981374,773316.550000000046566,808032.400000000023283,807612.750000000000000,798805.520000000018626,800219.750000000000000,781432.320000000065193,794721.509999999892898,10268787.060000000521541
20131114,796283.459999999962747,772920.800000000046566,728654.570000000065193,785266.019999999902211,781545.599999999976717,780417.539999999920838,766715.200000000069849,811912.640000000013970,815801.069999999948777,802063.839999999967404,805065.419999999925494,782840.280000000027940,800128.799999999930151,10229625.240000000223517
20131115,802118.520000000018626,772736.260000000009313,734451.060000000055879,785041.739999999990687,784008.719999999972060,786154.739999999990687,770801.750000000000000,818926.920000000041910,820065.819999999948777,807076.640000000013970,809911.089999999967404,790036.520000000018626,817723.949999999837019,10299063.729999998584390
20131118,815556.840000000083819,775504.360000000102445,725926.810000000055879,779434.739999999990687,777029.880000000004657,792274.420000000041910,773316.550000000046566,831910.800000000046566,819042.279999999911524,802314.479999999864958,807769.979999999981374,781901.640000000013970,819268.889999999897555,10301261.669999999925494
20131119,807423.119999999995343,772090.369999999995343,730359.420000000158325,775173.420000000041910,773745.719999999972060,796672.939999999944121,776460.050000000046566,838029.640000000013970,820065.819999999948777,793542.079999999958090,806981.149999999906868,772045.920000000041910,819011.399999999906868,10281611.050000000745058
20131120,780723.299999999930151,762955.640000000130385,723880.990000000107102,776406.960000000079162,765124.799999999930151,789023.339999999967404,772059.150000000023283,837283.440000000060536,821089.359999999986030,800058.719999999972060,811150.679999999934807,774861.840000000083819,812659.979999999981374,10227288.200000001117587
20131121,783552.420000000041910,757788.520000000018626,732064.270000000018626,784368.900000000023283,772377.319999999948777,798920.009999999892898,793120.600000000093132,853998.320000000065193,829448.269999999902211,801311.919999999925494,821630.849999999860302,788472.119999999995343,812745.809999999939464,10329809.329999998211861
20131122,801470.180000000051223,764801.040000000037253,731723.300000000046566,787284.540000000037253,772924.679999999934807,803844.439999999944121,750369.000000000116415,857580.080000000074506,834907.149999999906868,805071.519999999902211,830984.119999999878928,790505.840000000083819,815492.369999999995343,10346968.259999997913837
20131125,783965.000000000000000,778826.080000000074506,725244.869999999995343,782126.099999999976717,760198.559999999939464,810442.219999999972060,746596.800000000046566,860415.640000000013970,847189.629999999888241,805572.799999999930151,834702.889999999897555,789723.640000000013970,816179.009999999892898,10341193.240000000223517
20131126,794456.319999999948777,778457.000000000000000,723199.050000000046566,798274.260000000009313,755956.520000000018626,803557.579999999958090,743453.300000000046566,853252.120000000111759,845824.909999999916181,799306.799999999930151,839773.939999999944121,795981.240000000107102,809140.949999999837019,10340643.989999998360872
20131127,794102.680000000051223,781317.369999999995343,725244.869999999995343,793676.519999999902211,761977.479999999981374,804418.159999999916181,751312.050000000046566,857878.559999999939464,850089.659999999916181,799056.159999999916181,837970.899999999906868,797858.520000000018626,805106.939999999944121,10360019.869999999180436
20131129,791332.500000000000000,780671.479999999981374,724562.930000000051223,791097.300000000046566,761293.280000000027940,807860.479999999981374,749425.950000000069849,853998.320000000065193,850089.659999999916181,795296.559999999939464,839323.179999999934807,795824.799999999930151,802360.380000000004657,10343146.820000002160668
20131202,790802.040000000037253,777442.030000000027940,719107.410000000032596,795246.479999999981374,779219.319999999948777,811589.659999999916181,745025.050000000046566,850416.559999999939464,856060.309999999939464,797802.959999999962747,835717.099999999860302,802238.840000000083819,802703.699999999837019,10363381.459999997168779
20131203,778071.000000000000000,773935.770000000018626,724903.900000000139698,783920.340000000083819,754588.119999999995343,803605.390000000013970,740309.800000000046566,848625.680000000051223,848895.529999999911524,782513.919999999925494,830871.429999999934807,789097.880000000004657,810170.909999999916181,10269519.669999999925494
20131204,775124.000000000000000,774858.469999999972060,724562.930000000051223,784705.319999999948777,757872.280000000027940,806713.039999999920838,746282.449999999953434,853550.599999999976717,841218.979999999981374,783767.119999999995343,829969.910000000032596,793008.880000000004657,812574.149999999906868,10284218.130000000819564
20131205,782373.619999999995343,778918.349999999976717,712969.950000000069849,787620.960000000079162,752398.679999999934807,791700.699999999953434,762628.650000000139698,833104.720000000088476,832689.479999999981374,783265.839999999967404,819827.809999999939464,788941.440000000060536,807939.329999999841675,10234389.529999999329448
