訓練日期,20100318 - 20100618
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10171323.969999998807907
真實報酬,171323.969999998807907

夏普值報酬,0.008432397000000
夏普值風險,0.031235881877943
夏普值,0.269958665900651

預期報酬,2193.495322906099773
風險,356550.815327336487826
趨勢值,0.006151985155026
找到最佳解世代,48
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),CAT[3](5),CVX[5](7),HD[9](4),INTC[11](14),JPM[13](27),MCD[15](2),MRK[17](26),NKE[19](3),PG[21](11),
Stock#,AAPL[0](1),CAT[3](5),CVX[5](7),HD[9](4),INTC[11](14),JPM[13](27),MCD[15](2),MRK[17](26),NKE[19](3),PG[21](11),
張數,31230,16605,13392,30750,44964,22836,15064,26260,56433,15622,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,15.399999999906868,46.900000000023283,19.359999999986030,9.999999999883585,0.640000000013970,11.560000000055879,51.680000000051223,19.200000000069849,7.240000000107102,35.779999999911524,
20100318,1002186.099999999976717,992527.750000000116415,1001205.280000000027940,996309.999999999883585,998201.439999999944121,996574.600000000093132,1004519.200000000186265,1009716.200000000186265,1053611.350000000093132,995625.839999999850988,10050477.759999999776483
20100319,991567.899999999906868,985885.750000000000000,1004151.520000000018626,995079.999999999883585,988759.000000000000000,992235.760000000125729,1002259.600000000093132,999474.800000000162981,1037245.780000000027940,997344.260000000009313,9994004.369999999180436
20100322,1002810.699999999837019,995516.650000000023283,997187.679999999934807,1004612.499999999883585,1000000.000000000000000,998858.200000000069849,1009490.320000000181608,1005777.199999999953434,1042324.750000000000000,997969.139999999897555,10054547.140000000596046
20100323,1018737.999999999883585,1036364.949999999953434,1001339.199999999953434,1002152.500000000000000,1019334.520000000135042,1018040.440000000060536,1014612.079999999958090,1011029.200000000069849,1050789.700000000186265,1008123.439999999944121,10180524.029999999329448
20100324,1023422.500000000000000,1030553.200000000069849,990089.920000000041910,993849.999999999883585,1008543.160000000032596,1026261.400000000023283,1006326.880000000004657,998161.800000000046566,1035552.790000000153668,993751.199999999953434,10106512.849999999627471
20100325,1011242.799999999930151,1031881.599999999976717,988348.959999999962747,1003074.999999999767169,1004946.040000000037253,1026261.400000000023283,1007833.280000000144355,992122.000000000116415,1037810.110000000102445,993907.419999999925494,10097428.609999999403954
20100326,1030293.099999999976717,1036863.099999999976717,996785.920000000041910,1007072.499999999883585,1000000.000000000000000,1028088.280000000144355,1013256.320000000181608,982931.000000000116415,1042324.750000000000000,995000.959999999846332,10132615.929999999701977
20100329,1036851.400000000023283,1054132.299999999813735,1007499.520000000018626,1002459.999999999883585,1004046.759999999892898,1024434.520000000018626,1010394.159999999916181,995010.600000000093132,1043453.410000000032596,995625.839999999850988,10173908.509999999776483
20100330,1052154.099999999860302,1048818.700000000186265,1008436.959999999962747,1005227.499999999767169,1004496.400000000023283,1018040.440000000060536,1012955.039999999920838,988970.799999999930151,1041196.090000000083819,994532.299999999813735,10174828.330000001937151
20100331,1048406.499999999883585,1043671.150000000023283,1015534.719999999972060,994772.499999999883585,1002248.199999999953434,1021922.560000000055879,1005121.760000000009313,980830.200000000069849,1037245.780000000027940,988439.719999999972060,10138193.090000001713634
20100401,1052778.699999999953434,1062600.850000000093132,1027051.839999999967404,995695.000000000000000,1006744.600000000093132,1031742.040000000037253,1018076.800000000046566,990283.800000000046566,1044017.740000000107102,989845.699999999953434,10218837.069999998435378
20100405,1064021.500000000000000,1079205.850000000093132,1040042.079999999958090,1004304.999999999767169,1015737.400000000023283,1035395.800000000162981,1024855.600000000093132,981880.600000000093132,1045710.730000000214204,996094.499999999883585,10287249.060000000521541
20100406,1068705.999999999767169,1084187.350000000093132,1042988.319999999948777,1000922.499999999767169,1007194.239999999990687,1046813.800000000162981,1021541.520000000135042,978204.200000000069849,1042889.080000000074506,985940.199999999953434,10279387.209999999031425
20100407,1073390.499999999767169,1070571.250000000000000,1036158.400000000023283,1002767.499999999883585,1009442.439999999944121,1034939.080000000074506,1019884.480000000097789,966124.600000000093132,1038374.440000000060536,976410.779999999911524,10228063.469999998807907
20100408,1070579.800000000046566,1070737.300000000279397,1040042.079999999958090,1013837.499999999883585,1003147.479999999981374,1044986.920000000041910,1035852.320000000181608,965862.000000000116415,1044017.740000000107102,977348.099999999976717,10266411.240000000223517
20100409,1078699.599999999860302,1083855.250000000000000,1064683.359999999869615,1022447.499999999883585,1013938.840000000083819,1050010.840000000083819,1034647.200000000186265,970851.400000000023283,1060947.640000000130385,980003.839999999850988,10360085.469999998807907
20100412,1080885.699999999953434,1108098.550000000279397,1077137.919999999925494,1029519.999999999767169,1013489.199999999953434,1053664.600000000093132,1032387.600000000093132,967700.200000000069849,1065462.280000000260770,979535.179999999934807,10407881.230000000447035
20100413,1081510.300000000046566,1099131.850000000093132,1074191.679999999701977,1055965.000000000000000,1023830.920000000041910,1047498.880000000004657,1038262.560000000055879,963761.200000000186265,1065462.280000000260770,984221.779999999911524,10433836.449999999254942
20100414,1096188.399999999906868,1117231.299999999813735,1079146.719999999739230,1075645.000000000000000,1057553.919999999925494,1089973.840000000083819,1045794.560000000055879,950893.800000000046566,1069412.589999999850988,987189.959999999846332,10569030.089999999850988
20100415,1110554.199999999953434,1132840.000000000000000,1092672.640000000130385,1080565.000000000000000,1089028.719999999739230,1091800.720000000204891,1041877.920000000041910,946429.600000000093132,1067155.270000000018626,984221.779999999911524,10637145.849999997764826
20100416,1103683.600000000093132,1110589.299999999813735,1081423.359999999869615,1076567.500000000000000,1075539.520000000018626,1040191.359999999986030,1039919.600000000093132,937763.800000000046566,1060383.310000000055879,981878.479999999981374,10507939.830000001937151
20100419,1102434.399999999906868,1112415.850000000093132,1089056.799999999813735,1081487.500000000000000,1079136.640000000130385,1036537.600000000093132,1053326.560000000055879,942753.200000000069849,1066590.939999999944121,987658.619999999878928,10551398.109999997541308
20100420,1091191.599999999860302,1120884.399999999906868,1098832.959999999962747,1081795.000000000000000,1084532.319999999832362,1047727.240000000107102,1059653.439999999944121,946954.800000000162981,1077313.209999999962747,987189.959999999846332,10596074.929999997839332
20100421,1156462.300000000046566,1125035.649999999906868,1097092.000000000000000,1084562.500000000000000,1070143.839999999850988,1035624.160000000032596,1059954.720000000204891,912291.600000000093132,1082392.180000000167638,994063.639999999897555,10617622.589999999850988
20100422,1188941.500000000000000,1121050.450000000186265,1087449.760000000242144,1098400.000000000000000,1078687.000000000000000,1021694.200000000069849,1070047.600000000093132,886819.400000000139698,1103836.720000000204891,993438.760000000009313,10650365.390000002458692
20100423,1208304.099999999860302,1142138.799999999813735,1107136.000000000000000,1119002.500000000000000,1080935.200000000186265,1026261.400000000023283,1071855.280000000260770,931198.800000000046566,1099322.080000000074506,992657.659999999916181,10778811.820000000298023
20100426,1202370.399999999906868,1189795.149999999906868,1106064.640000000130385,1122077.500000000000000,1071043.120000000111759,1002283.600000000093132,1069896.959999999962747,919119.200000000069849,1101015.070000000298023,998906.459999999846332,10782572.099999999627471
20100427,1168954.299999999813735,1137987.549999999813735,1074459.520000000018626,1085177.500000000000000,1049910.040000000037253,968486.319999999948777,1062515.600000000093132,905464.000000000000000,1082392.180000000167638,985940.199999999953434,10521287.209999999031425
20100428,1167080.499999999767169,1145293.750000000000000,1079682.399999999906868,1082102.500000000000000,1045863.280000000027940,992464.120000000111759,1059653.439999999944121,907564.800000000162981,1078441.870000000111759,986877.519999999902211,10545024.179999999701977
20100429,1198622.800000000046566,1174850.649999999906868,1102047.040000000037253,1093480.000000000000000,1056205.000000000000000,1004795.560000000055879,1077428.959999999962747,925684.200000000069849,1094243.110000000335276,971724.179999999934807,10699081.500000000000000
20100430,1164894.399999999906868,1130681.350000000093132,1090663.839999999850988,1083332.500000000000000,1026978.400000000023283,972368.440000000060536,1063419.439999999944121,920169.600000000093132,1071105.580000000074506,971099.299999999813735,10494712.850000001490116
20100503,1188316.899999999906868,1161400.600000000093132,1109278.719999999739230,1103012.500000000000000,1045863.280000000027940,994062.640000000130385,1075922.560000000055879,926209.400000000139698,1097064.760000000242144,979222.739999999874271,10680354.100000001490116
20100504,1153963.899999999906868,1107600.399999999906868,1081557.280000000260770,1089175.000000000000000,1014388.479999999981374,969856.479999999981374,1064172.640000000130385,940389.800000000162981,1091421.459999999962747,964069.399999999906868,10476594.840000001713634
20100505,1142096.500000000000000,1095312.699999999720603,1073923.839999999850988,1083640.000000000000000,996852.520000000135042,973510.240000000107102,1064473.919999999925494,934612.600000000209548,1060947.640000000130385,971099.299999999813735,10396469.260000001639128
20100506,1098686.799999999813735,1054464.399999999906868,1033881.760000000009313,1044279.999999999883585,967176.280000000027940,931948.720000000088476,1045794.560000000055879,899949.400000000139698,1020315.880000000004657,949072.279999999911524,10045570.080000000074506
20100507,1052154.099999999860302,1031217.400000000023283,1032542.559999999939464,1027982.499999999883585,958183.479999999981374,930806.920000000041910,1024554.320000000181608,879466.600000000093132,996049.690000000060536,942198.599999999976717,9875156.169999999925494
20100510,1133039.800000000046566,1107434.350000000093132,1069906.240000000223517,1085177.500000000000000,1013938.840000000083819,957981.760000000125729,1063268.799999999813735,899424.200000000069849,1081263.520000000018626,975161.019999999902211,10386596.029999999329448
20100511,1144594.899999999906868,1097139.250000000000000,1067361.760000000242144,1095632.500000000000000,1001798.560000000055879,948847.359999999986030,1061762.399999999906868,879991.800000000046566,1078441.870000000111759,974379.919999999925494,10349950.320000000298023
20100512,1169266.599999999860302,1131677.649999999906868,1072182.879999999888241,1103627.500000000000000,1038219.400000000023283,952044.400000000023283,1064624.560000000055879,883405.600000000093132,1098193.419999999925494,984534.219999999972060,10497776.230000000447035
20100513,1152714.699999999720603,1111087.450000000186265,1056916.000000000000000,1084562.500000000000000,1011690.640000000013970,931948.720000000088476,1062063.680000000167638,874739.800000000162981,1066026.610000000335276,980316.279999999911524,10332066.379999998956919
20100514,1132415.199999999953434,1077379.299999999813735,1042318.719999999972060,1082410.000000000000000,984262.600000000093132,910939.600000000093132,1048355.440000000060536,863448.000000000116415,1040067.430000000051223,977035.659999999916181,10158631.950000001117587
20100517,1134289.000000000000000,1059113.799999999813735,1040979.520000000018626,1094402.500000000000000,990107.920000000041910,909797.800000000162981,1056640.640000000130385,860822.000000000116415,1038938.770000000135042,990158.139999999897555,10175250.089999999850988
20100518,1125856.899999999906868,1049316.850000000093132,1029194.559999999939464,1067957.500000000000000,963579.160000000032596,891072.280000000144355,1054832.959999999962747,849530.200000000069849,1028780.830000000074506,987502.399999999906868,10047623.640000002458692
20100519,1108055.799999999813735,1020258.099999999976717,1025846.559999999939464,1057195.000000000000000,971223.040000000037253,899293.240000000107102,1045493.280000000144355,856620.400000000023283,1019187.220000000088476,987658.619999999878928,9990831.259999999776483
20100520,1060898.499999999767169,974262.250000000000000,985670.559999999939464,1011377.499999999883585,934802.199999999953434,863897.440000000060536,1019281.920000000041910,835612.400000000023283,992099.380000000004657,962507.199999999953434,9640409.349999999627471
20100521,1081197.999999999767169,997841.350000000093132,997455.520000000018626,1015375.000000000000000,940197.880000000004657,914593.359999999986030,1022294.720000000088476,841389.600000000093132,1007336.290000000153668,966256.479999999981374,9783938.200000001117587
20100524,1100872.899999999906868,983395.000000000000000,983527.839999999967404,1021524.999999999883585,929406.520000000135042,881937.880000000004657,1019281.920000000041910,836662.800000000046566,1006771.960000000079162,959226.579999999841675,9722608.400000000372529
20100525,1094002.300000000046566,983228.950000000069849,971876.799999999930151,1044894.999999999767169,937500.040000000037253,889245.400000000023283,1021993.440000000060536,841914.800000000162981,1028780.830000000074506,953758.879999999888241,9767196.440000001341105
20100526,1089005.499999999767169,991863.549999999930151,958216.959999999962747,1046739.999999999883585,930755.439999999944121,885591.640000000130385,994426.320000000181608,851368.400000000139698,1023137.530000000027940,944229.459999999846332,9715334.799999998882413
20100527,1130229.099999999860302,1030553.200000000069849,995848.479999999981374,1062422.500000000000000,978417.280000000027940,923042.680000000051223,1012352.480000000097789,882880.400000000023283,1042889.080000000074506,952196.679999999934807,10010831.879999998956919
20100528,1146156.399999999906868,1008966.699999999953434,989286.400000000023283,1041204.999999999883585,963129.520000000135042,903860.440000000060536,1007381.360000000102445,884718.599999999976717,1021444.540000000153668,954383.760000000009313,9920532.720000000670552
20100601,1163645.199999999953434,984225.250000000116415,968127.040000000037253,1031364.999999999883585,952338.160000000032596,880111.000000000000000,999698.720000000088476,880517.000000000116415,1004514.640000000130385,955477.299999999813735,9820019.309999998658895
20100602,1177698.699999999953434,1010627.200000000069849,992768.319999999948777,1041512.499999999767169,980665.479999999981374,903175.359999999986030,1020938.959999999962747,902312.800000000046566,1029909.490000000107102,964538.059999999939464,10024146.869999999180436
20100603,1173951.100000000093132,1014778.450000000069849,989822.079999999958090,1027982.499999999883585,984712.239999999990687,892899.160000000032596,1022144.079999999958090,900474.600000000093132,1038938.770000000135042,965475.379999999888241,10011178.359999999403954
