訓練日期,20171215 - 20180321
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10592316.899999998509884
真實報酬,592316.899999998509884

夏普值報酬,0.050531690000000
夏普值風險,0.024356073040970
夏普值,2.074705964093607

預期報酬,13742.958804355946995
風險,264973.936735611234326
趨勢值,0.051865322958418
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](16),AXP[1](20),BA[2](4),CAT[3](11),CSCO[4](1),GS[8](9),INTC[11](6),JPM[13](3),MMM[16](19),TRV[22](7),V[25](5),WMT[28](25),
Stock#,AAPL[0](16),AXP[1](20),BA[2](4),CAT[3](11),CSCO[4](1),GS[8](9),INTC[11](6),JPM[13](3),MMM[16](19),TRV[22](7),V[25](5),WMT[28](25),
張數,4838,8577,2835,5696,21987,3261,19263,7962,3500,6285,7379,8579,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,132.640000000013970,77.449999999953434,183.200000000069849,122.119999999995343,25.700000000069849,212.720000000088476,15.619999999995343,30.080000000074506,53.000000000000000,67.699999999953434,96.319999999948777,54.729999999981374,
20171215,841799.500000000000000,845083.489999999874271,833503.100000000093132,835668.359999999986030,839709.229999999981374,838844.090000000083819,858374.900000000023283,845116.760000000125729,833053.000000000000000,847851.349999999860302,839974.099999999860302,833161.419999999925494,10092143.299999998882413
20171218,853652.599999999976717,855032.810000000055879,839740.099999999976717,853212.040000000037253,846085.459999999962747,848137.940000000060536,891122.000000000000000,851645.599999999976717,834523.000000000000000,849862.550000000046566,837981.769999999902211,839938.830000000074506,10200938.699999999254942
20171219,844557.160000000032596,850487.000000000000000,842886.950000000069849,859705.479999999981374,842127.800000000046566,836594.000000000116415,906147.140000000013970,848062.700000000069849,834418.000000000000000,851936.599999999860302,827577.380000000004657,847659.929999999934807,10192164.140000000596046
20171220,843637.939999999944121,844997.719999999972060,844729.699999999953434,868876.040000000037253,851802.080000000074506,832354.700000000069849,916163.900000000023283,845116.760000000125729,829273.000000000000000,850176.799999999930151,827429.799999999930151,847230.979999999981374,10201793.420000001788139
20171221,846831.020000000018626,844911.949999999953434,836593.250000000000000,880951.559999999939464,847184.810000000055879,851366.330000000074506,900753.500000000000000,858572.540000000037253,821783.000000000000000,845023.099999999976717,829569.709999999962747,841311.469999999972060,10204856.240000000223517
20171222,846831.020000000018626,846970.429999999934807,836791.700000000186265,887274.119999999995343,847624.550000000046566,844713.890000000130385,899597.720000000088476,855546.980000000097789,821608.000000000000000,844708.849999999860302,831635.829999999958090,842598.319999999948777,10205905.410000002011657
20171226,825350.299999999930151,845512.339999999850988,837528.800000000162981,891204.359999999986030,846085.459999999962747,840637.640000000130385,887654.659999999916181,852123.320000000065193,824128.000000000000000,847160.000000000000000,833849.529999999911524,850748.369999999995343,10181986.779999999329448
20171227,825495.439999999944121,850315.459999999962747,838265.900000000139698,897356.040000000037253,847844.420000000158325,834865.670000000041910,888232.549999999930151,853715.720000000088476,826753.000000000000000,847097.150000000023283,841449.899999999906868,851606.270000000018626,10203001.519999999552965
20171228,827817.680000000051223,855204.349999999976717,840335.450000000186265,902482.439999999944121,848504.030000000144355,836659.220000000088476,890351.479999999981374,858254.060000000172295,825073.000000000000000,852690.799999999930151,843884.969999999855645,852807.330000000074506,10234068.810000002384186
20171229,818867.380000000004657,851859.319999999948777,836253.050000000162981,897697.800000000046566,842127.800000000046566,830985.080000000074506,889195.699999999953434,851486.360000000102445,823848.000000000000000,852565.099999999860302,841449.899999999906868,847230.979999999981374,10183570.470000000670552
20180102,833526.520000000018626,848685.829999999958090,841724.599999999976717,894621.959999999962747,854440.520000000018626,833952.590000000083819,902487.170000000041910,859527.980000000097789,824793.000000000000000,829561.999999999883585,845065.609999999986030,845858.339999999967404,10214250.119999999180436
20180103,833381.380000000004657,853917.799999999930151,844446.200000000069849,895989.000000000000000,861256.490000000107102,826191.410000000032596,871859.000000000000000,860403.800000000046566,824758.000000000000000,832201.699999999953434,853477.670000000041910,853236.280000000027940,10211122.729999998584390
20180104,837251.780000000027940,865067.899999999906868,841242.650000000139698,908292.359999999986030,857298.830000000074506,837735.350000000093132,855870.709999999962747,868206.560000000172295,835538.000000000000000,832201.699999999953434,856650.639999999897555,854008.390000000013970,10249368.870000001043081
20180105,846782.640000000013970,867040.609999999986030,875744.599999999976717,922646.280000000027940,869171.810000000055879,833463.440000000176951,861842.239999999990687,862633.160000000149012,842048.000000000000000,830693.299999999930151,877164.259999999892898,859070.000000000000000,10348304.339999999850988
20180108,843637.939999999944121,859064.000000000000000,879458.449999999953434,945829.000000000000000,878186.479999999981374,821365.130000000121072,861842.239999999990687,863907.080000000074506,839318.000000000000000,826230.949999999837019,880706.179999999934807,871766.919999999925494,10371316.369999999180436
20180109,843541.180000000051223,862237.489999999874271,902932.250000000116415,948107.400000000023283,872689.729999999981374,828311.060000000055879,840267.679999999934807,868286.180000000051223,844533.000000000000000,832641.649999999906868,879009.009999999892898,861300.540000000037253,10383861.169999998062849
20180110,843347.660000000032596,868241.389999999897555,908120.300000000046566,944917.640000000013970,877526.869999999995343,829582.850000000093132,818693.119999999995343,877840.580000000074506,844043.000000000000000,830379.050000000046566,878049.739999999990687,855123.660000000032596,10375869.859999999403954
20180111,848137.280000000027940,864038.660000000032596,930403.400000000139698,963885.319999999948777,881704.400000000139698,832191.650000000023283,836222.449999999953434,882538.160000000149012,848138.000000000000000,831824.599999999976717,884395.679999999934807,858126.309999999939464,10461609.910000000149012
20180112,856894.060000000055879,866097.139999999897555,953338.550000000046566,970150.920000000041910,898634.390000000013970,838387.550000000046566,832947.739999999990687,897108.620000000111759,855698.000000000000000,846845.749999999883585,886240.429999999934807,865418.459999999962747,10567765.609999999403954
20180116,852539.859999999986030,860693.630000000004657,950361.800000000162981,964511.880000000004657,891378.680000000051223,843050.780000000027940,831021.440000000060536,893923.820000000065193,856643.000000000000000,851810.900000000023283,888454.130000000004657,863874.239999999990687,10548268.160000002011657
20180117,866618.439999999944121,864295.969999999972060,995296.550000000046566,959898.119999999995343,905890.100000000093132,827365.370000000111759,855100.190000000060536,899656.460000000079162,868438.000000000000000,860232.800000000046566,900186.739999999990687,881118.030000000027940,10684100.769999999552965
