訓練日期,20110610 - 20110912
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10140388.839999999850988
真實報酬,140388.839999999850988

夏普值報酬,0.005338884000000
夏普值風險,0.031166627915757
夏普值,0.171301303895657

預期報酬,5074.771202797202022
風險,336720.857305301178712
趨勢值,0.015071151942916
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](2),HD[9](15),INTC[11](16),KO[14](3),MCD[15](1),MSFT[18](5),TRV[22](21),V[25](4),WMT[28](11),
Stock#,AAPL[0](2),HD[9](15),INTC[11](16),KO[14](3),MCD[15](1),MSFT[18](5),TRV[22](21),V[25](4),WMT[28](11),
張數,23460,32365,51062,33721,13673,46373,18191,58142,20721,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,45.399999999906868,20.550000000046566,1.879999999888241,4.049999999813735,43.020000000018626,13.919999999925494,4.719999999972060,17.380000000121072,50.979999999981374,
20110610,1092343.000000000000000,1083277.100000000093132,1091707.439999999944121,1102680.750000000000000,1098805.300000000046566,1099517.750000000000000,1077093.830000000074506,1085528.520000000251457,1092462.099999999860302,9823416.789999999105930
20110613,1094688.999999999767169,1084571.699999999953434,1092218.059999999823049,1097959.809999999823049,1103864.310000000055879,1114820.839999999850988,1068907.879999999888241,1088435.620000000111759,1090390.000000000000000,9835858.219999998807907
20110614,1114160.800000000046566,1124704.300000000046566,1114174.719999999972060,1106390.059999999823049,1113982.330000000074506,1123167.979999999981374,1066906.869999999878928,1103552.540000000037253,1096399.089999999850988,9963439.689999999478459
20110615,1095158.199999999953434,1096546.750000000232831,1093749.919999999925494,1095599.339999999850988,1110837.540000000037253,1100908.939999999944121,1046714.859999999986030,1087854.200000000186265,1084173.699999999953434,9811544.449999999254942
20110616,1089762.399999999906868,1116613.050000000046566,1093749.919999999925494,1104029.589999999850988,1118631.150000000139698,1112965.919999999925494,1050716.879999999888241,1088435.620000000111759,1094741.409999999916181,9869646.940000001341105
20110617,1073340.399999999906868,1117584.000000000000000,1082005.659999999916181,1106390.059999999823049,1128338.979999999981374,1125022.899999999906868,1053627.439999999944121,1082040.000000000000000,1094534.199999999953434,9862884.639999998733401
20110620,1056918.399999999906868,1125351.600000000093132,1089154.339999999850988,1110099.369999999878928,1130663.389999999897555,1134761.229999999981374,1047260.589999999967404,1076225.800000000279397,1099092.820000000065193,9869528.540000000968575
20110621,1090231.599999999860302,1146712.500000000000000,1105494.179999999701977,1117180.779999999795109,1132167.419999999925494,1148209.399999999906868,1056538.000000000000000,1090179.880000000121072,1104273.070000000065193,9990987.830000000074506
20110622,1081316.800000000046566,1130530.000000000000000,1092728.679999999701977,1119541.250000000000000,1130116.470000000204891,1143108.369999999878928,1042712.839999999967404,1085528.520000000251457,1098471.189999999944121,9924055.119999999180436
20110623,1110172.599999999860302,1153832.800000000046566,1108557.899999999906868,1095599.339999999850988,1125194.190000000176951,1142180.909999999916181,1039802.279999999911524,1094831.239999999990687,1104273.070000000065193,9974445.330000000074506
20110624,1093750.599999999860302,1135384.750000000000000,1082516.279999999795109,1094924.919999999692664,1119041.340000000083819,1126877.820000000065193,1031070.599999999976717,1066341.660000000149012,1086038.589999999850988,9835947.559999998658895
20110627,1112753.199999999953434,1139268.550000000046566,1089664.959999999962747,1099308.649999999906868,1125604.379999999888241,1168613.519999999785796,1040893.739999999990687,1073900.120000000111759,1083552.070000000065193,9933560.189999999478459
20110628,1123544.799999999813735,1167102.450000000186265,1097324.259999999776483,1113471.469999999972060,1153360.569999999832362,1196437.320000000065193,1046896.769999999902211,1094249.820000000065193,1088525.110000000102445,10080913.569999998435378
20110629,1119556.599999999860302,1164513.250000000000000,1092218.059999999823049,1124599.399999999906868,1156368.629999999888241,1188090.179999999934807,1065451.590000000083819,1258210.260000000242144,1090804.419999999925494,10259813.389999998733401
20110630,1124952.399999999906868,1172280.850000000093132,1131535.799999999813735,1134715.699999999720603,1152950.379999999888241,1205711.919999999925494,1061995.300000000046566,1225069.320000000065193,1101164.919999999925494,10310377.589999999850988
20110701,1150523.799999999813735,1188787.000000000000000,1150428.739999999990687,1148204.099999999627471,1171135.470000000204891,1206639.379999999888241,1075274.729999999981374,1278559.959999999962747,1108831.689999999944121,10478385.869999999180436
20110705,1171168.599999999860302,1184255.900000000139698,1145833.159999999916181,1151576.199999999720603,1170998.739999999990687,1207103.109999999869615,1064723.949999999953434,1283792.739999999990687,1106345.169999999925494,10485798.569999998435378
20110706,1178910.399999999906868,1183608.600000000093132,1161662.379999999888241,1155622.719999999972060,1174006.800000000046566,1221015.009999999776483,1066179.229999999981374,1282048.480000000214204,1113183.099999999860302,10536237.719999998807907
20110707,1197209.199999999953434,1199143.800000000046566,1186172.139999999897555,1159332.029999999795109,1176741.400000000139698,1241419.129999999888241,1071454.619999999878928,1310538.060000000055879,1129138.270000000018626,10671149.650000000372529
20110708,1205654.799999999813735,1185226.849999999860302,1179023.459999999962747,1157983.189999999944121,1170451.819999999832362,1248375.080000000074506,1067088.779999999795109,1304142.440000000176951,1120642.659999999916181,10638590.079999998211861
20110711,1186417.599999999860302,1176811.949999999953434,1166768.580000000074506,1148204.099999999627471,1167033.569999999832362,1234926.909999999916181,1059630.469999999972060,1277978.540000000037253,1116291.250000000000000,10534063.969999998807907
20110712,1185713.799999999813735,1168720.699999999953434,1146343.779999999795109,1143820.369999999878928,1162111.290000000037253,1230753.339999999850988,1061085.750000000000000,1275071.440000000176951,1117741.719999999972060,10491363.189999999478459
20110713,1200024.399999999906868,1169368.000000000232831,1147875.639999999897555,1147529.679999999934807,1161701.099999999860302,1234926.909999999916181,1063632.489999999990687,1290188.360000000102445,1119399.400000000139698,10534646.980000000447035
20110714,1199086.000000000000000,1163865.950000000186265,1137152.619999999878928,1141122.689999999944121,1173323.150000000139698,1227507.229999999981374,1050171.149999999906868,1278559.959999999962747,1111318.209999999962747,10482107.960000000894070
20110715,1223015.199999999953434,1162247.699999999953434,1142258.819999999832362,1138762.219999999972060,1168811.060000000055879,1241882.859999999869615,1053263.619999999878928,1290188.360000000102445,1111318.209999999962747,10531749.050000000745058
20110718,1252809.399999999906868,1155127.399999999906868,1137663.239999999990687,1131680.809999999823049,1167717.220000000204891,1233071.989999999990687,1028160.040000000037253,1280304.220000000204891,1104894.699999999953434,10491430.019999999552965
