訓練日期,20130326 - 20130626
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11144788.179999999701977
真實報酬,1144788.179999999701977

夏普值報酬,0.105778818000000
夏普值風險,0.041131330373946
夏普值,2.571733445971952

預期報酬,23561.635330913366488
風險,184318.906278910901165
趨勢值,0.127830811318183
找到最佳解世代,11
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](1),CSCO[4](12),DIS[6](8),GS[8](15),INTC[11](3),JPM[13](13),MCD[15](25),MSFT[18](2),UNH[23](7),UTX[24](22),V[25](4),
Stock#,BA[2](1),CSCO[4](12),DIS[6](8),GS[8](15),INTC[11](3),JPM[13](13),MCD[15](25),MSFT[18](2),UNH[23](7),UTX[24](22),V[25](4),
張數,10714,43601,16173,6221,42982,18736,9253,32283,16571,9796,22172,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,7.100000000093132,9.149999999906868,5.670000000041910,139.689999999944121,20.700000000069849,19.279999999911524,75.280000000027940,0.719999999972060,4.940000000060536,21.200000000069849,38.000000000000000,
20130326,928053.780000000144355,909090.000000000000000,915882.660000000032596,911765.029999999911524,935738.840000000083819,911338.319999999948777,911495.780000000027940,909090.000000000000000,922181.090000000083819,907620.600000000093132,928379.639999999897555,10090645.740000002086163
20130327,923553.900000000139698,908217.979999999864958,913294.979999999981374,919852.329999999958090,938317.760000000009313,895038.000000000000000,915196.980000000097789,915869.430000000051223,938254.959999999962747,907228.760000000009313,935031.239999999990687,10109866.320000000298023
20130328,919804.000000000000000,911270.049999999813735,918632.069999999948777,915559.839999999967404,938747.580000000074506,889229.839999999967404,922506.849999999976717,923617.349999999976717,948031.850000000093132,915261.480000000097789,941461.119999999995343,10144132.029999997466803
20130401,913375.600000000093132,908217.979999999864958,916853.040000000037253,908654.529999999911524,921124.960000000079162,896162.159999999916181,916584.930000000051223,923617.349999999976717,977196.810000000055879,910265.520000000135042,927714.480000000097789,10119777.359999999403954
20130402,900947.360000000102445,925222.369999999878928,929306.250000000000000,912635.969999999972060,922414.420000000158325,904593.359999999986030,927781.060000000055879,929751.119999999995343,1023098.480000000097789,910951.239999999990687,931040.280000000027940,10217751.910000000149012
20130403,903840.140000000130385,924350.349999999860302,925909.920000000041910,892293.299999999930151,904791.800000000046566,877800.879999999888241,918435.530000000027940,922003.199999999953434,1021938.510000000125729,913008.400000000139698,913302.679999999934807,10117684.709999999031425
20130404,910161.400000000139698,917374.189999999827705,931408.740000000107102,889680.479999999981374,908660.180000000051223,889791.919999999925494,931204.670000000041910,923294.520000000018626,1027904.070000000065193,912616.560000000055879,922836.639999999897555,10164943.370000001043081
20130405,923232.480000000097789,898625.759999999892898,933187.770000000135042,894035.179999999934807,900063.780000000144355,897661.039999999804422,938514.540000000037253,926522.819999999948777,1029064.040000000037253,907522.640000000130385,915519.880000000004657,10163959.930000001564622
20130408,929446.600000000093132,896881.719999999972060,951301.530000000027940,894843.909999999916181,906511.080000000074506,910214.159999999916181,939254.780000000027940,922971.689999999944121,1025584.130000000121072,918004.359999999986030,921728.040000000037253,10216752.000000000000000
20130409,934375.040000000037253,914322.119999999878928,956476.890000000013970,911640.609999999986030,934879.200000000069849,912087.759999999892898,935183.460000000079162,955900.349999999976717,1030389.720000000088476,925253.400000000139698,913302.679999999934807,10323821.229999998584390
20130410,940910.580000000074506,936122.619999999878928,972164.700000000069849,929930.349999999976717,956800.020000000135042,922767.279999999911524,939162.250000000000000,977529.959999999962747,1034201.050000000046566,932404.480000000097789,925719.000000000000000,10467722.290000000968575
20130411,948517.520000000135042,945714.839999999967404,979280.819999999948777,927504.159999999916181,938317.760000000009313,923891.439999999944121,943788.750000000000000,934270.739999999990687,1043646.520000000018626,938673.920000000041910,929266.519999999902211,10452882.989999998360872
20130412,952374.560000000055879,939174.689999999827705,979280.819999999948777,927815.209999999962747,931870.460000000079162,918270.639999999897555,958593.550000000046566,929428.289999999920838,1044475.070000000065193,937400.440000000060536,918845.679999999934807,10437539.409999998286366
20130415,929660.880000000004657,917810.199999999953434,952271.910000000032596,911267.349999999976717,918975.859999999986030,898035.759999999892898,945269.230000000097789,926199.989999999990687,1020612.830000000074506,916143.119999999995343,894013.040000000037253,10230270.170000001788139
20130416,930946.560000000055879,922606.309999999939464,982515.420000000041910,896585.789999999920838,942186.140000000130385,908527.919999999925494,953504.400000000139698,935239.229999999981374,1040829.450000000069849,925841.160000000149012,913080.959999999962747,10351873.339999999850988
20130417,928803.760000000125729,899497.779999999911524,981383.310000000055879,874812.289999999920838,942615.960000000079162,876676.719999999855645,948877.900000000139698,930719.609999999869615,1027904.070000000065193,909579.800000000046566,899334.320000000065193,10220215.520000001415610
20130418,922696.780000000144355,897317.729999999864958,970223.940000000060536,862370.289999999920838,955940.380000000004657,873866.319999999948777,943048.510000000009313,929428.289999999920838,989127.930000000051223,896845.000000000000000,894678.200000000069849,10135553.369999999180436
20130419,942410.540000000037253,892085.609999999986030,995615.550000000046566,863116.809999999939464,964536.780000000144355,884920.559999999823049,924635.040000000037253,961065.630000000004657,994927.780000000027940,913204.320000000065193,908868.280000000027940,10245396.899999998509884
20130422,931482.260000000125729,897753.739999999874271,1002893.400000000023283,868093.609999999986030,983448.859999999986030,887168.879999999888241,919083.239999999990687,995285.609999999869615,981339.560000000055879,917220.680000000051223,906429.360000000102445,10290209.199999999254942
20130423,944767.620000000111759,911706.059999999939464,1012273.740000000107102,889369.429999999934807,1004939.859999999986030,902532.399999999906868,923154.560000000055879,987860.520000000018626,970071.280000000027940,909971.640000000130385,918402.239999999990687,10375059.350000001490116
20130424,973159.720000000088476,889033.539999999920838,1001761.290000000037253,895528.219999999972060,1016974.820000000065193,912837.199999999837019,934813.339999999967404,1025308.800000000046566,974214.030000000027940,901253.200000000069849,926162.440000000060536,10451056.599999997764826
20130425,982159.480000000097789,899933.789999999920838,1002731.670000000041910,900691.649999999906868,1004939.859999999986030,918083.279999999911524,934073.099999999976717,1031119.739999999990687,983328.080000000074506,902330.760000000009313,935474.679999999934807,10494876.089999999850988
20130426,994802.000000000000000,901241.819999999948777,1000629.180000000051223,896648.000000000000000,1005799.500000000000000,915834.959999999962747,933610.450000000069849,1026277.289999999920838,985648.020000000018626,892926.600000000093132,927049.320000000065193,10480477.140000000596046
20130429,984623.700000000186265,914758.129999999888241,1018904.670000000041910,902869.000000000000000,1021273.020000000135042,916584.399999999906868,945546.820000000065193,1052749.349999999860302,994430.650000000023283,897530.720000000088476,930818.559999999939464,10580099.020000001415610
20130430,979373.840000000083819,912142.069999999948777,1016316.990000000107102,908841.159999999916181,1029439.600000000093132,918270.639999999897555,945176.700000000069849,1068568.020000000018626,993104.970000000088476,894298.040000000153668,933922.639999999897555,10599464.670000001788139
