訓練日期,20110325 - 20110627
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10381821.589999997988343
真實報酬,381821.589999997988343

夏普值報酬,0.029482159000000
夏普值風險,0.021840125838625
夏普值,1.349907927172245

預期報酬,12647.004961832046320
風險,239159.781258688075468
趨勢值,0.052880985654324
找到最佳解世代,64
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](16),IBM[10](9),JNJ[12](2),KO[14](14),MCD[15](1),MRK[17](5),PFE[20](15),PG[21](8),UNH[23](3),UTX[24](13),WBA[27](4),WMT[28](12),XOM[29](21),
Stock#,BA[2](16),IBM[10](9),JNJ[12](2),KO[14](14),MCD[15](1),MRK[17](5),PFE[20](15),PG[21](8),UNH[23](3),UTX[24](13),WBA[27](4),WMT[28](12),XOM[29](21),
張數,10572,4806,13031,23778,10265,23509,37893,12581,17562,9294,19254,14626,9298,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,11.279999999911524,77.760000000009313,10.069999999948777,11.699999999953434,73.549999999930151,15.520000000018626,2.099999999976717,27.660000000032596,14.400000000023283,58.559999999939464,32.699999999953434,48.659999999916181,6.459999999962747,
20110325,775361.759999999892898,779514.840000000083819,768578.449999999953434,775412.279999999911524,772514.799999999930151,765703.650000000023283,771124.650000000023283,765958.940000000060536,768351.900000000023283,776293.439999999944121,763261.260000000009313,765719.759999999892898,777505.219999999972060,10025310.950000001117587
20110328,774938.879999999888241,775621.979999999981374,771966.510000000009313,773272.260000000009313,769948.549999999930151,762882.570000000065193,768093.209999999962747,763191.119999999995343,770459.339999999967404,775828.739999999874271,756329.819999999948777,763379.599999999860302,776110.519999999902211,10002033.099999999627471
20110329,778321.919999999925494,782879.040000000037253,771705.889999999897555,781356.779999999911524,773746.599999999976717,770640.540000000037253,772261.439999999944121,770991.340000000083819,781172.159999999916181,781869.839999999967404,768844.919999999925494,764403.419999999925494,774064.959999999962747,10072268.849999997764826
20110330,780224.879999999888241,786339.359999999986030,773790.849999999976717,785161.260000000009313,778263.199999999953434,782865.219999999972060,770745.719999999972060,779672.229999999981374,797329.199999999953434,782892.179999999934807,770192.699999999953434,765866.019999999902211,785594.479999999864958,10138947.299999998882413
20110331,781599.239999999990687,783792.179999999934807,772096.819999999948777,788727.959999999962747,781137.400000000023283,776047.609999999986030,769608.929999999934807,775017.260000000009313,793816.800000000046566,786795.660000000032596,772888.260000000009313,761331.959999999846332,782247.199999999953434,10125117.279999997466803
20110401,782445.000000000000000,789559.380000000004657,775224.260000000009313,799190.279999999911524,780110.899999999906868,777458.150000000023283,772261.439999999944121,781056.140000000013970,801017.219999999972060,793022.639999999897555,788291.459999999962747,762502.039999999920838,787361.099999999976717,10189510.009999997913837
20110404,781810.679999999934807,789463.260000000009313,783824.719999999972060,804421.439999999944121,784216.899999999906868,782159.950000000069849,778324.319999999948777,783320.719999999972060,800841.600000000093132,792186.179999999934807,786173.519999999902211,770107.559999999939464,789127.719999999972060,10225988.570000000298023
20110405,774198.839999999967404,788213.700000000069849,779263.869999999878928,802281.420000000041910,786372.549999999813735,779573.959999999962747,774913.949999999953434,775897.930000000051223,791884.980000000097789,793766.160000000032596,791564.639999999897555,771423.899999999906868,794241.619999999995343,10203607.519999999552965
20110406,779379.119999999878928,788454.000000000000000,777439.529999999911524,804183.659999999916181,787604.349999999860302,784040.670000000041910,768851.069999999948777,777030.219999999972060,789601.920000000041910,796182.599999999860302,793682.579999999958090,774934.139999999897555,792010.099999999976717,10213403.959999999031425
20110407,785405.160000000032596,790088.040000000037253,775093.949999999953434,801805.859999999869615,780316.199999999953434,783570.489999999990687,770366.789999999920838,781685.190000000060536,780294.060000000055879,793394.399999999906868,795800.519999999902211,775226.659999999916181,797402.940000000060536,10210460.259999999776483
