訓練日期,20171207 - 20180313
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10792984.690000001341105
真實報酬,792984.690000001341105

夏普值報酬,0.070598469000000
夏普值風險,0.030023623407661
夏普值,2.351430673154073

預期報酬,17486.832700261576974
風險,294064.193485596217215
趨勢值,0.059466038666548
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](24),BA[2](1),CAT[3](10),CSCO[4](2),DD[7](18),GS[8](7),MMM[16](21),NKE[19](6),TRV[22](12),UNH[23](11),V[25](5),
Stock#,AXP[1](24),BA[2](1),CAT[3](10),CSCO[4](2),DD[7](18),GS[8](7),MMM[16](21),NKE[19](6),TRV[22](12),UNH[23](11),V[25](5),
張數,9256,3266,6477,24300,8981,3696,3808,15222,6716,4133,8284,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,58.240000000107102,260.180000000051223,107.819999999948777,27.000000000116415,33.180000000051223,58.800000000046566,234.640000000013970,32.160000000032596,12.239999999874271,77.979999999981374,3.840000000083819,
20171207,912514.720000000088476,921174.200000000186265,925606.349999999860302,908847.000000000116415,912862.020000000018626,918736.560000000055879,915297.040000000037253,922485.360000000102445,901366.599999999976717,909957.930000000051223,922841.440000000176951,10071699.220000000670552
20171208,912237.040000000037253,934009.579999999958090,931889.040000000037253,913950.000000000116415,904689.310000000055879,925352.400000000023283,907033.680000000051223,933140.760000000009313,898277.239999999874271,925498.010000000009313,932782.239999999990687,10118869.300000000745058
20171211,916402.240000000107102,925060.740000000107102,931306.109999999986030,922455.000000000116415,905677.220000000088476,924539.280000000027940,911489.040000000037253,942426.179999999934807,894314.799999999813735,920786.390000000013970,930876.920000000158325,10125343.919999999925494
20171212,919826.960000000195578,947204.220000000088476,929039.159999999916181,921240.000000000000000,905407.790000000037253,952444.080000000074506,901131.280000000027940,946383.900000000023283,902306.839999999850988,919629.150000000023283,939906.479999999981374,10184529.860000001266599
20171213,905109.920000000158325,953409.619999999995343,962395.709999999962747,927072.000000000116415,902444.060000000055879,944608.560000000055879,910765.520000000018626,978806.760000000009313,897001.199999999837019,927316.529999999911524,938663.880000000121072,10247603.760000001639128
20171214,899278.640000000130385,960072.260000000009313,947563.380000000004657,920997.000000000116415,899390.520000000018626,944312.880000000004657,906843.280000000027940,982307.820000000065193,890419.519999999902211,914504.229999999981374,935433.120000000111759,10201132.650000002235174
20171215,911959.360000000102445,960268.220000000088476,950218.949999999953434,928044.000000000116415,895349.070000000065193,950559.120000000111759,906538.640000000013970,986265.540000000153668,905933.479999999748543,916860.039999999920838,942888.719999999972060,10254895.140000000596046
