訓練日期,20100315 - 20100615
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10058429.939999999478459
真實報酬,58429.939999999478459

夏普值報酬,-0.002857006000000
夏普值風險,0.034970257496347
夏普值,-0.081698168802403

預期報酬,3426.541000907494890
風險,418765.824266252981033
趨勢值,0.008182475269827
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),AXP[1](9),CAT[3](6),CSCO[4](24),DIS[6](7),IBM[10](11),INTC[11](8),MCD[15](2),NKE[19](3),PG[21](12),WBA[27](14),WMT[28](15),XOM[29](21),
Stock#,AAPL[0](1),AXP[1](9),CAT[3](6),CSCO[4](24),DIS[6](7),IBM[10](11),INTC[11](8),MCD[15](2),NKE[19](3),PG[21](12),WBA[27](14),WMT[28](15),XOM[29](21),
張數,23763,18872,12744,29722,22832,6012,36165,11738,44006,12148,22671,14271,11515,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,21.690000000060536,7.280000000027940,2.160000000032596,24.640000000013970,19.920000000041910,54.719999999972060,0.450000000069849,38.859999999986030,5.119999999995343,18.640000000013970,2.969999999972060,23.099999999976717,28.000000000000000,
20100315,759962.430000000051223,768097.680000000051223,757887.839999999967404,775174.399999999906868,769914.959999999962747,768568.679999999934807,765613.500000000116415,773925.200000000069849,774510.720000000088476,773846.239999999990687,774671.040000000037253,790921.920000000041910,763472.500000000000000,10016577.110000001266599
20100316,761863.470000000088476,772249.520000000018626,757632.960000000079162,777254.939999999944121,770599.920000000041910,773618.759999999892898,795992.100000000093132,775568.519999999902211,774510.720000000088476,771781.080000000074506,782379.179999999934807,799056.390000000013970,766581.549999999930151,10079099.110000001266599
20100317,760912.950000000186265,773948.000000000000000,767445.839999999967404,780524.360000000102445,770599.920000000041910,768147.839999999967404,804310.050000000046566,779207.299999999930151,779791.439999999944121,777612.120000000111759,781699.049999999930151,798057.420000000041910,775678.400000000023283,10117944.689999999478459
20100318,762576.360000000102445,773759.280000000027940,761711.040000000037253,782902.119999999995343,771284.880000000121072,771875.279999999911524,802863.450000000069849,782728.700000000069849,821597.140000000013970,774210.679999999934807,789407.189999999944121,798342.839999999967404,776023.849999999976717,10169292.810000000521541
20100319,754496.940000000060536,761115.040000000037253,756613.439999999944121,777254.939999999944121,768088.400000000023283,767847.239999999990687,795268.800000000046566,780968.000000000000000,808835.399999999906868,775546.960000000079162,782832.599999999976717,789780.239999999990687,771993.600000000093132,10090651.599999999627471
20100322,763051.619999999995343,775269.040000000037253,764004.960000000079162,781118.800000000046566,775166.320000000065193,769470.479999999981374,804310.050000000046566,786602.239999999990687,812795.939999999944121,776032.880000000004657,800969.399999999906868,793776.119999999995343,771187.549999999930151,10173765.400000000372529
20100323,775170.750000000000000,778288.560000000055879,795355.199999999953434,791818.720000000088476,776536.239999999990687,777827.160000000032596,819861.000000000116415,790593.159999999916181,819396.840000000083819,783929.080000000074506,814118.579999999841675,797629.290000000037253,770957.250000000000000,10291491.829999998211861
20100324,778735.200000000186265,773948.000000000000000,790894.800000000046566,786171.540000000037253,785212.400000000023283,772777.079999999958090,811181.400000000023283,784137.260000000009313,807515.220000000088476,772752.920000000041910,802556.369999999995343,793205.279999999911524,765775.500000000000000,10224872.969999998807907
20100325,769467.630000000121072,781685.520000000018626,791914.320000000065193,785577.099999999976717,801194.800000000162981,777045.599999999976717,808288.200000000069849,785311.060000000055879,809275.459999999962747,772874.400000000023283,823640.399999999906868,793633.409999999916181,763472.500000000000000,10263390.400000000372529
20100326,783963.060000000055879,776023.919999999925494,795737.520000000018626,786765.979999999981374,806217.840000000083819,777165.839999999967404,804310.050000000046566,789536.739999999990687,812795.939999999944121,773724.760000000009313,834069.059999999939464,792206.309999999939464,766236.100000000093132,10298763.120000001043081
20100329,788953.290000000153668,782817.839999999967404,808991.280000000027940,787954.860000000102445,802793.039999999920838,773137.800000000046566,807564.900000000023283,787306.519999999902211,813676.059999999939464,774210.679999999934807,849938.760000000009313,795488.640000000013970,774987.500000000000000,10347831.169999999925494
20100330,800597.160000000032596,779232.160000000032596,804913.199999999953434,792115.939999999944121,801423.120000000111759,774219.960000000079162,807926.550000000046566,789301.979999999981374,811915.819999999948777,773360.319999999948777,848351.790000000037253,797914.709999999962747,772108.750000000000000,10353391.460000000894070
20100331,797745.600000000093132,778666.000000000000000,800962.560000000055879,773688.300000000046566,797085.039999999920838,771093.719999999972060,806118.300000000046566,783198.219999999972060,808835.399999999906868,768622.600000000093132,840870.360000000102445,793490.699999999953434,771302.700000000069849,10291689.499999996274710
20100401,801072.420000000041910,786969.680000000051223,815490.720000000088476,767743.899999999906868,811697.520000000018626,771093.719999999972060,809734.800000000046566,793292.900000000023283,814116.119999999995343,769715.920000000041910,855833.219999999972060,791920.890000000013970,778557.150000000023283,10367248.960000000894070
20100405,809627.100000000093132,805275.520000000018626,828234.719999999972060,777849.380000000121072,804162.959999999962747,777706.919999999925494,816967.800000000046566,798575.000000000000000,815436.300000000046566,774575.119999999995343,857646.899999999906868,791920.890000000013970,785235.849999999976717,10443224.459999999031425
20100406,813191.550000000046566,813767.919999999925494,832057.920000000158325,779335.479999999981374,809870.959999999962747,775181.880000000004657,810096.450000000069849,795992.640000000013970,813236.000000000000000,766678.920000000041910,847898.369999999995343,792491.729999999981374,781896.500000000116415,10431706.320000000298023
20100407,816756.000000000000000,799613.919999999925494,821607.839999999967404,782902.119999999995343,806446.160000000032596,772476.479999999864958,811904.700000000069849,794701.459999999962747,809715.519999999902211,759268.640000000013970,834069.059999999939464,788923.979999999981374,775448.100000000093132,10373843.979999998584390
20100408,814617.330000000074506,824524.959999999962747,821735.280000000027940,781118.800000000046566,814437.360000000102445,767246.039999999920838,806841.599999999976717,807143.739999999990687,814116.119999999995343,759997.520000000018626,835429.319999999948777,790351.079999999958090,781435.900000000023283,10419005.050000000745058
