訓練日期,20181018 - 20190123
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10227399.589999999850988
真實報酬,227399.589999999850988

夏普值報酬,0.014039959000000
夏普值風險,0.023707376358512
夏普值,0.592219011824955

預期報酬,613.767626327870289
風險,241085.313653882651124
趨勢值,0.002545852408119
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
DD[7](24),HD[9](21),INTC[11](6),MCD[15](2),MSFT[18](18),NKE[19](9),PFE[20](7),PG[21](1),TRV[22](10),VZ[26](4),
Stock#,DD[7](24),HD[9](21),INTC[11](6),MCD[15](2),MSFT[18](18),NKE[19](9),PFE[20](7),PG[21](1),TRV[22](10),VZ[26](4),
張數,11788,5400,21791,5996,9032,13075,22436,12215,7908,18532,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,23.959999999962747,82.000000000116415,11.010000000009313,47.079999999958090,67.280000000027940,24.000000000000000,27.479999999981374,80.099999999976717,112.479999999981374,13.280000000027940,
20181018,983378.919999999925494,974458.000000000116415,979952.280000000027940,1000239.839999999967404,980039.280000000027940,988493.999999999883585,987211.479999999981374,980211.699999999953434,989719.599999999976717,1012787.079999999958090,9876492.180000001564622
20181019,965107.520000000018626,971272.000000000116415,958815.010000000009313,1004317.119999999995343,981484.400000000023283,970319.749999999883585,998429.479999999981374,1066449.600000000093132,997074.039999999920838,1017420.079999999958090,9930689.000000000000000
20181022,941295.759999999892898,965332.000000000116415,980823.919999999925494,999160.559999999939464,990245.439999999944121,979341.500000000116415,995512.799999999930151,1057899.100000000093132,981258.039999999920838,1018902.640000000013970,9909771.759999999776483
20181023,917955.520000000018626,964144.000000000116415,969710.510000000009313,1062238.479999999981374,976426.479999999981374,959075.249999999883585,989455.079999999958090,1064739.500000000000000,979122.880000000004657,1060229.000000000000000,9943096.700000001117587
20181024,884359.719999999972060,955720.000000000116415,924385.230000000097789,1063437.679999999701977,924221.520000000018626,942993.000000000116415,953108.759999999892898,1092834.000000000000000,961408.959999999962747,1064120.719999999972060,9766589.590000001713634
20181025,888367.640000000013970,967060.000000000116415,965570.220000000088476,1051205.839999999850988,978232.880000000004657,955806.499999999883585,973974.239999999874271,1087215.100000000093132,958878.399999999906868,1045774.040000000037253,9872084.859999999403954
