訓練日期,20170417 - 20170718
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10809081.709999999031425
真實報酬,809081.709999999031425

夏普值報酬,0.072208171000000
夏普值風險,0.019998016344703
夏普值,3.610766675822190

預期報酬,12488.468187903696162
風險,68947.467696208623238
趨勢值,0.181130193830026
找到最佳解世代,74
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](18),BA[2](1),CAT[3](5),IBM[10](30),JNJ[12](12),JPM[13](15),MCD[15](4),MMM[16](2),MSFT[18](9),NKE[19](23),PG[21](24),UNH[23](3),V[25](6),XOM[29](19),
Stock#,AAPL[0](18),BA[2](1),CAT[3](5),IBM[10](30),JNJ[12](12),JPM[13](15),MCD[15](4),MMM[16](2),MSFT[18](9),NKE[19](23),PG[21](24),UNH[23](3),V[25](6),XOM[29](19),
張數,5064,4067,7672,4213,5714,8463,5462,3786,10997,12907,7933,4330,8037,8743,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,7.799999999930151,38.459999999962747,21.800000000046566,55.109999999986030,92.140000000013970,7.799999999930151,73.880000000004657,56.099999999976717,29.849999999976717,11.619999999995343,77.010000000009313,8.199999999953434,36.809999999939464,69.330000000074506,
20170417,718234.920000000041910,728112.800000000046566,722263.880000000004657,720899.409999999916181,718456.219999999972060,726640.979999999981374,717507.579999999958090,720759.060000000055879,720113.410000000032596,725901.300000000046566,717140.880000000004657,723897.599999999976717,721839.779999999911524,713323.270000000018626,10095101.089999997988343
20170418,715044.599999999860302,723354.409999999916181,724181.880000000004657,716475.760000000009313,696171.619999999995343,720716.879999999888241,722696.480000000097789,720229.020000000018626,719123.679999999934807,724223.390000000013970,720393.410000000032596,730002.900000000023283,721196.819999999948777,708689.480000000097789,10062510.330000000074506
20170419,712411.319999999948777,725591.260000000009313,717123.640000000013970,681255.079999999958090,693600.320000000065193,714792.779999999911524,724553.559999999939464,718752.479999999981374,715274.730000000097789,720996.640000000013970,710873.809999999939464,732860.699999999953434,721357.559999999939464,703793.400000000023283,9993247.279999999329448
20170420,721323.959999999962747,729251.560000000055879,726253.320000000065193,683825.010000000009313,696457.320000000065193,724017.449999999953434,727994.620000000111759,723787.859999999986030,720333.349999999976717,727966.419999999925494,708731.900000000023283,742776.399999999906868,732609.359999999986030,708339.760000000125729,10073678.289999999105930
20170421,720463.079999999958090,733643.919999999925494,723644.839999999967404,675736.049999999930151,695828.780000000027940,715300.559999999939464,728759.299999999930151,725075.099999999976717,730230.650000000023283,720867.570000000065193,703099.470000000088476,741130.999999999883585,732609.359999999986030,705542.000000000000000,10051941.679999997839332
20170424,727400.759999999892898,740476.479999999981374,742748.120000000111759,677294.859999999986030,702285.599999999976717,740520.299999999930151,733238.139999999897555,735410.879999999888241,742657.260000000009313,715962.910000000032596,710477.160000000032596,746197.099999999976717,738235.259999999892898,709214.060000000055879,10162128.890000000596046
20170425,731907.719999999972060,746373.629999999888241,801132.040000000037253,675778.179999999934807,705371.160000000032596,746952.179999999934807,774039.279999999911524,738818.279999999911524,746946.089999999967404,715704.770000000018626,714047.010000000009313,753601.399999999906868,740324.879999999888241,714634.720000000088476,10305641.340000001713634
20170426,727603.319999999948777,739053.030000000027940,802973.320000000065193,674387.890000000013970,705828.280000000027940,748390.890000000013970,769341.960000000079162,738326.099999999976717,745956.359999999986030,711961.739999999990687,696118.429999999934807,755073.599999999976717,737994.149999999906868,711749.530000000144355,10264768.599999999627471
20170427,728160.359999999869615,745194.199999999953434,787782.760000000125729,675483.269999999902211,707142.500000000000000,741451.229999999981374,769505.820000000065193,742528.560000000055879,750795.039999999920838,715962.910000000032596,695721.780000000027940,756156.099999999976717,736226.009999999892898,710525.510000000125729,10262646.050000000745058
20170428,727451.399999999906868,751742.070000000065193,784560.520000000135042,675356.880000000004657,705599.719999999972060,736288.799999999930151,764371.540000000037253,741468.479999999981374,752884.469999999855645,715188.489999999990687,692865.900000000023283,757238.599999999976717,733171.949999999953434,713935.280000000144355,10252134.099999999627471
