訓練日期,20160805 - 20161104
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10043735.649999998509884
真實報酬,43735.649999998509884

夏普值報酬,-0.004326435000000
夏普值風險,0.006619970324077
夏普值,-0.653542959892877

預期報酬,3416.353697432337412
風險,75397.555141158925835
趨勢值,0.045311199959153
找到最佳解世代,36
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](3),BA[2](8),CAT[3](5),CVX[5](11),DD[7](15),GS[8](2),IBM[10](20),INTC[11](7),JNJ[12](23),JPM[13](1),MMM[16](21),UNH[23](24),V[25](4),WBA[27](12),
Stock#,AAPL[0](3),BA[2](8),CAT[3](5),CVX[5](11),DD[7](15),GS[8](2),IBM[10](20),INTC[11](7),JNJ[12](23),JPM[13](1),MMM[16](21),UNH[23](24),V[25](4),WBA[27](12),
張數,6746,5443,8735,7115,9377,4519,4421,20656,5766,11063,4017,5005,8986,8945,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,85.979999999981374,108.969999999972060,24.050000000046566,10.150000000023283,38.910000000032596,57.049999999930151,72.449999999953434,0.520000000018626,108.239999999990687,57.719999999972060,22.229999999981374,21.449999999953434,77.719999999972060,26.750000000000000,
20160805,725146.060000000055879,717115.359999999869615,721185.650000000023283,715138.800000000046566,716347.940000000060536,732541.759999999892898,722905.949999999953434,722547.399999999906868,716476.079999999958090,733534.619999999995343,717337.919999999925494,715686.400000000023283,720215.760000000009313,720367.599999999976717,10096557.299999998882413
20160808,731150.000000000000000,719619.140000000013970,728872.450000000069849,720048.150000000023283,715785.320000000065193,735885.819999999948777,716451.289999999920838,723786.760000000009313,713074.140000000013970,731322.019999999902211,717378.090000000083819,711382.099999999976717,718508.420000000041910,721262.099999999976717,10104535.799999998882413
20160809,734118.239999999990687,721959.630000000004657,723544.099999999976717,720901.949999999953434,712972.220000000088476,738642.409999999916181,715257.619999999995343,721308.040000000037253,711805.619999999995343,728777.530000000027940,716614.859999999869615,709830.549999999930151,719496.880000000004657,723587.800000000046566,10098827.450000002980232
20160810,728653.979999999981374,720109.010000000009313,721971.800000000046566,712506.250000000000000,713816.150000000023283,732993.659999999916181,716628.130000000004657,713252.200000000069849,711402.000000000000000,722250.359999999986030,718342.169999999925494,711682.399999999906868,716082.200000000069849,737989.250000000000000,10077689.559999998658895
20160811,728181.760000000009313,724027.969999999972060,727125.449999999953434,721471.150000000023283,716347.940000000060536,740540.390000000013970,723038.579999999958090,716350.599999999976717,713766.059999999939464,724241.699999999953434,727099.229999999981374,713884.599999999976717,720036.040000000037253,741656.699999999953434,10137778.169999998062849
20160812,729868.260000000009313,724572.269999999902211,725029.050000000046566,726878.550000000046566,698812.949999999953434,737783.799999999930151,716053.399999999906868,714078.440000000060536,710594.760000000009313,722692.879999999888241,724166.820000000065193,715135.849999999976717,719137.439999999944121,745324.149999999906868,10110138.619999999180436
20160815,738638.060000000055879,733063.349999999976717,735074.300000000046566,731218.699999999953434,705001.770000000135042,748177.500000000000000,715743.929999999934807,721101.479999999981374,705347.699999999953434,727118.079999999958090,725331.750000000000000,708829.549999999930151,727134.979999999981374,747918.199999999953434,10169709.349999999627471
20160816,737963.459999999962747,734913.969999999972060,736297.200000000069849,730151.450000000069849,699281.799999999930151,748629.399999999906868,710527.149999999906868,727298.280000000027940,693931.020000000018626,727007.449999999953434,720069.479999999981374,706126.849999999976717,726236.380000000004657,740672.750000000000000,10139116.640000000596046
20160817,736884.099999999976717,733389.929999999934807,737345.400000000023283,727305.450000000069849,702938.829999999958090,748719.779999999911524,709377.689999999944121,723373.640000000130385,699581.699999999953434,728998.789999999920838,722560.020000000018626,709280.000000000000000,726505.959999999962747,738168.149999999906868,10144439.439999999478459
20160818,735939.659999999916181,734913.969999999972060,728348.349999999976717,736768.400000000023283,710815.510000000009313,750482.189999999944121,713445.010000000009313,722340.839999999967404,696179.760000000009313,729662.569999999948777,719788.290000000037253,711582.299999999930151,721383.939999999944121,739331.000000000000000,10150991.789999999105930
20160819,737828.539999999920838,731865.890000000013970,732366.450000000069849,728016.949999999953434,713347.299999999930151,751250.419999999925494,707609.289999999920838,727917.960000000079162,691566.959999999962747,728666.900000000023283,721515.600000000093132,710931.649999999906868,723181.140000000013970,738794.300000000046566,10144869.350000001490116
20160822,732094.440000000060536,734859.540000000037253,730182.700000000069849,725313.250000000000000,714472.540000000037253,751385.989999999874271,707432.449999999953434,730396.680000000051223,687011.819999999948777,728003.119999999995343,719346.419999999925494,711181.900000000023283,728482.880000000004657,740136.049999999930151,10140309.780000001192093
