訓練日期,20190806 - 20191105
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11123608.359999999403954
真實報酬,1123608.359999999403954

夏普值報酬,0.103660836000000
夏普值風險,0.029780150938896
夏普值,3.480870067203319

預期報酬,17473.547874766456516
風險,114809.102338034004788
趨勢值,0.152196537721538
找到最佳解世代,63
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](1),CAT[3](15),HD[9](5),JNJ[12](19),JPM[13](9),MRK[17](18),MSFT[18](7),NKE[19](3),PG[21](10),UNH[23](29),VZ[26](2),WMT[28](4),
Stock#,AAPL[0](1),CAT[3](15),HD[9](5),JNJ[12](19),JPM[13](9),MRK[17](18),MSFT[18](7),NKE[19](3),PG[21](10),UNH[23](29),VZ[26](2),WMT[28](4),
張數,4310,6850,4066,6402,7605,10025,6303,10552,7369,3400,15091,7875,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,37.599999999976717,30.500000000000000,46.959999999962747,48.680000000051223,53.150000000023283,55.000000000000000,13.369999999995343,41.560000000055879,46.479999999981374,129.000000000000000,7.979999999981374,0.500000000000000,
20190806,849107.599999999976717,836278.500000000000000,849027.760000000009313,837238.220000000088476,839873.300000000046566,845663.750000000000000,848964.439999999944121,857919.160000000032596,842175.800000000046566,844281.000000000000000,830767.529999999911524,844751.750000000000000,10126052.810000000521541
20190807,857900.000000000000000,827373.500000000000000,845409.019999999902211,833653.100000000093132,821621.300000000046566,844661.250000000000000,852683.209999999962747,857708.120000000111759,851313.359999999986030,838059.000000000000000,831371.170000000041910,852075.500000000000000,10113832.529999999329448
20190808,876820.900000000023283,835867.500000000000000,860290.579999999958090,843064.040000000037253,835538.450000000069849,849473.250000000000000,875437.039999999920838,875857.560000000055879,865461.839999999967404,842037.000000000000000,842387.599999999976717,854595.500000000000000,10256835.259999999776483
20190809,866304.500000000000000,817783.500000000000000,853988.280000000027940,845368.760000000009313,834625.849999999976717,857393.000000000000000,867999.500000000000000,865094.520000000135042,860598.300000000046566,845471.000000000000000,841783.959999999962747,844830.500000000000000,10201245.670000001788139
20190812,864106.399999999906868,799562.500000000000000,841749.619999999878928,844664.540000000037253,818959.550000000046566,852380.500000000000000,855897.739999999990687,861612.360000000102445,855071.550000000046566,827009.000000000000000,840425.769999999902211,827820.500000000000000,10089264.029999999329448
20190813,900698.299999999930151,815249.000000000000000,847116.739999999990687,854203.520000000018626,831583.850000000093132,863007.000000000000000,873609.169999999925494,879234.199999999953434,864061.729999999981374,847477.000000000000000,850687.649999999906868,845854.250000000000000,10272786.410000000149012
20190814,873890.099999999976717,789219.000000000000000,819711.900000000023283,833973.199999999953434,797057.150000000023283,836140.000000000000000,844489.309999999939464,855070.120000000111759,853302.989999999990687,827009.000000000000000,840878.500000000000000,836325.500000000000000,10007070.769999999552965
20190815,869537.000000000000000,789493.000000000000000,820525.099999999976717,835765.760000000009313,800099.150000000023283,836741.499999999883585,842598.410000000032596,839031.080000000074506,865093.390000000013970,830579.000000000000000,849631.279999999911524,887434.250000000000000,10066532.919999999925494
20190816,890052.599999999976717,797576.000000000000000,828087.859999999986030,841015.400000000139698,819263.750000000000000,852781.500000000000000,858040.760000000009313,847156.120000000111759,878283.900000000023283,835475.000000000000000,854913.130000000004657,889796.750000000000000,10192446.770000001415610
20190819,906646.099999999976717,803946.500000000000000,845571.659999999916181,846713.180000000051223,826640.599999999976717,864109.750000000000000,872411.599999999976717,856125.320000000065193,886095.039999999920838,832143.000000000000000,860194.979999999981374,896254.250000000000000,10296855.980000000447035
20190820,906689.200000000069849,799220.000000000000000,882734.900000000023283,836149.880000000004657,816145.700000000069849,858696.250000000000000,865163.149999999906868,849794.120000000111759,876220.580000000074506,816673.000000000000000,849178.550000000046566,882394.250000000000000,10239063.580000001937151
20190821,916515.999999999883585,806138.500000000000000,896193.359999999986030,842103.740000000107102,818427.200000000069849,871327.750000000000000,874806.739999999990687,873114.040000000037253,878431.280000000027940,817319.000000000000000,854007.670000000041910,882158.000000000000000,10330547.279999999329448
20190822,915740.199999999953434,807577.000000000000000,898714.280000000027940,840439.220000000088476,826868.750000000000000,869423.000000000000000,868440.709999999962747,879128.680000000051223,880052.459999999962747,792125.000000000000000,856874.959999999962747,881291.750000000000000,10316680.010000001639128
20190823,873415.999999999883585,781341.500000000000000,884279.979999999981374,817776.140000000130385,806335.250000000000000,851578.500000000000000,840770.539999999920838,848844.440000000060536,864577.559999999939464,784373.000000000000000,843896.699999999953434,872786.750000000000000,10069980.359999999403954
20190826,890009.500000000000000,783807.500000000000000,889077.859999999986030,818224.280000000027940,812799.500000000000000,861002.000000000000000,853754.719999999972060,867943.560000000055879,879315.559999999939464,785801.000000000000000,855818.589999999967404,881921.750000000000000,10179479.820000000298023
20190827,879967.199999999953434,776683.500000000000000,887288.819999999948777,830003.959999999962747,804205.849999999976717,857393.000000000000000,855582.590000000083819,865622.120000000111759,888379.429999999934807,758091.000000000000000,862911.359999999986030,885308.000000000000000,10151440.829999998211861
20190828,885871.900000000023283,786821.500000000000000,902495.659999999916181,823858.040000000037253,812267.150000000023283,867017.000000000000000,854448.050000000046566,880922.520000000135042,894643.080000000074506,773119.000000000000000,874531.430000000051223,887670.500000000000000,10243669.830000000074506
20190829,900870.699999999953434,806755.000000000000000,924330.079999999958090,821041.160000000149012,830671.250000000000000,869423.000000000000000,870583.729999999981374,900971.320000000065193,893021.900000000023283,784237.000000000000000,874380.519999999902211,898380.500000000000000,10374670.160000000149012
20190830,899707.000000000000000,815180.500000000000000,926729.019999999902211,821809.400000000139698,835538.450000000069849,866916.750000000000000,868944.950000000069849,891685.560000000055879,886021.349999999976717,795729.000000000000000,877700.539999999920838,899798.000000000000000,10385764.519999999552965
20190903,886604.599999999976717,801686.000000000000000,911115.579999999958090,824242.160000000149012,825651.950000000069849,868721.250000000000000,857473.489999999990687,893479.400000000023283,894348.319999999948777,784237.000000000000000,875889.619999999995343,902790.500000000000000,10326243.869999999180436
20190904,901646.500000000000000,815865.500000000000000,911440.859999999986030,825010.400000000139698,835614.500000000000000,862706.250000000000000,867495.260000000009313,911206.760000000009313,907980.969999999972060,771011.000000000000000,878002.359999999986030,912791.750000000000000,10400776.109999999403954
20190905,919274.400000000023283,842512.000000000000000,927704.859999999986030,823217.840000000083819,854627.000000000000000,863207.500000000000000,882748.520000000018626,933049.400000000023283,904664.920000000041910,780735.000000000000000,884189.670000000041910,909090.500000000000000,10525025.609999999403954
20190906,919188.199999999953434,840525.500000000000000,939821.539999999920838,820849.100000000093132,856452.200000000069849,867919.249999999883585,876760.669999999925494,935898.440000000060536,905475.510000000009313,778729.000000000000000,891282.440000000060536,903499.250000000000000,10536405.099999999627471
20190909,923110.299999999930151,871693.000000000000000,946896.380000000004657,812782.580000000074506,877670.150000000023283,836841.750000000000000,866801.930000000051223,935687.400000000023283,900317.209999999962747,784441.000000000000000,885246.039999999920838,916099.250000000000000,10557590.989999998360872
20190910,934014.599999999976717,892517.000000000000000,947424.959999999962747,829427.780000000144355,888849.500000000000000,818997.250000000000000,857725.610000000102445,916271.720000000088476,883442.199999999953434,790493.000000000000000,901091.589999999967404,913894.250000000000000,10574153.460000000894070
20190911,963710.500000000000000,911697.000000000000000,946042.519999999902211,839799.020000000018626,891283.099999999976717,831328.000000000000000,857977.729999999981374,915427.560000000055879,893685.109999999986030,796443.000000000000000,907429.810000000055879,913658.000000000000000,10668485.349999999627471
20190912,961555.500000000000000,902518.000000000000000,950677.760000000009313,835061.540000000037253,896758.699999999953434,835237.750000000000000,866801.930000000051223,925135.400000000023283,904738.609999999986030,782469.000000000000000,911957.109999999986030,920745.500000000000000,10693660.800000000745058
20190913,942850.099999999976717,916423.500000000000000,951409.639999999897555,837302.240000000107102,914402.300000000046566,828220.250000000000000,865541.329999999958090,921442.199999999953434,899948.760000000009313,794403.000000000000000,904864.339999999967404,924761.750000000000000,10701573.410000000149012
20190916,947806.599999999976717,912108.000000000000000,939252.300000000046566,829363.760000000009313,906264.949999999953434,822405.750000000000000,859301.360000000102445,920914.599999999976717,882484.229999999981374,797191.000000000000000,897922.479999999981374,910114.250000000000000,10625133.280000001192093
20190917,951254.599999999976717,905394.999999999883585,936080.819999999948777,830196.020000000018626,901778.000000000000000,827217.750000000000000,865982.539999999920838,924291.240000000107102,892874.519999999902211,790697.000000000000000,903506.149999999906868,917516.750000000000000,10646794.389999998733401
20190918,960176.300000000046566,897860.000000000000000,938601.739999999990687,834933.500000000000000,910827.950000000069849,832330.500000000000000,873104.930000000051223,929461.720000000088476,894716.769999999902211,784203.000000000000000,904411.609999999986030,922635.500000000000000,10683267.519999999552965
20190919,952375.199999999953434,891352.500000000000000,927582.880000000004657,833012.900000000139698,907938.050000000046566,841854.250000000000000,889177.579999999958090,925451.960000000079162,898327.580000000074506,791819.000000000000000,905166.159999999916181,922241.750000000000000,10686303.810000000521541
20190920,938453.899999999906868,877926.500000000000000,913555.179999999934807,842871.980000000097789,904287.650000000023283,853784.000000000000000,878903.689999999944121,914688.920000000158325,900833.039999999920838,791955.000000000000000,909844.369999999995343,921218.000000000000000,10648326.229999998584390
20190923,942720.799999999930151,879707.499999999883585,919979.459999999962747,843448.160000000149012,904135.550000000046566,845764.000000000000000,877012.789999999920838,925346.440000000060536,908054.659999999916181,777947.000000000000000,908637.089999999967404,926258.000000000000000,10659015.449999999254942
20190924,938238.400000000023283,863062.000000000000000,916564.019999999902211,842231.780000000144355,892347.800000000046566,838145.000000000000000,865919.510000000009313,919964.920000000158325,910928.569999999948777,765129.000000000000000,913164.389999999897555,932400.500000000000000,10598099.890000000596046
20190925,952676.900000000023283,867309.000000000000000,927501.559999999939464,838646.660000000149012,897443.150000000023283,833132.500000000000000,878399.450000000069849,958268.680000000051223,906580.859999999986030,755507.000000000000000,909542.550000000046566,932951.750000000000000,10657964.060000002384186
20190926,947763.499999999883585,865802.000000000000000,934373.099999999976717,824946.380000000004657,890066.300000000046566,840952.000000000000000,879533.989999999990687,972619.400000000023283,916086.869999999995343,732761.000000000000000,912108.019999999902211,931613.000000000000000,10648629.560000000521541
20190927,943151.799999999930151,867172.000000000000000,934657.719999999972060,823345.880000000004657,895313.750000000000000,831227.750000000000000,868125.559999999939464,974096.680000000051223,918002.809999999939464,732013.000000000000000,909995.279999999911524,932794.250000000000000,10629900.479999998584390
20190930,965348.299999999930151,865254.000000000000000,943440.280000000027940,828339.440000000060536,895085.599999999976717,843959.500000000116415,876319.459999999962747,991085.400000000023283,916602.699999999953434,739017.000000000000000,910900.739999999990687,934605.500000000000000,10709961.919999999925494
20191001,968020.500000000000000,838265.000000000000000,939618.239999999990687,832244.660000000149012,878810.900000000023283,838245.250000000000000,863965.579999999958090,973780.120000000111759,912697.129999999888241,738643.000000000000000,903204.329999999958090,928069.250000000000000,10615567.960000000894070
20191002,943755.199999999953434,821756.500000000000000,917133.260000000009313,845112.680000000051223,861319.400000000023283,818295.500000000000000,848712.320000000065193,965444.040000000037253,892285.000000000000000,737079.000000000000000,889018.789999999920838,914445.500000000000000,10454361.189999999478459
20191003,951771.799999999930151,822304.500000000000000,922256.419999999925494,839927.060000000055879,853258.099999999976717,829523.500000000000000,858986.209999999962747,973147.000000000000000,897148.539999999920838,732353.000000000000000,890527.889999999897555,915941.750000000000000,10487149.769999999552965
20191004,978450.699999999953434,829154.500000000000000,926810.339999999967404,855740.000000000000000,871738.250000000000000,852180.000000000000000,870583.729999999981374,982116.199999999953434,913802.479999999981374,747449.000000000000000,903958.880000000004657,930510.500000000000000,10662498.580000000074506
20191007,978666.199999999953434,823743.000000000000000,921971.800000000046566,852539.000000000000000,869837.000000000000000,846064.750000000000000,864280.729999999981374,983171.400000000023283,905254.440000000060536,752345.000000000000000,909240.729999999981374,923186.750000000000000,10630304.800000000745058
20191008,967201.599999999976717,808125.000000000000000,921687.179999999934807,844088.360000000102445,850444.250000000000000,835037.250000000116415,855141.379999999888241,968187.560000000055879,891179.650000000023283,748503.000000000000000,901242.500000000000000,925943.000000000000000,10516784.730000000447035
20191009,978536.900000000023283,818194.500000000000000,930917.000000000000000,827315.119999999995343,856604.300000000046566,843959.500000000116415,871340.090000000083819,976312.599999999976717,898917.099999999976717,755201.000000000000000,893697.000000000000000,936574.250000000000000,10587573.359999999403954
20191010,991725.500000000000000,840457.000000000000000,941773.219999999972060,826290.800000000046566,868620.199999999953434,839749.000000000000000,876760.669999999925494,981377.560000000055879,898622.339999999967404,760811.000000000000000,902902.510000000009313,941929.250000000000000,10671023.049999998882413
20191011,1018102.699999999953434,879570.500000000000000,954174.519999999902211,840823.340000000083819,883297.849999999976717,845563.500000000000000,880416.410000000032596,990663.320000000065193,892358.690000000060536,755167.000000000000000,904411.609999999986030,946890.500000000000000,10791443.939999999478459
20191014,1016637.300000000046566,879433.500000000000000,952222.839999999967404,836918.119999999995343,885655.400000000023283,849072.250000000000000,879597.020000000018626,1001215.320000000065193,884694.929999999934807,750135.000000000000000,899431.579999999958090,938464.250000000000000,10773481.509999999776483
20191015,1014266.799999999930151,897586.000000000000000,958077.880000000004657,850490.360000000102445,912348.949999999953434,852581.000000000116415,892329.079999999958090,1000265.640000000130385,863693.280000000027940,811335.000000000000000,913768.029999999911524,941299.250000000000000,10908045.270000001415610
