訓練日期,20161104 - 20170208
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11029534.980000000447035
真實報酬,1029534.980000000447035

夏普值報酬,0.094253498000000
夏普值風險,0.027060448913978
夏普值,3.483072224692929

預期報酬,17117.105560241274361
風險,102875.995074767590268
趨勢值,0.166385807960361
找到最佳解世代,66
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](10),BA[2](2),DIS[6](1),HD[9](7),IBM[10](3),INTC[11](9),KO[14](28),MMM[16](16),MSFT[18](6),PG[21](30),TRV[22](17),V[25](26),
Stock#,AAPL[0](10),BA[2](2),DIS[6](1),HD[9](7),IBM[10](3),INTC[11](9),KO[14](28),MMM[16](16),MSFT[18](6),PG[21](30),TRV[22](17),V[25](26),
張數,7587,5951,8925,6934,5469,24560,19827,4995,14074,9622,7882,10332,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,52.790000000037253,73.979999999981374,5.750000000000000,4.880000000004657,21.469999999972060,12.199999999953434,4.189999999944121,17.149999999906868,11.459999999962747,67.800000000046566,47.959999999962747,57.199999999953434,
20161104,825821.870000000111759,830476.519999999902211,825122.000000000000000,838394.819999999948777,833661.140000000013970,825473.799999999930151,826591.819999999948777,831584.749999999883585,826296.000000000000000,818707.560000000055879,825056.900000000023283,830336.719999999972060,9937527.900000002235174
20161107,837733.459999999962747,851245.510000000009313,842793.500000000116415,858087.380000000004657,851654.150000000023283,851998.599999999860302,841858.609999999986030,847868.449999999953434,850362.540000000037253,832948.120000000111759,830495.479999999981374,852550.520000000018626,10149600.320000000298023
20161108,842665.010000000009313,846306.179999999934807,842347.250000000000000,861554.380000000004657,848646.199999999953434,853226.599999999976717,850185.949999999953434,854311.999999999883585,851066.239999999990687,841607.920000000041910,851382.780000000027940,856373.359999999869615,10199677.869999999180436
20161109,841299.349999999976717,863504.569999999948777,844667.750000000000000,873827.559999999939464,846677.359999999986030,853472.199999999953434,838091.479999999981374,851115.199999999837019,846844.040000000037253,826886.260000000125729,842949.039999999920838,860092.879999999888241,10189431.689999997615814
20161110,817855.520000000135042,878977.169999999925494,847523.750000000000000,894698.900000000023283,876264.650000000023283,847332.199999999953434,811721.569999999948777,870545.749999999883585,826155.260000000009313,798308.920000000041910,864072.800000000046566,845938.040000000037253,10179398.530000001192093
20161111,822711.200000000069849,883916.500000000000000,871799.750000000116415,900384.779999999911524,882007.099999999976717,850033.799999999930151,813506.000000000000000,874541.750000000000000,830658.940000000060536,804274.560000000055879,869274.919999999925494,846041.359999999869615,10249154.660000000149012
20161114,802074.559999999939464,892664.470000000088476,873941.750000000000000,885268.660000000032596,865271.959999999962747,846840.999999999883585,816281.780000000027940,863702.599999999860302,817992.339999999967404,798693.800000000046566,884250.719999999972060,809879.359999999869615,10156867.000000000000000
20161115,812696.359999999986030,881476.590000000083819,871978.250000000000000,862594.480000000097789,867787.699999999953434,857401.799999999813735,821635.069999999948777,870345.949999999953434,828547.839999999967404,804659.440000000060536,881649.659999999916181,811842.439999999827705,10172619.580000000074506
20161116,834546.920000000041910,871538.419999999925494,884651.750000000000000,869043.099999999976717,871178.479999999981374,855682.600000000093132,818066.209999999962747,859207.099999999860302,839525.559999999939464,800521.979999999981374,877708.659999999916181,827443.759999999892898,10209118.539999999105930
20161117,834243.440000000060536,864932.810000000055879,886883.000000000000000,894005.500000000000000,873967.670000000041910,860103.400000000023283,815290.429999999934807,863003.299999999930151,853458.819999999948777,799367.339999999967404,876368.719999999972060,837672.439999999827705,10259300.870000001043081
20161118,835078.010000000009313,871002.829999999958090,876797.750000000000000,889845.100000000093132,877194.379999999888241,858384.200000000069849,811126.759999999892898,863952.349999999976717,849377.359999999986030,789071.800000000046566,881413.199999999953434,835089.439999999827705,10238337.179999999701977
