訓練日期,20140716 - 20141015
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9941439.480000000447035
真實報酬,-58560.519999999552965

夏普值報酬,-0.014556052000000
夏普值風險,0.017079646628372
夏普值,-0.852245501134685

預期報酬,6051.093496183198113
風險,150493.765668897394789
趨勢值,0.040208266895894
找到最佳解世代,23
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),GS[8](2),HD[9](1),IBM[10](12),INTC[11](7),JNJ[12](13),MSFT[18](3),NKE[19](5),PG[21](6),WBA[27](30),XOM[29](23),
Stock#,AAPL[0](4),GS[8](2),HD[9](1),IBM[10](12),INTC[11](7),JNJ[12](13),MSFT[18](3),NKE[19](5),PG[21](6),WBA[27](30),XOM[29](23),
張數,9537,5373,11383,4823,28668,8802,21415,23298,11187,12698,8878,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,23.160000000032596,139.590000000083819,43.619999999995343,2.729999999981374,27.719999999972060,19.439999999944121,23.249999999883585,2.039999999920838,34.379999999888241,40.179999999934807,71.579999999958090,
20140716,903940.020000000018626,916074.900000000023283,906813.399999999906868,927755.010000000009313,993373.919999999925494,899759.879999999888241,943996.449999999837019,896043.119999999995343,905510.159999999916181,906931.339999999967404,921341.639999999897555,10121549.840000001713634
20140717,887822.490000000107102,914301.810000000055879,905561.270000000018626,928382.000000000000000,966139.320000000065193,883476.179999999934807,953633.199999999953434,891616.500000000000000,899469.179999999934807,891185.820000000065193,908379.760000000009313,10029977.529999999329448
20140718,900602.070000000065193,921447.900000000023283,911594.260000000009313,928430.229999999981374,966139.320000000065193,896063.039999999920838,957059.599999999860302,903032.519999999902211,901147.229999999864958,913915.239999999874271,912108.520000000018626,10111549.929999997839332
20140721,895928.940000000060536,922791.150000000023283,907382.549999999930151,920472.279999999911524,976459.800000000046566,891397.979999999864958,960271.849999999976717,894878.219999999855645,898126.739999999874271,910105.839999999967404,915215.819999999948777,10093041.169999999925494
20140722,903367.800000000046566,940522.050000000162981,916830.440000000060536,936098.800000000046566,997387.439999999944121,901960.379999999888241,960057.699999999837019,897441.000000000000000,896113.079999999841675,925216.459999999962747,919299.700000000069849,10194304.849999997764826
20140723,926924.190000000060536,950193.450000000069849,922294.279999999911524,933880.219999999972060,989073.719999999972060,899495.819999999948777,960914.299999999813735,901401.659999999916181,894882.509999999776483,925724.380000000004657,925603.079999999958090,10230397.609999999403954
