訓練日期,20110620 - 20110920
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10604851.300000002607703
真實報酬,604851.300000002607703

夏普值報酬,0.051785130000000
夏普值風險,0.036982503565338
夏普值,1.400260258435742

預期報酬,6227.600629263864903
風險,451782.430791240360122
趨勢值,0.013784512643303
找到最佳解世代,46
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),AXP[1](10),BA[2](25),CSCO[4](6),CVX[5](11),IBM[10](8),INTC[11](14),MSFT[18](5),NKE[19](7),VZ[26](9),
Stock#,AAPL[0](1),AXP[1](10),BA[2](25),CSCO[4](6),CVX[5](11),IBM[10](8),INTC[11](14),MSFT[18](5),NKE[19](7),VZ[26](9),
張數,21857,20618,13484,66800,10083,6081,47192,41220,49309,28161,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,42.250000000000000,27.000000000000000,26.560000000055879,4.000000000000000,68.890000000013970,40.359999999986030,1.519999999902211,2.799999999930151,13.479999999981374,2.890000000013970,
20110620,984700.099999999976717,1007834.840000000083819,1004854.239999999990687,1011356.000000000000000,1007461.419999999925494,1003526.980000000097789,1006606.879999999771826,1008656.199999999837019,1026133.769999999902211,1003942.539999999920838,10065072.969999998807907
20110621,1015737.039999999920838,1021648.899999999906868,997572.880000000121072,1036072.000000000000000,1024400.860000000102445,1010824.179999999934807,1021708.319999999832362,1020610.000000000000000,1041912.649999999906868,1013517.280000000027940,10204004.109999999403954
20110622,1007431.380000000121072,1027834.300000000046566,972492.640000000130385,1026052.000000000000000,1019157.699999999953434,1007540.440000000060536,1009910.319999999832362,1016075.799999999813735,1010354.889999999897555,1012109.229999999981374,10108958.700000001117587
20110623,1034315.489999999990687,1014638.780000000027940,960761.560000000055879,1033400.000000000000000,1001915.770000000018626,1010216.079999999958090,1024539.839999999967404,1015251.399999999906868,1013313.430000000051223,1015206.939999999944121,10123559.289999999105930
20110624,1019015.589999999967404,996701.120000000111759,960896.400000000139698,997328.000000000000000,987194.590000000083819,1003831.029999999911524,1000471.919999999925494,1001648.799999999930151,1000986.180000000051223,1013798.890000000013970,9981872.520000001415610
20110627,1036719.760000000009313,1021442.719999999972060,965750.640000000130385,1005344.000000000000000,997277.590000000083819,1019337.579999999958090,1007078.799999999930151,1038746.799999999930151,1006410.170000000041910,1025063.289999999920838,10123171.349999999627471
20110628,1046773.979999999981374,1027215.760000000009313,972088.120000000111759,1010688.000000000000000,1011897.939999999944121,1033871.169999999925494,1014157.599999999860302,1063478.799999999813735,1108479.800000000046566,1029850.660000000032596,10318501.830000000074506
20110629,1043058.289999999920838,1049895.560000000055879,980583.040000000037253,1024716.000000000000000,1021275.130000000004657,1037094.099999999976717,1009438.399999999906868,1056059.200000000186265,1107000.530000000027940,1034074.809999999939464,10363195.060000000521541
20110630,1048085.400000000023283,1065977.600000000093132,996898.680000000167638,1042752.000000000000000,1037004.610000000102445,1043235.910000000032596,1045776.239999999874271,1071722.799999999813735,1109465.979999999981374,1048436.919999999925494,10509356.140000000596046
20110701,1071909.530000000027940,1079173.120000000111759,1001483.239999999990687,1059452.000000000000000,1049608.359999999869615,1061418.100000000093132,1063237.279999999795109,1072547.199999999720603,1132148.120000000111759,1064488.689999999944121,10655465.639999998733401
20110705,1091143.689999999944121,1078966.939999999944121,999865.160000000149012,1046760.000000000000000,1059993.850000000093132,1066830.189999999944121,1058990.000000000000000,1072959.399999999906868,1131161.939999999944121,1065051.910000000149012,10671723.080000000074506
20110706,1098356.500000000000000,1087832.679999999934807,1007820.719999999972060,1039412.000000000000000,1059590.529999999795109,1080694.870000000111759,1073619.520000000018626,1085325.399999999906868,1138558.290000000037253,1057166.830000000074506,10728377.340000001713634
20110707,1115404.959999999962747,1104945.620000000111759,1024675.719999999972060,1062124.000000000000000,1074815.859999999869615,1073215.239999999757856,1096271.679999999701977,1103462.199999999720603,1154830.260000000009313,1053787.510000000242144,10863533.049999998882413
20110708,1123273.479999999981374,1094224.260000000009313,1012270.439999999944121,1051436.000000000000000,1067757.760000000242144,1073276.049999999813735,1089664.799999999813735,1109645.200000000186265,1149406.270000000018626,1055477.169999999925494,10826431.429999997839332
20110711,1105350.739999999990687,1077729.860000000102445,989077.959999999962747,1030728.000000000000000,1052834.919999999925494,1064154.549999999813735,1078338.719999999739230,1097691.399999999906868,1127217.219999999972060,1045339.209999999962747,10668462.580000001937151
20110712,1104695.030000000027940,1080410.199999999953434,969930.680000000167638,1042084.000000000000000,1052633.260000000242144,1058438.410000000149012,1059461.919999999925494,1093981.600000000093132,1124751.770000000018626,1044494.380000000121072,10630881.250000000000000
20110713,1118027.800000000046566,1071132.100000000093132,973166.840000000083819,1040080.000000000000000,1059691.359999999869615,1060080.279999999795109,1060877.679999999701977,1097691.399999999906868,1134613.570000000065193,1040270.229999999981374,10655631.259999999776483
20110714,1117153.520000000018626,1059379.840000000083819,959952.520000000018626,1030728.000000000000000,1055456.500000000000000,1059532.989999999757856,1050967.359999999869615,1091096.199999999720603,1133627.389999999897555,1038580.570000000065193,10596474.890000000596046
20110715,1139447.660000000149012,1068245.580000000074506,961166.080000000074506,1041416.000000000000000,1070782.660000000149012,1067499.100000000093132,1055686.560000000055879,1103874.399999999906868,1130668.849999999860302,1036890.910000000032596,10675677.800000000745058
20110718,1167206.050000000046566,1058348.939999999944121,937838.760000000009313,1031396.000000000000000,1071185.979999999981374,1065918.040000000037253,1051439.279999999795109,1096042.600000000093132,1117355.419999999925494,1033793.200000000069849,10630524.269999999552965
20110719,1176823.130000000121072,1068245.580000000074506,951053.080000000074506,1046092.000000000000000,1083789.729999999981374,1126302.370000000111759,1088249.040000000037253,1135201.600000000093132,1118834.689999999944121,1041115.059999999939464,10835706.279999999329448
20110720,1208078.640000000130385,1074018.620000000111759,971818.439999999944121,1056780.000000000000000,1079958.189999999944121,1116816.010000000242144,1084945.599999999627471,1115416.000000000000000,1116862.329999999841675,1051253.020000000018626,10875946.849999999627471
20110721,1209390.060000000055879,1084121.439999999944121,982875.320000000065193,1092184.000000000000000,1103451.580000000074506,1124417.260000000242144,1076451.040000000037253,1117064.799999999813735,1132148.120000000111759,1058011.660000000149012,10980115.280000001192093
20110722,1228187.079999999841675,1077111.320000000065193,979908.840000000083819,1099532.000000000000000,1098813.399999999906868,1126119.939999999944121,1091552.479999999981374,1134789.399999999906868,1130668.849999999860302,1034638.030000000027940,11001321.339999999850988
20110725,1244361.260000000009313,1068245.580000000074506,961570.600000000093132,1087508.000000000000000,1090041.189999999944121,1117120.060000000055879,1086833.279999999795109,1150453.000000000000000,1120807.050000000046566,1019994.309999999939464,10946934.330000000074506
