訓練日期,20160224 - 20160525
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10913032.429999999701977
真實報酬,913032.429999999701977

夏普值報酬,0.082603243000000
夏普值風險,0.025053631651956
夏普值,3.297056656197421

預期報酬,16328.843861527784611
風險,131518.598868126515299
趨勢值,0.124156157395660
找到最佳解世代,96
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](4),DIS[6](18),DD[7](13),JNJ[12](1),MCD[15](9),MMM[16](6),PFE[20](10),PG[21](29),UNH[23](5),WMT[28](24),XOM[29](2),
Stock#,AXP[1](4),DIS[6](18),DD[7](13),JNJ[12](1),MCD[15](9),MMM[16](6),PFE[20](10),PG[21](29),UNH[23](5),WMT[28](24),XOM[29](2),
張數,16495,9531,13588,8734,7776,5821,30343,11112,7503,13674,11191,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,50.550000000046566,23.220000000088476,52.799999999930151,55.280000000027940,75.599999999976717,24.430000000051223,13.719999999972060,17.280000000027940,101.549999999930151,42.479999999981374,45.069999999948777,
20160224,901337.350000000093132,909566.550000000162981,913166.400000000023283,916775.919999999925494,910334.160000000032596,915202.050000000046566,910910.579999999958090,906312.000000000000000,901962.149999999906868,917841.359999999986030,912335.389999999897555,10015753.910000000149012
20160225,913708.600000000093132,911663.370000000111759,930830.799999999930151,929178.199999999953434,920520.719999999972060,925505.220000000088476,928206.089999999967404,914979.360000000102445,909465.149999999906868,930421.440000000060536,917818.979999999981374,10132307.929999999701977
20160226,913543.650000000139698,908422.830000000074506,943195.879999999888241,923937.800000000046566,910334.160000000032596,921314.100000000093132,917282.609999999986030,901200.479999999981374,910440.539999999920838,909500.220000000088476,914909.319999999948777,10074091.589999999850988
20160229,916842.650000000023283,910424.340000000083819,940750.040000000037253,918959.419999999925494,911345.039999999920838,913164.700000000069849,900290.530000000027940,892199.760000000125729,893708.849999999860302,907175.640000000013970,897003.719999999972060,10001874.690000001341105
20160301,936966.550000000046566,930725.370000000111759,968877.199999999837019,936514.760000000009313,924253.199999999953434,928997.820000000065193,911517.439999999944121,902645.040000000037253,912991.559999999939464,908816.519999999902211,909649.549999999930151,10171965.009999999776483
20160302,942244.949999999953434,924530.220000000088476,960180.879999999888241,934942.640000000130385,921376.079999999958090,927950.040000000037253,909696.859999999986030,917312.880000000004657,909990.359999999869615,905398.019999999902211,925540.770000000018626,10179173.699999999254942
20160303,958245.100000000093132,941876.640000000013970,959773.239999999874271,931536.380000000121072,907457.039999999920838,927775.410000000032596,906965.989999999990687,920535.360000000102445,914117.009999999892898,904440.839999999967404,922183.469999999972060,10194916.480000002309680
20160304,961544.099999999976717,938636.100000000093132,973225.359999999986030,930226.280000000027940,911267.280000000027940,931791.900000000023283,901504.250000000000000,927758.159999999916181,913966.949999999953434,913192.199999999953434,920952.459999999962747,10224075.039999999105930
20160307,973255.550000000046566,947309.310000000055879,962898.479999999864958,932322.439999999944121,911034.000000000000000,934702.400000000023283,903931.689999999944121,923424.479999999981374,913666.829999999958090,928370.339999999967404,945236.929999999934807,10276162.449999999254942
20160308,980348.400000000023283,932345.640000000013970,944962.320000000065193,927780.760000000009313,920909.520000000018626,932548.630000000004657,890884.199999999953434,922980.000000000000000,912916.529999999911524,930421.440000000060536,924757.399999999906868,10220864.840000001713634
20160309,974080.300000000046566,930820.680000000051223,949446.359999999986030,933195.840000000083819,930396.239999999990687,931908.320000000065193,902414.539999999920838,921868.799999999930151,908714.849999999860302,923447.699999999953434,922183.469999999972060,10228487.099999999627471
