訓練日期,20151204 - 20160309
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10481124.009999999776483
真實報酬,481124.009999999776483

夏普值報酬,0.039412401000000
夏普值風險,0.023142121145811
夏普值,1.703059142749925

預期報酬,1093.937335183905589
風險,230172.633708112931345
趨勢值,0.004752682008979
找到最佳解世代,78
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
CVX[5](15),IBM[10](20),JNJ[12](6),KO[14](5),MCD[15](4),MMM[16](10),MSFT[18](13),TRV[22](11),UNH[23](8),UTX[24](16),VZ[26](2),WBA[27](12),WMT[28](1),
Stock#,CVX[5](15),IBM[10](20),JNJ[12](6),KO[14](5),MCD[15](4),MMM[16](10),MSFT[18](13),TRV[22](11),UNH[23](8),UTX[24](16),VZ[26](2),WBA[27](12),WMT[28](1),
張數,8657,5537,7632,18116,6783,4982,14192,6911,6688,8122,17262,9387,13028,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,55.550000000046566,29.960000000079162,0.719999999972060,24.640000000013970,105.630000000004657,108.839999999967404,23.599999999976717,104.809999999939464,110.000000000000000,76.599999999976717,35.279999999911524,59.219999999972060,56.880000000004657,
20151204,776675.020000000018626,777590.870000000111759,785715.119999999995343,784266.280000000027940,788290.229999999981374,788360.880000000004657,793498.319999999948777,788373.469999999972060,787555.119999999995343,777595.660000000032596,789081.299999999930151,794387.160000000032596,777307.359999999986030,10208706.790000000968575
20151207,755638.510000000009313,772718.310000000172295,788538.959999999962747,782635.840000000083819,789782.489999999990687,786019.339999999967404,792079.119999999995343,785125.299999999930151,775316.079999999958090,779057.619999999995343,795123.000000000000000,796733.910000000032596,788250.880000000004657,10187029.360000001266599
20151208,748366.630000000004657,764412.810000000172295,781670.160000000032596,779193.799999999930151,790528.619999999995343,781236.619999999878928,791795.279999999911524,776693.880000000004657,775115.439999999944121,765412.660000000032596,788908.679999999934807,785375.639999999897555,776655.959999999962747,10105376.179999999701977
20151209,758408.750000000000000,756439.530000000144355,779609.520000000018626,772853.199999999953434,790867.770000000018626,777549.940000000060536,780299.759999999892898,767502.250000000000000,769564.400000000023283,764844.119999999995343,783039.599999999860302,782371.800000000046566,770402.520000000018626,10053763.160000000149012
20151210,773125.650000000023283,757380.820000000065193,783349.199999999953434,774664.799999999930151,795073.229999999981374,784873.479999999981374,784415.440000000060536,767156.699999999953434,777322.479999999981374,762488.739999999990687,782349.119999999878928,783122.760000000009313,776004.560000000055879,10101336.980000000447035
20151211,748366.630000000004657,745144.050000000046566,776022.479999999981374,765787.960000000079162,787476.270000000018626,771471.900000000023283,767243.119999999995343,758656.169999999925494,775784.239999999990687,757859.199999999953434,773718.119999999878928,767070.989999999874271,773398.959999999962747,9968010.089999999850988
