訓練日期,20151019 - 20160121
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9817346.100000001490116
真實報酬,-182653.899999998509884

夏普值報酬,-0.026965390000000
夏普值風險,0.024962515089484
夏普值,-1.080235300943680

預期報酬,8823.980893823734732
風險,373687.888397438859101
趨勢值,0.023613237591578
找到最佳解世代,12
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](26),DD[7](11),INTC[11](14),KO[14](9),MCD[15](1),MRK[17](10),MSFT[18](2),PG[21](3),TRV[22](7),VZ[26](8),
Stock#,CAT[3](26),DD[7](11),INTC[11](14),KO[14](9),MCD[15](1),MRK[17](10),MSFT[18](2),PG[21](3),TRV[22](7),VZ[26](8),
張數,14351,14744,30266,23798,9540,19425,21048,13351,9442,22371,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,22.319999999948777,61.920000000158325,11.359999999986030,8.039999999920838,17.200000000069849,1.000000000116415,9.520000000018626,10.099999999976717,92.199999999953434,16.299999999930151,
20151019,994116.089999999850988,995134.480000000097789,1016646.300000000046566,999286.059999999939464,996851.800000000046566,998446.000000000116415,1002315.279999999911524,1003471.259999999892898,1003965.639999999897555,1000000.000000000000000,10010232.910000000149012
20151020,1008467.089999999850988,1001326.960000000079162,1012106.399999999906868,1006425.459999999846332,990650.800000000046566,978826.750000000116415,1005472.480000000097789,993725.030000000027940,1028798.099999999976717,1012080.339999999967404,10037879.410000000149012
20151021,999856.489999999990687,997051.200000000186265,1009987.779999999911524,1004045.659999999916181,978248.800000000162981,982711.750000000232831,993475.120000000111759,982510.190000000060536,1045321.599999999976717,1003579.359999999869615,9996787.949999999254942
20151022,1017221.199999999837019,1048212.880000000237487,1041161.759999999892898,1029033.559999999939464,1057717.000000000000000,1010295.250000000116415,1010944.960000000079162,999332.449999999953434,1060617.639999999897555,1026621.489999999990687,10301158.190000001341105
20151023,1029706.569999999948777,1056616.960000000195578,1056294.759999999776483,1018324.459999999846332,1074125.800000000279397,1027195.000000000116415,1112817.280000000027940,1028437.630000000004657,1060239.959999999962747,1032661.659999999799766,10496420.080000001937151
20151026,1026405.839999999850988,1059418.320000000065193,1046912.300000000046566,1013564.859999999986030,1070214.399999999906868,1027777.750000000000000,1141863.520000000018626,1034579.089999999850988,1064866.539999999804422,1037135.859999999869615,10522738.479999998584390
