訓練日期,20140506 - 20140806
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10651209.759999999776483
真實報酬,651209.759999999776483

夏普值報酬,0.056420976000000
夏普值風險,0.028242603716820
夏普值,1.997725725493189

預期報酬,15202.926009395179790
風險,96119.275189186068019
趨勢值,0.158167297656710
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CSCO[4](7),CVX[5](16),DIS[6](6),GS[8](2),HD[9](15),INTC[11](1),JNJ[12](17),MSFT[18](4),NKE[19](8),V[25](12),VZ[26](9),
Stock#,CSCO[4](7),CVX[5](16),DIS[6](6),GS[8](2),HD[9](15),INTC[11](1),JNJ[12](17),MSFT[18](4),NKE[19](8),V[25](12),VZ[26](9),
張數,39594,7251,11192,5814,11552,34737,9090,23055,24804,17556,19183,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,11.760000000009313,104.640000000013970,75.760000000009313,71.099999999976717,63.119999999995343,22.709999999962747,90.000000000000000,31.349999999976717,23.400000000023283,40.319999999948777,7.630000000004657,
20140506,899587.439999999944121,906262.109999999986030,906963.520000000018626,898566.659999999916181,894418.959999999962747,910132.109999999986030,904635.900000000023283,900559.650000000023283,896191.920000000041910,901365.359999999986030,910624.640000000013970,9929318.270000001415610
20140507,905526.540000000037253,915398.369999999995343,898681.440000000060536,904264.380000000004657,890491.280000000027940,916037.400000000023283,917361.900000000023283,908859.450000000069849,895199.760000000125729,916112.399999999906868,922709.930000000051223,9990652.849999999627471
20140508,911465.640000000013970,907132.229999999981374,913342.959999999962747,915194.699999999953434,890144.719999999972060,914995.289999999920838,913635.000000000000000,913931.550000000046566,906113.520000000018626,925768.199999999837019,930191.300000000046566,10041925.109999999403954
20140509,911465.640000000013970,906697.170000000041910,917260.160000000032596,914031.899999999906868,897769.039999999920838,913605.809999999939464,917361.900000000023283,911626.049999999930151,911074.319999999948777,925241.520000000018626,929999.469999999972060,10056142.980000000447035
20140512,918196.620000000111759,908219.880000000004657,922520.400000000023283,927694.800000000046566,904238.159999999916181,916037.400000000023283,913816.799999999930151,921539.699999999953434,925708.680000000051223,929279.399999999906868,923860.909999999916181,10111122.750000000000000
20140513,905130.599999999976717,912642.989999999990687,918715.119999999995343,931939.020000000018626,892686.159999999916181,918816.359999999986030,918361.799999999930151,931914.450000000069849,925212.599999999976717,930859.440000000060536,917914.180000000051223,10104202.719999998807907
20140514,903150.899999999906868,916776.060000000055879,905732.400000000023283,927113.399999999906868,881596.239999999990687,914647.919999999925494,916998.300000000046566,927764.550000000046566,912562.560000000055879,921203.639999999897555,920983.459999999962747,10048539.429999999701977
20140515,957394.680000000051223,897850.950000000069849,897114.560000000055879,910776.059999999939464,880787.599999999976717,903532.080000000074506,915362.099999999976717,913009.349999999976717,904625.280000000027940,910494.479999999981374,920024.310000000055879,10010981.450000001117587
20140516,964917.540000000037253,893282.820000000065193,899800.640000000013970,909555.119999999995343,893725.839999999967404,896932.049999999930151,914362.199999999953434,918311.999999999883585,917027.280000000027940,920852.520000000018626,941317.440000000060536,10070095.449999999254942
20140519,964125.660000000032596,891615.090000000083819,907187.359999999986030,916764.479999999864958,883791.119999999995343,904574.189999999944121,914907.599999999976717,916467.599999999976717,923724.360000000102445,923310.359999999986030,942852.079999999958090,10089329.900000000372529
20140520,955019.040000000037253,888352.140000000013970,907635.040000000037253,909090.000000000000000,900657.039999999920838,904574.189999999944121,911362.500000000000000,914853.750000000000000,908593.920000000041910,912601.199999999837019,933260.579999999958090,10046009.399999998509884
20140521,969272.880000000004657,900388.800000000046566,919946.239999999990687,926532.000000000000000,902043.280000000027940,910132.109999999986030,919452.599999999976717,930300.599999999976717,920251.800000000046566,922257.000000000000000,943235.739999999990687,10163823.049999998882413
20140522,965313.479999999981374,896545.770000000018626,921736.959999999962747,929439.000000000000000,910129.680000000051223,908395.259999999892898,917816.399999999906868,924536.849999999976717,928685.159999999916181,918921.359999999986030,948606.980000000097789,10170136.899999998509884
20140523,970856.640000000013970,894660.510000000009313,932593.199999999953434,931241.339999999967404,914750.480000000097789,913258.439999999944121,917998.200000000069849,924997.949999999953434,940591.080000000074506,930859.440000000060536,954170.050000000046566,10225987.330000000074506
20140527,978379.500000000000000,890817.479999999981374,937293.839999999967404,940601.880000000004657,920642.000000000000000,927847.979999999981374,916452.900000000023283,926611.799999999930151,950264.640000000130385,941568.599999999976717,951868.089999999967404,10282358.709999999031425
20140528,982734.839999999967404,888497.160000000032596,935726.959999999962747,937229.760000000009313,920526.480000000097789,933753.269999999902211,911817.000000000000000,922461.899999999906868,946047.960000000079162,938408.520000000018626,954170.050000000046566,10271383.900000000372529
20140529,977191.680000000051223,887046.959999999962747,940539.520000000018626,934613.460000000079162,923067.920000000041910,936532.229999999981374,915998.400000000023283,930070.050000000046566,947288.159999999916181,942270.839999999967404,953786.390000000013970,10288415.609999999403954
20140530,974816.040000000037253,890454.930000000051223,940315.680000000051223,929206.439999999944121,926880.080000000074506,949037.549999999930151,922361.399999999906868,943903.049999999930151,953985.239999999990687,942973.079999999958090,958390.310000000055879,10332333.799999998882413
20140602,981151.080000000074506,886249.349999999976717,943225.599999999976717,930485.520000000018626,933926.800000000046566,946953.330000000074506,928815.300000000046566,940444.799999999930151,951504.839999999967404,937179.599999999976717,960116.779999999911524,10340063.000000000000000
20140603,977191.680000000051223,888714.689999999944121,938860.719999999972060,940776.300000000046566,931962.959999999962747,960848.130000000004657,931451.399999999906868,928917.299999999930151,937118.520000000018626,927523.799999999930151,945537.699999999953434,10308913.199999999254942
20140604,970064.760000000009313,887264.489999999990687,942889.839999999967404,944206.559999999939464,930461.200000000069849,958763.910000000032596,933451.200000000069849,929608.949999999953434,944311.680000000051223,928050.479999999981374,942852.079999999958090,10311935.150000000372529
20140605,977983.559999999939464,895748.160000000032596,948933.520000000018626,945311.220000000088476,928612.879999999888241,960848.130000000004657,938359.800000000046566,950127.900000000023283,941087.159999999916181,931561.679999999934807,945345.869999999995343,10363929.879999998956919
20140606,983130.779999999911524,900606.329999999958090,947030.880000000004657,966299.760000000009313,931616.400000000023283,978564.000000000000000,937996.200000000069849,956352.749999999883585,945551.880000000004657,934897.319999999948777,948031.489999999990687,10430087.790000000968575
20140609,981942.960000000079162,901911.510000000009313,956767.920000000041910,965195.099999999976717,931269.839999999967404,969532.380000000004657,938359.800000000046566,951511.200000000069849,951008.760000000125729,933141.719999999972060,950908.940000000060536,10431560.130000000819564
20140610,989861.760000000009313,908944.979999999981374,948597.760000000009313,967288.140000000013970,932771.599999999976717,980995.589999999850988,946359.000000000000000,947822.399999999906868,946544.039999999920838,940339.679999999934807,949949.790000000037253,10459484.739999998360872
20140611,991445.520000000018626,907784.820000000065193,943673.280000000027940,961881.119999999995343,922028.239999999990687,970227.119999999995343,939268.799999999930151,942058.649999999906868,931909.680000000051223,933492.839999999967404,947072.339999999967404,10390852.410000000149012
20140612,976399.800000000046566,914528.250000000000000,926773.359999999986030,964962.540000000037253,906086.480000000097789,971269.229999999981374,932087.699999999953434,935603.249999999883585,927444.960000000079162,929454.959999999962747,940741.949999999953434,10325362.480000000447035
20140613,977983.559999999939464,922866.900000000023283,926773.359999999986030,964555.559999999939464,901927.759999999892898,1037616.900000000023283,932087.699999999953434,950588.999999999883585,925460.640000000130385,927348.239999999990687,943427.569999999948777,10410647.190000001341105
20140616,971252.580000000074506,932148.179999999934807,932369.359999999986030,964323.000000000000000,911515.920000000041910,1042480.080000000074506,931360.500000000000000,956813.849999999976717,924716.520000000018626,922783.679999999934807,945921.360000000102445,10435695.029999999329448
20140617,970064.760000000009313,934250.970000000088476,930802.479999999981374,978102.179999999934807,924454.159999999916181,1040395.859999999986030,926633.700000000069849,960963.750000000000000,931413.599999999976717,925241.520000000018626,944003.060000000055879,10466336.040000000968575
