訓練日期,20171114 - 20180216
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11329388.170000001788139
真實報酬,1329388.170000001788139

夏普值報酬,0.124238817000000
夏普值風險,0.044957631271431
夏普值,2.763464477252161

預期報酬,24391.864453210913780
風險,253359.655256429949077
趨勢值,0.096273672414511
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](18),BA[2](1),CAT[3](8),CSCO[4](3),DD[7](19),HD[9](7),INTC[11](27),JPM[13](2),MSFT[18](10),NKE[19](4),TRV[22](16),UTX[24](6),V[25](12),
Stock#,AXP[1](18),BA[2](1),CAT[3](8),CSCO[4](3),DD[7](19),HD[9](7),INTC[11](27),JPM[13](2),MSFT[18](10),NKE[19](4),TRV[22](16),UTX[24](6),V[25](12),
張數,8192,2931,5634,22657,7666,4652,16813,7860,9165,13758,5769,6570,6905,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,1.199999999953434,76.979999999981374,19.979999999981374,24.849999999976717,23.559999999939464,21.800000000046566,35.250000000000000,50.400000000023283,11.549999999930151,20.220000000088476,106.920000000041910,80.100000000093132,13.000000000000000,
20171114,768083.119999999995343,767295.539999999920838,774920.339999999967404,771269.130000000004657,748608.459999999962747,781836.920000000041910,771079.429999999934807,764592.599999999976717,770329.799999999930151,770193.060000000055879,772345.260000000125729,780596.100000000093132,773234.900000000023283,10014394.659999998286366
20171115,763987.119999999995343,770519.640000000013970,755539.380000000004657,772855.119999999995343,752978.079999999958090,769788.239999999990687,764354.229999999981374,771823.800000000046566,760523.250000000000000,779135.760000000125729,771479.910000000032596,772515.000000000000000,761289.250000000000000,9966798.779999999329448
20171116,766444.719999999972060,772981.679999999934807,768272.220000000088476,812958.010000000009313,771606.459999999962747,779231.800000000046566,767548.699999999953434,774024.599999999976717,762539.549999999930151,787390.560000000055879,754749.810000000055879,774617.400000000139698,766606.099999999976717,10058981.609999999403954
20171117,767509.679999999934807,768761.039999999920838,766976.399999999906868,813411.149999999906868,772296.399999999906868,780348.280000000144355,750399.440000000060536,771430.800000000046566,755207.549999999930151,814356.240000000107102,749615.400000000023283,765682.200000000069849,758320.099999999976717,10034324.679999997839332
20171120,769639.599999999976717,775707.510000000009313,771370.919999999925494,827005.349999999976717,773522.959999999962747,792955.199999999953434,750231.309999999939464,778269.000000000116415,756398.999999999883585,815181.720000000088476,748750.050000000046566,764696.700000000069849,759217.750000000000000,10082957.069999998435378
20171121,773407.919999999925494,782624.670000000041910,775258.380000000004657,830403.899999999906868,777969.239999999990687,804166.520000000135042,755611.469999999972060,777640.200000000069849,767305.349999999976717,817107.840000000083819,753711.390000000013970,769032.900000000139698,769575.250000000000000,10153825.029999999329448
20171122,768574.639999999897555,777231.629999999888241,777568.319999999948777,825872.500000000000000,770763.199999999953434,800444.920000000041910,750735.699999999953434,775360.800000000046566,761714.699999999953434,812705.280000000144355,750134.609999999986030,766996.200000000069849,765225.099999999976717,10103337.599999999627471
20171124,765789.359999999986030,779371.260000000009313,774075.239999999874271,826778.780000000027940,776896.000000000000000,801700.960000000079162,752417.000000000000000,772845.599999999976717,763089.449999999953434,816144.780000000144355,749096.190000000060536,768178.800000000046566,773165.849999999976717,10119559.269999999552965
20171127,765707.439999999944121,778491.959999999962747,772948.439999999944121,835388.439999999944121,765626.979999999981374,810214.119999999995343,748045.619999999995343,769780.200000000069849,768680.099999999976717,820409.760000000125729,752846.040000000037253,769558.500000000116415,775996.900000000023283,10133704.500000000000000
20171128,780534.959999999962747,785555.670000000041910,783089.640000000013970,854873.459999999962747,776129.399999999906868,821425.440000000060536,752080.739999999990687,796740.000000000000000,777936.749999999883585,819721.860000000102445,767441.609999999986030,773434.800000000046566,782763.800000000046566,10271738.130000002682209
20171129,791348.399999999906868,789395.280000000027940,777850.020000000018626,849209.209999999962747,783642.079999999958090,824588.800000000046566,738966.600000000093132,815368.200000000069849,763822.649999999906868,830453.100000000093132,776210.489999999990687,776391.300000000046566,758596.300000000046566,10275852.430000001564622
20171130,800441.519999999902211,811377.780000000027940,795259.079999999958090,845130.949999999953434,785635.239999999990687,836544.440000000060536,753930.170000000041910,821577.599999999976717,771429.599999999976717,831278.580000000074506,782210.250000000000000,798006.600000000093132,777446.950000000069849,10410278.759999999776483
20171201,801670.319999999948777,795491.760000000009313,797343.660000000032596,851928.050000000046566,775209.479999999981374,839335.640000000013970,751240.089999999967404,823699.800000000046566,772254.449999999953434,823849.260000000125729,785902.410000000032596,789268.500000000116415,764603.650000000023283,10371807.070000000298023
20171204,807650.479999999981374,814807.050000000046566,797230.979999999981374,854646.889999999897555,787475.079999999958090,860176.600000000093132,748045.619999999995343,840677.400000000023283,743109.749999999883585,826876.020000000135042,786767.760000000125729,788742.900000000139698,741817.150000000023283,10398033.680000001564622
20171205,808633.519999999902211,807684.720000000088476,789568.739999999874271,845357.520000000018626,781035.639999999897555,850640.000000000000000,730391.969999999972060,831009.599999999976717,747783.899999999906868,831278.580000000074506,780768.000000000000000,790385.400000000139698,749757.900000000023283,10344305.490000000223517
20171206,804537.519999999902211,815686.349999999976717,790695.540000000037253,847623.219999999855645,775976.079999999958090,841103.400000000139698,730560.100000000093132,824800.200000000069849,758690.249999999883585,821647.980000000097789,780998.760000000125729,796364.100000000093132,757767.699999999953434,10346461.200000001117587
20171207,807568.559999999939464,826531.050000000046566,805062.239999999874271,847396.649999999906868,779195.799999999930151,846685.800000000046566,724339.289999999920838,822363.600000000093132,756032.399999999906868,833755.020000000135042,774364.410000000032596,804248.100000000093132,769230.000000000000000,10396782.919999999925494
20171208,807322.799999999930151,838049.879999999888241,810527.220000000088476,852154.619999999995343,772219.739999999990687,853245.119999999995343,728878.800000000046566,832660.200000000069849,771337.949999999953434,843385.619999999995343,771710.670000000041910,806941.800000000162981,777516.000000000000000,10465960.420000001788139
20171211,811009.199999999953434,830018.940000000060536,810020.160000000032596,860084.569999999948777,773063.000000000000000,847848.800000000046566,734090.829999999958090,830223.600000000093132,781144.500000000000000,851778.000000000000000,768306.960000000079162,810161.100000000093132,775927.849999999976717,10483687.509999999776483
20171212,814040.239999999990687,849891.119999999995343,808048.259999999892898,858951.719999999855645,772833.019999999902211,845755.400000000139698,728542.539999999920838,839891.400000000023283,784352.249999999883585,855355.080000000074506,775172.070000000065193,811343.700000000069849,783454.299999999930151,10527641.099999999627471
20171213,801014.959999999962747,855460.019999999902211,837063.359999999986030,864389.399999999906868,770303.239999999990687,851477.360000000102445,728710.670000000041910,829359.000000000116415,782244.299999999930151,884659.619999999995343,770614.560000000055879,816731.100000000093132,782418.550000000046566,10574456.140000000596046
20171214,795854.000000000000000,861439.260000000009313,824161.500000000000000,858725.149999999906868,767696.799999999930151,847290.560000000055879,727365.630000000004657,822678.000000000000000,776195.399999999906868,887823.960000000079162,764960.940000000060536,813183.300000000162981,779725.599999999976717,10527110.099999999627471
20171215,807077.039999999920838,861615.119999999995343,826471.439999999944121,865295.679999999934807,764247.099999999976717,849383.960000000079162,749222.530000000027940,834310.800000000046566,795991.799999999930151,891401.040000000153668,778287.329999999958090,829017.000000000116415,785940.099999999976717,10638270.939999999478459
20171218,816579.760000000009313,868063.319999999948777,843824.160000000032596,871866.209999999962747,779425.779999999911524,859385.760000000009313,777804.630000000004657,840756.000000000000000,791684.249999999883585,891676.200000000069849,780133.410000000032596,832564.800000000046566,784075.750000000000000,10737850.030000001192093
20171219,812238.000000000000000,871316.729999999981374,850246.919999999925494,867787.949999999953434,779732.419999999925494,865200.760000000009313,790918.770000000018626,837219.000000000116415,786643.499999999883585,883834.140000000013970,782037.180000000051223,833024.700000000069849,774339.699999999953434,10734549.769999997690320
20171220,806995.119999999995343,873221.879999999888241,859317.660000000032596,877757.030000000027940,778122.559999999939464,871387.920000000041910,799661.530000000027940,834310.800000000046566,783802.349999999860302,874891.440000000176951,780421.859999999986030,834470.100000000093132,774201.599999999976717,10748571.849999999627471
20171221,806913.199999999953434,864809.909999999916181,871261.739999999874271,872999.060000000055879,782108.879999999888241,874969.960000000079162,786211.130000000004657,847594.199999999953434,783619.049999999930151,891125.880000000004657,775691.280000000027940,836506.800000000162981,776204.049999999930151,10770025.140000000596046
20171222,808879.279999999911524,865015.080000000074506,877515.479999999981374,873452.199999999953434,787245.099999999976717,875202.560000000055879,785202.350000000093132,844607.400000000023283,783710.699999999953434,870764.040000000037253,775402.829999999958090,835981.200000000069849,778137.449999999953434,10761125.669999998062849
20171226,807486.639999999897555,865777.140000000013970,881402.939999999944121,871866.209999999962747,779962.399999999906868,885576.520000000135042,774778.289999999920838,841227.599999999976717,782702.549999999930151,875716.920000000041910,777652.739999999990687,835389.900000000139698,780208.949999999953434,10759758.799999998882413
20171227,812074.159999999916181,866539.199999999953434,887487.660000000032596,873678.770000000018626,779962.399999999906868,884785.680000000051223,775282.679999999934807,842799.599999999976717,785543.699999999837019,866086.320000000181608,777595.050000000046566,838280.700000000069849,787321.099999999976717,10777447.019999997690320
20171228,816743.599999999976717,868678.830000000074506,892558.259999999892898,874358.480000000097789,780729.000000000000000,882878.360000000102445,777132.109999999986030,847279.800000000046566,785635.349999999976717,866086.320000000181608,782729.460000000079162,841828.500000000116415,789599.750000000000000,10806247.820000000298023
20171229,813548.719999999972060,864458.190000000060536,887825.700000000069849,867787.949999999953434,777509.279999999911524,881715.360000000102445,776123.329999999958090,840598.800000000046566,783985.650000000023283,860583.119999999995343,782614.079999999958090,838215.000000000000000,787321.099999999976717,10762296.280000001192093
20180102,810517.679999999934807,870115.019999999902211,884783.339999999967404,880475.869999999995343,784945.299999999930151,874737.360000000102445,787724.300000000046566,848537.400000000023283,787743.299999999930151,873515.640000000130385,761499.540000000037253,842091.300000000046566,790704.550000000046566,10797400.600000001490116
20180103,815514.799999999930151,872928.780000000027940,886135.500000000000000,887499.540000000037253,797517.539999999920838,879296.319999999948777,760991.630000000004657,849402.000000000000000,791409.299999999930151,873378.060000000055879,763922.520000000018626,854442.900000000023283,798576.250000000000000,10831025.140000000596046
20180104,826164.399999999906868,869616.750000000000000,898304.939999999944121,883421.280000000027940,812772.879999999888241,886274.319999999948777,747036.839999999967404,857104.800000000046566,798374.699999999953434,872827.740000000107102,763922.520000000018626,857136.599999999976717,801545.400000000023283,10874513.169999999925494
20180105,828048.559999999939464,905287.019999999902211,912502.619999999995343,895656.060000000055879,823428.619999999878928,895531.800000000046566,752248.869999999995343,851602.800000000046566,808272.899999999906868,880257.060000000055879,762537.960000000079162,864495.000000000000000,820741.300000000046566,11000620.570000002160668
20180108,820430.000000000000000,909126.629999999888241,935433.000000000000000,904945.429999999934807,820515.539999999920838,893391.880000000004657,752248.869999999995343,852860.400000000023283,809097.749999999883585,888099.119999999995343,758441.969999999972060,872707.500000000000000,824055.700000000069849,11041363.789999999105930
20180109,823461.039999999920838,933395.310000000055879,937686.599999999976717,899281.179999999934807,822508.699999999953434,898323.000000000000000,733418.309999999939464,857183.400000000023283,808547.849999999976717,881770.440000000176951,764326.350000000093132,882234.000000000116415,822467.550000000046566,11064613.730000000447035
20180110,829195.439999999944121,938759.039999999920838,934531.560000000055879,904265.719999999855645,810089.779999999911524,892275.400000000139698,714587.750000000000000,866615.400000000023283,804881.849999999860302,883558.980000000097789,762249.510000000125729,886373.100000000093132,821569.900000000023283,11048963.429999999701977
20180111,825181.359999999986030,961796.699999999953434,953292.779999999911524,908570.550000000046566,821205.479999999981374,905673.160000000032596,729887.579999999958090,871252.800000000046566,807264.749999999883585,884522.040000000153668,763576.380000000004657,886964.400000000139698,827508.200000000069849,11146706.179999999701977
20180112,827147.439999999944121,985508.489999999874271,959490.180000000051223,926016.439999999944121,823275.299999999930151,913767.640000000013970,727029.369999999995343,885636.600000000093132,821195.549999999930151,889750.080000000074506,777364.290000000037253,897410.700000000186265,829234.450000000069849,11262836.529999997466803
20180116,821986.479999999981374,982430.940000000060536,953912.520000000018626,918539.630000000004657,818292.399999999906868,913255.920000000041910,725348.070000000065193,882492.599999999976717,809739.299999999930151,872552.580000000074506,781921.800000000046566,880263.000000000116415,831305.949999999953434,11192051.189999999478459
20180117,825427.119999999995343,1028887.289999999920838,949348.979999999981374,933493.250000000000000,827184.959999999962747,929584.440000000060536,746364.320000000065193,888151.799999999930151,826144.649999999906868,877918.200000000069849,789652.260000000125729,883219.500000000000000,842284.900000000023283,11347671.669999999925494
20180118,818054.319999999948777,997085.940000000060536,951208.200000000069849,935758.949999999953434,830021.379999999888241,922652.960000000079162,747877.489999999990687,890274.000000000116415,825778.049999999930151,882045.600000000093132,792421.380000000004657,884467.800000000162981,850087.550000000046566,11327743.620000002905726
20180119,803062.959999999962747,989963.609999999986030,960109.919999999925494,935532.380000000004657,829868.059999999939464,936608.960000000079162,753593.910000000032596,888309.000000000116415,824861.549999999930151,924695.400000000023283,795363.570000000065193,892943.100000000093132,847256.500000000000000,11382178.919999999925494
20180122,805438.639999999897555,990754.979999999981374,962814.239999999874271,943915.469999999855645,831707.899999999906868,951169.720000000088476,769230.000000000000000,898684.199999999953434,839617.199999999953434,913413.840000000083819,804017.070000000065193,888409.800000000162981,858511.650000000023283,11457694.710000000894070
20180123,802653.359999999986030,983691.269999999902211,954588.599999999976717,953884.550000000046566,831247.939999999944121,953216.600000000093132,774442.030000000027940,897741.000000000000000,842275.049999999930151,923732.340000000083819,843880.859999999986030,893797.200000000069849,860721.250000000000000,11515882.049999998882413
20180124,813466.799999999930151,981053.369999999995343,948447.540000000037253,955470.540000000037253,829868.059999999939464,959357.239999999990687,765194.880000000004657,909216.600000000093132,841541.849999999860302,935564.220000000088476,851726.700000000069849,891497.700000000186265,860030.750000000000000,11542446.250000000000000
20180125,816661.679999999934807,1005732.390000000013970,954250.560000000055879,949353.149999999906868,836844.119999999878928,955403.040000000037253,761664.149999999906868,909452.400000000023283,846215.999999999883585,931574.400000000023283,856630.350000000093132,905097.600000000093132,864657.099999999976717,11593546.939999999478459
