訓練日期,20181029 - 20190201
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10733684.509999999776483
真實報酬,733684.509999999776483

夏普值報酬,0.064668451000000
夏普值風險,0.025180504791576
夏普值,2.568195178582551

預期報酬,9886.298046015053842
風險,350610.624096333805937
趨勢值,0.028197371575651
找到最佳解世代,68
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](1),CSCO[4](12),DD[7](9),HD[9](11),MMM[16](8),MRK[17](3),NKE[19](4),PFE[20](15),PG[21](2),V[25](18),
Stock#,CAT[3](1),CSCO[4](12),DD[7](9),HD[9](11),MMM[16](8),MRK[17](3),NKE[19](4),PFE[20](15),PG[21](2),V[25](18),
張數,8691,22598,13504,5806,5406,14204,13875,23474,11381,7260,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,100.450000000069849,38.500000000000000,28.800000000046566,32.620000000111759,160.300000000046566,38.399999999906868,28.750000000116415,7.599999999976717,65.339999999967404,7.599999999976717,
20181029,990700.630000000121072,990734.820000000065193,1001350.400000000139698,1005631.820000000065193,1004541.040000000037253,1014914.199999999953434,1001665.000000000116415,1014788.619999999878928,1004324.779999999911524,975243.400000000023283,10003894.710000000894070
20181030,1020945.310000000055879,1007457.339999999967404,1012153.600000000093132,1023282.060000000172295,1026273.160000000032596,1035083.880000000004657,1033855.000000000232831,1006807.459999999962747,1015136.729999999981374,963845.199999999953434,10144839.739999998360872
20181031,1054492.569999999832362,1033897.000000000000000,1037000.960000000079162,1021191.900000000139698,1028705.859999999986030,1045594.839999999850988,1041208.750000000232831,1010798.040000000037253,1009332.420000000041910,1000798.599999999976717,10283020.939999999478459
20181101,1083868.149999999906868,1031637.199999999953434,1120590.720000000204891,1047783.380000000121072,1039301.619999999995343,1038634.880000000004657,1065490.000000000000000,1025117.180000000051223,1019689.130000000004657,1022433.400000000023283,10494545.660000002011657
20181102,1093341.340000000316650,1027795.539999999920838,1110192.639999999897555,1044706.200000000186265,1042491.160000000032596,1026561.479999999864958,1062576.250000000000000,1007746.419999999925494,1022192.949999999953434,1014810.400000000023283,10452414.380000000819564
20181105,1098729.760000000242144,1042710.219999999972060,1108302.079999999841675,1057827.760000000009313,1044869.800000000046566,1038634.880000000004657,1075757.500000000000000,1021596.080000000074506,1038012.540000000037253,1014955.600000000093132,10541396.220000000670552
20181106,1124107.479999999981374,1050845.500000000000000,1115864.320000000065193,1056782.680000000167638,1055952.100000000093132,1041333.639999999897555,1062437.500000000000000,1009624.339999999967404,1041540.650000000023283,1022142.999999999883585,10580631.210000000894070
20181107,1174254.549999999813735,1082482.699999999953434,1150569.600000000093132,1087090.000000000000000,1088334.040000000037253,1066474.719999999972060,1081862.500000000000000,1042253.199999999953434,1039036.830000000074506,1051110.399999999906868,10863468.539999999105930
