代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14516761.900000000372529
真實報酬,4516761.900000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18675.198618923008326
風險,189735.540273751743371
起點值,0.098427519651713
找到最佳解世代,1722
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](16),CAT[3](1),KO[14](5),MCD[15](15),PFE[20](8),UNH[23](3),VZ[26](2),XOM[29](11),
Stock#,AXP[1](16),CAT[3](1),KO[14](5),MCD[15](15),PFE[20](8),UNH[23](3),VZ[26](2),XOM[29](11),
張數,31895,21089,48732,18836,83388,43133,49135,21097,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,34.950000000186265,54.969999999972060,24.199999999953434,43.040000000037253,13.879999999888241,5.659999999916181,5.599999999860302,2.750000000000000,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1306773.100000000093132,1283531.510000000009313,1277289.919999999925494,1276558.760000000009313,1267511.479999999748543,1290113.689999999944121,1267197.249999999767169,1282067.440000000176951,10251043.149999998509884
FS( 3 ),1293058.250000000232831,1288803.760000000009313,1285574.359999999869615,1278065.639999999897555,1270013.119999999878928,1313836.839999999850988,1269653.999999999767169,1298734.070000000065193,10297740.039999999105930
FS( 4 ),1225121.900000000139698,1218155.609999999869615,1249512.679999999934807,1256404.239999999990687,1230820.759999999776483,1308660.879999999888241,1250000.000000000000000,1255907.159999999916181,9994583.230000000447035
FS( 5 ),1202795.400000000139698,1177453.839999999850988,1237817.000000000000000,1257346.040000000037253,1210807.639999999897555,1313836.839999999850988,1244103.799999999813735,1251054.849999999860302,9895215.409999998286366
FS( 6 ),1225759.800000000279397,1193903.260000000009313,1256335.159999999916181,1288048.719999999972060,1213309.280000000027940,1332384.030000000027940,1271619.399999999906868,1291983.030000000027940,10073342.679999999701977
FS( 7 ),1215553.400000000139698,1198121.060000000055879,1251461.959999999962747,1285788.400000000139698,1210807.639999999897555,1316856.149999999906868,1276041.549999999813735,1266455.659999999916181,10021085.820000000298023
FS( 8 ),1276791.800000000279397,1264340.520000000018626,1278264.560000000055879,1306696.360000000102445,1243328.959999999962747,1324188.759999999776483,1302083.099999999860302,1305696.080000000074506,10301390.140000000596046
FS( 9 ),1279981.300000000279397,1270245.439999999944121,1258771.759999999776483,1309898.480000000214204,1289192.359999999869615,1322894.770000000018626,1311910.099999999860302,1305063.169999999925494,10347957.379999998956919
FS( 10 ),1272326.500000000232831,1286483.969999999972060,1255360.520000000018626,1305377.840000000083819,1278351.919999999925494,1319444.129999999888241,1315349.549999999813735,1294725.639999999897555,10327420.070000000298023
FS( 11 ),1326548.000000000232831,1338362.909999999916181,1271442.079999999841675,1326097.440000000176951,1294195.639999999897555,1345323.929999999934807,1337460.299999999813735,1318776.219999999972060,10558206.520000001415610
FS( 12 ),1350469.250000000232831,1357975.679999999934807,1276802.599999999860302,1324025.480000000214204,1290860.119999999878928,1353950.530000000027940,1340408.399999999906868,1318776.219999999972060,10613268.280000001192093
FS( 13 ),1341538.650000000372529,1369785.520000000018626,1275827.959999999962747,1319504.840000000083819,1290026.239999999990687,1358695.159999999916181,1336477.599999999860302,1320674.949999999953434,10612530.919999999925494
FS( 14 ),1340581.800000000279397,1388765.619999999878928,1274853.320000000065193,1316302.719999999972060,1268345.359999999869615,1351362.549999999813735,1337951.649999999906868,1331223.449999999953434,10609386.469999998807907
FS( 15 ),1358761.950000000186265,1393405.199999999720603,1278751.879999999888241,1317056.160000000149012,1259172.679999999934807,1343598.609999999869615,1335003.550000000046566,1331856.360000000102445,10617606.389999998733401
FS( 16 ),1337711.250000000000000,1352070.760000000009313,1278264.560000000055879,1292946.080000000074506,1248332.239999999990687,1321600.780000000027940,1335003.550000000046566,1306750.929999999934807,10472680.150000000372529
FS( 17 ),1345047.100000000325963,1356710.339999999850988,1272904.040000000037253,1292757.719999999972060,1240827.320000000065193,1303053.589999999850988,1347287.300000000046566,1289029.449999999953434,10447616.859999999403954
