代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14251532.150000000372529
真實報酬,4251532.150000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16426.495535659116285
風險,166999.499282823293470
起點值,0.098362543637570
找到最佳解世代,4189
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
BA[2](7),DD[7](11),MCD[15](22),MMM[16](1),UNH[23](10),
Stock#,BA[2](7),DD[7](11),MCD[15](22),MMM[16](1),UNH[23](10),
張數,27019,47927,22972,22148,37112,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,53.620000000111759,6.290000000037253,57.679999999934807,35.600000000093132,34.320000000065193,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2000810.570000000065193,1999520.729999999981374,2003216.080000000074506,1996013.360000000102445,1987010.800000000046566,9986571.540000000968575
FS( 3 ),1995947.150000000139698,2012940.290000000037253,1997932.520000000018626,2010188.080000000307336,1998144.400000000139698,10015152.440000001341105
FS( 4 ),1998919.240000000223517,2023004.959999999962747,2023661.159999999916181,2014396.200000000186265,1991093.120000000111759,10051074.679999999701977
FS( 5 ),2016751.780000000027940,2068056.340000000083819,2032620.239999999990687,2026799.080000000307336,1999257.760000000009313,10143485.200000001117587
FS( 6 ),2040798.690000000176951,2089144.220000000204891,2053984.199999999953434,2034772.360000000102445,2011133.600000000093132,10229833.070000000298023
FS( 7 ),2048634.199999999953434,2119338.229999999981374,2058808.320000000065193,2074860.240000000223517,2032287.439999999944121,10333928.429999999701977
FS( 8 ),2039177.550000000046566,2126048.010000000242144,2051687.000000000000000,2062457.360000000102445,2050472.320000000065193,10329842.240000000223517
FS( 9 ),2008105.699999999953434,2117900.419999999925494,2048470.919999999925494,2048725.600000000093132,2018184.880000000121072,10241387.520000001415610
FS( 10 ),2000000.000000000000000,2144260.270000000018626,2041809.039999999804422,2043853.040000000037253,2005937.919999999925494,10235860.269999999552965
FS( 11 ),2017021.970000000204891,2171578.660000000149012,2065470.199999999953434,2060464.040000000037253,2017442.640000000130385,10331977.509999999776483
FS( 12 ),2040528.500000000000000,2238197.189999999944121,2079483.119999999878928,2078625.399999999906868,2039338.720000000204891,10476172.929999999701977
FS( 13 ),2040258.310000000288710,2213275.149999999906868,2060875.799999999813735,2060242.560000000055879,2022267.200000000186265,10396919.019999999552965
FS( 14 ),2058901.420000000158325,2217588.580000000074506,2068456.560000000055879,2084826.840000000083819,2058265.840000000083819,10488039.240000000223517
FS( 15 ),2058090.850000000093132,2183560.410000000149012,2071672.640000000130385,2062014.399999999906868,2042307.680000000167638,10417645.980000000447035
