代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14641240.269999999552965
真實報酬,4641240.269999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19222.356700578759046
風險,174081.377858571766410
起點值,0.110421671387479
找到最佳解世代,1734
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),PG[21](7),TRV[22](3),V[25](1),
Stock#,HD[9](2),PG[21](7),TRV[22](3),V[25](1),
張數,52126,40617,41267,89094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.040000000037253,23.649999999906868,45.140000000130385,22.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541700.799999999813735,2493907.449999999720603,2491746.600000000093132,2542765.120000000111759,10070119.969999998807907
FS( 3 ),2550040.959999999962747,2484565.540000000037253,2509078.740000000223517,2534746.660000000149012,10078431.900000000372529
FS( 4 ),2637612.640000000130385,2510154.250000000000000,2543743.020000000018626,2591766.820000000298023,10283276.730000000447035
FS( 5 ),2670973.280000000260770,2549146.569999999832362,2554885.109999999869615,2601567.160000000149012,10376572.119999999180436
FS( 6 ),2728833.140000000130385,2548740.399999999906868,2564376.520000000018626,2597112.460000000428408,10439062.520000001415610
FS( 7 ),2676707.140000000130385,2540210.830000000074506,2540441.660000000149012,2591766.820000000298023,10349126.450000001117587
FS( 8 ),2723099.280000000260770,2549146.569999999832362,2556123.120000000111759,2609585.620000000111759,10437954.589999999850988
FS( 9 ),2656899.259999999776483,2541429.339999999850988,2544155.689999999944121,2559692.980000000447035,10302177.269999999552965
FS( 10 ),2718929.199999999720603,2566205.709999999962747,2604818.180000000167638,2594439.640000000596046,10484392.730000000447035
FS( 11 ),2703812.659999999683350,2554020.609999999869615,2616785.609999999869615,2637204.760000000242144,10511823.639999998733401
FS( 12 ),2727269.359999999869615,2530056.580000000074506,2602754.830000000074506,2675515.180000000633299,10535595.949999999254942
