代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13167763.539999999105930
真實報酬,3167763.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14004.242703361735039
風險,322417.056702254107222
起點值,0.043435179412032
找到最佳解世代,3197
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
IBM[10](1),KO[14](3),MCD[15](16),UNH[23](2),
Stock#,IBM[10](1),KO[14](3),MCD[15](16),UNH[23](2),
張數,19877,87229,33539,76710,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,69.709999999962747,16.859999999869615,2.939999999944121,21.099999999627471,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485489.790000000037253,2502616.870000000111759,2516098.719999999739230,2520711.699999999720603,10024917.080000000074506
FS( 3 ),2535977.370000000111759,2510467.479999999981374,2518446.450000000186265,2601257.199999999254942,10166148.500000000000000
FS( 4 ),2503577.859999999869615,2513956.639999999664724,2542259.139999999664724,2591284.899999999906868,10151078.539999999105930
FS( 5 ),2506161.870000000111759,2522679.540000000037253,2551650.060000000055879,2596654.599999999627471,10177146.070000000298023
FS( 6 ),2511727.430000000167638,2542742.209999999962747,2494298.370000000111759,2609695.299999999813735,10158463.310000000521541
FS( 7 ),2544126.939999999944121,2552337.399999999906868,2515763.330000000074506,2645749.000000000000000,10257976.669999999925494
FS( 8 ),2576327.680000000167638,2531402.439999999944121,2501006.169999999925494,2663392.299999999348074,10272128.589999999850988
FS( 9 ),2561221.159999999683350,2512212.060000000055879,2479876.600000000093132,2654954.199999999720603,10208264.019999999552965
FS( 10 ),2572749.820000000298023,2504361.449999999720603,2505701.629999999888241,2628872.799999999813735,10211685.699999999254942
FS( 11 ),2577520.299999999813735,2508722.899999999906868,2508720.139999999664724,2626571.500000000000000,10221534.839999999850988
FS( 12 ),2587856.339999999850988,2510467.479999999981374,2492621.419999999925494,2618133.399999999906868,10209078.640000000596046
FS( 13 ),2619659.540000000037253,2528785.569999999832362,2519117.229999999981374,2679501.399999999441206,10347063.739999998360872
FS( 14 ),2623436.169999999925494,2534891.599999999627471,2532532.830000000074506,2704815.699999999254942,10395676.299999998882413
FS( 15 ),2635163.599999999627471,2540125.339999999850988,2519788.009999999776483,2737033.899999999441206,10432110.849999997764826
FS( 16 ),2617274.299999999813735,2524424.120000000111759,2503353.899999999906868,2718623.499999999534339,10363675.820000000298023
FS( 17 ),2665774.180000000167638,2556698.849999999627471,2518781.839999999850988,2740869.399999999441206,10482124.269999999552965
FS( 18 ),2676507.760000000242144,2555826.560000000055879,2507378.580000000074506,2711719.599999999627471,10451432.500000000000000
FS( 19 ),2681278.239999999757856,2577633.810000000055879,2503018.509999999776483,2687939.499999999534339,10449870.059999998658895
FS( 20 ),2693005.669999999925494,2562804.879999999888241,2496981.490000000223517,2700213.099999999627471,10453005.140000000596046
FS( 21 ),2666370.489999999757856,2552337.399999999906868,2498993.830000000074506,2693309.199999999720603,10411010.919999999925494
FS( 22 ),2696185.989999999757856,2578506.099999999627471,2512744.819999999832362,2717856.399999999441206,10505293.309999998658895
FS( 23 ),2688433.959999999962747,2568038.620000000111759,2513750.990000000223517,2649584.499999999534339,10419808.070000000298023
FS( 24 ),2736337.529999999795109,2602057.929999999701977,2542929.919999999925494,2690240.799999999813735,10571566.179999999701977
FS( 25 ),2733554.750000000000000,2606419.379999999888241,2528843.540000000037253,2611996.599999999627471,10480814.269999999552965
FS( 26 ),2757407.149999999906868,2592462.739999999757856,2544271.479999999981374,2634242.500000000000000,10528383.869999999180436
FS( 27 ),2759991.159999999683350,2591590.449999999720603,2552320.839999999850988,2635009.599999999627471,10538912.049999998882413
FS( 28 ),2776091.529999999795109,2597696.479999999981374,2535215.950000000186265,2658022.599999999627471,10567026.559999998658895
FS( 29 ),2779868.159999999683350,2599441.060000000055879,2534880.560000000055879,2686405.299999999813735,10600595.079999998211861
FS( 30 ),2790204.200000000186265,2614269.989999999757856,2540582.189999999944121,2709418.299999999813735,10654474.679999999701977
FS( 31 ),2812665.209999999962747,2613397.699999999720603,2583847.500000000000000,2744704.899999999906868,10754615.310000000521541
FS( 32 ),2803919.330000000074506,2614269.989999999757856,2598604.660000000149012,2760046.899999999441206,10776840.879999998956919
FS( 33 ),2839101.620000000111759,2616886.859999999869615,2593238.419999999925494,2780758.599999999627471,10829985.500000000000000
FS( 34 ),2743692.020000000018626,2631715.790000000037253,2582170.549999999813735,2707884.099999999627471,10665462.460000000894070
FS( 35 ),2764364.099999999627471,2667479.679999999701977,2596256.929999999701977,2817579.399999999441206,10845680.109999999403954
FS( 36 ),2779470.620000000111759,2681436.319999999832362,2630802.100000000093132,2799169.000000000000000,10890878.039999999105930
FS( 37 ),2776290.299999999813735,2687542.349999999627471,2634491.389999999664724,2858235.699999999254942,10956559.739999998360872
FS( 38 ),2779669.390000000130385,2661373.649999999906868,2639522.240000000223517,2881248.699999999720603,10961813.980000000447035
FS( 39 ),2796167.299999999813735,2670968.839999999850988,2641534.580000000074506,2882015.799999999813735,10990686.519999999552965
FS( 40 ),2811273.820000000298023,2669224.259999999776483,2598604.660000000149012,2756211.399999999441206,10835314.140000000596046
FS( 41 ),2800739.010000000242144,2670096.549999999813735,2598604.660000000149012,2780758.599999999627471,10850198.820000000298023
FS( 42 ),2854406.909999999683350,2674458.000000000000000,2608330.969999999739230,2765416.599999999627471,10902612.480000000447035
FS( 43 ),2848841.349999999627471,2691903.799999999813735,2612020.259999999776483,2770019.199999999720603,10922784.609999999403954
FS( 44 ),2859177.390000000130385,2698009.830000000074506,2629460.540000000037253,2838291.099999999627471,11024938.859999999403954
FS( 45 ),2865736.799999999813735,2702371.279999999795109,2632814.439999999944121,2812209.699999999254942,11013132.219999998807907
FS( 46 ),2917814.540000000037253,2724178.529999999795109,2655620.959999999962747,2822949.099999999627471,11120563.129999998956919
FS( 47 ),2920398.549999999813735,2729412.270000000018626,2659645.639999999664724,2827551.699999999720603,11137008.160000000149012
FS( 48 ),2911255.129999999888241,2724178.529999999795109,2659981.029999999795109,2847496.299999999348074,11142910.989999998360872
FS( 49 ),2904894.489999999757856,2732029.139999999664724,2652937.839999999850988,2836756.899999999441206,11126618.369999997317791
FS( 50 ),2913044.060000000055879,2728539.979999999981374,2666353.439999999944121,2850564.699999999254942,11158502.179999999701977
FS( 51 ),2890781.820000000298023,2739007.459999999962747,2673061.240000000223517,2874344.799999999348074,11177195.320000000298023
FS( 52 ),2857189.689999999944121,2744241.199999999720603,2644553.089999999850988,2812976.799999999813735,11058960.779999999329448
FS( 53 ),2855201.989999999757856,2745985.779999999795109,2651931.669999999925494,2720924.799999999348074,10974044.239999998360872
FS( 54 ),2827374.189999999944121,2707605.020000000018626,2596592.319999999832362,2685638.199999999254942,10817209.729999998584390
FS( 55 ),2821609.859999999869615,2726795.399999999906868,2628454.370000000111759,2710185.399999999441206,10887045.029999999329448
FS( 56 ),2869513.430000000167638,2784366.540000000037253,2650254.719999999739230,2733198.399999999906868,11037333.089999999850988
FS( 57 ),2883228.560000000055879,2805301.499999999534339,2671048.899999999906868,2761581.099999999627471,11121160.059999998658895
FS( 58 ),2889986.739999999757856,2803556.919999999925494,2667024.219999999739230,2796867.699999999720603,11157435.580000000074506
FS( 59 ),2846058.570000000298023,2774771.349999999627471,2649919.330000000074506,2765416.599999999627471,11036165.849999999627471
FS( 60 ),2898335.080000000074506,2818385.850000000093132,2665682.660000000149012,2775388.899999999441206,11157792.489999998360872
FS( 61 ),2860370.010000000242144,2796578.600000000093132,2634156.000000000000000,2752375.899999999906868,11043480.509999999776483
FS( 62 ),2840294.239999999757856,2765176.159999999683350,2624765.080000000074506,2806840.000000000000000,11037075.480000000447035
FS( 63 ),2811870.129999999888241,2755580.969999999739230,2626106.639999999664724,2801470.299999999813735,10995028.039999999105930
FS( 64 ),2870507.279999999795109,2821875.009999999776483,2659310.250000000000000,2889686.799999999813735,11241379.339999999850988
FS( 65 ),2885812.570000000298023,2830597.910000000149012,2662328.759999999776483,2918836.599999999627471,11297575.839999999850988
FS( 66 ),2889787.969999999739230,2813152.109999999869615,2675073.580000000074506,2901193.299999999813735,11279206.960000000894070
FS( 67 ),2882035.939999999944121,2791344.859999999869615,2669036.560000000055879,2860536.999999999534339,11202954.359999999403954
FS( 68 ),2862755.250000000000000,2797450.889999999664724,2694526.200000000186265,2820647.799999999813735,11175380.140000000596046
FS( 69 ),2881837.169999999925494,2808790.660000000149012,2640863.799999999813735,2826017.500000000000000,11157509.129999998956919
FS( 70 ),2868320.810000000055879,2827981.040000000037253,2602964.729999999981374,2811442.599999999627471,11110709.179999999701977
FS( 71 ),2878656.849999999627471,2820130.429999999701977,2601287.779999999795109,2812976.799999999813735,11113051.859999999403954
FS( 72 ),2867923.270000000018626,2827981.040000000037253,2586195.229999999981374,2830620.099999999627471,11112719.640000000596046
FS( 73 ),2898533.849999999627471,2786983.409999999683350,2586195.229999999981374,2799936.099999999627471,11071648.589999999850988
FS( 74 ),2876669.149999999906868,2823619.589999999850988,2581835.160000000149012,2719390.599999999627471,11001514.500000000000000
FS( 75 ),2873290.060000000055879,2849788.290000000037253,2572779.629999999888241,2731664.199999999720603,11027522.179999999701977
FS( 76 ),2882234.709999999962747,2865489.509999999776483,2576133.529999999795109,2688706.599999999627471,11012564.349999999627471
FS( 77 ),2872494.979999999981374,2848915.999999999534339,2579822.819999999832362,2698678.899999999441206,10999912.699999999254942
FS( 78 ),2896943.689999999944121,2855894.319999999832362,2577810.479999999981374,2710185.399999999441206,11040833.890000000596046
FS( 79 ),2901117.859999999869615,2861128.059999999590218,2582841.330000000074506,2749307.500000000000000,11094394.750000000000000
FS( 80 ),2899925.239999999757856,2860255.770000000018626,2581164.379999999888241,2743937.799999999813735,11085283.189999999478459
FS( 81 ),2888992.890000000130385,2837576.229999999981374,2563388.709999999962747,2726294.499999999534339,11016252.330000000074506
FS( 82 ),2896347.379999999888241,2850660.580000000074506,2563388.709999999962747,2740102.299999999348074,11050498.969999998807907
FS( 83 ),2912447.750000000000000,2855022.029999999795109,2582170.549999999813735,2754677.199999999254942,11104317.529999997466803
FS( 84 ),2915429.299999999813735,2856766.609999999869615,2574456.580000000074506,2756978.499999999534339,11103630.990000000223517
FS( 85 ),2917218.229999999981374,2868978.669999999925494,2574456.580000000074506,2770019.199999999720603,11130672.679999999701977
FS( 86 ),2931529.669999999925494,2844554.549999999813735,2569090.339999999850988,2848263.399999999906868,11193437.959999999031425
FS( 87 ),2934709.989999999757856,2786111.120000000111759,2492286.029999999795109,2874344.799999999348074,11087451.939999997615814
FS( 88 ),2922982.560000000055879,2769537.609999999869615,2504024.679999999701977,2883550.000000000000000,11080094.849999999627471
FS( 89 ),2954984.529999999795109,2749474.939999999944121,2488932.129999999888241,2943383.799999999348074,11136775.399999998509884
FS( 90 ),2940474.320000000298023,2744241.199999999720603,2494298.370000000111759,2949520.599999999627471,11128534.489999998360872
FS( 91 ),2934709.989999999757856,2750347.229999999981374,2467131.779999999795109,2949520.599999999627471,11101709.599999999627471
FS( 92 ),2927554.270000000018626,2734646.009999999776483,2478535.040000000037253,2997847.899999999441206,11138583.219999998807907
FS( 93 ),2963730.409999999683350,2749474.939999999944121,2468473.339999999850988,2980971.699999999720603,11162650.389999998733401
FS( 94 ),2958164.849999999627471,2765176.159999999683350,2437282.069999999832362,3037737.099999999627471,11198360.179999999701977
FS( 95 ),2981619.709999999962747,2753836.389999999664724,2483901.279999999795109,3127487.799999999813735,11346845.179999999701977
FS( 96 ),2994539.760000000242144,2768665.319999999832362,2504695.459999999962747,3135925.899999999906868,11403826.439999999478459
FS( 97 ),3094719.839999999850988,2766048.449999999720603,2527166.589999999850988,3111378.699999999720603,11499313.579999998211861
FS( 98 ),3096906.310000000055879,2745113.489999999757856,2520794.179999999701977,3092201.199999999720603,11455015.179999999701977
FS( 99 ),3090943.209999999962747,2738135.169999999925494,2515763.330000000074506,3099872.199999999254942,11444713.910000000149012
FS( 100 ),3173035.219999999739230,2759070.129999999888241,2528172.759999999776483,3053846.199999999720603,11514124.309999998658895
FS( 101 ),3209012.589999999850988,2745985.779999999795109,2531526.660000000149012,3115981.299999999348074,11602506.329999998211861
FS( 102 ),3201061.790000000037253,2745985.779999999795109,2521129.569999999832362,3087598.599999999627471,11555775.740000000223517
FS( 103 ),3201658.099999999627471,2734646.009999999776483,2493627.589999999850988,3244086.999999999534339,11674018.699999999254942
FS( 104 ),3164686.879999999888241,2713711.049999999813735,2457740.859999999869615,3139761.399999999441206,11475900.189999997615814
FS( 105 ),3220143.709999999962747,2741624.330000000074506,2470821.069999999832362,3148966.599999999627471,11581555.709999999031425
FS( 106 ),3251151.830000000074506,2750347.229999999981374,2464113.270000000018626,3227210.799999999813735,11692823.129999998956919
FS( 107 ),3245983.810000000055879,2741624.330000000074506,2469814.899999999906868,3218005.599999999627471,11675428.640000000596046
FS( 108 ),3250555.520000000018626,2729412.270000000018626,2476187.310000000055879,3301619.499999999534339,11757774.599999999627471
FS( 109 ),3259897.709999999962747,2728539.979999999981374,2483565.889999999664724,3259429.000000000000000,11731432.579999998211861
FS( 110 ),3276196.849999999627471,2726795.399999999906868,2463442.490000000223517,3207266.199999999720603,11673700.939999999478459
FS( 111 ),3300645.560000000055879,2742496.620000000111759,2527501.979999999981374,3219539.799999999348074,11790183.959999999031425
FS( 112 ),3272817.760000000242144,2754708.679999999701977,2546619.209999999962747,3227210.799999999813735,11801356.449999999254942
FS( 113 ),3261686.640000000130385,2771282.189999999944121,2540917.580000000074506,3254826.399999999441206,11828712.809999998658895
FS( 114 ),3256916.159999999683350,2773026.770000000018626,2553662.399999999906868,3250990.899999999906868,11834596.230000000447035
FS( 115 ),3244393.649999999906868,2753836.389999999664724,2557016.299999999813735,3257127.699999999720603,11812374.039999999105930
FS( 116 ),3236840.390000000130385,2756453.259999999776483,2553997.790000000037253,3224142.399999999906868,11771433.840000001713634
FS( 117 ),3247971.510000000242144,2765176.159999999683350,2549637.719999999739230,3260196.099999999627471,11822981.490000000223517
FS( 118 ),3264668.189999999944121,2815768.979999999981374,2548296.160000000149012,3267100.000000000000000,11895833.330000000074506
FS( 119 ),3276594.390000000130385,2815768.979999999981374,2553327.009999999776483,3286277.500000000000000,11931967.879999998956919
FS( 120 ),3219149.859999999869615,2780877.379999999888241,2538905.240000000223517,3295482.699999999720603,11834415.179999999701977
FS( 121 ),3183967.570000000298023,2787855.699999999720603,2521800.350000000093132,3291647.199999999254942,11785270.819999998435378
