代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13183619.640000000596046
真實報酬,3183619.640000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12696.382583601021906
風險,169631.239525691809831
起點值,0.074846959906097
找到最佳解世代,1850
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](9),TRV[22](5),V[25](2),WMT[28](10),
Stock#,HD[9](1),KO[14](9),TRV[22](5),V[25](2),WMT[28](10),
張數,44974,58962,33743,78033,32164,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,6.219999999972060,8.959999999962747,52.389999999897555,14.209999999962747,42.479999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1999550.260000000009313,2000000.000000000000000,2004049.159999999916181,2069449.369999999878928,1992280.639999999897555,10065329.429999999701977
FS( 3 ),2031481.800000000046566,2007075.439999999944121,2028681.549999999813735,2088177.290000000037253,1995175.399999999906868,10150591.480000000447035
FS( 4 ),2032831.020000000018626,2005896.200000000186265,2002024.579999999841675,2094419.929999999934807,1990350.800000000046566,10125522.529999999329448
FS( 5 ),2044524.260000000009313,2021226.320000000065193,2015859.209999999962747,2087396.959999999962747,1984239.639999999897555,10153246.390000000596046
FS( 6 ),2031481.800000000046566,2014740.500000000000000,2019570.939999999944121,2113928.180000000167638,1981988.159999999916181,10161709.580000000074506
FS( 7 ),2035979.200000000186265,2004127.340000000083819,2020920.659999999916181,2193521.839999999850988,1992923.919999999925494,10247472.960000000894070
FS( 8 ),2038677.639999999897555,2002948.099999999860302,2003711.729999999981374,2222394.049999999813735,1990994.079999999841675,10258725.599999999627471
FS( 9 ),2065662.040000000037253,2017688.599999999860302,1990551.959999999962747,2198984.149999999906868,1987456.040000000037253,10260342.789999999105930
FS( 10 ),2071508.660000000149012,2031249.860000000102445,1996288.269999999785796,2248144.939999999944121,2001286.560000000055879,10348478.290000000968575
FS( 11 ),2055767.760000000009313,2016509.360000000102445,2000674.859999999869615,2245803.950000000186265,1986491.119999999878928,10305247.050000000745058
FS( 12 ),2065662.040000000037253,2030070.619999999878928,2005736.309999999823049,2220053.060000000055879,1995497.040000000037253,10317019.070000000298023
FS( 13 ),2100741.759999999776483,2035966.820000000065193,2019570.939999999944121,2243462.959999999962747,2009649.199999999953434,10409391.679999999701977
FS( 14 ),2110186.299999999813735,2028891.379999999655411,2000000.000000000000000,2227856.359999999869615,1932133.959999999962747,10299068.000000000000000
FS( 15 ),2094445.399999999906868,2041863.020000000018626,1988864.809999999823049,2269994.180000000167638,1884852.880000000121072,10280020.290000000968575
FS( 16 ),2111535.520000000484288,2039504.540000000270084,1989539.669999999925494,2272335.169999999925494,1882923.040000000037253,10295837.940000001341105
FS( 17 ),2112884.740000000223517,2034197.959999999962747,1977392.189999999944121,2293404.080000000074506,1890964.040000000037253,10308843.010000001639128
FS( 18 ),2110636.040000000037253,2029481.000000000000000,1977392.189999999944121,2280138.469999999739230,1880349.919999999925494,10277997.619999999180436
FS( 19 ),2124128.240000000223517,2029481.000000000000000,1970643.589999999850988,2320715.629999999888241,1895467.000000000000000,10340435.460000000894070
FS( 20 ),2139419.400000000372529,2059551.619999999878928,1956134.099999999860302,2269994.180000000167638,1900291.599999999860302,10325390.900000000372529
FS( 21 ),2134472.259999999776483,2051886.559999999823049,1971318.449999999953434,2286381.109999999869615,1891928.959999999962747,10335987.339999999850988
FS( 22 ),2132223.559999999590218,2039504.540000000270084,1957483.819999999832362,2266092.529999999795109,1898040.119999999878928,10293344.569999998435378
FS( 23 ),2131324.080000000074506,2041273.399999999906868,1974017.889999999897555,2267653.189999999944121,1910584.079999999841675,10324852.640000000596046
FS( 24 ),2086350.080000000074506,2027122.520000000018626,1923065.959999999962747,2240341.640000000130385,1896753.560000000055879,10173633.760000001639128
FS( 25 ),2131324.080000000074506,2028301.759999999776483,1919016.799999999813735,2255948.239999999757856,1925379.520000000018626,10259970.399999998509884
FS( 26 ),2150662.900000000372529,2042452.639999999897555,1926777.689999999944121,2301207.379999999888241,1922484.760000000009313,10343585.369999999180436
FS( 27 ),2163255.620000000111759,2049528.079999999841675,1943986.619999999878928,2285600.779999999795109,1932455.599999999860302,10374826.699999999254942
FS( 28 ),2185292.879999999888241,2068395.919999999925494,1943986.619999999878928,2273115.500000000000000,1951754.000000000000000,10422544.919999999925494
FS( 29 ),2210028.580000000074506,2071344.020000000018626,1970981.019999999785796,2287941.770000000018626,1962046.479999999981374,10502341.869999999180436
FS( 30 ),2224870.000000000000000,2070164.780000000027940,1989202.239999999990687,2277797.479999999981374,1964619.599999999860302,10526654.099999999627471
FS( 31 ),2212727.020000000484288,2073702.500000000000000,1993588.829999999841675,2282479.459999999962747,1969444.199999999953434,10531942.009999999776483
FS( 32 ),2205980.919999999925494,2068395.919999999925494,1997637.989999999990687,2276236.820000000298023,1956900.239999999990687,10505151.890000000596046
FS( 33 ),2196086.639999999664724,2075471.360000000102445,1994938.549999999813735,2318374.640000000130385,1953683.840000000083819,10538555.029999999329448
FS( 34 ),2220822.339999999850988,2081367.559999999823049,1996288.269999999785796,2273115.500000000000000,1949180.880000000121072,10520774.549999998882413
FS( 35 ),2239261.679999999701977,2096697.680000000167638,1974355.319999999832362,2277797.479999999981374,1947894.320000000065193,10536006.480000000447035
FS( 36 ),2234314.540000000037253,2105541.979999999981374,1956134.099999999860302,2287941.770000000018626,1950789.079999999841675,10534721.469999998807907
FS( 37 ),2228018.179999999701977,2107310.839999999850988,1963894.989999999990687,2317594.310000000055879,1954005.479999999981374,10570823.800000000745058
FS( 38 ),2254552.839999999850988,2119692.860000000335276,1985827.939999999944121,2342564.870000000111759,1968479.280000000027940,10671117.790000000968575
FS( 39 ),2250505.179999999701977,2119103.239999999757856,1973343.029999999795109,2337102.560000000055879,1964941.239999999990687,10644995.250000000000000
FS( 40 ),2244658.559999999590218,2142098.419999999925494,1983128.500000000000000,2328518.930000000167638,1968157.639999999897555,10666562.050000000745058
FS( 41 ),2244658.559999999590218,2176296.379999999888241,1979079.339999999850988,2321495.959999999962747,1956256.959999999962747,10677787.199999999254942
FS( 42 ),2262648.160000000149012,2182192.580000000074506,1997637.989999999990687,2301987.709999999962747,1968479.280000000027940,10712945.720000000670552
FS( 43 ),2248256.480000000447035,2185730.299999999813735,2002024.579999999841675,2321495.959999999962747,1973625.520000000018626,10731132.839999999850988
FS( 44 ),2248706.219999999739230,2174527.520000000018626,2000337.429999999934807,2348027.180000000167638,1950789.079999999841675,10722387.429999999701977
FS( 45 ),2241960.120000000111759,2165683.219999999739230,1998312.849999999860302,2321495.959999999962747,1938245.119999999878928,10665697.269999997690320
FS( 46 ),2276590.099999999627471,2166272.839999999850988,1986840.229999999981374,2360512.459999999962747,1951432.360000000102445,10741647.989999998360872
FS( 47 ),2274791.139999999664724,2148584.239999999757856,1958833.539999999804422,2331640.250000000000000,1934063.800000000046566,10647912.969999998807907
FS( 48 ),2219922.860000000335276,2123230.580000000074506,1948710.639999999897555,2277797.479999999981374,1927631.000000000000000,10497292.560000000521541
FS( 49 ),2237462.719999999739230,2126178.680000000167638,1962882.699999999953434,2290282.760000000242144,1923449.679999999934807,10540256.540000000968575
FS( 50 ),2277039.839999999850988,2129126.779999999795109,1994263.689999999944121,2361292.790000000037253,1934385.439999999944121,10696108.539999997243285
FS( 51 ),2291881.259999999776483,2120872.100000000093132,1961195.549999999813735,2402650.279999999795109,1922484.760000000009313,10699083.949999999254942
FS( 52 ),2324712.280000000260770,2135612.600000000093132,1996288.269999999785796,2357391.140000000130385,1948537.599999999860302,10762541.890000000596046
FS( 53 ),2340003.440000000409782,2180423.719999999739230,2024294.959999999962747,2381581.370000000111759,1990029.159999999916181,10916332.650000000372529
FS( 54 ),2330109.160000000149012,2186909.540000000037253,2006748.599999999860302,2376119.060000000055879,1996140.320000000065193,10896026.679999999701977
FS( 55 ),2318865.660000000149012,2176296.379999999888241,2081995.489999999990687,2364414.109999999869615,1986169.479999999981374,10927741.120000001043081
FS( 56 ),2314368.259999999776483,2185730.299999999813735,2117425.639999999664724,2360512.459999999962747,2008684.280000000027940,10986720.939999999478459
FS( 57 ),2298177.620000000111759,2172758.660000000149012,2122824.519999999552965,2304328.700000000186265,1915087.040000000037253,10813176.539999999105930
FS( 58 ),2304024.240000000223517,2185140.680000000167638,2138346.299999999813735,2319935.299999999813735,1858156.760000000009313,10805603.279999999329448
FS( 59 ),2334606.559999999590218,2209315.100000000093132,2152180.929999999701977,2376119.060000000055879,1844969.520000000018626,10917191.169999999925494
