代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13098942.320000000298023
真實報酬,3098942.320000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10797.280391117532417
風險,229498.857333624735475
起點值,0.047047207626927
找到最佳解世代,1877
找到最佳解實驗#,2
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
CAT[3](11),DIS[6](1),INTC[11](2),MRK[17](4),NKE[19](22),UNH[23](6),
Stock#,CAT[3](11),DIS[6](1),INTC[11](2),MRK[17](4),NKE[19](22),UNH[23](6),
張數,19782,23503,70323,33213,42140,22473,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.500000000000000,68.270000000018626,10.900000000139698,37.659999999916181,29.000000000232831,68.320000000065193,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1659148.840000000083819,1642927.970000000204891,1656117.550000000279397,1652716.539999999804422,1667508.800000000279397,1657002.610000000102445,9935426.310000000521541
FS( 3 ),1661127.040000000037253,1644573.179999999934807,1669478.919999999925494,1637770.689999999944121,1660766.400000000139698,1655204.770000000251457,9928925.000000000000000
FS( 4 ),1669831.119999999878928,1650683.960000000195578,1706046.880000000353903,1621164.189999999944121,1663716.200000000186265,1634979.070000000065193,9946425.419999999925494
FS( 5 ),1691393.500000000000000,1679592.649999999906868,1745427.760000000242144,1640427.729999999981374,1682679.200000000186265,1651833.820000000065193,10091358.660000000149012
FS( 6 ),1703064.880000000121072,1671366.600000000093132,1753163.290000000037253,1646073.939999999944121,1680993.600000000325963,1656777.880000000121072,10111444.190000001341105
FS( 7 ),1709592.939999999944121,1682177.979999999748543,1745427.760000000242144,1641756.250000000000000,1669194.400000000139698,1664193.969999999972060,10112347.300000000745058
FS( 8 ),1687041.459999999962747,1657499.829999999841675,1717298.560000000288710,1625814.010000000009313,1619047.800000000279397,1621270.540000000037253,9927976.199999999254942
FS( 9 ),1692778.239999999757856,1636582.159999999916181,1720814.709999999962747,1604889.819999999832362,1606405.800000000046566,1595876.050000000279397,9857350.779999999329448
FS( 10 ),1702273.599999999860302,1636347.130000000121072,1708156.570000000065193,1606882.600000000093132,1609777.000000000465661,1583965.360000000102445,9847406.259999999776483
