代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13989957.419999998062849
真實報酬,3989957.419999998062849

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15532.162425669850563
風險,156727.804210316477111
起點值,0.099102788454989
找到最佳解世代,1717
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](11),CAT[3](4),DIS[6](1),DD[7](2),MRK[17](5),MSFT[18](3),
FS( 44 ),1773873.730000000214204,1688480.920000000158325,1887678.239999999990687,1733868.550000000046566,1596766.059999999823049,1857484.350000000093132,10538155.849999999627471
FS( 45 ),1796795.650000000139698,1694540.620000000111759,1882207.640000000130385,1709488.089999999850988,1614064.529999999795109,1878918.739999999757856,10576019.269999999552965
FS( 46 ),1792259.020000000251457,1697772.459999999962747,1883301.759999999776483,1723553.739999999990687,1601355.449999999953434,1915514.040000000037253,10613760.469999998807907
FS( 47 ),1776977.740000000223517,1701206.290000000037253,1887404.709999999962747,1747621.629999999888241,1622537.250000000000000,1996023.699999999953434,10731775.320000000298023
FS( 48 ),1748086.570000000065193,1689692.860000000102445,1836801.660000000149012,1721365.750000000000000,1617594.829999999841675,1960473.979999999981374,10574019.650000000372529
FS( 49 ),1775783.890000000363216,1701610.270000000018626,1875916.449999999953434,1765750.690000000176951,1652191.769999999785796,1975112.100000000093132,10746369.169999999925494
FS( 50 ),1770530.950000000186265,1699792.360000000102445,1869351.729999999981374,1765438.119999999878928,1659252.369999999878928,1965179.090000000083819,10729548.620000001043081
FS( 51 ),1773873.730000000214204,1693732.659999999916181,1853760.519999999785796,1751059.900000000139698,1680081.139999999897555,1953154.919999999925494,10705666.870000001043081
FS( 52 ),1776022.659999999916181,1700802.310000000055879,1886584.119999999878928,1762624.989999999990687,1671255.389999999897555,1994978.119999999878928,10792271.589999999850988
FS( 53 ),1801571.050000000279397,1691914.750000000000000,1915304.769999999785796,1785130.030000000027940,1688200.829999999841675,1987659.060000000055879,10869784.490000000223517
FS( 54 ),1790826.400000000139698,1691510.770000000018626,1914757.709999999962747,1790756.290000000037253,1697026.579999999841675,1978248.840000000083819,10863130.589999999850988
FS( 55 ),1769098.330000000307336,1697570.470000000204891,1901081.209999999962747,1774815.219999999972060,1694908.399999999906868,1944790.280000000027940,10782267.910000000149012
FS( 56 ),1772202.340000000083819,1690096.840000000083819,1890687.070000000065193,1767313.540000000037253,1697026.579999999841675,1920741.940000000176951,10738072.309999998658895
FS( 57 ),1756682.290000000037253,1670099.830000000074506,1893695.900000000139698,1747621.629999999888241,1699144.760000000009313,1938516.799999999813735,10705765.210000000894070
FS( 58 ),1777694.050000000279397,1658788.390000000130385,1913116.529999999795109,1764187.839999999850988,1716443.229999999748543,1955246.079999999841675,10785480.120000001043081
FS( 59 ),1773157.420000000158325,1674139.629999999888241,1920228.310000000055879,1765438.119999999878928,1727740.189999999711290,1964133.510000000009313,10824841.179999999701977
FS( 60 ),1786528.540000000037253,1704842.110000000102445,1907645.929999999934807,1736369.109999999869615,1753158.349999999860302,1967793.040000000037253,10856341.079999998211861
FS( 61 ),1819478.800000000279397,1704034.149999999906868,1947034.250000000232831,1726679.440000000176951,1750334.109999999869615,1952632.130000000121072,10900196.880000000819564
FS( 62 ),1862218.630000000121072,1710295.840000000083819,1935819.519999999785796,1740432.520000000018626,1759159.859999999869615,1965701.880000000121072,10973632.250000000000000
FS( 63 ),1896840.280000000027940,1708881.909999999916181,1929528.330000000074506,1738869.670000000158325,1759159.859999999869615,1993409.750000000000000,11026693.799999998882413
FS( 64 ),1880365.150000000139698,1701812.260000000009313,1939648.939999999944121,1779816.339999999850988,1771515.909999999916181,2010139.030000000027940,11083301.629999998956919
FS( 65 ),1931700.700000000186265,1694136.640000000130385,1912022.410000000149012,1723553.739999999990687,1756688.649999999906868,2002819.970000000204891,11020926.110000001266599
FS( 66 ),1927164.070000000065193,1696156.540000000037253,1913937.119999999878928,1731055.420000000158325,1740802.300000000046566,2035755.739999999757856,11044875.190000001341105
FS( 67 ),1937192.409999999916181,1705044.099999999860302,1921048.900000000139698,1718552.619999999878928,1723150.800000000046566,1986613.479999999981374,10991606.310000000521541
FS( 68 ),1910211.400000000139698,1727061.010000000009313,1954693.089999999850988,1747934.199999999953434,1743626.539999999804422,2005433.919999999925494,11088964.160000000149012
FS( 69 ),1932178.240000000223517,1738978.420000000158325,1945119.540000000037253,1816074.459999999962747,1749628.050000000046566,2023731.570000000065193,11205714.280000001192093
FS( 70 ),1929074.230000000214204,1745644.090000000083819,1957701.919999999692664,1859834.260000000009313,1745038.659999999916181,1992364.169999999925494,11229661.330000000074506
FS( 71 ),1914748.030000000027940,1722617.229999999981374,1928981.269999999785796,1827326.979999999981374,1728093.219999999972060,1966224.669999999925494,11087995.400000000372529
FS( 72 ),1912121.560000000055879,1728474.939999999944121,1904637.099999999860302,1814511.609999999869615,1705852.329999999841675,1945835.859999999869615,11011437.399999998509884
FS( 73 ),1891109.800000000279397,1738170.459999999962747,1904363.570000000065193,1848269.170000000158325,1707970.510000000009313,1918127.989999999757856,11008015.500000000000000
FS( 74 ),1901615.680000000167638,1765035.129999999888241,1928707.739999999990687,1851707.440000000176951,1697732.639999999897555,1928061.000000000000000,11072863.630000000819564
FS( 75 ),1893019.960000000195578,1755743.590000000083819,1932810.689999999944121,1878588.459999999962747,1691025.069999999832362,1909240.560000000055879,11060432.330000000074506
FS( 76 ),1878693.760000000242144,1780992.340000000083819,1974934.310000000055879,1936726.479999999981374,1726328.069999999832362,1912377.299999999813735,11210056.260000001639128
FS( 77 ),1857204.460000000195578,1768266.970000000204891,1995996.119999999878928,1954230.400000000139698,1722444.739999999757856,1895125.229999999981374,11193271.920000001788139
FS( 78 ),1872724.510000000242144,1796343.580000000074506,1980404.910000000149012,1948916.709999999962747,1741155.329999999841675,1923878.679999999934807,11263427.719999998807907
FS( 79 ),1944594.280000000027940,1817148.549999999813735,2004475.550000000046566,1953292.690000000176951,1742567.449999999953434,1914468.459999999962747,11376550.980000000447035
FS( 80 ),1936476.100000000093132,1836337.599999999860302,2020066.759999999776483,1977360.579999999841675,1744332.599999999860302,1938516.799999999813735,11453094.440000001341105
FS( 81 ),1923582.520000000251457,1841185.360000000102445,2041128.570000000065193,1996739.920000000158325,1755276.529999999795109,1957337.239999999757856,11515254.140000000596046
FS( 82 ),1910450.170000000158325,1835529.640000000130385,2033743.259999999776483,1985174.829999999841675,1757747.739999999757856,1949495.389999999897555,11472145.030000001192093
FS( 83 ),1891587.340000000083819,1835529.640000000130385,2085166.900000000139698,1985174.829999999841675,1763043.189999999711290,1949495.389999999897555,11510001.290000000968575
FS( 84 ),1913792.950000000186265,1834317.699999999953434,2089816.910000000149012,1976422.869999999878928,1766926.519999999785796,1955768.869999999878928,11537049.820000000298023
FS( 85 ),1886811.939999999944121,1815330.640000000130385,2086261.019999999785796,1952667.550000000046566,1747156.839999999850988,1942699.119999999878928,11430931.109999997541308
FS( 86 ),1845265.960000000195578,1814320.689999999944121,2081884.540000000037253,1943915.589999999850988,1755629.559999999823049,1929629.369999999878928,11370649.709999999031425
FS( 87 ),1855294.300000000279397,1790485.870000000111759,2073952.169999999692664,1940477.320000000065193,1755982.589999999850988,1888851.750000000000000,11305048.000000000000000
FS( 88 ),1842161.950000000186265,1796343.580000000074506,2088175.729999999981374,1918909.989999999990687,1769044.699999999953434,1903489.869999999878928,11318129.819999998435378
FS( 89 ),1853861.680000000167638,1800585.370000000111759,2057540.369999999878928,1921097.979999999981374,1757747.739999999757856,1869508.519999999785796,11260345.660000000149012
FS( 90 ),1830223.450000000186265,1812098.799999999813735,2048787.410000000149012,1896404.949999999953434,1748215.929999999934807,1857484.350000000093132,11193218.890000000596046
FS( 91 ),1817807.409999999916181,1828258.000000000000000,2062190.379999999888241,1901093.500000000000000,1760925.010000000009313,1884146.639999999897555,11254424.940000001341105
FS( 92 ),1827358.210000000195578,1815734.620000000111759,2004202.019999999785796,1864835.379999999888241,1875306.729999999748543,1828730.899999999906868,11216171.859999999403954
FS( 93 ),1863890.020000000251457,1829267.949999999953434,2036478.560000000055879,1898592.940000000176951,1871070.369999999878928,1870554.100000000093132,11369857.939999999478459
FS( 94 ),1901138.140000000363216,1866636.099999999860302,2031828.550000000046566,1916409.430000000167638,1854124.929999999934807,1921787.519999999785796,11491928.669999999925494
FS( 95 ),1890632.260000000242144,1858556.500000000000000,2029913.839999999850988,1917972.280000000027940,1853418.869999999878928,1928583.790000000037253,11479081.539999999105930
FS( 96 ),1844310.880000000121072,1847043.070000000065193,2023622.650000000139698,1917347.140000000130385,1834002.219999999972060,1901921.500000000000000,11368251.460000000894070
FS( 97 ),1872963.280000000027940,1830075.909999999916181,2029640.310000000055879,2044563.129999999888241,1829765.859999999869615,1890942.910000000149012,11497955.400000000372529
FS( 98 ),1881320.230000000214204,1810684.870000000111759,2060002.140000000130385,2033310.609999999869615,1812820.419999999925494,1878395.949999999953434,11476538.219999998807907
FS( 99 ),1897079.050000000279397,1787254.030000000027940,2045778.580000000074506,1990801.089999999850988,1821646.169999999925494,1885192.220000000204891,11427755.140000000596046
FS( 100 ),1862696.170000000158325,1740594.340000000083819,1989157.869999999878928,1932350.500000000000000,1835061.309999999823049,1924401.470000000204891,11284265.660000000149012
FS( 101 ),1877738.680000000167638,1844013.220000000204891,1976301.959999999962747,1918597.420000000158325,1854477.959999999962747,1883623.850000000093132,11354757.089999999850988
FS( 102 ),1727791.120000000111759,1867848.040000000037253,1993534.349999999860302,1916722.000000000000000,1866480.979999999748543,1896170.810000000055879,11268551.300000000745058
FS( 103 ),1708211.980000000214204,1830479.890000000130385,1951137.199999999953434,1991113.660000000149012,1843181.000000000000000,1916559.619999999878928,11240687.349999999627471
FS( 104 ),1704869.200000000186265,1882593.310000000055879,2002834.369999999878928,2017056.969999999972060,1889074.899999999906868,1927015.419999999925494,11423448.169999999925494
FS( 105 ),1707495.670000000158325,1896934.599999999860302,1986149.040000000037253,2025808.930000000167638,1870011.279999999795109,1978248.840000000083819,11464652.359999999403954
FS( 106 ),1710838.450000000186265,1866838.090000000083819,1914484.179999999934807,1989238.239999999990687,1838591.609999999869615,1907149.399999999906868,11227143.970000000670552
FS( 107 ),1735431.760000000242144,1868454.010000000009313,1943478.359999999869615,2001428.469999999972060,1889074.899999999906868,1900353.130000000121072,11338224.630000000819564
FS( 108 ),1748564.110000000335276,1857546.549999999813735,1962898.989999999990687,1996427.349999999860302,1889780.959999999962747,1872645.260000000009313,11327867.220000000670552
FS( 109 ),1748325.340000000083819,1895318.679999999934807,2066840.390000000130385,2029247.199999999953434,1898253.679999999934807,1891465.699999999953434,11529454.990000000223517
FS( 110 ),1772679.880000000121072,1916325.640000000130385,2069849.219999999972060,2029872.339999999850988,1933556.679999999934807,1911331.720000000204891,11633619.480000000447035
FS( 111 ),1804436.290000000037253,1908852.010000000009313,2107869.890000000130385,2040499.719999999972060,1937793.039999999804422,1923878.679999999934807,11723333.629999998956919
FS( 112 ),1828313.290000000037253,1918143.549999999813735,2127837.580000000074506,2084884.660000000149012,1966388.469999999972060,1943221.910000000149012,11868793.460000000894070
FS( 113 ),1828074.520000000251457,1942584.340000000083819,2131119.939999999944121,2064255.040000000270084,1941676.369999999878928,1958905.609999999869615,11866619.820000000298023
FS( 114 ),1857204.460000000195578,1941372.399999999906868,2130846.410000000149012,2061129.339999999850988,1945206.669999999925494,1966224.669999999925494,11901987.950000001117587
FS( 115 ),1855533.070000000065193,1950259.959999999962747,2167225.899999999906868,2079258.399999999906868,1957209.689999999711290,1966747.459999999962747,11976238.480000000447035
FS( 116 ),1862457.400000000139698,1950461.949999999953434,2176799.449999999720603,2082384.100000000093132,1966035.439999999711290,1956291.660000000149012,11994434.000000000000000
FS( 117 ),1833088.689999999944121,1943392.299999999813735,2157378.820000000298023,2067068.169999999925494,1943088.489999999757856,1960996.769999999785796,11905017.240000000223517
FS( 118 ),1811838.159999999916181,1957733.590000000083819,2166131.779999999795109,2098325.169999999925494,1970271.800000000046566,1973543.729999999981374,11977848.230000000447035
FS( 119 ),1791781.480000000214204,1969449.010000000009313,2191843.599999999627471,2090510.919999999925494,1978038.459999999962747,1985567.899999999906868,12007195.369999999180436
FS( 120 ),1799422.120000000111759,1965813.189999999944121,2208255.399999999906868,2089885.780000000027940,1983333.909999999916181,1970406.989999999757856,12017121.390000000596046
FS( 121 ),1780798.060000000055879,1947432.099999999860302,2194031.839999999850988,2102076.009999999776483,1973802.099999999860302,1962565.139999999897555,11960709.250000000000000
FS( 122 ),1764800.469999999972060,1963389.310000000055879,2190475.949999999720603,2128957.030000000260770,1986511.179999999934807,1958905.609999999869615,11993043.550000000745058
FS( 123 ),1799899.659999999916181,1953289.810000000055879,2201417.149999999906868,2159276.320000000298023,2000279.349999999860302,1979294.419999999925494,12093460.709999999031425
FS( 124 ),1795124.260000000242144,1958743.540000000037253,2210443.640000000130385,2168340.850000000558794,2011929.339999999850988,2002819.970000000204891,12147405.600000001490116
FS( 125 ),1800138.430000000167638,1945412.199999999953434,2173517.089999999850988,2156150.620000000111759,1991806.629999999888241,1975112.100000000093132,12042141.069999998435378
FS( 126 ),1812076.930000000167638,1959753.489999999990687,2235061.339999999850988,2201785.839999999850988,2014400.550000000046566,2008047.869999999878928,12231130.019999999552965
FS( 127 ),1815897.250000000000000,1946624.140000000130385,2261593.750000000000000,2221790.320000000298023,2008046.010000000009313,1992364.169999999925494,12246319.640000000596046
FS( 128 ),1810405.540000000037253,1971468.909999999916181,2279646.729999999981374,2215851.490000000223517,2021461.149999999906868,1994455.329999999841675,12293293.150000000372529
FS( 129 ),1809450.460000000195578,1960359.459999999962747,2248737.839999999850988,2203973.830000000074506,2028874.779999999795109,1981385.579999999841675,12232785.949999999254942
FS( 130 ),1811121.850000000093132,1954299.760000000009313,2242173.120000000111759,2218039.479999999515712,2023579.329999999841675,1977203.260000000009313,12226420.799999998882413
FS( 131 ),1828552.060000000055879,1956117.670000000158325,2217008.359999999869615,2192721.310000000521541,2001338.439999999711290,1987659.060000000055879,12183400.900000000372529
FS( 132 ),1830462.219999999972060,1955713.689999999944121,2226034.849999999627471,2182406.500000000000000,2005574.800000000046566,2000728.810000000055879,12200924.870000001043081
FS( 133 ),1810166.770000000251457,1931272.899999999906868,2186373.000000000000000,2169591.129999999888241,1969565.739999999757856,1980862.790000000037253,12047836.329999998211861
FS( 134 ),1789871.320000000065193,1926829.120000000111759,2190202.419999999925494,2165527.719999999739230,1966388.469999999972060,1970929.780000000027940,12009752.830000000074506
FS( 135 ),1796795.650000000139698,1932484.840000000083819,2226308.379999999888241,2181156.219999999739230,1986158.149999999906868,1989227.429999999934807,12112134.669999999925494
FS( 136 ),1812554.469999999972060,1947432.099999999860302,2242720.179999999701977,2210850.370000000111759,1989688.449999999953434,2067645.929999999934807,12270895.500000000000000
FS( 137 ),1812076.930000000167638,1939958.470000000204891,2202511.270000000018626,2208349.810000000521541,1976626.339999999850988,2053007.810000000055879,12192534.630000000819564
FS( 138 ),1803481.210000000195578,1943392.299999999813735,2210443.640000000130385,2236481.110000000335276,1962505.139999999897555,2108423.549999999813735,12264730.949999999254942
FS( 139 ),1817568.640000000363216,1967227.120000000111759,2197861.259999999776483,2234918.259999999776483,1929673.349999999860302,2099536.119999999646097,12246788.750000000000000
FS( 140 ),1839296.710000000195578,1956319.659999999916181,2174337.679999999701977,2232730.270000000484288,1898606.709999999962747,2117310.979999999981374,12218606.010000001639128
FS( 141 ),1859114.620000000111759,1991465.920000000158325,2175978.859999999869615,2254297.600000000558794,1948383.939999999711290,2108946.340000000316650,12338191.280000001192093
FS( 142 ),1841206.870000000111759,1975508.709999999962747,2150540.570000000298023,2200222.990000000223517,1977685.429999999934807,2080192.889999999897555,12225361.460000000894070
FS( 143 ),1833327.460000000195578,1988638.060000000055879,2146711.149999999906868,2136146.139999999664724,1967447.559999999823049,2057712.919999999925494,12129987.289999999105930
FS( 144 ),1831178.530000000027940,2007625.120000000111759,2160661.179999999701977,2145523.240000000223517,1976273.309999999823049,2106855.179999999701977,12228120.560000000521541
FS( 145 ),1830939.760000000242144,2007221.140000000130385,2190202.419999999925494,2163027.160000000149012,2004162.679999999934807,2142927.689999999944121,12338484.849999999627471
FS( 146 ),1847653.659999999916181,2016108.699999999953434,2231231.919999999925494,2212725.790000000037253,1990041.479999999748543,2165407.660000000149012,12463173.209999999031425
FS( 147 ),1850757.670000000158325,2073069.879999999888241,2233967.220000000204891,2221165.179999999701977,1993218.750000000000000,2161748.129999999888241,12533930.829999998211861
FS( 148 ),1837864.090000000083819,2071453.959999999962747,2234514.279999999795109,2206161.820000000298023,1984393.000000000000000,2143973.270000000018626,12478364.419999999925494
FS( 149 ),1813987.090000000083819,2063778.340000000083819,2200049.500000000000000,2167403.139999999664724,1981215.729999999748543,2084375.209999999962747,12310813.009999997913837
FS( 150 ),1785573.460000000195578,2042367.399999999906868,2164490.599999999627471,2133645.580000000074506,1948383.939999999711290,2080715.679999999934807,12155180.660000000149012
FS( 151 ),1785573.460000000195578,2068222.120000000111759,2176525.919999999925494,2139896.979999999515712,1943088.489999999757856,2081761.260000000009313,12195072.229999998584390
FS( 152 ),1808972.920000000158325,2080341.520000000018626,2201143.620000000111759,2179905.939999999478459,2015812.669999999925494,2115742.609999999869615,12401923.279999999329448
FS( 153 ),1785573.460000000195578,2065596.250000000000000,2120178.740000000223517,2123330.770000000484288,1971683.919999999925494,2057712.919999999925494,12124080.060000000521541
FS( 154 ),1772441.110000000335276,2049235.060000000055879,2106502.240000000223517,2089885.780000000027940,1974155.129999999888241,2049871.070000000065193,12042094.390000000596046
FS( 155 ),1779604.210000000195578,2076099.729999999981374,2123187.570000000298023,2114266.240000000223517,1961799.079999999841675,2048302.699999999953434,12103263.529999999329448
FS( 156 ),1766710.630000000121072,2070444.010000000009313,2124281.689999999944121,2117391.939999999478459,1978744.519999999785796,2078101.729999999981374,12135678.519999999552965
FS( 157 ),1770292.180000000167638,2079129.580000000074506,2159567.060000000055879,2158963.750000000000000,1986158.149999999906868,2112083.080000000074506,12266197.800000000745058
FS( 158 ),1790587.630000000121072,2077109.679999999934807,2188014.179999999701977,2168653.419999999925494,1993571.779999999795109,2091694.269999999785796,12309634.959999999031425
FS( 159 ),1811838.159999999916181,2073271.870000000111759,2163943.540000000037253,2169903.700000000186265,2021108.119999999878928,2088034.739999999757856,12328104.130000000819564
FS( 160 ),1813748.320000000065193,2094480.820000000065193,2173243.560000000055879,2178655.660000000149012,2039465.679999999934807,2090648.690000000176951,12390246.730000000447035
FS( 161 ),1789871.320000000065193,2088219.129999999888241,2175158.270000000018626,2197722.429999999701977,2029933.869999999878928,2074964.989999999757856,12355874.009999999776483
FS( 162 ),1936714.870000000111759,2126597.230000000447035,2177072.979999999981374,2191783.600000000558794,2030992.959999999962747,2083852.419999999925494,12547018.060000000521541
FS( 163 ),1951041.070000000065193,2114679.820000000298023,2139872.899999999906868,2158963.750000000000000,2020755.089999999850988,2086466.369999999878928,12471783.000000000000000
FS( 164 ),2026492.390000000363216,2105994.250000000000000,2127564.049999999813735,2105201.709999999962747,2000985.409999999916181,2136654.209999999962747,12502896.019999999552965
FS( 165 ),2020523.140000000363216,2127001.209999999962747,2151087.629999999888241,2167715.709999999962747,2073003.529999999795109,2117833.770000000018626,12657168.990000000223517
FS( 166 ),2012882.500000000000000,2129021.110000000335276,2170234.729999999981374,2221165.179999999701977,2067355.050000000046566,2112083.080000000074506,12712745.650000000372529
FS( 167 ),2017657.900000000139698,2122355.439999999478459,2176252.390000000130385,2168340.850000000558794,2104776.229999999515712,2091171.479999999981374,12680558.290000002831221
FS( 168 ),2021239.450000000186265,2121143.500000000000000,2196767.140000000130385,2167403.139999999664724,2055352.029999999795109,2074964.989999999757856,12636874.250000000000000
FS( 169 ),2049891.850000000093132,2111245.990000000223517,2221658.370000000111759,2197097.290000000037253,2069826.260000000009313,2061372.449999999953434,12711096.209999999031425
FS( 170 ),2027686.240000000223517,2098116.639999999664724,2216461.299999999813735,2186157.339999999850988,2016165.699999999953434,2042029.220000000204891,12586620.439999999478459
