代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14835231.189999999478459
真實報酬,4835231.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20537.604966797578527
風險,242963.255598687508609
起點值,0.084529674728760
找到最佳解世代,1951
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),DIS[6](1),KO[14](7),VZ[26](9),WMT[28](5),
Stock#,AAPL[0](4),DIS[6](1),KO[14](7),VZ[26](9),WMT[28](5),
張數,37376,68965,61143,55035,38491,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.239999999990687,15.000000000000000,12.469999999972060,28.099999999860302,7.639999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1988787.199999999953434,2059309.899999999906868,1994497.129999999888241,2003302.099999999860302,2035411.719999999972060,10081308.049999998882413
FS( 3 ),2019809.280000000027940,2173102.149999999906868,2003668.580000000074506,1968630.050000000046566,2026558.789999999804422,10191768.849999999627471
FS( 4 ),2014950.399999999906868,2208963.950000000186265,1999388.570000000065193,1976334.949999999720603,2030407.889999999897555,10230045.759999999776483
FS( 5 ),1974584.319999999832362,2186205.500000000000000,2014674.320000000065193,1990093.699999999720603,2066974.340000000083819,10232532.179999999701977
FS( 6 ),2075873.280000000027940,2275860.000000000000000,2045245.820000000065193,2030819.599999999860302,2109699.349999999627471,10537498.050000000745058
FS( 7 ),2137169.919999999925494,2248963.649999999906868,2042188.669999999925494,2008805.599999999860302,2106235.160000000149012,10543363.000000000000000
FS( 8 ),2147635.200000000186265,2328273.399999999906868,2062977.290000000037253,2018161.550000000046566,2124710.839999999850988,10681758.279999999329448
FS( 9 ),2180899.839999999850988,2313790.750000000000000,2060531.570000000065193,2037423.800000000046566,2117782.459999999962747,10710428.420000001788139
FS( 10 ),2253409.280000000260770,2377238.549999999813735,2073983.030000000027940,2054484.649999999674037,2134718.500000000000000,10893834.009999999776483
FS( 11 ),2242570.240000000223517,2302756.350000000093132,2048302.969999999972060,2033020.999999999767169,2108544.620000000111759,10735195.179999999701977
FS( 12 ),2254530.559999999590218,2340687.099999999627471,2040354.379999999888241,2049531.500000000000000,2151269.629999999888241,10836373.169999998062849
FS( 13 ),2128573.440000000409782,2317928.649999999906868,2049525.830000000074506,2039074.849999999627471,2165126.389999999664724,10700229.160000000149012
