代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13580551.529999999329448
真實報酬,3580551.529999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13846.192392417389783
風險,226705.517458094604081
起點值,0.061075674503497
找到最佳解世代,1900
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
Stock#,MCD[15](2),MRK[17](3),PG[21](1),
張數,20611,49055,40306,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,122.080000000074506,45.750000000000000,26.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364661.720000000204891,3366199.850000000093132,3357113.540000000037253,10087976.109999999403954
FS( 3 ),3374967.220000000204891,3403481.649999999906868,3331317.700000000186265,10109767.570000000298023
FS( 4 ),3378264.979999999981374,3417707.600000000093132,3301491.259999999776483,10097464.839999999850988
FS( 5 ),3402379.850000000093132,3412311.550000000279397,3320435.079999999608845,10135127.480000000447035
FS( 6 ),3393104.900000000372529,3388765.149999999906868,3305521.859999999869615,10087392.910000000149012
FS( 7 ),3395578.220000000204891,3427028.049999999813735,3349858.459999999962747,10172465.730000000447035
FS( 8 ),3347348.479999999981374,3474611.399999999906868,3363562.500000000000000,10185523.379999998956919
FS( 9 ),3315195.320000000298023,3432914.650000000372529,3370011.459999999962747,10118122.429999999701977
FS( 10 ),3259545.619999999646097,3454498.850000000093132,3395807.299999999813735,10109852.769999999552965
FS( 11 ),3251919.550000000279397,3454498.850000000093132,3385730.799999999813735,10092150.199999999254942
FS( 12 ),3280981.060000000055879,3432914.650000000372529,3385730.799999999813735,10099627.510000001639128
FS( 13 ),3314164.770000000018626,3472158.649999999906868,3440546.959999999962747,10226871.379999998956919
FS( 14 ),3407120.380000000353903,3487856.249999999534339,3459087.719999999739230,10354065.349999999627471
FS( 15 ),3366104.490000000223517,3472158.649999999906868,3396613.419999999459833,10234877.560000000521541
FS( 16 ),3429998.589999999850988,3465781.500000000465661,3350261.520000000018626,10246042.609999999403954
FS( 17 ),3416601.439999999944121,3450083.899999999906868,3355904.359999999869615,10222590.699999999254942
FS( 18 ),3432471.910000000149012,3469215.350000000093132,3339781.959999999962747,10241470.219999998807907
FS( 19 ),3448136.270000000018626,3480007.449999999720603,3354695.180000000167638,10282839.900000000372529
FS( 20 ),3435357.449999999720603,3508949.899999999906868,3372429.819999999832362,10316738.169999999925494
FS( 21 ),3404647.060000000055879,3519742.000000000000000,3400240.959999999962747,10324631.019999999552965
FS( 22 ),3393929.339999999850988,3501101.100000000093132,3346633.979999999981374,10241665.419999999925494
FS( 23 ),3417425.880000000353903,3493742.850000000093132,3301894.319999999832362,10213064.050000000745058
FS( 24 ),3433296.350000000093132,3484422.399999999906868,3311164.700000000186265,10228884.449999999254942
FS( 25 ),3458029.550000000279397,3505516.049999999813735,3321241.200000000186265,10284787.800000000745058
FS( 26 ),3500488.210000000428408,3548684.450000000186265,3313180.000000000000000,10362353.660000000149012
FS( 27 ),3470396.150000000372529,3455970.500000000000000,3282547.439999999944121,10208915.089999999850988
FS( 28 ),3359096.750000000000000,3353936.100000000093132,3178961.020000000018626,9891994.869999999180436
FS( 29 ),3376616.100000000093132,3424575.300000000279397,3186619.159999999683350,9987811.560000000521541
FS( 30 ),3373524.449999999720603,3407406.049999999813735,3229746.579999999608845,10010678.080000000074506
