代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13380502.109999999403954
真實報酬,3380502.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14778.541630705924035
風險,181937.856452874722891
起點值,0.081228513509138
找到最佳解世代,1485
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
CVX[5](4),KO[14](5),MCD[15](14),UNH[23](1),
Stock#,CVX[5](4),KO[14](5),MCD[15](14),UNH[23](1),
張數,32133,88621,35587,79516,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,52.600000000093132,1.589999999850988,13.250000000000000,16.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2527634.379999999888241,2498227.580000000074506,2507117.399999999906868,2577925.680000000167638,10110905.039999999105930
FS( 3 ),2539202.259999999776483,2506203.469999999739230,2515658.279999999795109,2616888.519999999552965,10177952.529999999329448
FS( 4 ),2540808.909999999683350,2498227.580000000074506,2507117.399999999906868,2657441.680000000167638,10203595.570000000298023
FS( 5 ),2529883.690000000409782,2515065.569999999832362,2553024.629999999888241,2659827.160000000149012,10257801.050000000745058
FS( 6 ),2547878.170000000391155,2531017.349999999627471,2595017.290000000037253,2663007.800000000279397,10336920.609999999403954
FS( 7 ),2539844.920000000391155,2524813.879999999888241,2592170.330000000074506,2650285.239999999757856,10307114.370000001043081
FS( 8 ),2478470.890000000130385,2483162.009999999776483,2546974.839999999850988,2543733.799999999813735,10052341.539999999105930
FS( 9 ),2476542.909999999683350,2468096.439999999944121,2564412.470000000204891,2554866.040000000037253,10063917.859999999403954
FS( 10 ),2487146.800000000279397,2469868.859999999869615,2558362.680000000167638,2546914.439999999944121,10062292.779999999329448
FS( 11 ),2497108.029999999795109,2476072.330000000074506,2554803.980000000447035,2536577.359999999869615,10064561.699999999254942
FS( 12 ),2499036.009999999776483,2486706.849999999627471,2605693.390000000130385,2572359.560000000055879,10163795.810000000521541
FS( 13 ),2475578.920000000391155,2474299.910000000149012,2606761.000000000000000,2587467.600000000093132,10144107.429999999701977
FS( 14 ),2437019.320000000298023,2449486.029999999795109,2596796.640000000130385,2527830.600000000093132,10011132.589999999850988
FS( 15 ),2411634.250000000000000,2450372.239999999757856,2600711.209999999962747,2513517.719999999739230,9976235.419999999925494
FS( 16 ),2411634.250000000000000,2463665.390000000130385,2609963.830000000074506,2504770.959999999962747,9990034.429999999701977
FS( 17 ),2370825.340000000316650,2466324.019999999552965,2587899.890000000130385,2468193.600000000093132,9893242.849999999627471
FS( 18 ),2380143.909999999683350,2454803.289999999571592,2604625.779999999795109,2541348.319999999832362,9980921.299999998882413
FS( 19 ),2356365.490000000223517,2444168.769999999552965,2603558.169999999925494,2532601.560000000055879,9936693.990000000223517
FS( 20 ),2407778.290000000502914,2488479.269999999552965,2633095.379999999888241,2573949.879999999888241,10103302.820000000298023
FS( 21 ),2370825.340000000316650,2461892.969999999739230,2588611.629999999888241,2537372.520000000018626,9958702.460000000894070
FS( 22 ),2380465.240000000223517,2476072.330000000074506,2599999.470000000204891,2522264.479999999981374,9978801.520000001415610
FS( 23 ),2466903.009999999776483,2539879.449999999720603,2652668.230000000447035,2591443.400000000372529,10250894.089999999850988
FS( 24 ),2488753.450000000186265,2542538.080000000074506,2669749.989999999757856,2612912.719999999739230,10313954.239999998360872
FS( 25 ),2506426.600000000093132,2550513.969999999739230,2672241.080000000074506,2696404.519999999552965,10425586.169999999925494
FS( 26 ),2475900.250000000000000,2554058.810000000055879,2697507.850000000093132,2686067.439999999944121,10413534.349999999627471
FS( 27 ),2482326.850000000093132,2562920.910000000149012,2707472.209999999962747,2691633.560000000055879,10444353.529999999329448
FS( 28 ),2485861.479999999981374,2583303.739999999757856,2646618.439999999944121,2705151.280000000260770,10420934.940000001341105
FS( 29 ),2532775.659999999683350,2593052.049999999813735,2669394.120000000111759,2742523.800000000279397,10537745.629999998956919
FS( 30 ),2546592.850000000093132,2571783.009999999776483,2653735.839999999850988,2760812.479999999981374,10532924.179999999701977
FS( 31 ),2554947.430000000167638,2552286.390000000130385,2631316.029999999795109,2752065.719999999739230,10490615.570000000298023
FS( 32 ),2545307.529999999795109,2544310.500000000000000,2658718.019999999552965,2725030.280000000260770,10473366.329999998211861
FS( 33 ),2540166.250000000000000,2548741.549999999813735,2661920.850000000093132,2722644.800000000279397,10473473.450000001117587
FS( 34 ),2521207.779999999795109,2550513.969999999739230,2644839.089999999850988,2713898.040000000037253,10430458.879999998956919
